mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.457826,0.896675,0.471323,0.48015,0.431698,0.45082,0.743837,0.426219,0.380247,0.279523,0.355915,0.769814,0.790549,0.266772,0.58589,0.820222,0.359603,0.401646,0.497602,0.46649,0.962982,0.958672,0.937397,0.948859,0.992268,0.594093,0.7135,0.910652,0.713824,0.639784,0.337439,0.969239,0.696508,0.633018,0.171695,0.962628,0.707738,0.492295,0.835315,0.932681,0.758151,0.298299,0.325411,0.736604,0.932809,0.368079,0.763941,0.396877,0.599686,0.399222,0.937023,0.938582,0.414564,0.17317,0.742056,0.82679,0.771472,0.211105,0.659836,0.390717,0.52045,0.0315198,0.409597,0.818984,0.868433,0.809707,0.962253,0.812054,0.101457,0.273906,0.506062,0.528755,0.765293,0.174177,0.710249,0.270947,0.785222,0.787659,0.458857,0.14306,0.469017,0.319143,0.0558718,0.139025,0.240369,0.377275,0.991037,0.133486,0.453989,0.565202,0.545788,0.80547,0.583957,0.184493,0.376454,0.199174,0.317928,0.143231,0.0638933,0.23197,
20,0.35847,0.765603,0.771729,0.251831,0.602837,0.784817,0.342688,0.445933,0.440977,0.453176,0.978356,0.979048,0.879161,0.92549,0.466216,0.858112,0.703013,0.941598,0.40568,0.471506,0.393472,0.962063,0.7237,0.617174,0.206295,0.941426,0.985676,0.604299,0.855764,0.930791,0.672355,0.51478,0.320488,0.709021,0.728241,0.43794,0.921583,0.32365,0.495908,0.496096,0.946163,0.926762,0.367443,0.309539,0.761667,0.807688,0.762022,0.328326,0.702444,0.670189,0.646862,0.408541,0.388911,0.8216,0.870677,0.748654,0.933317,0.786848,0.720096,0.278891,0.487195,0.529244,0.576932,0.395054,0.692281,0.24315,0.765583,0.759487,0.377308,0.167926,0.436147,0.309709,0.740079,0.191941,0.224436,0.356721,0.501585,0.0149657,0.447484,0.560215,0.545426,0.805103,0.0926803,0.258299,0.989812,0.131527,0.763452,0.159546,0.583137,0.184316,0.458536,0.141591,0.376223,0.199174,0.0538413,0.138298,0.317568,0.142991,0.0638933,0.231614,
30,0.965355,0.968211,0.883888,0.939783,0.466941,0.890442,0.724737,0.942442,0.445416,0.44874,0.396004,0.935472,0.697801,0.662753,0.189013,0.957181,0.989094,0.619366,0.855143,0.936444,0.680503,0.509289,0.348017,0.726904,0.762368,0.427739,0.356757,0.492028,0.469299,0.471098,0.931192,0.916741,0.564982,0.770659,0.762148,0.813436,0.429081,0.444856,0.679703,0.653274,0.785732,0.202503,0.366111,0.82833,0.818145,0.735888,0.932885,0.759696,0.913925,0.330528,0.364006,0.764721,0.483942,0.510316,0.646862,0.400736,0.752624,0.744883,0.359858,0.312641,0.758891,0.324902,0.55822,0.369674,0.707839,0.249252,0.400306,0.279529,0.44677,0.555977,0.538847,0.786102,0.69097,0.205134,0.728006,0.186207,0.215192,0.328965,0.985125,0.129227,0.369121,0.157945,0.760488,0.157148,0.581987,0.182276,0.374417,0.19566,0.497356,0.0115282,0.457611,0.139782,0.0893471,0.257491,0.316893,0.142271,0.0638933,0.231465,0.0536787,0.137874,
40,0.413947,0.885178,0.658823,0.669245,0.206233,0.969581,0.962834,0.597477,0.837111,0.939037,0.666858,0.519566,0.349616,0.727751,0.747715,0.411045,0.367213,0.531605,0.469025,0.436715,0.930754,0.908107,0.582768,0.752972,0.761341,0.833848,0.962628,0.965476,0.47908,0.894537,0.887676,0.965745,0.704086,0.952687,0.395278,0.420613,0.915984,0.780187,0.799197,0.723488,0.337163,0.768345,0.366111,0.803548,0.661657,0.630787,0.743495,0.724487,0.472387,0.506468,0.632527,0.378997,0.90385,0.328702,0.42029,0.437261,0.745174,0.29944,0.444483,0.515455,0.490932,0.74967,0.75779,0.187013,0.526014,0.33154,0.662064,0.237441,0.399943,0.275141,0.347724,0.27692,0.191151,0.319845,0.673444,0.164378,0.756039,0.145852,0.581333,0.175607,0.676444,0.157793,0.985125,0.115898,0.3738,0.189439,0.456653,0.134826,0.365237,0.154437,0.0885608,0.256627,0.316192,0.140483,0.0637465,0.231195,0.496902,0.0108229,0.0533902,0.13762,
50,0.680629,0.48446,0.37526,0.722157,0.737803,0.384983,0.40173,0.538001,0.464457,0.471242,0.896913,0.894806,0.581761,0.761977,0.755442,0.866763,0.964379,0.989474,0.49437,0.889497,0.857327,0.965962,0.660967,0.965276,0.846611,0.937749,0.874362,0.776229,0.375526,0.887671,0.78304,0.673132,0.673434,0.694823,0.18772,0.99699,0.764766,0.721829,0.376168,0.801605,0.964386,0.613188,0.670239,0.644319,0.331444,0.735583,0.459052,0.437773,0.418186,0.488775,0.477198,0.738068,0.350737,0.432236,0.890679,0.324782,0.61316,0.36124,0.723791,0.29944,0.410785,0.392644,0.522891,0.285535,0.657716,0.236902,0.386085,0.257613,0.304617,0.272626,0.661875,0.159291,0.75779,0.141188,0.173462,0.304811,0.982975,0.111464,0.579254,0.161782,0.674161,0.120176,0.755256,0.120951,0.3738,0.186126,0.455865,0.133834,0.364606,0.151688,0.0876667,0.255666,0.315522,0.139958,0.0630789,0.230586,0.496721,0.0107205,0.0533751,0.137398,
60,0.882283,0.908947,0.580486,0.784095,0.730437,0.825784,0.944664,0.975972,0.337597,0.744508,0.850638,0.957821,0.635292,0.964445,0.858355,0.949416,0.742726,0.38272,0.3881,0.873441,0.825778,0.663975,0.655779,0.694206,0.411027,0.50503,0.772621,0.713034,0.8969,0.768048,0.956037,0.589727,0.345246,0.806331,0.643044,0.632418,0.459321,0.919973,0.44618,0.483583,0.465943,0.71207,0.174998,0.968765,0.353091,0.718399,0.6768,0.49369,0.395415,0.460722,0.860229,0.313329,0.439385,0.430801,0.592217,0.343792,0.31219,0.391432,0.381504,0.376221,0.723791,0.261171,0.501323,0.274174,0.616664,0.222316,0.351689,0.257613,0.246209,0.262388,0.600663,0.151725,0.945389,0.0928075,0.158685,0.273468,0.560729,0.106702,0.741741,0.113122,0.734274,0.11147,0.670606,0.118533,0.37,0.177941,0.453824,0.133384,0.363512,0.151101,0.0863039,0.254602,0.315186,0.138695,0.0629519,0.230228,0.496007,0.0103302,0.0533751,0.136854,
70,0.835688,0.967609,0.660532,0.980851,0.874485,0.940636,0.732489,0.385969,0.376386,0.873581,0.85262,0.653364,0.674214,0.717208,0.370562,0.470507,0.759424,0.674877,0.905801,0.765915,0.946786,0.605147,0.327264,0.80867,0.610146,0.639112,0.400566,0.916759,0.859567,0.926448,0.746372,0.819068,0.605249,0.786375,0.966339,0.985135,0.466422,0.71829,0.350191,0.750544,0.191737,0.95423,0.34478,0.724788,0.628939,0.453163,0.463297,0.46096,0.37946,0.462454,0.876966,0.299445,0.436571,0.41674,0.56661,0.331313,0.339479,0.35674,0.70798,0.236223,0.304259,0.36253,0.469137,0.267528,0.608095,0.222316,0.301028,0.25541,0.195947,0.251359,0.565527,0.130371,0.72772,0.109683,0.689321,0.101915,0.662337,0.118533,0.945389,0.0484463,0.365074,0.174527,0.152904,0.259707,0.450051,0.131317,0.557301,0.105552,0.360783,0.151101,0.0853762,0.254376,0.314895,0.138159,0.0628508,0.229394,0.495661,0.0102397,0.0529662,0.136853,
80,0.85668,0.660753,0.675603,0.702765,0.336038,0.484009,0.752839,0.667544,0.901195,0.81102,0.981954,0.616944,0.352219,0.806807,0.616367,0.616465,0.39815,0.911996,0.83745,0.950282,0.750906,0.822107,0.587568,0.785414,0.963214,0.990005,0.811673,0.960279,0.464774,0.733577,0.224981,0.947195,0.356235,0.753285,0.655527,0.970688,0.86631,0.936399,0.386446,0.823936,0.328729,0.712404,0.719687,0.380195,0.626627,0.438471,0.425114,0.439796,0.418299,0.39919,0.36821,0.429956,0.842401,0.291893,0.509552,0.315187,0.333056,0.350379,0.287747,0.336866,0.672267,0.210758,0.456943,0.234763,0.570468,0.222316,0.295668,0.238192,0.636596,0.118533,0.553481,0.112604,0.177441,0.237211,0.338073,0.163322,0.72772,0.0938457,0.143018,0.246511,0.686128,0.0987047,0.35689,0.151101,0.448925,0.127363,0.556685,0.104471,0.941098,0.0457207,0.0851206,0.252717,0.314686,0.137316,0.0619492,0.229195,0.495559,0.0101489,0.0525416,0.136802,
90,0.96638,0.643406,0.35821,0.77543,0.598012,0.583026,0.380524,0.925824,0.808935,0.946914,0.721804,0.825724,0.579573,0.787411,0.96686,0.985605,0.784944,0.998992,0.489022,0.71114,0.192943,0.971822,0.325603,0.762215,0.689715,0.944335,0.859798,0.93813,0.768475,0.664083,0.847086,0.650869,0.943952,0.79836,0.678522,0.696572,0.378904,0.814609,0.326352,0.734941,0.645539,0.412192,0.337605,0.491754,0.4094,0.428216,0.403497,0.395676,0.692723,0.358537,0.824189,0.264357,0.360522,0.413193,0.506152,0.287161,0.295473,0.350379,0.651317,0.210758,0.543808,0.220033,0.250703,0.314093,0.430467,0.233329,0.295706,0.224089,0.625251,0.106755,0.696263,0.0938457,0.161992,0.211912,0.33691,0.150433,0.343812,0.148384,0.123342,0.22315,0.446106,0.11808,0.544319,0.0965904,0.681718,0.0820466,0.553348,0.100958,0.0835132,0.251798,0.939265,0.0430115,0.314686,0.136139,0.0607707,0.228528,0.495448,0.00991537,0.0522239,0.136658,
100,0.746758,0.829908,0.574855,0.745218,0.960312,0.997228,0.785104,0.998992,0.498599,0.677213,0.203446,0.962021,0.330062,0.748242,0.686408,0.942299,0.839647,0.951207,0.772775,0.631002,0.861068,0.660034,0.935106,0.787248,0.892109,0.638528,0.393956,0.792534,0.332362,0.725353,0.673878,0.675017,0.370382,0.759458,0.396776,0.905362,0.644918,0.392634,0.571079,0.572658,0.819622,0.946075,0.354335,0.505899,0.677641,0.359465,0.414397,0.413721,0.818291,0.264357,0.332725,0.404602,0.378873,0.371749,0.280384,0.347001,0.489157,0.269675,0.513642,0.207819,0.250643,0.30372,0.637338,0.185392,0.404508,0.213745,0.254831,0.206979,0.583547,0.0997752,0.693582,0.0844452,0.331321,0.149603,0.681718,0.0660206,0.541886,0.100958,0.161552,0.177936,0.543385,0.0895222,0.315119,0.128883,0.0835132,0.248375,0.115263,0.217728,0.93808,0.0420836,0.439817,0.106688,0.314141,0.135723,0.0603633,0.228028,0.495448,0.00949023,0.0518551,0.136524,
