mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,1,0.988636,0.980583,0.989691,0.969388,1,0.989583,0.990385,1,0.979381,1,0.978495,1,0.971698,1,0.990991,0.989362,0.981132,0.990909,0.977778,0.989011,1,0.977528,0.972973,1,0.98913,1,0.979592,0.981308,0.978495,0.99115,0.977011,0.990196,1,0.990654,0.989247,0.932584,0.936937,0.961905,0.968421,0.924528,0.925532,0.911765,0.77551,0.886364,0.776786,0.80198,0.656566,0.78022,0.688073,0.646465,0.584158,0.648148,0.478261,0.66055,0.56044,0.607477,0.494624,0.535714,0.5,0.5,0.520833,0.471698,0.425532,0.475728,0.525773,0.484536,0.514563,0.618557,0.485437,0.5,0.521739,0.452632,0.380952,0.525773,0.427184,0.397849,0.542056,0.519231,0.458333,0.46875,0.451923,0.508929,0.477273,0.442105,0.457143,0.490385,0.520833,0.448598,0.44086,0.56701,0.524272,0.476744,0.561404,0.548077,0.520833,0.4,0.41,0.463918,0.572816,
400,0.971698,0.978723,0.966292,0.990991,0.967742,1,0.940594,0.979798,0.974684,0.983471,0.978495,0.981308,0.940476,0.982759,0.99,1,0.979798,0.960396,0.990654,0.989247,0.972222,1,1,0.981982,0.95283,0.978723,0.98,0.96,0.990476,0.989474,0.978495,0.971963,0.96,0.96,0.969697,0.940594,0.930233,0.947368,0.755102,0.911765,0.657143,0.694737,0.794643,0.568182,0.702128,0.5,0.683168,0.343434,0.726316,0.504762,0.699029,0.494845,0.494118,0.382609,0.54902,0.336735,0.613208,0.308511,0.509091,0.244444,0.476636,0.27957,0.519231,0.291667,0.478632,0.216867,0.410526,0.228571,0.452632,0.285714,0.427184,0.175258,0.474227,0.262136,0.445652,0.222222,0.443299,0.291262,0.382022,0.297297,0.475248,0.373737,0.49505,0.464646,0.5,0.386792,0.47619,0.536842,0.603774,0.489362,0.434343,0.485149,0.509434,0.478723,0.467391,0.518519,0.552083,0.480769,0.56,0.57,
600,0.981481,0.98913,0.990099,0.979798,0.989247,0.981308,1,0.938776,0.977778,0.963636,0.989583,0.971154,1,0.971154,0.989247,0.990654,0.970588,0.959184,0.981308,1,1,0.953271,0.973684,0.988372,0.989474,0.952381,0.989362,0.962264,0.96,0.96,0.979381,0.902913,0.978947,0.952381,0.961165,0.948454,0.516129,0.897196,0.38,0.78,0.884615,0.59375,0.795918,0.588235,0.8,0.69,0.669725,0.648352,0.666667,0.476636,0.57732,0.475728,0.5125,0.491667,0.508621,0.488095,0.443396,0.425532,0.568421,0.352381,0.340659,0.192661,0.368932,0.309278,0.228571,0.294737,0.349057,0.148936,0.174312,0.175824,0.180851,0.150943,0.165217,0.141176,0.16,0.08,0.22449,0.0686275,0.141304,0.101852,0.17,0.12,0.25,0.153846,0.362637,0.220183,0.306122,0.137255,0.345794,0.333333,0.402062,0.213592,0.520833,0.259615,0.5,0.245283,0.57732,0.398058,0.547368,0.371429,
800,0.990385,1,1,0.966667,0.990826,1,0.988889,1,0.990099,0.989899,0.979167,0.980769,0.978495,0.971963,0.990196,0.979592,0.966667,0.981818,0.957895,0.990476,1,0.978723,0.990826,0.967033,0.970874,0.979381,0.9375,0.971154,0.956044,0.972477,1,0.905263,0.839623,0.851064,0.766667,0.625,0.738739,0.550562,0.910112,0.558559,0.742857,0.673684,0.699029,0.597938,0.695652,0.555556,0.678899,0.494505,0.680851,0.518868,0.550459,0.450549,0.617647,0.561224,0.612245,0.411765,0.515789,0.438095,0.5,0.453488,0.6,0.445455,0.4,0.29,0.404255,0.264151,0.313725,0.336735,0.32381,0.189474,0.260417,0.211538,0.208333,0.240385,0.217822,0.181818,0.208333,0.105769,0.144444,0.181818,0.209091,0.188889,0.244898,0.245098,0.196078,0.173469,0.41573,0.234234,0.424528,0.191489,0.419048,0.336842,0.515464,0.417476,0.59633,0.461538,0.545455,0.488889,0.626263,0.475248,
1000,0.961165,0.979381,0.967033,0.926606,0.970588,0.94898,0.972477,0.967033,0.989362,0.95283,0.981132,0.957447,0.942529,0.964602,0.978261,0.962963,0.990909,0.988889,0.978947,0.942857,0.912621,0.958763,0.943396,0.946809,0.970297,0.969697,0.943396,0.957447,0.881356,0.878049,0.864078,0.752577,0.790476,0.694737,0.834951,0.742268,0.838095,0.589474,0.833333,0.554348,0.726415,0.595745,0.675676,0.550562,0.660194,0.556701,0.57732,0.660194,0.6,0.677778,0.588235,0.5,0.663366,0.505051,0.537736,0.425532,0.473684,0.523256,0.474227,0.407767,0.495575,0.471264,0.474747,0.376238,0.468085,0.330189,0.442105,0.333333,0.46789,0.340659,0.431373,0.244898,0.393939,0.257426,0.309091,0.277778,0.309278,0.291262,0.308511,0.273585,0.389474,0.285714,0.40367,0.208791,0.485981,0.290323,0.397849,0.35514,0.406593,0.412844,0.542553,0.415094,0.535714,0.397727,0.555556,0.381818,0.540816,0.421569,0.574257,0.474747,
1200,0.95098,0.94898,0.954545,0.955556,0.900826,0.962025,0.968421,0.952381,0.953271,0.956989,0.965909,0.982143,0.93617,0.971698,0.894231,0.96875,0.936842,0.971429,0.925234,0.989247,0.966667,0.936364,0.904255,0.933962,0.884615,0.854167,0.86087,0.882353,0.86,0.69,0.89,0.64,0.740741,0.714286,0.805825,0.618557,0.836957,0.62037,0.813084,0.516129,0.692308,0.677083,0.634409,0.663551,0.60396,0.40404,0.690722,0.582524,0.518868,0.5,0.621359,0.649485,0.54023,0.451327,0.554455,0.464646,0.643564,0.505051,0.440367,0.483516,0.411765,0.479592,0.398058,0.587629,0.490566,0.468085,0.529412,0.504348,0.404494,0.432432,0.477778,0.445455,0.404762,0.37069,0.438202,0.432432,0.466667,0.368421,0.575472,0.43617,0.543689,0.381443,0.447619,0.357895,0.47619,0.482759,0.517647,0.452174,0.539216,0.459184,0.571429,0.484211,0.475728,0.463918,0.546392,0.524272,0.648352,0.559633,0.52809,0.531532,
1400,0.951456,0.979381,0.949495,0.980198,0.977273,0.9375,0.980392,0.918367,0.959184,0.941176,0.872549,0.897959,0.980392,0.928571,0.934066,0.917431,0.940594,0.949495,0.895833,0.903846,0.939394,0.950495,0.939394,0.891089,0.902913,0.927835,0.921053,0.872093,0.846154,0.760417,0.80198,0.717172,0.77,0.74,0.682243,0.623656,0.686869,0.623762,0.752381,0.631579,0.701923,0.572917,0.60396,0.616162,0.614583,0.576923,0.639175,0.631068,0.55102,0.578431,0.585859,0.50495,0.633333,0.527273,0.642105,0.504762,0.53211,0.494505,0.564815,0.467391,0.494949,0.524752,0.587629,0.495146,0.63,0.51,0.474747,0.465347,0.517241,0.477876,0.435644,0.575758,0.461538,0.516393,0.505051,0.435644,0.352941,0.44898,0.515789,0.457143,0.533333,0.427273,0.439655,0.5,0.442478,0.517241,0.484536,0.466019,0.541667,0.490385,0.490385,0.5,0.54902,0.428571,0.459184,0.480392,0.568421,0.533333,0.627273,0.544444,
1600,0.917526,0.902913,0.949495,0.980198,0.947917,0.913462,0.891089,0.858586,0.903846,0.885417,0.907407,0.913043,0.941176,0.959184,0.919192,0.910891,0.931818,0.919643,0.911111,0.863636,0.912088,0.87156,0.853933,0.774775,0.855556,0.809091,0.843137,0.72449,0.90566,0.797872,0.772277,0.707071,0.863158,0.571429,0.714286,0.568421,0.722772,0.636364,0.798077,0.625,0.632653,0.617647,0.561404,0.627907,0.577982,0.67033,0.568627,0.663265,0.595745,0.443396,0.505051,0.623762,0.613861,0.525253,0.515152,0.683168,0.5,0.540816,0.513761,0.659341,0.605769,0.447917,0.563107,0.597938,0.531915,0.556604,0.602041,0.431373,0.53125,0.596154,0.479592,0.529412,0.504425,0.609195,0.46,0.46,0.552381,0.6,0.542553,0.443396,0.484211,0.504762,0.640449,0.486486,0.59596,0.524752,0.53,0.49,0.554348,0.527778,0.46,0.6,0.481481,0.663043,0.585859,0.50495,0.557692,0.520833,0.626168,0.516129,
1800,0.866667,0.884211,0.880435,0.87963,0.87,0.9,0.712766,0.915094,0.870968,0.915888,0.881818,0.955556,0.863158,0.904762,0.816327,0.882353,0.903614,0.854701,0.887755,0.813725,0.833333,0.855769,0.817204,0.71028,0.735294,0.795918,0.777778,0.771739,0.738636,0.714286,0.752577,0.679612,0.728261,0.583333,0.678899,0.67033,0.752381,0.642105,0.592233,0.670103,0.6,0.572727,0.641304,0.574074,0.553398,0.556701,0.553398,0.56701,0.571429,0.6,0.666667,0.584158,0.59,0.61,0.539216,0.530612,0.592593,0.597826,0.61,0.63,0.653465,0.666667,0.622449,0.509804,0.60396,0.575758,0.5,0.627451,0.5625,0.576923,0.546392,0.446602,0.533981,0.443299,0.574257,0.626263,0.556701,0.407767,0.587629,0.601942,0.558824,0.489796,0.504854,0.56701,0.521739,0.5,0.560748,0.569892,0.630435,0.546296,0.638298,0.5,0.648148,0.565217,0.451613,0.607477,0.530612,0.598039,0.669565,0.6,
2000,0.923077,0.8125,0.813084,0.903226,0.816327,0.852941,0.863158,0.866667,0.900901,0.831461,0.783784,0.88764,0.873874,0.876404,0.894737,0.87619,0.877551,0.862745,0.833333,0.862069,0.851064,0.820755,0.850467,0.806452,0.908163,0.794118,0.781818,0.611111,0.734694,0.676471,0.75,0.638889,0.627907,0.614035,0.72549,0.591837,0.647059,0.632653,0.659794,0.582524,0.636364,0.574257,0.597938,0.592233,0.669811,0.531915,0.660714,0.647727,0.5,0.611111,0.537736,0.670213,0.623932,0.60241,0.594595,0.640449,0.525253,0.594059,0.55,0.58,0.494505,0.577982,0.547619,0.663793,0.659091,0.598214,0.574257,0.59596,0.53,0.48,0.561224,0.588235,0.61,0.51,0.556701,0.466019,0.494845,0.485437,0.610526,0.52381,0.576087,0.564815,0.54,0.52,0.542857,0.557895,0.617021,0.556604,0.563636,0.533333,0.617978,0.630631,0.700935,0.419355,0.702128,0.575472,0.673913,0.601852,0.560748,0.537634,
