mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.014,0.0138864,0.0138058,0.0138969,0.0136939,0.014,0.0138958,0.0139038,0.014,0.0137938,0.014,0.0137849,0.014,0.013717,0.014,0.0139099,0.0138936,0.0138113,0.0139091,0.0137778,0.0138901,0.014,0.0137753,0.0137297,0.014,0.0138913,0.014,0.0137959,0.0138131,0.0137849,0.0139115,0.0137701,0.013902,0.014,0.0139065,0.0138925,0.0133258,0.0133694,0.013619,0.0136842,0.0132453,0.0132553,0.0131176,0.0117551,0.0128636,0.0117679,0.0120198,0.0105657,0.0118022,0.0108807,0.01,0.01,0.01,0.00878261,0.0106055,0.01,0.01,0.00894624,0.00935714,0.009,0.009,0.00920833,0.00871698,0.00825532,0.00875728,0.00925773,0.00884536,0.00914563,0.01,0.00885437,0.009,0.00921739,0.00852632,0.00780952,0.00925773,0.00827184,0.00683287,0.00806788,0.00524827,0.00490058,0.0033067,0.00324265,0.00230642,0.00222609,0.00142457,0.00145001,0.00100416,0.0010385,0.000638024,0.000632206,0.000501238,0.00046328,0.000292971,0.000334158,0.000211205,0.000205136,0.000118812,0.000120297,8.55364e-05,9.90099e-05,
400,0.0192038,0.0191455,0.0188628,0.0193305,0.0187297,0.0196,0.0186287,0.0191845,0.0192456,0.0190833,0.0192989,0.0190413,0.0187667,0.0189673,0.01946,0.0194739,0.0191704,0.0187889,0.0193427,0.0191407,0.0190603,0.0196,0.0192854,0.0189742,0.0189396,0.0191523,0.01932,0.0187624,0.0192068,0.0191538,0.0191769,0.0188921,0.0189067,0.01904,0.0190477,0.0186242,0.0177265,0.0180135,0.0157314,0.0179505,0.0140022,0.0145111,0.0156709,0.0117551,0.0141774,0.0105911,0.0130195,0.00785487,0.013293,0.00984447,0.0109903,0.00894845,0.00894118,0.00687335,0.0100648,0.00736735,0.01,0.0063385,0.00850649,0.0058,0.00788972,0.00625771,0.00801292,0.00570993,0.00769443,0.00571079,0.0071694,0.00574868,0.00852632,0.00607157,0.00744466,0.00530238,0.00745393,0.00517097,0.00782882,0.00514693,0.00576216,0.00557702,0.00410426,0.00341716,0.00289418,0.00250896,0.00206436,0.00192478,0.00128211,0.00114086,0.000879837,0.000972912,0.000638024,0.00056226,0.000418204,0.000410071,0.000266438,0.000293633,0.000183198,0.000188421,0.000118812,0.000105954,8.55364e-05,9.90099e-05,
600,0.0265297,0.0265955,0.0262211,0.0266721,0.0260202,0.0270736,0.0260801,0.0256837,0.0265161,0.0260227,0.0268175,0.0261085,0.0262733,0.0260071,0.0270348,0.0270814,0.0262747,0.0255375,0.0267183,0.026797,0.0266844,0.0265241,0.026492,0.0263433,0.0263161,0.0259012,0.0268425,0.0255594,0.0261212,0.0260492,0.0264523,0.0246147,0.0260713,0.0257493,0.0259271,0.0251138,0.0162397,0.023367,0.0122705,0.0211815,0.0179874,0.0145111,0.0187411,0.0117551,0.0170128,0.0115443,0.0139272,0.00785487,0.0141792,0.00863002,0.0109903,0.00783641,0.00815882,0.00612873,0.00914511,0.00654291,0.00843396,0.00523264,0.00850649,0.00436381,0.00584359,0.0037087,0.00616139,0.00404993,0.0048365,0.0039675,0.00537028,0.00315566,0.00489676,0.00349616,0.00432424,0.00292131,0.00421309,0.00279841,0.00438414,0.00247052,0.00359841,0.00261354,0.00222165,0.00171491,0.00164968,0.00130466,0.00134183,0.00106603,0.000977787,0.00070754,0.000621273,0.000522702,0.000475835,0.000412324,0.000335426,0.000251617,0.000245345,0.000193685,0.000164878,0.000121585,0.000118812,8.45574e-05,8.10345e-05,7.63791e-05,
800,0.0368864,0.0372337,0.0367096,0.0364519,0.0361895,0.0379031,0.0362224,0.0359572,0.03686,0.036169,0.0369858,0.0360498,0.0362176,0.0356807,0.0375836,0.0373613,0.0359088,0.0352882,0.0362806,0.0372606,0.0373582,0.0365694,0.0368458,0.0360122,0.0360761,0.0357276,0.0359018,0.0350459,0.0354215,0.0357519,0.0370332,0.0321287,0.0323186,0.0322141,0.0302483,0.0251138,0.0184928,0.023367,0.0160757,0.0211815,0.020557,0.0155803,0.020597,0.0117551,0.0186402,0.0115443,0.0150261,0.00702623,0.0153256,0.00792984,0.0109903,0.00666526,0.00815882,0.00612873,0.00914511,0.0053113,0.00772373,0.00438545,0.00765584,0.00372446,0.00584359,0.00313553,0.00492911,0.00279445,0.00388978,0.00263502,0.00383291,0.00232488,0.00354433,0.00206089,0.0028558,0.00178649,0.00256296,0.00179206,0.00270862,0.0014374,0.00218903,0.00132185,0.00120957,0.000997764,0.00100481,0.0007683,0.000865346,0.000687696,0.000582838,0.000405753,0.000506791,0.000331515,0.000392339,0.000243885,0.00027473,0.000185402,0.000224605,0.000158333,0.000164878,0.00010475,0.000112331,7.51621e-05,8.10345e-05,6.68506e-05,
1000,0.0502085,0.0513595,0.0501832,0.0483573,0.0496009,0.0511305,0.0497144,0.0491547,0.0512119,0.0489305,0.0510822,0.0489357,0.0486232,0.0486899,0.0518,0.0509221,0.0499458,0.0490114,0.0500291,0.0500357,0.0490372,0.0496892,0.0494985,0.0485015,0.0494349,0.048936,0.0482303,0.0475729,0.0453875,0.0456927,0.0468129,0.0370308,0.0384745,0.0352659,0.0373552,0.0286867,0.0228959,0.023367,0.0198267,0.0211815,0.0231557,0.0155803,0.0221557,0.0117551,0.0197622,0.0115443,0.0150261,0.00744916,0.0153256,0.00854661,0.0109903,0.00599873,0.00867582,0.00554681,0.0085757,0.00438465,0.0067481,0.00404889,0.00669294,0.0030085,0.00523338,0.00273188,0.00431173,0.00216916,0.00337666,0.00192406,0.00322771,0.00170491,0.00307608,0.00152642,0.00237423,0.00115211,0.00203484,0.00117814,0.00192066,0.000974235,0.00155263,0.000913745,0.000856991,0.000672079,0.000793269,0.000526834,0.000695453,0.000418664,0.000516384,0.0002801,0.000404343,0.000250341,0.000316458,0.000198241,0.000258947,0.00015112,0.000210166,0.000126306,0.000164878,8.18956e-05,0.000105683,6.17509e-05,8.10345e-05,5.84774e-05,
1200,0.0678307,0.069283,0.0679755,0.0655511,0.0645222,0.0696411,0.0680303,0.0664759,0.0693036,0.0663981,0.0697737,0.0676361,0.0649689,0.0667879,0.0670412,0.0696996,0.0667697,0.0672156,0.0663002,0.069512,0.0670175,0.0664028,0.0645587,0.0646992,0.0635049,0.0613738,0.0608122,0.0610053,0.0571883,0.049805,0.0603886,0.0370308,0.0438894,0.0392963,0.0450438,0.0286867,0.0283212,0.023367,0.0240515,0.019405,0.0252932,0.0167813,0.0221557,0.0125022,0.0197622,0.00928206,0.0163893,0.00744916,0.0140822,0.00769195,0.0109903,0.00599873,0.00815726,0.00472215,0.0085757,0.00379117,0.0067481,0.00366445,0.00562453,0.00265806,0.00424827,0.00240294,0.00344101,0.00216916,0.00300714,0.00167025,0.00299987,0.00154184,0.00247469,0.00127064,0.00208405,0.000974053,0.00163756,0.000907983,0.0016099,0.000810985,0.00134561,0.000702141,0.000856991,0.000561972,0.000748599,0.000411691,0.000589479,0.000317303,0.00045245,0.000247261,0.000371044,0.000213334,0.000297222,0.000170325,0.000258947,0.000133622,0.000184048,0.000109118,0.000156039,7.56938e-05,0.000105683,6.17509e-05,7.52073e-05,5.44735e-05,
1400,0.0916703,0.0955676,0.0917326,0.0904734,0.0888647,0.0931449,0.0939085,0.0876397,0.0941963,0.0890516,0.0887904,0.0877889,0.0896826,0.0887325,0.0894373,0.0918244,0.089511,0.0907072,0.085914,0.0906329,0.0897628,0.0896766,0.0864695,0.0835324,0.0827413,0.0814943,0.0803361,0.0776044,0.0712654,0.0577946,0.0725859,0.0413698,0.0513506,0.0447978,0.0487484,0.0286867,0.0307814,0.023367,0.0277165,0.019405,0.0278711,0.0167813,0.0221557,0.0125022,0.0197622,0.00928206,0.0163893,0.00744916,0.0140822,0.00769195,0.0109903,0.00542855,0.00815726,0.00437872,0.0085757,0.00343011,0.00628998,0.00327787,0.00562453,0.00230557,0.00380199,0.00222212,0.00344101,0.00194171,0.00300714,0.00151993,0.00262413,0.00133422,0.00226989,0.00111546,0.00174152,0.000974053,0.00141082,0.00083207,0.00145704,0.000677694,0.00101317,0.000596103,0.000784824,0.000481691,0.000698693,0.000340581,0.000494959,0.000285573,0.000381179,0.000226798,0.000328202,0.000184751,0.000279885,0.000151655,0.000230563,0.00012026,0.000174665,9.04122e-05,0.000134066,6.66403e-05,0.000105683,5.76341e-05,7.52073e-05,5.14472e-05,
1600,0.120778,0.124516,0.123793,0.124871,0.119782,0.122342,0.121244,0.110302,0.122818,0.114468,0.116085,0.115271,0.12028,0.120604,0.117985,0.120372,0.119212,0.119701,0.112643,0.114527,0.117777,0.114029,0.108427,0.0981317,0.103886,0.0985341,0.0998688,0.0872653,0.0930484,0.0692306,0.0850908,0.0457993,0.0648639,0.0447978,0.0543196,0.0286867,0.0345605,0.023367,0.0332064,0.019405,0.0278711,0.0167813,0.0221557,0.0125022,0.0197622,0.00993486,0.0163893,0.00792044,0.0140822,0.00648736,0.00994677,0.00542855,0.00815726,0.00405143,0.00784807,0.00371538,0.00566098,0.00308387,0.00513948,0.00244239,0.00380199,0.00188418,0.00344101,0.00194171,0.0028024,0.00151993,0.00262413,0.00110924,0.00211384,0.00111546,0.00153183,0.000905296,0.00127598,0.00083207,0.00125305,0.000582817,0.00101317,0.000596103,0.000739738,0.000406256,0.000617791,0.000308144,0.000494959,0.000253156,0.000381179,0.000209732,0.000305228,0.000164429,0.000279885,0.000140702,0.000198284,0.00012026,0.000153964,9.61121e-05,0.000134066,6.03061e-05,0.000105683,5.30714e-05,7.52073e-05,4.71323e-05,
1800,0.152985,0.159905,0.158508,0.159789,0.152123,0.159045,0.134916,0.145058,0.156097,0.150628,0.1488,0.156256,0.151933,0.157359,0.143508,0.154359,0.155407,0.150189,0.145056,0.139004,0.145258,0.143194,0.131978,0.108954,0.117941,0.117839,0.117623,0.102252,0.105948,0.0771426,0.0980737,0.0494454,0.0731834,0.0447978,0.0586054,0.0307042,0.0398269,0.023367,0.0332064,0.0207654,0.0278711,0.0167813,0.0221557,0.0125022,0.0197622,0.00993486,0.0163893,0.00792044,0.0140822,0.00648736,0.0106099,0.00542855,0.00815726,0.00405143,0.00737103,0.00345758,0.00566098,0.00308387,0.00513948,0.00244239,0.00400526,0.00200979,0.00344101,0.00176658,0.0028024,0.00151993,0.00236172,0.00110924,0.00211384,0.00111546,0.00144971,0.000766425,0.00119174,0.000701684,0.00125305,0.000582817,0.00101317,0.000481512,0.000739738,0.000406256,0.000617791,0.000274186,0.000447866,0.000253156,0.000351348,0.000188759,0.000305228,0.000164429,0.000279885,0.000133146,0.000198284,0.000108234,0.000153964,9.61121e-05,0.000114172,6.03061e-05,9.83499e-05,5.30714e-05,8.04391e-05,4.71323e-05,
2000,0.202411,0.193885,0.192284,0.208241,0.185032,0.199274,0.170421,0.18374,0.203067,0.185492,0.176147,0.201201,0.193543,0.200854,0.185806,0.196992,0.19854,0.18965,0.178903,0.175433,0.181727,0.174805,0.165034,0.131447,0.154287,0.140713,0.139009,0.102252,0.120219,0.0830418,0.112785,0.0494454,0.0731834,0.0447978,0.0659598,0.0307042,0.0398269,0.023367,0.035192,0.0207654,0.0278711,0.0167813,0.0221557,0.0125022,0.0211418,0.00925845,0.0173844,0.00792044,0.012674,0.00648736,0.00994927,0.00580971,0.00815726,0.00405143,0.00737103,0.00345758,0.00523783,0.00308387,0.00513948,0.00244239,0.00358273,0.00200979,0.00326077,0.00187927,0.00296799,0.00151993,0.00236172,0.00110924,0.00196587,0.000981609,0.00144971,0.000766425,0.00119174,0.000638532,0.00125305,0.000504731,0.000906629,0.000426349,0.000739738,0.000375303,0.000617791,0.000274186,0.000420994,0.000232904,0.000331271,0.000188759,0.000305228,0.000164429,0.000279885,0.000124269,0.000198284,0.000108234,0.000169504,7.87499e-05,0.000125833,6.03061e-05,0.000105619,5.30714e-05,8.04391e-05,4.41929e-05,
