mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
2800,0.997143,0.998571,0.997143,0.996429,0.994286,0.991429,0.990714,0.982857,0.977143,0.970714,0.940714,0.912857,0.864286,0.799286,0.722143,0.701429,0.650714,0.675714,0.636429,0.591429,0.696429,0.669286,0.679286,0.645714,0.678571,0.682143,0.682857,0.635,0.672143,0.644286,0.673571,0.675714,0.682143,0.668571,0.707857,0.683571,0.666429,0.705,0.708571,0.709286,0.692857,0.647143,0.690714,0.682143,0.675714,0.665,0.647143,0.626429,0.605,
3000,0.997333,0.998667,0.996667,0.996,0.994667,0.991333,0.990667,0.982,0.977333,0.969333,0.935333,0.907333,0.86,0.798,0.720667,0.694,0.657333,0.679333,0.641333,0.598667,0.704,0.668667,0.682667,0.648,0.681333,0.686667,0.682,0.64,0.674,0.644,0.680667,0.683333,0.694,0.674,0.711333,0.680667,0.678667,0.706667,0.709333,0.713333,0.696,0.654667,0.694,0.684,0.678667,0.674,0.653333,0.632,0.61,
3200,0.9975,0.99875,0.996875,0.995625,0.995,0.991875,0.989375,0.981875,0.97875,0.966875,0.93375,0.905625,0.859375,0.795625,0.723125,0.691875,0.65625,0.68,0.64,0.60625,0.705625,0.676875,0.68625,0.65,0.68375,0.693125,0.679375,0.6425,0.66875,0.649375,0.68125,0.68375,0.69375,0.683125,0.716875,0.686875,0.6825,0.703125,0.710625,0.709375,0.695,0.656875,0.70125,0.686875,0.685625,0.68125,0.65625,0.64125,0.61625,
3400,0.997647,0.998824,0.997059,0.995882,0.993529,0.991765,0.989412,0.98,0.976471,0.967059,0.931765,0.907059,0.852941,0.793529,0.725294,0.688824,0.65,0.683529,0.64,0.608824,0.702941,0.676471,0.692353,0.659412,0.69,0.701176,0.685882,0.644706,0.670588,0.652941,0.685294,0.688824,0.698235,0.684118,0.721176,0.691765,0.691176,0.706471,0.711765,0.708235,0.702941,0.667059,0.702941,0.694118,0.683529,0.685882,0.658235,0.647059,0.615882,
3600,0.997222,0.998889,0.997222,0.996111,0.993333,0.991667,0.988889,0.979444,0.976667,0.966111,0.931111,0.905556,0.851667,0.791667,0.717778,0.685,0.66,0.688333,0.645556,0.617778,0.706667,0.68,0.692778,0.664444,0.696111,0.699444,0.688889,0.651111,0.678889,0.653889,0.685556,0.684444,0.696667,0.685556,0.726111,0.694444,0.692778,0.708889,0.72,0.706667,0.701667,0.672222,0.701667,0.698333,0.683333,0.69,0.662222,0.654444,0.62,
3800,0.996842,0.998947,0.997368,0.996316,0.993684,0.991579,0.987895,0.979474,0.974211,0.966316,0.933158,0.904211,0.849474,0.785789,0.712632,0.684211,0.66,0.690526,0.644737,0.618947,0.707895,0.681053,0.695789,0.669474,0.700526,0.701053,0.692105,0.651579,0.678947,0.657368,0.689474,0.687368,0.702632,0.688421,0.728947,0.695263,0.698421,0.712105,0.718947,0.708947,0.704211,0.674737,0.700526,0.698947,0.684737,0.690526,0.664211,0.659474,0.619474,
4000,0.997,0.999,0.9975,0.996,0.994,0.9915,0.9875,0.9795,0.9725,0.9655,0.932,0.904,0.8465,0.782,0.71,0.6825,0.6585,0.6895,0.6455,0.628,0.7115,0.6875,0.7005,0.6725,0.699,0.7045,0.6945,0.661,0.6835,0.661,0.693,0.6885,0.7,0.689,0.7315,0.6965,0.703,0.715,0.723,0.71,0.7045,0.6775,0.6985,0.6995,0.685,0.692,0.6665,0.663,0.63,
4200,0.996667,0.999048,0.997619,0.99619,0.994286,0.991905,0.987619,0.980476,0.972857,0.965714,0.93,0.90381,0.843333,0.775238,0.709524,0.683333,0.66381,0.690476,0.65,0.633333,0.711429,0.689524,0.701905,0.67381,0.706667,0.70619,0.701429,0.660476,0.68619,0.66381,0.697143,0.692381,0.703333,0.687619,0.730476,0.697143,0.706667,0.712381,0.725238,0.714286,0.707143,0.680476,0.70381,0.701905,0.68619,0.690952,0.670952,0.668095,0.633333,
4400,0.996818,0.998182,0.997273,0.995,0.994545,0.991818,0.987273,0.98,0.971818,0.965,0.93,0.900455,0.844091,0.776364,0.708182,0.683636,0.662727,0.690455,0.653182,0.637727,0.713636,0.689091,0.704091,0.678636,0.705455,0.707273,0.704091,0.665909,0.687273,0.665455,0.696818,0.691818,0.708636,0.693182,0.729545,0.7,0.708182,0.710455,0.725909,0.716364,0.708182,0.687727,0.709545,0.703636,0.686818,0.696818,0.673636,0.671818,0.637727,
4600,0.996522,0.998261,0.997391,0.994783,0.994783,0.992174,0.986522,0.97913,0.971739,0.965217,0.927826,0.898696,0.841304,0.766087,0.70913,0.685217,0.666522,0.690435,0.656522,0.64,0.716957,0.689565,0.703478,0.683913,0.704783,0.709565,0.706087,0.668261,0.689565,0.671739,0.698261,0.697391,0.709565,0.693478,0.73,0.7,0.70913,0.707826,0.72913,0.716522,0.711304,0.694783,0.711304,0.704783,0.688261,0.695652,0.678696,0.677391,0.64087,
4800,0.996667,0.998333,0.9975,0.995,0.994167,0.991667,0.98625,0.978333,0.970417,0.964167,0.927917,0.9,0.842083,0.762083,0.71,0.687083,0.666667,0.691667,0.660417,0.644583,0.714583,0.690833,0.70625,0.684167,0.706667,0.714583,0.708333,0.66875,0.691667,0.674167,0.698333,0.6975,0.710833,0.698333,0.73125,0.702917,0.7125,0.705417,0.72875,0.715,0.709583,0.6975,0.715833,0.70875,0.688333,0.69125,0.678333,0.677917,0.64625,
5000,0.9964,0.9984,0.9972,0.9952,0.994,0.9916,0.9864,0.9772,0.9696,0.9628,0.9272,0.9004,0.8424,0.7652,0.7064,0.6808,0.6696,0.6936,0.6612,0.65,0.7128,0.692,0.7084,0.6904,0.7068,0.7144,0.712,0.6724,0.6944,0.6776,0.7004,0.6972,0.7104,0.7,0.7332,0.702,0.7124,0.7028,0.7304,0.7152,0.708,0.6984,0.7176,0.7132,0.6924,0.69,0.6824,0.6804,0.648,
5200,0.996538,0.998462,0.997308,0.995385,0.994231,0.991538,0.986154,0.976923,0.968462,0.963077,0.928077,0.899231,0.840385,0.767308,0.703846,0.683462,0.670385,0.69,0.666154,0.652308,0.711538,0.692308,0.709615,0.691923,0.708077,0.715769,0.711154,0.674615,0.697692,0.683462,0.701154,0.7,0.710385,0.703846,0.734231,0.706538,0.710385,0.705,0.733462,0.713846,0.702692,0.702308,0.718077,0.713462,0.694615,0.691538,0.683846,0.681154,0.652692,
5400,0.996296,0.998519,0.997407,0.995556,0.994444,0.991481,0.985185,0.977407,0.968148,0.961481,0.927037,0.897407,0.837037,0.768148,0.706296,0.684815,0.668889,0.685185,0.669259,0.654815,0.712963,0.694074,0.713704,0.696667,0.708519,0.714815,0.714074,0.677037,0.701111,0.687037,0.701481,0.705185,0.712593,0.705926,0.733333,0.707037,0.708519,0.705556,0.731852,0.714074,0.707037,0.69963,0.717778,0.714815,0.691852,0.694444,0.686667,0.684074,0.654815,
5600,0.996429,0.998571,0.9975,0.995714,0.994286,0.991786,0.985,0.976786,0.969286,0.961071,0.9275,0.896786,0.836429,0.769286,0.705,0.684643,0.666429,0.687857,0.671429,0.656429,0.715357,0.696429,0.7125,0.7,0.712857,0.715357,0.714286,0.674286,0.700357,0.69,0.701071,0.705714,0.714286,0.7075,0.735,0.71,0.713929,0.707857,0.732143,0.715357,0.707857,0.697857,0.720357,0.716429,0.693929,0.6975,0.689286,0.685357,0.656786,
5800,0.996552,0.998621,0.997241,0.995862,0.993793,0.992069,0.985172,0.975862,0.96931,0.960345,0.927586,0.896552,0.835517,0.768621,0.702069,0.683103,0.66931,0.687241,0.675172,0.658276,0.714138,0.697586,0.714483,0.703448,0.713448,0.71069,0.70931,0.678621,0.704138,0.693103,0.703793,0.708621,0.713103,0.71069,0.735862,0.714138,0.716552,0.707931,0.732759,0.718966,0.71,0.69931,0.722069,0.714138,0.692759,0.697931,0.69069,0.683793,0.662069,
6000,0.996667,0.998667,0.997,0.996,0.993,0.991667,0.985333,0.975667,0.97,0.960667,0.927333,0.896667,0.833667,0.769,0.703333,0.683,0.669333,0.682667,0.674,0.659667,0.711333,0.694,0.717333,0.704333,0.712333,0.713333,0.709333,0.679333,0.707333,0.698333,0.707,0.71,0.714,0.711,0.738333,0.715333,0.719,0.711,0.732667,0.716667,0.710333,0.699333,0.719333,0.715,0.697,0.699333,0.695,0.685333,0.664333,
