mc_step,l = 0error,l = 1error,l = 2error,l = 3error,l = 4error,l = 5error,l = 6error,l = 7error,l = 8error,l = 9error,l = 10error,l = 11error,l = 12error,l = 13error,l = 14error,l = 15error,l = 16error,l = 17error,l = 18error,l = 19error,l = 20error,l = 21error,l = 22error,l = 23error,l = 24error,l = 25error,l = 26error,l = 27error,l = 28error,l = 29error,l = 30error,l = 31error,l = 32error,l = 33error,l = 34error,l = 35error,l = 36error,l = 37error,l = 38error,l = 39error,l = 40error,l = 41error,l = 42error,l = 43error,l = 44error,l = 45error,l = 46error,l = 47error,l = 48error,l = 49error,
0,0.0593928,0.0586493,0.0512263,0.0544932,0.0563988,0.0481382,0.0470555,0.0483866,0.0381208,0.054143,0.0434293,0.0563185,0.0444365,0.048593,0.0597423,0.0464347,0.0554957,0.0467139,0.0545599,0.0560722,0.0535234,0.0492767,0.0323575,0.0592239,0.0534689,0.0151158,0.0492309,0.0281338,0.0399559,0.0597998,0.0476893,0.0575524,0.0330653,0.0395875,0.0100171,0.0553464,0.0581241,0.0587255,0.0432021,0.0507767,0.0420823,0.0360547,0.0573754,0.0400459,0.023945,0.031938,0.0196629,0.0350329,0.0505208,0.0559218,
10,0.0564178,0.0483902,0.0468917,0.0496126,0.0379923,0.0534948,0.0435107,0.0564159,0.0438247,0.0483044,0.059913,0.059723,0.0552971,0.0583112,0.0544765,0.0561521,0.0542288,0.0535428,0.0511976,0.0591393,0.0447806,0.0525006,0.0492144,0.0488326,0.0472611,0.0596226,0.0302581,0.0574823,0.03984,0.0476113,0.0126157,0.0548894,0.0579179,0.0583674,0.0268104,0.0501928,0.0368831,0.0428261,0.0572147,0.0280817,0.0419821,0.00768191,0.0398951,0.0359537,0.0505111,0.0559115,0.0349485,0.0317747,0.0239238,0.0195905,
20,0.0534548,0.0424598,0.0560428,0.04523,0.0471077,0.0601561,0.0592572,0.0559848,0.058588,0.0471875,0.0566402,0.054122,0.0539284,0.0554482,0.0592102,0.0514747,0.051903,0.0498373,0.0474366,0.0491733,0.0595429,0.0395133,0.0573478,0.0461914,0.0549379,0.0481063,0.0547095,0.0571331,0.0579331,0.0433729,0.0499869,0.046841,0.040964,0.0567217,0.0286994,0.0409031,0.0379991,0.0383422,0.00999029,0.0503067,0.0559035,0.0247869,0.0357419,0.0355488,0.0349183,0.0279,0.0317686,0.00738229,0.0238806,0.0195544,
30,0.0600101,0.0594197,0.0564163,0.0587105,0.0470221,0.0563412,0.0547766,0.0538233,0.0557309,0.0592643,0.0514059,0.0526301,0.0498196,0.0470579,0.0480831,0.0593838,0.0555522,0.057424,0.0466475,0.0544799,0.0393986,0.0545566,0.0566787,0.0575813,0.0476544,0.0535081,0.0494317,0.0478337,0.056438,0.0395218,0.0460115,0.0456175,0.0415403,0.0384304,0.0501906,0.0555757,0.0383316,0.0373715,0.0364541,0.0354519,0.0273567,0.0352811,0.0347171,0.0313955,0.00958605,0.0276608,0.0244416,0.0237648,0.0195393,0.00731038,
40,0.0558681,0.0546124,0.0543213,0.0552059,0.0592114,0.051547,0.0526671,0.0491611,0.0484211,0.0469444,0.0592945,0.0554205,0.057675,0.0599748,0.0565699,0.0596858,0.0587093,0.045224,0.0577698,0.0563923,0.0532291,0.0541723,0.0539286,0.0560807,0.0491801,0.0468792,0.0474974,0.0462453,0.044697,0.0490751,0.0545992,0.0378468,0.0434918,0.0401918,0.038145,0.0370619,0.0349897,0.0346343,0.0341107,0.0341005,0.034052,0.0340193,0.0307892,0.0270331,0.0268359,0.0242981,0.0235097,0.0194961,0.009521,0.00724822,
50,0.0507544,0.0528922,0.048179,0.0491157,0.048023,0.0590161,0.0555503,0.0580372,0.0601986,0.0566306,0.0595622,0.0586059,0.0592403,0.0575215,0.0555127,0.0555073,0.0551538,0.0543471,0.0561683,0.0542582,0.055497,0.0542472,0.052566,0.0468406,0.0479226,0.0542791,0.0448705,0.0472257,0.0459536,0.0444627,0.0443783,0.0410506,0.040096,0.0366701,0.0356409,0.0339577,0.0336589,0.0332536,0.0334886,0.0327356,0.0299067,0.0313821,0.0304676,0.02689,0.0264943,0.024136,0.0234178,0.0193617,0.00950908,0.00721776,
60,0.0591014,0.0558689,0.0574047,0.0600038,0.0528134,0.0594555,0.0584513,0.0594066,0.0481441,0.0554499,0.055609,0.0550186,0.04831,0.0560809,0.0575228,0.055026,0.0539645,0.0538161,0.0567214,0.0481588,0.0537205,0.0537011,0.0525383,0.0509685,0.0466679,0.0464706,0.0463062,0.0449558,0.0424024,0.0431503,0.042439,0.040027,0.0384931,0.0358421,0.0330722,0.0321134,0.030699,0.030257,0.0258578,0.0302151,0.0298829,0.0296404,0.0295418,0.0267811,0.0263913,0.0239233,0.0232413,0.0193115,0.00946366,0.00714658,
70,0.0594855,0.0587622,0.0593887,0.0481641,0.0553281,0.0555853,0.0555218,0.0465888,0.0553906,0.057537,0.0552605,0.0537728,0.0536808,0.0561501,0.0591828,0.0574089,0.0560823,0.060167,0.053835,0.0530876,0.0538349,0.0525473,0.0493674,0.0476788,0.046466,0.0459982,0.0457462,0.0440544,0.0413901,0.0407274,0.0408668,0.0390423,0.03836,0.0343045,0.0302341,0.029021,0.0295448,0.0278362,0.0294882,0.0240855,0.0290474,0.0288438,0.0264231,0.0256197,0.0263073,0.023823,0.0231606,0.0192152,0.00944902,0.00710578,
80,0.0557315,0.0552993,0.0464324,0.0552256,0.0580865,0.0556529,0.0540579,0.0532869,0.0560655,0.0593247,0.0574723,0.0559405,0.060199,0.0593085,0.0540827,0.0543387,0.0532133,0.0586312,0.0593119,0.0547179,0.0520886,0.0478326,0.0488873,0.0464099,0.0447712,0.0451056,0.0453214,0.042437,0.0409327,0.0391199,0.0384828,0.0365718,0.0377513,0.0328103,0.0290015,0.0264996,0.0281595,0.027009,0.0274264,0.0271573,0.0273368,0.0261864,0.0258876,0.025454,0.0235719,0.0236488,0.0230424,0.0190961,0.00944016,0.00705686,
90,0.056024,0.0536182,0.0524252,0.0560666,0.0591638,0.057355,0.0559101,0.0601731,0.0595579,0.0539305,0.0541052,0.0529664,0.0585455,0.0593013,0.0552657,0.0555117,0.0581232,0.055218,0.0544922,0.052483,0.0482177,0.0467141,0.0457438,0.0443779,0.0467332,0.0437354,0.0443126,0.0408703,0.0400373,0.0381747,0.037124,0.0367352,0.0359081,0.0316386,0.0272463,0.026847,0.0249459,0.0254653,0.0254424,0.0237224,0.0245766,0.024027,0.0248281,0.0248772,0.0234236,0.023097,0.0228869,0.018897,0.00942107,0.00700653,
