mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
2200,0.255671,0.246213,0.248616,0.257476,0.248051,0.26015,0.26546,0.244761,0.265822,0.229953,0.237785,0.255726,0.229351,0.235384,0.231899,0.228703,0.250552,0.228033,0.229777,0.211932,0.217407,0.203139,0.19884,0.169777,0.20765,0.132227,0.157093,0.0985451,0.120554,0.0716252,0.0933642,0.0515373,0.0709103,0.0396619,0.0564181,0.0311106,0.0344292,0.0230375,0.0292725,0.0191906,0.0209608,0.0191524,0.0184579,0.0128396,0.0138273,0.0111888,0.0114088,0.00809059,0.010072,0.00770803,0.00829338,0.00582622,0.00561599,0.00408927,0.00487425,0.00391237,0.00453259,0.00302106,0.00289351,0.00238923,0.00222003,0.00241472,0.00237471,0.00180344,0.00194847,0.00120617,0.00150303,0.00113592,0.00125885,0.00116714,0.00116986,0.000752489,0.0008685,0.000645447,0.000792451,0.000533928,0.000563467,0.000481397,0.00046786,0.000380681,0.000374476,0.000288285,0.000330958,0.00023777,0.000269892,0.000188487,0.00018699,0.000163719,0.000157732,0.000137665,0.000131214,0.000102548,0.000110906,9.09177e-05,8.64269e-05,7.19746e-05,7.71255e-05,6.8531e-05,5.76893e-05,4.8665e-05,
2400,0.286647,0.301098,0.286501,0.319812,0.273592,0.306398,0.290608,0.268072,0.305695,0.282738,0.283628,0.29193,0.277946,0.279607,0.290619,0.285,0.300157,0.283122,0.260555,0.268758,0.242881,0.24618,0.219314,0.194815,0.236635,0.145704,0.178135,0.113056,0.137382,0.0768594,0.0981898,0.0549731,0.0709103,0.0396619,0.0532293,0.0311106,0.0344292,0.0230375,0.0292725,0.0203457,0.022097,0.0191524,0.0184579,0.0118177,0.0138273,0.0122956,0.0125232,0.0087719,0.00911563,0.00770803,0.00757817,0.00582622,0.00561599,0.00454458,0.00461771,0.00391237,0.00391579,0.00302106,0.00289351,0.00238923,0.00222003,0.00228301,0.00222119,0.00180344,0.00194847,0.00130134,0.00150303,0.00119944,0.00113296,0.00116714,0.00105288,0.000752489,0.0008685,0.000562635,0.000716713,0.000483604,0.000563467,0.000446386,0.000437783,0.000339332,0.000396785,0.000288285,0.000330958,0.000250284,0.000250132,0.000173922,0.000172743,0.000146485,0.000157732,0.000137665,0.000115929,9.27635e-05,9.68968e-05,9.09177e-05,9.43341e-05,7.19746e-05,7.71255e-05,6.01617e-05,6.2118e-05,4.8665e-05,
2600,0.348937,0.346263,0.353876,0.37732,0.3295,0.358032,0.350605,0.315173,0.349923,0.313146,0.330514,0.328565,0.302091,0.319472,0.332787,0.317571,0.34518,0.314701,0.306024,0.302216,0.289433,0.278373,0.232516,0.218514,0.269016,0.167906,0.193346,0.12976,0.147928,0.0908615,0.0981898,0.0549731,0.0709103,0.0396619,0.0532293,0.0311106,0.0344292,0.0248294,0.0292725,0.0191769,0.022097,0.0179143,0.0184579,0.0126519,0.0126584,0.0114839,0.0113961,0.0087719,0.00911563,0.00770803,0.00757817,0.00582622,0.00561599,0.00454458,0.00495796,0.00391237,0.00391579,0.00327384,0.00273307,0.00213824,0.00222003,0.00228301,0.00209427,0.00180344,0.00205475,0.00130134,0.00141668,0.00119944,0.0010656,0.00101764,0.00105288,0.000752489,0.0008685,0.000562635,0.000716713,0.000518857,0.000563467,0.000419603,0.000437783,0.000318203,0.000345961,0.000271144,0.000330958,0.000250284,0.000235839,0.000173922,0.000172743,0.000146485,0.000157732,0.000137665,0.000115929,9.27635e-05,9.68968e-05,8.02584e-05,9.43341e-05,7.19746e-05,7.71255e-05,6.01617e-05,5.19085e-05,4.8665e-05,
2800,0.394008,0.374896,0.411965,0.460009,0.394735,0.380719,0.39365,0.374387,0.389419,0.349837,0.365721,0.362638,0.35777,0.362503,0.37327,0.361353,0.373888,0.36429,0.361005,0.302216,0.337582,0.278373,0.261461,0.218514,0.30088,0.167906,0.193346,0.136698,0.15779,0.0908615,0.107711,0.0508365,0.078339,0.0396619,0.0571005,0.0311106,0.0344292,0.0233906,0.0292725,0.0191769,0.022097,0.0179143,0.0184579,0.013545,0.0137745,0.0108185,0.0106677,0.00810762,0.00911563,0.00770803,0.00757817,0.00582622,0.00590625,0.0048066,0.00522671,0.00413113,0.00391579,0.00327384,0.00273307,0.0022517,0.00222003,0.00228301,0.00209427,0.00180344,0.00205475,0.00130134,0.00141668,0.00119944,0.0010656,0.00101764,0.00105288,0.000752489,0.0008685,0.000562635,0.000716713,0.000518857,0.000495621,0.000419603,0.000437783,0.000318203,0.000345961,0.00024254,0.000310841,0.000250284,0.000235839,0.000173922,0.000172743,0.000135612,0.000157732,0.000128997,0.000115929,9.27635e-05,9.68968e-05,8.02584e-05,8.86001e-05,7.19746e-05,7.71255e-05,6.01617e-05,5.19085e-05,4.40493e-05,
3000,0.431533,0.40252,0.446031,0.495468,0.459987,0.450891,0.421097,0.441859,0.427943,0.401496,0.440299,0.362638,0.35777,0.423038,0.418678,0.393629,0.396321,0.400719,0.361005,0.34039,0.363128,0.299016,0.294514,0.252454,0.329126,0.167906,0.193346,0.136698,0.170352,0.0908615,0.107711,0.0537272,0.0730597,0.0396619,0.0571005,0.0292439,0.0344292,0.0247841,0.0323719,0.0191769,0.022097,0.0163219,0.0184579,0.0124669,0.0129874,0.0108185,0.0106677,0.00810762,0.00861021,0.00770803,0.00757817,0.00619596,0.00590625,0.0048066,0.00522671,0.00413113,0.00391579,0.00327384,0.00273307,0.0022517,0.00241428,0.00228301,0.00209427,0.00180344,0.00205475,0.00130134,0.00129648,0.00110918,0.0010656,0.00101764,0.000998951,0.000752489,0.0008685,0.000562635,0.000716713,0.000462077,0.00052148,0.000419603,0.000437783,0.000318203,0.000345961,0.00024254,0.000310841,0.000250284,0.000222763,0.000185517,0.000182107,0.00012278,0.000141072,0.000121327,0.000126073,9.27635e-05,9.68968e-05,7.60342e-05,8.86001e-05,7.19746e-05,7.71255e-05,6.01617e-05,5.19085e-05,4.40493e-05,
3200,0.431533,0.438608,0.446031,0.550633,0.493689,0.476396,0.421097,0.441859,0.427943,0.439733,0.465575,0.389442,0.389316,0.445969,0.442229,0.414824,0.396321,0.400719,0.387386,0.34039,0.413651,0.330026,0.329856,0.252454,0.351068,0.18502,0.208458,0.144198,0.182904,0.10038,0.107711,0.0615122,0.0730597,0.0396619,0.0531384,0.0292439,0.0344292,0.0234555,0.0323719,0.0191769,0.022097,0.0139478,0.0184579,0.0131758,0.0129874,0.0108185,0.0106677,0.00810762,0.00861021,0.00677664,0.00757817,0.00572675,0.00590625,0.00450303,0.00522671,0.00413113,0.00391579,0.00344756,0.00289706,0.0022517,0.00241428,0.00215643,0.00209427,0.00171036,0.00205475,0.00130134,0.00141819,0.00110918,0.0010656,0.00101764,0.000998951,0.000752489,0.00092123,0.000562635,0.000716713,0.000462077,0.000492005,0.000373758,0.000465565,0.000318203,0.000345961,0.000262711,0.000288689,0.000235223,0.000222763,0.000171747,0.000182107,0.000136812,0.000152416,0.000121327,0.000137105,8.79469e-05,9.68968e-05,7.60342e-05,8.86001e-05,7.19746e-05,7.29187e-05,6.01617e-05,5.19085e-05,4.8758e-05,
3400,0.4815,0.438608,0.478801,0.550633,0.493689,0.476396,0.468065,0.485124,0.459215,0.439733,0.465575,0.424357,0.455544,0.445969,0.510731,0.414824,0.461096,0.400719,0.387386,0.389712,0.413651,0.330026,0.355393,0.266138,0.351068,0.21368,0.220312,0.172449,0.182904,0.11079,0.107711,0.0615122,0.0789044,0.0424382,0.056373,0.0292439,0.0344292,0.0234555,0.0323719,0.0191769,0.022097,0.0139478,0.0184579,0.0131758,0.0129874,0.0113696,0.0106677,0.00810762,0.00861021,0.00677664,0.00802597,0.00572675,0.0055954,0.00480323,0.00522671,0.00382027,0.00417684,0.00316548,0.00289706,0.00243276,0.00241428,0.00215643,0.00209427,0.00158963,0.00205475,0.00138809,0.00141819,0.00110918,0.00115817,0.000951138,0.000998951,0.000752489,0.00092123,0.000533022,0.000716713,0.000462077,0.000529491,0.000432772,0.000433558,0.000318203,0.000345961,0.000262711,0.000268841,0.000235223,0.000241402,0.000171747,0.000182107,0.000136812,0.000143169,0.000129416,0.000124884,8.79469e-05,0.000102434,8.48382e-05,8.86001e-05,7.19746e-05,6.73305e-05,6.01617e-05,5.57333e-05,4.59719e-05,
3600,0.4815,0.438608,0.478801,0.550633,0.493689,0.476396,0.497455,0.485124,0.459215,0.467553,0.49812,0.424357,0.455544,0.501613,0.510731,0.44643,0.485749,0.45172,0.41701,0.389712,0.413651,0.354586,0.317901,0.266138,0.351068,0.21368,0.246175,0.172449,0.182904,0.11079,0.107711,0.0615122,0.0789044,0.0424382,0.056373,0.0311935,0.0344292,0.0234555,0.0323719,0.0180657,0.0208718,0.0139478,0.0175169,0.0141438,0.0129874,0.0113696,0.0106677,0.00810762,0.00861021,0.00677664,0.00802597,0.00572675,0.0055954,0.00480323,0.00557516,0.00382027,0.00417684,0.00316548,0.00316903,0.00243276,0.00241428,0.00215643,0.00209427,0.00143903,0.00191092,0.00138809,0.00141819,0.00110918,0.00115817,0.000885141,0.000998951,0.000752489,0.00092123,0.00058913,0.00066495,0.000526366,0.000529491,0.000432772,0.000386112,0.000318203,0.000345961,0.000276651,0.000268841,0.000235223,0.000241402,0.000171747,0.000182107,0.000147505,0.000143169,0.000119115,0.000124884,8.79469e-05,0.000102434,8.48382e-05,8.86001e-05,7.19746e-05,6.73305e-05,6.01617e-05,5.57333e-05,4.35074e-05,
3800,0.522616,0.475751,0.478801,0.515964,0.53717,0.504666,0.497455,0.485124,0.459215,0.513855,0.463252,0.471037,0.455544,0.501613,0.482413,0.44643,0.485749,0.45172,0.41701,0.389712,0.413651,0.386257,0.350989,0.266138,0.351068,0.21368,0.25943,0.162389,0.182904,0.103083,0.107711,0.0615122,0.0789044,0.0424382,0.056373,0.0311935,0.0386779,0.025093,0.0323719,0.0180657,0.0208718,0.0147787,0.0184012,0.0141438,0.0129874,0.0113696,0.0106677,0.00810762,0.00861021,0.0072517,0.00802597,0.00572675,0.00616016,0.00445203,0.00557516,0.00336616,0.00417684,0.00316548,0.00337119,0.00243276,0.00258262,0.00215643,0.00209427,0.00159954,0.00191092,0.00138809,0.00141819,0.00110918,0.00122809,0.000885141,0.000998951,0.000752489,0.000815691,0.00058913,0.00066495,0.000526366,0.000529491,0.000393578,0.000386112,0.000318203,0.000345961,0.000276651,0.00028585,0.000235223,0.000253472,0.000161442,0.000161827,0.000147505,0.000143169,0.000100332,0.000131775,8.79469e-05,0.000102434,8.02107e-05,8.86001e-05,7.19746e-05,6.73305e-05,6.01617e-05,5.57333e-05,4.35074e-05,
4000,0.522616,0.475751,0.510721,0.515964,0.53717,0.465774,0.497455,0.485124,0.491512,0.513855,0.506014,0.512522,0.49038,0.533347,0.482413,0.44643,0.485749,0.45172,0.41701,0.389712,0.387853,0.386257,0.3831,0.284717,0.351068,0.21368,0.25943,0.162389,0.182904,0.103083,0.117748,0.0615122,0.0849617,0.0424382,0.056373,0.0292481,0.0408983,0.025093,0.0323719,0.0191459,0.0208718,0.0155177,0.0184012,0.0134094,0.013764,0.0113696,0.0106677,0.00768916,0.00905943,0.0072517,0.00802597,0.00572675,0.00616016,0.00445203,0.00557516,0.00377565,0.00417684,0.00316548,0.00337119,0.00243276,0.00258262,0.00239363,0.00195029,0.00159954,0.00179477,0.00138809,0.00141819,0.00110918,0.00122809,0.000885141,0.000998951,0.000752489,0.000815691,0.00058913,0.00066495,0.000526366,0.000529491,0.00036872,0.000386112,0.000334551,0.000311365,0.000276651,0.00028585,0.000235223,0.000229405,0.000171672,0.000180788,0.000147505,0.000143169,0.000100332,0.000131775,8.79469e-05,0.000108618,8.58425e-05,8.86001e-05,6.32776e-05,7.6613e-05,6.01617e-05,5.57333e-05,4.35074e-05,
