l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
param_0,0.313336,0.0587932,0.0546519,0.056384,0.056384,0.0532688,0.0551612,0.0521454,0.0512796,0.0528442,0.0548776,0.0548776,0.0556383,0.0556383,0.0544443,0.0543724,0.0549054,0.0547316,0.0544032,0.054734,0.0550599,0.0549342,0.0547842,0.0548786,0.0548786,0.0548794,0.0547973,0.0548725,0.0548365,0.0548616,0.0548462,0.0548402,0.0548507,0.0548507,0.0548507,0.0548553,0.0548578,0.0548486,0.0548518,0.0548502,0.0548502,0.054852,0.0548516,0.0548516,0.0548503,0.0548516,0.054851,0.054851,0.0548508,0.0548508,
param_1,0.138594,0.0645446,0.0666834,0.0666599,0.0666599,0.0671382,0.0674666,0.0699453,0.0689357,0.0681638,0.0673289,0.0673289,0.0667647,0.0667647,0.0679131,0.0678696,0.067369,0.0674785,0.0676626,0.0674643,0.0672706,0.0673806,0.0674062,0.0674161,0.0674161,0.0673882,0.0674347,0.0673828,0.0674185,0.067397,0.0674015,0.0674108,0.0674059,0.0674059,0.0674059,0.0674063,0.0674027,0.0674093,0.0674062,0.067409,0.067409,0.0674083,0.0674076,0.0674076,0.0674079,0.0674076,0.0674081,0.0674081,0.0674084,0.0674084,
