mc_step,l = 0error,l = 1error,l = 2error,l = 3error,l = 4error,l = 5error,l = 6error,l = 7error,l = 8error,l = 9error,l = 10error,l = 11error,l = 12error,l = 13error,l = 14error,l = 15error,l = 16error,l = 17error,l = 18error,l = 19error,l = 20error,l = 21error,l = 22error,l = 23error,l = 24error,l = 25error,l = 26error,l = 27error,l = 28error,l = 29error,l = 30error,l = 31error,l = 32error,l = 33error,l = 34error,l = 35error,l = 36error,l = 37error,l = 38error,l = 39error,l = 40error,l = 41error,l = 42error,l = 43error,l = 44error,l = 45error,l = 46error,l = 47error,l = 48error,l = 49error,
0,0.027269,0.0393613,0.0639206,0.0612868,0.0586493,0.0529848,0.0527882,0.0640396,0.0592913,0.0567189,0.0629911,0.0315069,0.04016,0.0154804,0.0330167,0.062909,0.021048,0.058048,0.0632434,0.0061309,0.0660495,0.0605577,0.0571909,0.0351659,0.065263,0.0496506,0.0613767,0.010037,0.0618299,0.0128118,0.0646747,0.0653468,0.058851,0.0220531,0.0649623,0.0453845,0.0156936,0.0539496,0.0643205,0.0473367,0.0531459,0.0384527,0.0609536,0.0578127,0.0507935,0.0647214,0.0611715,0.0436983,0.0394404,0.061253,
10,0.0588776,0.0539171,0.0524728,0.0643926,0.0590518,0.0554715,0.0635879,0.0335588,0.0382295,0.061356,0.030455,0.0617749,0.0645975,0.0583241,0.0629969,0.0300395,0.0662435,0.0368608,0.0600051,0.0162905,0.0649622,0.0162536,0.061189,0.00544676,0.0615086,0.0562806,0.0641621,0.0652555,0.0296185,0.0576216,0.0644808,0.0487165,0.0441866,0.0534851,0.0639085,0.00807395,0.0520517,0.00985169,0.0605428,0.0217726,0.0577363,0.0646869,0.0102198,0.0611415,0.0468298,0.0612376,0.0376411,0.0506919,0.0436311,0.0394171,
20,0.0555605,0.0631044,0.0311945,0.0424195,0.0616689,0.0594281,0.061391,0.0639207,0.0529921,0.062921,0.0327897,0.0663344,0.0644223,0.0597994,0.0530397,0.0644837,0.059062,0.060666,0.0585077,0.0610168,0.0249218,0.064045,0.0650861,0.0324051,0.0575579,0.0641894,0.0139882,0.0555342,0.014551,0.0633241,0.00533174,0.052812,0.0509703,0.0600752,0.0452636,0.0574349,0.0644036,0.025989,0.0608557,0.0439202,0.0611101,0.0047575,0.0505854,0.00792369,0.0467839,0.021269,0.0436007,0.0100251,0.0393659,0.0375997,
30,0.0590901,0.0617398,0.063872,0.0524605,0.0630397,0.0313211,0.0665052,0.0643755,0.0594979,0.0560086,0.0640619,0.0632442,0.0611264,0.058651,0.0603778,0.0596045,0.0644125,0.0649758,0.0614143,0.0568026,0.0638627,0.0423437,0.054821,0.0247878,0.0631407,0.0524627,0.0525462,0.0192105,0.0597188,0.026854,0.0568934,0.064275,0.0126804,0.0597422,0.0132127,0.0610237,0.00507634,0.050007,0.0493173,0.0457322,0.0440248,0.0434987,0.0242198,0.0427799,0.0392806,0.0375943,0.00444893,0.021213,0.00744784,0.00997106,
40,0.0344693,0.066473,0.0642078,0.0597542,0.0549108,0.0643172,0.0632471,0.061027,0.0583815,0.0607173,0.0633035,0.0640566,0.0655042,0.0627421,0.0619444,0.063902,0.052247,0.0617189,0.0590294,0.0629282,0.0557892,0.0578888,0.0551629,0.059543,0.0519124,0.0562176,0.0638425,0.0508473,0.0581563,0.0406519,0.0608111,0.0223466,0.0489003,0.016177,0.0476087,0.021311,0.0453101,0.0111868,0.0429432,0.0123369,0.0425609,0.0044438,0.0423148,0.0390346,0.0374207,0.0235701,0.0211242,0.00988076,0.00736907,0.00443967,
50,0.0639144,0.0626785,0.0615582,0.05852,0.0609894,0.0636323,0.0643434,0.0660451,0.0663883,0.0622655,0.0636101,0.0624642,0.0615823,0.0592709,0.0620177,0.0644722,0.0541132,0.0588807,0.0597577,0.0554192,0.055664,0.0637142,0.0578923,0.0568906,0.0338171,0.0604824,0.0520008,0.05441,0.051219,0.0496926,0.0467975,0.0464109,0.0435111,0.0405041,0.0394598,0.0404437,0.0193095,0.0412214,0.0152343,0.0386563,0.01844,0.03728,0.0107954,0.0233385,0.0121995,0.0209001,0.00439121,0.00968109,0.00732115,0.00437894,
60,0.0639891,0.0638562,0.0660951,0.066576,0.0627598,0.0633652,0.0624326,0.0621374,0.0616423,0.0622648,0.0646407,0.0621138,0.0598935,0.0617582,0.0635301,0.0595178,0.06367,0.0576685,0.0571169,0.0568885,0.0600982,0.0591608,0.0541794,0.054929,0.0537679,0.0539461,0.0512353,0.0501668,0.0483764,0.0452622,0.0317626,0.0453092,0.0413305,0.0399855,0.0389188,0.0387013,0.0370668,0.0371699,0.0295326,0.0216735,0.020253,0.0171888,0.0178718,0.0144408,0.0121596,0.010705,0.00954181,0.00727799,0.00434547,0.00434337,
70,0.0628249,0.0624811,0.0618069,0.0609497,0.0624923,0.0648639,0.0616503,0.0602809,0.0610491,0.0633063,0.0592257,0.0631867,0.0642646,0.0623041,0.0558066,0.0592565,0.064325,0.0583873,0.0593174,0.0659989,0.0666246,0.056329,0.0531255,0.0534908,0.0527132,0.0523074,0.0504803,0.0482611,0.0483456,0.0434718,0.0434052,0.0395911,0.0376082,0.0370634,0.0373324,0.0317626,0.0363898,0.0332788,0.0213574,0.0184648,0.0179855,0.0168404,0.0167378,0.0139922,0.012149,0.0106589,0.0093628,0.00717247,0.00433529,0.00428716,
80,0.0647151,0.0612615,0.0606766,0.0611069,0.0631136,0.0596684,0.0632118,0.0642356,0.0624369,0.0564325,0.0591794,0.0645431,0.058189,0.0587527,0.065685,0.0668025,0.0615724,0.0625366,0.0626236,0.0619767,0.0624751,0.0568401,0.0518255,0.0523029,0.0518876,0.0512069,0.0481355,0.0465081,0.0468602,0.0417273,0.0411207,0.0386428,0.0376082,0.0349195,0.0316025,0.0278066,0.0275022,0.0205523,0.0212224,0.0178044,0.0167772,0.0156239,0.0153606,0.0133433,0.0121305,0.0106077,0.00924405,0.00703685,0.00431695,0.00427115,
90,0.0599252,0.0634425,0.0636422,0.0621936,0.057408,0.0589611,0.06447,0.0578593,0.0584448,0.0657893,0.0666979,0.0613045,0.0624885,0.0629936,0.0622121,0.0625579,0.0646444,0.0606704,0.0611726,0.0607138,0.0631997,0.0580912,0.0525054,0.0516532,0.0509179,0.0490956,0.0460413,0.0437391,0.0429461,0.0402571,0.0373822,0.037135,0.0339575,0.0312802,0.0293285,0.0260438,0.0196881,0.0181641,0.01962,0.0162553,0.0166503,0.0147618,0.0142235,0.0130032,0.012118,0.0105889,0.00915269,0.00677789,0.00428788,0.00425431,
100,0.0599887,0.0642598,0.0575406,0.0589093,0.0661229,0.0664374,0.0607559,0.0618882,0.0629508,0.0620888,0.0628535,0.0646286,0.0637993,0.0633099,0.0606651,0.0631614,0.0614616,0.0597418,0.0594526,0.0571272,0.0616745,0.0575303,0.0507729,0.0496295,0.0504996,0.0460176,0.0448823,0.0410446,0.0410939,0.0345158,0.0345101,0.0333985,0.0302716,0.0293181,0.0235483,0.0165464,0.0187925,0.0180927,0.0163889,0.0160664,0.0155466,0.0133922,0.0129916,0.0121352,0.0121154,0.0105773,0.00905598,0.00668904,0.00426023,0.00423648,
110,0.066605,0.0613798,0.0621319,0.0631832,0.0626481,0.0628222,0.064292,0.0639554,0.0631791,0.0576163,0.0625759,0.0615119,0.0607798,0.0591596,0.0600958,0.0616937,0.0647566,0.0595419,0.0594846,0.0569021,0.0658851,0.0552553,0.0507828,0.0507987,0.0486201,0.0454698,0.0439604,0.0400457,0.0402746,0.0330193,0.0315513,0.0308363,0.0247241,0.0217266,0.0163235,0.0187021,0.017283,0.0158173,0.0163551,0.0154493,0.0125181,0.0126028,0.0123055,0.0121004,0.0118884,0.0105683,0.00890376,0.00656452,0.00424768,0.00415214,
