mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
110,0.903787,0.9692,0.394141,0.823507,0.393828,0.873772,0.349313,0.989499,0.418323,0.892401,0.452776,0.880878,0.51155,0.957779,0.836793,0.769287,0.816786,0.724039,0.600785,0.52968,0.875299,0.666048,0.852464,0.614693,0.466053,0.74075,0.544507,0.617435,0.669123,0.60884,0.913486,0.605082,0.711738,0.88491,0.578765,0.61981,0.169147,0.931064,0.638308,0.490192,0.71568,0.985129,0.187984,0.691183,0.406557,0.40386,0.242844,0.493469,0.704149,0.271373,0.718728,0.221151,0.501802,0.249158,0.421032,0.222172,0.0996101,0.397987,0.01003,0.495006,0.738137,0.0888788,0.530879,0.115306,0.275263,0.132365,0.00488124,0.370004,0.200578,0.105499,0.768043,0.00120756,0.00416413,0.320898,0.460328,0.0383737,0.651418,0.000551715,0.490944,0.0298794,0.258823,0.0663025,0.134712,0.11097,0.102554,0.125973,0.456725,0.00120471,0.284944,0.0555274,0.393175,0.00634163,0.240401,0.0507786,0.109735,0.0882703,0.0135669,0.143426,0.155807,0.0219121,
120,0.442526,0.914291,0.530689,0.960713,0.843677,0.793166,0.807279,0.700434,0.915133,0.973091,0.877172,0.642939,0.851477,0.605669,0.497601,0.718251,0.587538,0.613542,0.659704,0.647215,0.926619,0.596876,0.688116,0.927879,0.328646,0.9632,0.182436,0.931644,0.605217,0.646475,0.675662,0.987375,0.398838,0.896215,0.391939,0.817813,0.455961,0.874254,0.212094,0.699062,0.599999,0.569987,0.635609,0.473822,0.256152,0.486345,0.412625,0.386142,0.729716,0.254281,0.70093,0.206256,0.489976,0.242048,0.0824289,0.382095,0.402171,0.199144,0.514996,0.110629,0.720464,0.0700321,0.245722,0.117637,0.00061376,0.474697,0.003841,0.337156,0.737259,0.00120756,0.626558,0.000551715,0.484021,0.0260698,0.187318,0.0977689,0.000550001,0.306275,0.434002,0.0244422,0.456725,0.00120471,0.131312,0.108906,0.282825,0.0536362,0.250676,0.0629557,0.0990319,0.122272,0.391939,0.00644779,0.239851,0.050015,0.109453,0.0882115,0.0136292,0.143209,0.155733,0.0221107,
130,0.864035,0.655571,0.922333,0.611442,0.51847,0.723115,0.578451,0.645725,0.622989,0.627168,0.924499,0.561224,0.700715,0.943666,0.287741,0.930281,0.260037,0.942594,0.636783,0.689034,0.702583,0.977931,0.406193,0.866878,0.439208,0.806344,0.458026,0.891232,0.493141,0.906702,0.805972,0.790244,0.493459,0.95268,0.777131,0.713602,0.910718,0.967424,0.622237,0.469267,0.607349,0.580439,0.163755,0.714767,0.265176,0.5077,0.421285,0.371263,0.72533,0.229849,0.493861,0.220533,0.670586,0.184045,0.383482,0.180783,0.0495872,0.377477,0.504915,0.103468,0.695614,0.044339,0.00061376,0.453865,0.00362494,0.31783,0.698709,0.00120756,0.209665,0.0967502,0.620741,0.000551715,0.456326,0.0242693,0.000550001,0.274442,0.455411,0.00166805,0.411422,0.013322,0.176434,0.0834985,0.126306,0.107315,0.280056,0.0481078,0.0990319,0.121635,0.248479,0.0586489,0.391939,0.00645964,0.239851,0.0483088,0.109263,0.0876512,0.0137209,0.143209,0.155593,0.0223127,
140,0.9481,0.569519,0.697256,0.921699,0.284514,0.931066,0.279299,0.932055,0.604905,0.685933,0.692092,0.988097,0.386308,0.86377,0.433687,0.798137,0.453584,0.857835,0.48678,0.90151,0.809196,0.786268,0.490838,0.958714,0.656893,0.60902,0.904217,0.981589,0.911016,0.618313,0.7513,0.706649,0.848077,0.644419,0.529572,0.743215,0.606939,0.650723,0.142166,0.721074,0.634381,0.452453,0.591035,0.57392,0.400517,0.370396,0.20156,0.494651,0.708417,0.219469,0.473254,0.215377,0.65665,0.160189,0.371439,0.153504,0.485876,0.0966905,0.0121464,0.360571,0.00061376,0.442116,0.688246,0.00526694,0.698709,0.00120756,0.610522,0.000551715,0.00155076,0.31783,0.448031,0.00565257,0.45001,0.00166805,0.19505,0.0677686,0.00301464,0.263425,0.126306,0.101203,0.406588,0.00652443,0.0956935,0.11559,0.390676,0.00645964,0.176434,0.0774334,0.277835,0.0481078,0.24599,0.0574018,0.239434,0.0470014,0.109075,0.0872493,0.0136574,0.14271,0.155385,0.0226446,
150,0.693685,0.980831,0.391817,0.773274,0.459207,0.810661,0.484132,0.856645,0.51245,0.891898,0.853031,0.782155,0.456965,0.969445,0.636661,0.614976,0.931452,0.988277,0.893659,0.623172,0.764727,0.694633,0.915143,0.644382,0.501513,0.73547,0.620825,0.667407,0.962865,0.569793,0.703269,0.932375,0.308788,0.933423,0.598609,0.578502,0.318449,0.943988,0.602533,0.70407,0.17596,0.720398,0.660041,0.434811,0.422679,0.377408,0.15022,0.489108,0.697747,0.193589,0.472348,0.202698,0.644534,0.123801,0.455935,0.0935451,0.372592,0.0736708,0.00877366,0.335563,0.00061376,0.427383,0.698709,0.00120756,0.674514,0.00206793,0.59449,0.000495379,0.00155076,0.31783,0.45001,0.00166805,0.441309,0.00384988,0.00301464,0.249179,0.401844,0.00653881,0.384476,0.00645964,0.27097,0.0448291,0.243343,0.0548702,0.190625,0.060626,0.094537,0.11476,0.119076,0.0914521,0.175585,0.0755261,0.238992,0.0465783,0.108342,0.0872151,0.0139635,0.142346,0.155242,0.0227874,
160,0.875643,0.791688,0.468244,0.954597,0.696063,0.626508,0.908757,0.972077,0.90505,0.60871,0.749953,0.686563,0.943665,0.666883,0.500153,0.725999,0.651894,0.676366,0.940336,0.566411,0.722918,0.933313,0.320735,0.964746,0.688144,0.993961,0.390207,0.800874,0.599467,0.702461,0.453563,0.793669,0.385021,0.916188,0.497366,0.851178,0.508445,0.869694,0.591395,0.592925,0.673483,0.432581,0.154933,0.69705,0.409577,0.366307,0.139336,0.462318,0.678042,0.193589,0.4595,0.174959,0.628608,0.0988594,0.458224,0.0689038,0.00554478,0.330043,0.00061376,0.40213,0.682087,0.0015993,0.642329,0.00206793,0.361016,0.041383,0.560165,0.000254981,0.00155076,0.263234,0.438242,0.0014315,0.423623,0.00318001,0.385553,0.00653881,0.370251,0.00957303,0.093043,0.102775,0.00301464,0.216776,0.266398,0.0286295,0.174395,0.0723901,0.237323,0.049437,0.238002,0.0465783,0.118017,0.0905643,0.188527,0.0600724,0.108117,0.0858712,0.0139635,0.14231,0.1544,0.0228103,
170,0.751634,0.706681,0.9188,0.63947,0.499228,0.735083,0.628954,0.661879,0.937939,0.563265,0.733536,0.949726,0.336334,0.941621,0.680535,0.969166,0.409282,0.844606,0.578748,0.7139,0.428739,0.834489,0.359198,0.892077,0.528442,0.868881,0.472283,0.885069,0.581213,0.552147,0.454728,0.970376,0.945688,0.962382,0.899202,0.777977,0.912571,0.586793,0.696815,0.581196,0.691349,0.420513,0.115512,0.694647,0.408276,0.295438,0.137266,0.450789,0.699049,0.176006,0.466445,0.17092,0.588381,0.0745429,0.450641,0.0585083,0.00061376,0.365012,0.00397628,0.302405,0.671269,0.0015993,0.595712,0.00206793,0.559188,0.000254981,0.348009,0.0359199,0.420867,0.00163692,0.00155076,0.257086,0.395512,0.00553869,0.369148,0.00653881,0.367803,0.00957303,0.236299,0.0493044,0.00432101,0.202459,0.238002,0.0456841,0.172363,0.0658112,0.118017,0.0888345,0.0900007,0.101658,0.265592,0.0281503,0.188527,0.0588578,0.107419,0.0851642,0.013938,0.14231,0.154012,0.0231989,
180,0.70822,0.969187,0.363594,0.958926,0.695954,0.988329,0.389273,0.833057,0.539077,0.692873,0.376884,0.849108,0.377809,0.868912,0.529369,0.898227,0.454405,0.864869,0.74963,0.720363,0.439175,0.959415,0.961056,0.969605,0.891562,0.787791,0.522954,0.714306,0.944141,0.647906,0.669473,0.600234,0.599691,0.55514,0.943591,0.563033,0.980179,0.572118,0.623096,0.633589,0.695296,0.433524,0.115815,0.6536,0.142882,0.429429,0.370701,0.298957,0.447102,0.166965,0.696025,0.0956881,0.571542,0.0471278,0.648931,0.000186909,0.407894,0.0456906,0.00397628,0.291695,0.00061376,0.347294,0.582318,0.00112569,0.550029,0.000254981,0.00160303,0.251847,0.366147,0.00369435,0.380095,0.00650898,0.360315,0.00764581,0.350226,0.00957303,0.30931,0.0139837,0.00432101,0.201517,0.216439,0.0493044,0.233911,0.0428501,0.261345,0.0279538,0.187647,0.0578041,0.170967,0.0634365,0.115297,0.0867639,0.0892188,0.101133,0.106907,0.0844583,0.0138915,0.142295,0.153836,0.0232213,
190,0.38393,0.832377,0.344216,0.863355,0.533308,0.889629,0.444724,0.84858,0.797966,0.739412,0.438657,0.941407,0.976046,0.970262,0.697153,0.96145,0.362071,0.953211,0.951278,0.630294,0.655144,0.58361,0.616399,0.534027,0.974243,0.543955,0.931316,0.559518,0.629708,0.64345,0.876761,0.784034,0.688891,0.981744,0.386898,0.760971,0.534435,0.69999,0.523201,0.73656,0.658043,0.425753,0.119997,0.640639,0.370714,0.314018,0.134143,0.402048,0.44475,0.137875,0.684502,0.0297994,0.636305,0.000186909,0.53645,0.0233108,0.00061376,0.343531,0.56359,0.00112569,0.393859,0.0269832,0.54085,0.000305411,0.00328614,0.271727,0.358985,0.00994274,0.00454156,0.216109,0.353037,0.0103414,0.327447,0.00892625,0.335705,0.00957303,0.294154,0.016205,0.00531003,0.18929,0.257942,0.0244175,0.221072,0.0428501,0.169495,0.0606645,0.211327,0.0281224,0.0883725,0.100547,0.186123,0.0552709,0.113487,0.086392,0.105864,0.0838014,0.0139124,0.142109,0.153726,0.0234274,
200,0.449503,0.93817,0.937015,0.969394,0.703055,0.968339,0.367004,0.936317,0.964662,0.621653,0.654634,0.577635,0.594791,0.533274,0.98368,0.525546,0.973507,0.513822,0.609591,0.664342,0.862196,0.778638,0.714285,0.990939,0.800403,0.71945,0.560065,0.720044,0.520436,0.788796,0.383691,0.830766,0.362041,0.853915,0.53353,0.902924,0.362825,0.72769,0.450291,0.83345,0.0967623,0.64569,0.700045,0.421583,0.367612,0.285748,0.119864,0.360774,0.441895,0.11899,0.693458,0.0198181,0.525654,0.0233108,0.597794,0.000199093,0.00061376,0.334963,0.526748,0.00112569,0.524968,0.000305411,0.00296742,0.25231,0.368649,0.0160521,0.349419,0.0106094,0.340838,0.0102609,0.31103,0.00957303,0.291143,0.0108452,0.00529817,0.181288,0.00531003,0.187513,0.269507,0.0190014,0.252868,0.0190238,0.0805835,0.100547,0.183132,0.0539974,0.113078,0.085477,0.220345,0.0358328,0.16916,0.0574149,0.105616,0.0833764,0.210317,0.027664,0.0140239,0.141855,0.153632,0.023661,
