mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,1,1,1,0.98,0.98,1,0.95,0.94,0.92,0.93,0.89,0.86,0.85,0.57,0.53,0.53,0.17,0.46,0.3,0.22,0.21,0.19,0.35,0.2,0.27,0.23,0.19,0.18,0.23,0.27,0.26,0.32,0.23,0.21,0.25,0.31,0.3,0.32,0.27,0.22,0.13,0.08,0.07,0.09,
400,1,1,1,1,1,1,1,0.995,0.985,0.985,1,0.955,0.965,0.945,0.945,0.925,0.875,0.77,0.61,0.31,0.355,0.085,0.35,0.28,0.145,0.225,0.145,0.25,0.165,0.235,0.21,0.215,0.27,0.28,0.295,0.295,0.35,0.335,0.355,0.385,0.38,0.37,0.405,0.385,0.345,0.255,0.2,0.13,0.11,
600,1,1,1,1,1,1,1,0.996667,0.983333,0.98,0.99,0.96,0.943333,0.943333,0.926667,0.893333,0.826667,0.72,0.573333,0.213333,0.346667,0.0766667,0.24,0.343333,0.306667,0.346667,0.37,0.35,0.38,0.42,0.366667,0.38,0.41,0.43,0.41,0.42,0.463333,0.446667,0.453333,0.44,0.47,0.433333,0.46,0.443333,0.463333,0.343333,0.343333,0.26,0.216667,
800,0.995,1,1,1,0.9975,0.9975,1,0.9975,0.9875,0.9825,0.99,0.9575,0.9325,0.93,0.8925,0.7975,0.755,0.6375,0.53,0.325,0.325,0.2025,0.37,0.455,0.43,0.4625,0.4625,0.435,0.44,0.52,0.485,0.5,0.4975,0.5225,0.5075,0.52,0.5375,0.4825,0.5225,0.51,0.4875,0.51,0.5225,0.5175,0.5525,0.46,0.3975,0.38,0.36,
1000,0.996,1,1,1,0.998,0.996,1,0.996,0.984,0.978,0.982,0.948,0.914,0.918,0.866,0.686,0.768,0.664,0.56,0.422,0.408,0.334,0.436,0.518,0.482,0.524,0.52,0.502,0.5,0.57,0.528,0.536,0.54,0.566,0.56,0.572,0.572,0.55,0.582,0.574,0.546,0.556,0.558,0.562,0.59,0.492,0.454,0.44,0.432,
1200,0.996667,1,0.996667,0.998333,0.998333,0.996667,0.995,0.993333,0.98,0.97,0.97,0.928333,0.906667,0.888333,0.825,0.65,0.775,0.68,0.573333,0.48,0.476667,0.41,0.483333,0.55,0.513333,0.57,0.553333,0.536667,0.533333,0.598333,0.571667,0.563333,0.568333,0.591667,0.588333,0.608333,0.6,0.591667,0.608333,0.601667,0.571667,0.583333,0.593333,0.583333,0.603333,0.531667,0.505,0.488333,0.483333,
1400,0.997143,0.997143,0.994286,0.998571,0.998571,0.995714,0.994286,0.99,0.978571,0.967143,0.961429,0.934286,0.894286,0.855714,0.802857,0.664286,0.758571,0.688571,0.602857,0.522857,0.508571,0.464286,0.51,0.562857,0.558571,0.588571,0.584286,0.562857,0.564286,0.615714,0.585714,0.588571,0.585714,0.615714,0.61,0.614286,0.627143,0.594286,0.621429,0.637143,0.608571,0.607143,0.617143,0.608571,0.622857,0.562857,0.555714,0.524286,0.525714,
1600,0.9975,0.995,0.995,0.99875,0.99875,0.99625,0.995,0.9875,0.9775,0.96875,0.95625,0.9175,0.87875,0.845,0.775,0.6675,0.7525,0.675,0.62125,0.54625,0.535,0.49625,0.535,0.58875,0.585,0.5975,0.595,0.58375,0.58375,0.62125,0.61125,0.6,0.60625,0.62125,0.63375,0.63375,0.635,0.625,0.63375,0.6475,0.63125,0.62125,0.625,0.63375,0.64375,0.5875,0.57625,0.545,0.55875,
1800,0.997778,0.995556,0.995556,0.998889,0.998889,0.996667,0.992222,0.986667,0.978889,0.964444,0.953333,0.918889,0.868889,0.83,0.752222,0.682222,0.738889,0.683333,0.631111,0.565556,0.562222,0.511111,0.555556,0.6,0.603333,0.612222,0.608889,0.598889,0.61,0.635556,0.622222,0.617778,0.626667,0.638889,0.652222,0.642222,0.651111,0.645556,0.647778,0.657778,0.644444,0.633333,0.64,0.646667,0.663333,0.596667,0.593333,0.573333,0.581111,
2000,0.998,0.995,0.995,0.999,0.999,0.997,0.991,0.987,0.979,0.964,0.946,0.92,0.858,0.818,0.746,0.684,0.727,0.682,0.644,0.574,0.584,0.533,0.573,0.621,0.623,0.634,0.627,0.612,0.624,0.641,0.625,0.634,0.643,0.643,0.663,0.661,0.661,0.651,0.654,0.651,0.657,0.64,0.665,0.668,0.677,0.616,0.604,0.587,0.599,
