mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
2200,0.838384,0.80198,0.815534,0.85567,0.830189,0.829787,0.847826,0.842593,0.82,0.82,0.846154,0.854167,0.851852,0.836957,0.827586,0.840708,0.868132,0.779817,0.777778,0.809091,0.817204,0.785047,0.763441,0.672897,0.810526,0.628571,0.786408,0.556701,0.67033,0.577982,0.717172,0.70297,0.574468,0.669811,0.721649,0.708738,0.583333,0.615385,0.590909,0.598214,0.63,0.55,0.607843,0.591837,0.510638,0.5,0.575472,0.574468,0.546512,0.570175,0.5,0.540816,0.575758,0.534653,0.608247,0.621359,0.6,0.573913,0.452381,0.698276,0.415842,0.676768,0.535714,0.613636,0.544554,0.454545,0.633663,0.545455,0.466667,0.705263,0.594059,0.646465,0.614583,0.567308,0.522936,0.494505,0.524752,0.59596,0.557895,0.542857,0.585586,0.494382,0.611111,0.641304,0.609524,0.621053,0.610619,0.632184,0.527778,0.586957,0.637255,0.540816,0.666667,0.663265,0.602041,0.519608,0.525773,0.68932,0.602151,0.551402,
2400,0.721154,0.822917,0.752381,0.842105,0.70297,0.777778,0.694737,0.695238,0.75,0.829545,0.792793,0.741573,0.811881,0.787879,0.853211,0.846154,0.79798,0.841584,0.733945,0.868132,0.717172,0.811881,0.70297,0.747475,0.739583,0.701923,0.733945,0.747253,0.739583,0.673077,0.651685,0.666667,0.590909,0.633333,0.543478,0.601852,0.631579,0.609524,0.639175,0.660194,0.654206,0.569892,0.568627,0.520408,0.579439,0.698925,0.697674,0.684211,0.505051,0.633663,0.513761,0.56044,0.631068,0.71134,0.547368,0.580952,0.463918,0.640777,0.561224,0.637255,0.633663,0.545455,0.535354,0.60396,0.648352,0.678899,0.588785,0.655914,0.5,0.586538,0.5,0.627273,0.553191,0.471698,0.504425,0.505747,0.566667,0.527273,0.535714,0.491379,0.659574,0.641509,0.590476,0.652632,0.526786,0.522727,0.52381,0.494737,0.61165,0.628866,0.483516,0.504587,0.473684,0.590476,0.691489,0.575472,0.551724,0.477876,0.676768,0.564356,
2600,0.817308,0.75,0.835165,0.779817,0.804348,0.768519,0.806452,0.775701,0.744681,0.707547,0.765306,0.72549,0.686869,0.742574,0.745098,0.714286,0.75,0.711538,0.77451,0.72449,0.791667,0.730769,0.660194,0.721649,0.736842,0.752381,0.685393,0.747748,0.676768,0.782178,0.579545,0.625,0.614583,0.634615,0.626263,0.623762,0.627273,0.677778,0.59434,0.542553,0.623762,0.535354,0.6,0.670588,0.515464,0.533981,0.51,0.6,0.62766,0.613208,0.625,0.607143,0.596154,0.572917,0.673684,0.561905,0.578431,0.683673,0.544554,0.494949,0.621359,0.556701,0.542857,0.589474,0.654545,0.555556,0.542553,0.566038,0.540541,0.47191,0.598039,0.581633,0.581633,0.588235,0.623656,0.672897,0.58,0.54,0.574468,0.537736,0.47191,0.540541,0.554455,0.585859,0.542857,0.6,0.622449,0.617647,0.604396,0.633028,0.56,0.57,0.571429,0.482759,0.616162,0.564356,0.598039,0.581633,0.435644,0.565657,
2800,0.729167,0.682692,0.764151,0.819149,0.79798,0.663366,0.722772,0.787879,0.712871,0.717172,0.706522,0.703704,0.784314,0.734694,0.721649,0.737864,0.683168,0.757576,0.779661,0.609756,0.766355,0.591398,0.72449,0.617647,0.718447,0.628866,0.626263,0.653465,0.666667,0.635514,0.69697,0.524752,0.704762,0.642105,0.672727,0.6,0.580645,0.542056,0.625,0.557692,0.622642,0.595745,0.6,0.670588,0.688172,0.542056,0.536082,0.524272,0.554545,0.588889,0.607843,0.632653,0.651685,0.657658,0.654206,0.655914,0.58427,0.558559,0.647059,0.653061,0.62069,0.557522,0.587629,0.572816,0.571429,0.568421,0.640449,0.594595,0.631579,0.590476,0.556452,0.631579,0.55814,0.640351,0.584158,0.616162,0.479592,0.647059,0.62,0.55,0.605505,0.494505,0.539216,0.591837,0.557692,0.583333,0.601942,0.525773,0.619565,0.537037,0.621359,0.597938,0.6,0.62,0.539216,0.571429,0.598039,0.581633,0.592233,0.505155,
3000,0.695238,0.673684,0.682692,0.677083,0.765306,0.784314,0.669725,0.78022,0.698925,0.747664,0.803922,0.642857,0.618557,0.76699,0.721649,0.68932,0.66,0.7,0.638095,0.726316,0.675676,0.674157,0.726415,0.755319,0.693878,0.637255,0.642105,0.609524,0.679612,0.597938,0.612245,0.656863,0.532609,0.638889,0.63,0.54,0.641509,0.659574,0.705882,0.612245,0.609091,0.511111,0.647059,0.520408,0.542857,0.568421,0.614679,0.626374,0.544554,0.646465,0.614583,0.663462,0.604396,0.59633,0.614679,0.626374,0.638298,0.575472,0.55102,0.588235,0.6875,0.576923,0.594059,0.606061,0.5625,0.596154,0.515152,0.524752,0.609524,0.557895,0.54878,0.584746,0.574257,0.646465,0.595745,0.490566,0.652174,0.564815,0.574257,0.575758,0.644231,0.614583,0.598291,0.554217,0.544554,0.666667,0.654206,0.505376,0.494382,0.540541,0.6875,0.625,0.590476,0.547368,0.621359,0.649485,0.621359,0.556701,0.615385,0.625,
3200,0.584071,0.689655,0.621359,0.71134,0.673267,0.656566,0.62963,0.597826,0.631579,0.695238,0.657407,0.673913,0.688172,0.654206,0.65625,0.653846,0.604651,0.578947,0.673077,0.614583,0.73913,0.703704,0.72,0.63,0.666667,0.701923,0.678161,0.654867,0.673684,0.704762,0.578431,0.744898,0.626263,0.574257,0.530612,0.617647,0.592233,0.546392,0.643678,0.628319,0.574257,0.454545,0.642857,0.656863,0.621359,0.597938,0.628866,0.553398,0.644231,0.479167,0.56701,0.524272,0.647619,0.536842,0.594059,0.575758,0.607843,0.653061,0.66,0.61,0.575758,0.544554,0.560748,0.548387,0.637255,0.642857,0.693878,0.578431,0.601852,0.576087,0.639175,0.621359,0.660714,0.579545,0.630435,0.611111,0.543478,0.490741,0.663462,0.635417,0.616162,0.683168,0.528736,0.539823,0.582524,0.525773,0.59633,0.714286,0.680412,0.61165,0.6875,0.548077,0.594059,0.606061,0.572816,0.649485,0.545455,0.571429,0.595238,0.706897,
3400,0.715789,0.628571,0.673469,0.568627,0.621359,0.649485,0.711538,0.697917,0.673077,0.635417,0.59292,0.689655,0.770115,0.584071,0.754902,0.55102,0.763441,0.607477,0.637255,0.744898,0.60177,0.643678,0.677419,0.654206,0.591837,0.754902,0.656863,0.795918,0.588235,0.703704,0.615385,0.5625,0.68,0.67,0.66087,0.588235,0.619469,0.597701,0.59,0.62,0.592233,0.618557,0.618557,0.553398,0.595745,0.650943,0.597938,0.621359,0.557895,0.590476,0.659091,0.589286,0.547368,0.666667,0.616162,0.524752,0.666667,0.518182,0.640777,0.680412,0.580952,0.621053,0.622449,0.529412,0.554348,0.666667,0.649485,0.592233,0.686869,0.534653,0.645833,0.576923,0.571429,0.547368,0.556818,0.589286,0.67619,0.757895,0.53125,0.586538,0.625,0.590909,0.53125,0.557692,0.683673,0.598039,0.62766,0.603774,0.539326,0.666667,0.51087,0.583333,0.657143,0.715789,0.588235,0.561224,0.523364,0.55914,0.673684,0.542857,
3600,0.554348,0.601852,0.632653,0.588235,0.635514,0.645161,0.662791,0.596491,0.627451,0.663265,0.669903,0.597938,0.593407,0.724771,0.631579,0.67619,0.653465,0.727273,0.676471,0.612245,0.614035,0.674419,0.494505,0.568807,0.574074,0.576087,0.717391,0.611111,0.574257,0.585859,0.62766,0.556604,0.555556,0.613861,0.565217,0.666667,0.604167,0.644231,0.580645,0.542056,0.544554,0.565657,0.54902,0.673469,0.622222,0.636364,0.63964,0.617978,0.622642,0.617021,0.580357,0.556818,0.644231,0.604167,0.666667,0.571429,0.634409,0.560748,0.693878,0.588235,0.626263,0.594059,0.619048,0.505263,0.53,0.63,0.556701,0.553398,0.637255,0.530612,0.637363,0.605505,0.628571,0.705263,0.527778,0.73913,0.589474,0.561905,0.490566,0.617021,0.647059,0.653061,0.55914,0.626168,0.645161,0.64486,0.557522,0.678161,0.627451,0.520408,0.639175,0.631068,0.570093,0.580645,0.566038,0.574468,0.617021,0.59434,0.631068,0.546392,
3800,0.685393,0.684685,0.554348,0.537037,0.688073,0.659341,0.588785,0.645161,0.639175,0.699029,0.53,0.71,0.589286,0.613636,0.544554,0.575758,0.585859,0.594059,0.62,0.63,0.628866,0.68932,0.704082,0.637255,0.555556,0.594059,0.653846,0.541667,0.611765,0.530435,0.626263,0.613861,0.570175,0.593023,0.6,0.609524,0.723404,0.669811,0.59,0.63,0.613208,0.659574,0.650485,0.556701,0.595506,0.585586,0.568421,0.580952,0.582524,0.670103,0.641509,0.56383,0.700935,0.526882,0.574468,0.481132,0.577778,0.572727,0.663793,0.607143,0.669725,0.582418,0.645833,0.711538,0.571429,0.577982,0.621951,0.644068,0.660377,0.62766,0.579439,0.580645,0.485437,0.587629,0.563107,0.618557,0.56383,0.509434,0.592233,0.639175,0.60396,0.616162,0.663265,0.568627,0.65,0.54,0.488636,0.553571,0.614583,0.442308,0.655172,0.646018,0.607143,0.545455,0.641509,0.585106,0.62963,0.565217,0.574257,0.585859,
4000,0.574713,0.584071,0.666667,0.589474,0.604396,0.522936,0.585859,0.584158,0.67033,0.550459,0.692308,0.688073,0.676471,0.663265,0.630952,0.603448,0.642857,0.568627,0.643478,0.635294,0.537634,0.598131,0.691489,0.669811,0.642857,0.627451,0.609524,0.578947,0.61165,0.57732,0.693182,0.642857,0.676768,0.643564,0.607477,0.537634,0.657407,0.576087,0.582524,0.659794,0.56,0.65,0.604167,0.548077,0.659794,0.640777,0.598131,0.548387,0.652174,0.601852,0.568421,0.590476,0.589474,0.638095,0.592233,0.721649,0.606061,0.574257,0.615385,0.623853,0.61,0.71,0.53125,0.576923,0.539216,0.561224,0.62069,0.557522,0.6,0.6,0.56,0.64,0.604396,0.550459,0.616162,0.564356,0.6,0.536842,0.604396,0.651376,0.5,0.55,0.582418,0.642202,0.505051,0.663366,0.717172,0.633663,0.62037,0.641304,0.586207,0.575221,0.660377,0.670213,0.615385,0.479167,0.737864,0.556701,0.593023,0.596491,
