mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
110,0.418533,0.862983,0.860831,0.981096,0.843561,0.594232,0.829524,0.836328,0.95401,0.339248,0.50393,0.819275,0.826765,0.450909,0.644751,0.362571,0.216876,0.796951,0.844761,0.545058,0.60985,0.614691,0.302189,0.632624,0.532086,0.502997,0.713435,0.355213,0.78783,0.942934,0.952542,0.672237,0.651649,0.515112,0.602657,0.69337,0.839744,0.97591,0.711551,0.436507,0.445629,0.378408,0.681574,0.331794,0.928433,0.222865,0.417092,0.251716,0.187472,0.352696,0.909747,0.151806,0.251011,0.307543,0.662454,0.156956,0.00182535,0.767613,0.00197911,0.613224,0.00138393,0.6658,0.000403627,0.725131,0.00258434,0.458273,0.0145914,0.346178,0.667387,0.0535891,5.48413e-05,0.411149,0.000983869,0.391443,0.164891,0.137305,0.941457,0.000547483,0.0427883,0.222542,0.134865,0.116987,0.109381,0.120801,0.273194,0.0684111,0.43545,0.0306871,0.307763,0.0559757,0.490918,2.0993e-05,0.436205,0.00191924,0.186529,0.076809,0.0564782,0.0670678,0.0911422,0.050429,
120,0.517326,0.820145,0.79052,0.518376,0.665604,0.368325,0.195125,0.796885,0.808464,0.579098,0.596898,0.616392,0.390687,0.843879,0.492746,0.515095,0.70804,0.319582,0.778187,0.964309,0.937899,0.680224,0.337646,0.647985,0.621756,0.734301,0.887633,0.981767,0.853698,0.96857,0.800626,0.798665,0.628682,0.501344,0.83904,0.615982,0.967894,0.328669,0.717768,0.397867,0.687344,0.305885,0.425771,0.384478,0.984428,0.211272,0.943035,0.146913,0.411929,0.255413,0.149191,0.352696,0.249606,0.267501,0.641805,0.148152,0.00138393,0.637574,5.38311e-05,0.735117,0.000403627,0.725131,0.000253739,0.607481,0.00258434,0.437643,0.653877,0.0516426,0.00738471,0.336699,5.48413e-05,0.417265,0.000983869,0.373429,0.92216,0.000547483,0.0355956,0.201631,0.150512,0.115621,0.132183,0.111602,0.430696,0.0290449,0.270777,0.0647673,0.307468,0.0544595,0.103976,0.120199,0.489992,2.0993e-05,0.435708,0.00258947,0.186032,0.0760815,0.0565189,0.0667144,0.0908798,0.0504903,
130,0.577861,0.587569,0.439105,0.877549,0.536963,0.525135,0.720912,0.295864,0.761969,0.98731,0.978145,0.693289,0.339611,0.607475,0.652054,0.743753,0.891284,0.973654,0.873379,0.957913,0.801897,0.576776,0.519336,0.787499,0.878236,0.603932,0.618404,0.505328,0.706891,0.380362,0.941618,0.333302,0.796104,0.493128,0.202755,0.813543,0.777784,0.850275,0.665039,0.370083,0.430798,0.403088,0.657393,0.309751,0.998947,0.189015,0.919176,0.134931,0.384145,0.235917,0.136419,0.311342,0.240229,0.250439,0.630619,0.130048,0.000403627,0.711673,0.000767674,0.625258,5.38311e-05,0.735117,0.000253739,0.581031,5.48413e-05,0.422922,0.000303908,0.423786,0.901305,0.000547483,0.00264389,0.301911,0.000983869,0.350213,0.648792,0.0171299,0.027401,0.185454,0.1294,0.110606,0.265388,0.064411,0.138979,0.104502,0.423705,0.0257283,0.305683,0.0533247,0.1013,0.118996,0.48919,2.0993e-05,0.434809,0.00224062,0.185432,0.0757361,0.0567171,0.0665744,0.0905365,0.0506957,
140,0.981499,0.719424,0.342456,0.607944,0.641838,0.763437,0.901834,0.975892,0.872688,0.961885,0.843583,0.604488,0.51275,0.803614,0.869093,0.63969,0.594756,0.47754,0.711316,0.362234,0.899571,0.335491,0.791151,0.515123,0.186161,0.837453,0.80328,0.824184,0.761892,0.979324,0.575097,0.563403,0.670209,0.303773,0.441112,0.399404,0.432993,0.901074,0.700654,0.273738,0.653961,0.387136,0.530379,0.522404,0.990744,0.191789,0.920097,0.134913,0.362092,0.219689,0.123645,0.288572,0.226839,0.216911,0.618011,0.108666,0.000767674,0.625388,5.38311e-05,0.728184,9.63881e-05,0.669071,0.000253739,0.581031,0.000366528,0.417171,0.000303908,0.393462,0.894068,0.000389062,0.000983869,0.327972,0.00264389,0.299233,0.631553,0.00102893,0.122878,0.104933,0.133694,0.0915981,0.303887,0.0526802,0.264942,0.0467754,0.489011,2.0993e-05,0.00969464,0.173782,0.423674,0.0226061,0.0991467,0.117987,0.4346,0.00238214,0.184545,0.0753446,0.0573531,0.0663428,0.0905065,0.0507923,
150,0.868714,0.620731,0.520909,0.808271,0.873581,0.607567,0.572509,0.500601,0.70894,0.40561,0.885979,0.354212,0.807058,0.509195,0.164792,0.830795,0.792039,0.809195,0.781311,0.976843,0.607478,0.55821,0.292977,0.607479,0.444168,0.410497,0.422571,0.867236,0.949162,0.758458,0.651412,0.791408,0.915681,0.950485,0.874651,0.963725,0.51434,0.473216,0.688767,0.328671,0.598431,0.389121,0.666433,0.264849,0.983523,0.167259,0.89802,0.137506,0.365397,0.218196,0.228005,0.21243,0.000767674,0.619278,0.590023,0.0912158,5.38311e-05,0.691369,9.63881e-05,0.669071,0.0736193,0.273057,0.000253739,0.579726,0.000366528,0.399721,0.000303908,0.393081,0.892821,0.000389062,0.00125001,0.327972,0.00264389,0.299233,0.630502,0.00102893,0.47815,2.0993e-05,0.418,0.0101713,0.114294,0.098917,0.098329,0.115577,0.284014,0.0398601,0.433819,0.00257293,0.133576,0.088509,0.0104699,0.173372,0.264199,0.0456787,0.184204,0.0743781,0.0578687,0.0660525,0.090435,0.0508673,
160,0.868266,0.363228,0.832491,0.490958,0.149862,0.836766,0.811508,0.824802,0.793685,0.999355,0.602128,0.56594,0.308462,0.573963,0.404647,0.433706,0.429904,0.872308,0.943556,0.818196,0.646837,0.814947,0.9008,0.932193,0.910249,0.941449,0.732767,0.37928,0.884891,0.626444,0.874855,0.624087,0.581882,0.560843,0.494125,0.480109,0.605045,0.391773,0.662927,0.286314,0.479567,0.801727,0.666371,0.26437,0.982668,0.170165,0.87468,0.122592,0.346011,0.203738,0.213745,0.21243,9.63881e-05,0.649064,0.000270619,0.595759,5.38311e-05,0.658702,0.000253739,0.572858,0.055392,0.254831,0.000303908,0.367327,0.000366528,0.352368,0.576994,0.0283537,0.850652,0.000389062,0.00125001,0.318954,0.00177239,0.281935,0.603688,0.00102893,0.448051,2.0993e-05,0.425632,0.00257293,0.407044,0.00913087,0.0107083,0.169737,0.18297,0.0725524,0.0841502,0.108666,0.13344,0.0879308,0.113118,0.0923223,0.263941,0.0454023,0.283805,0.0396917,0.0578687,0.0658112,0.0903272,0.0509308,
170,0.616689,0.572972,0.278158,0.566462,0.414053,0.425948,0.455229,0.838879,0.936633,0.828342,0.638344,0.831423,0.918505,0.939912,0.910453,0.913529,0.715494,0.34368,0.8426,0.63362,0.881758,0.590385,0.600861,0.581096,0.786652,0.479769,0.800761,0.814421,0.176629,0.849229,0.474071,0.795975,0.80369,0.980238,0.519507,0.50853,0.595869,0.392346,0.657082,0.302539,0.882745,0.341343,0.666752,0.269404,0.962129,0.148129,0.874742,0.109248,0.318594,0.187822,0.205921,0.181984,5.38311e-05,0.662388,9.63881e-05,0.613833,0.000270619,0.552116,0.000253739,0.520156,0.000303908,0.345749,0.0200355,0.235816,0.000366528,0.325973,0.850652,0.000389062,0.0021388,0.298882,0.002836,0.279687,0.54469,0.0193352,0.576843,0.00102893,0.444119,0.00311001,0.410336,0.00257293,0.405127,0.0029917,0.0133227,0.166374,0.260463,0.0445278,0.283296,0.0393498,0.130344,0.0850893,0.17871,0.0695482,0.0815712,0.108487,0.112489,0.0913007,0.0585567,0.0656619,0.0902433,0.0509361,
180,0.625124,0.779033,0.934647,0.925982,0.901215,0.93072,0.692923,0.349704,0.827435,0.621125,0.862284,0.596107,0.573884,0.621866,0.762674,0.458846,0.811027,0.83305,0.18264,0.822018,0.478431,0.820205,0.819396,0.973773,0.895559,0.852974,0.534984,0.487391,0.569058,0.579293,0.261487,0.56459,0.860936,0.332968,0.591168,0.401148,0.478537,0.860991,0.389819,0.41495,0.672424,0.306816,0.645147,0.254288,0.967874,0.132117,0.889236,0.0956885,0.287767,0.15886,5.38311e-05,0.662666,9.63881e-05,0.610938,0.000270619,0.544968,0.000253739,0.515599,0.187931,0.159101,0.00477116,0.309309,0.00142226,0.339499,0.832971,0.000389062,0.0021388,0.275558,0.0200355,0.220193,0.002836,0.242125,0.539595,0.00986216,0.565376,0.00102893,0.443243,0.00271435,0.401942,0.00257293,0.398045,0.00418731,0.0133227,0.164845,0.282963,0.0388387,0.260365,0.043263,0.13016,0.0841809,0.0783221,0.108008,0.175329,0.0681114,0.112312,0.0908968,0.0587329,0.0653811,0.089918,0.0510679,
190,0.865087,0.6063,0.55569,0.628227,0.785323,0.474896,0.82899,0.835955,0.171958,0.792549,0.47916,0.802582,0.813491,0.956472,0.889123,0.86169,0.833524,0.646761,0.58459,0.551714,0.855138,0.913361,0.898253,0.322615,0.582052,0.396054,0.475036,0.853578,0.63844,0.771249,0.951267,0.944831,0.538142,0.476234,0.215451,0.580228,0.693338,0.314228,0.342945,0.40851,0.679102,0.365606,0.639682,0.21145,0.942897,0.0897141,0.857457,0.0796406,5.38311e-05,0.622197,9.63881e-05,0.596655,0.267091,0.130477,0.000253739,0.506472,0.000270619,0.502279,0.161486,0.155771,0.00142226,0.334554,0.797903,0.000389062,0.00403085,0.282206,0.0021388,0.243927,0.002836,0.238074,0.0200355,0.204365,0.539202,0.00102893,0.493723,0.00986216,0.397327,0.00418731,0.386523,0.00271435,0.388661,0.00563101,0.0139379,0.162531,0.279166,0.037777,0.253389,0.043263,0.174733,0.0676639,0.129723,0.0826547,0.111739,0.0905868,0.0774934,0.107517,0.058744,0.0653198,0.0894598,0.0511237,
200,0.485701,0.785837,0.79967,0.938941,0.922351,0.860372,0.836128,0.670765,0.597769,0.572537,0.847519,0.885747,0.913155,0.309772,0.573528,0.388044,0.470744,0.828823,0.636349,0.743723,0.985496,0.968917,0.82138,0.493492,0.193918,0.80236,0.692202,0.326092,0.561767,0.650101,0.537485,0.473388,0.8757,0.621966,0.798739,0.88737,0.190566,0.578543,0.363101,0.396963,0.665794,0.358204,0.636839,0.207436,0.928033,0.0622101,0.842212,0.0468593,5.38311e-05,0.620689,9.63881e-05,0.571602,0.000270619,0.483692,0.000253739,0.469592,0.153938,0.142903,0.242009,0.105122,0.00142226,0.331769,0.766121,0.000389062,0.00569955,0.224509,0.00403085,0.215194,0.00552771,0.20543,0.52522,0.00102893,0.485959,0.0023162,0.397327,0.00418731,0.0200355,0.161049,0.386523,0.00675712,0.380973,0.00563101,0.0172366,0.155125,0.277153,0.0342501,0.250066,0.0418798,0.110641,0.0898476,0.17293,0.0662535,0.0765693,0.105914,0.128832,0.082196,0.058921,0.0653198,0.0894598,0.0512168,
