l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
param_0,0.51972,0.0827403,0.0791422,0.0815823,0.0789315,0.0804797,0.0808443,0.0829789,0.0829789,0.0850905,0.0834839,0.0834839,0.0816726,0.0814445,0.0808588,0.0808588,0.0808588,0.0807743,0.0807743,0.0810804,0.080796,0.0808686,0.0808185,0.0807602,0.0807934,0.0807178,0.0807617,0.0807452,0.0807126,0.0807574,0.0807463,0.0807423,0.0807394,0.0807394,0.0807356,0.0807352,0.0807415,0.0807384,0.0807427,0.0807392,0.0807378,0.0807371,0.0807339,0.0807377,0.0807349,0.0807357,0.0807367,0.0807353,0.0807349,0.0807353,
param_1,0.883698,0.0534719,0.0556038,0.0537645,0.0556353,0.055427,0.0539646,0.05318,0.05318,0.0529033,0.0532933,0.0532933,0.0543487,0.0543992,0.0545787,0.0545787,0.0545787,0.0545215,0.0545215,0.054445,0.0545672,0.0545452,0.0545106,0.0545761,0.0545592,0.0545719,0.0545453,0.0545502,0.0545782,0.0545457,0.0545423,0.0545578,0.0545517,0.0545517,0.0545587,0.0545531,0.0545503,0.0545529,0.0545508,0.0545539,0.0545534,0.0545541,0.0545553,0.0545535,0.054555,0.0545539,0.0545536,0.0545544,0.0545545,0.0545544,
