mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
2200,0.864583,0.846154,0.931818,0.901786,0.840909,0.830357,0.8125,0.846154,0.87156,0.89011,0.850467,0.827957,0.9,0.8,0.794393,0.795699,0.835165,0.825688,0.778947,0.780952,0.803738,0.827957,0.78,0.84,0.83908,0.761062,0.815534,0.639175,0.765217,0.705882,0.683673,0.637255,0.716981,0.62766,0.654206,0.494624,0.690722,0.699029,0.648352,0.577982,0.571429,0.631579,0.656566,0.633663,0.62766,0.613208,0.697917,0.538462,0.571429,0.647727,0.576577,0.516854,0.6,0.59,0.65625,0.548077,0.648936,0.641509,0.615385,0.638554,0.505618,0.576577,0.573171,0.576271,0.586538,0.552083,0.541667,0.528846,0.663158,0.638095,0.511111,0.618182,0.636364,0.5,0.574468,0.688679,0.653846,0.583333,0.54,0.48,0.670732,0.627119,0.673077,0.635417,0.539216,0.571429,0.631068,0.618557,0.588785,0.516129,0.653465,0.565657,0.628866,0.533981,0.643564,0.606061,0.56044,0.605505,0.564356,0.606061,
2400,0.809524,0.747368,0.819149,0.650943,0.783505,0.786408,0.762887,0.776699,0.828829,0.741573,0.7,0.809091,0.778846,0.760417,0.797872,0.792453,0.811111,0.754545,0.768421,0.771429,0.686275,0.704082,0.815534,0.701031,0.735294,0.693878,0.78,0.79,0.715686,0.653061,0.72093,0.719298,0.635135,0.619048,0.586538,0.645833,0.631579,0.666667,0.563107,0.721649,0.568807,0.626374,0.707547,0.744681,0.71875,0.576923,0.5625,0.644231,0.670213,0.650943,0.554348,0.666667,0.669903,0.597938,0.641509,0.585106,0.682243,0.688172,0.561905,0.621053,0.60396,0.646465,0.54902,0.540816,0.488636,0.5625,0.718447,0.597938,0.663462,0.5625,0.556604,0.659574,0.612245,0.617647,0.53271,0.612903,0.53125,0.596154,0.514851,0.646465,0.621359,0.536082,0.595506,0.531532,0.605769,0.5625,0.56383,0.54717,0.516129,0.588785,0.525253,0.554455,0.644444,0.645455,0.615385,0.645833,0.51,0.63,0.638298,0.59434,
2600,0.736842,0.790476,0.757576,0.821782,0.757282,0.731959,0.769231,0.761468,0.72549,0.755102,0.778761,0.770115,0.76,0.79,0.752577,0.796117,0.797753,0.657658,0.747368,0.714286,0.783505,0.718447,0.752809,0.747748,0.772277,0.707071,0.663158,0.6,0.605505,0.571429,0.758242,0.59633,0.614679,0.747253,0.663158,0.6,0.622222,0.463636,0.62766,0.566038,0.683673,0.5,0.666667,0.454545,0.62963,0.597826,0.584158,0.565657,0.638298,0.575472,0.634615,0.572917,0.692308,0.510417,0.57,0.54,0.564356,0.646465,0.625,0.526786,0.575221,0.505747,0.578947,0.561905,0.681034,0.595238,0.526316,0.590476,0.542553,0.518868,0.588785,0.55914,0.470588,0.571429,0.557895,0.6,0.504673,0.645161,0.568627,0.571429,0.544554,0.545455,0.558824,0.632653,0.6125,0.608333,0.536842,0.619048,0.5,0.571429,0.594828,0.583333,0.638095,0.578947,0.5625,0.615385,0.678161,0.522124,0.686869,0.633663,
2800,0.758242,0.733945,0.762376,0.757576,0.773196,0.68932,0.760417,0.75,0.75,0.7,0.675676,0.651685,0.757576,0.752475,0.728972,0.709677,0.64,0.74,0.759259,0.75,0.683168,0.717172,0.702703,0.640449,0.766355,0.655914,0.653061,0.686275,0.75,0.596154,0.779817,0.615385,0.634783,0.6,0.591398,0.53271,0.694737,0.647619,0.636364,0.633663,0.581395,0.649123,0.568627,0.571429,0.66055,0.637363,0.609524,0.6,0.616162,0.663366,0.537037,0.456522,0.61165,0.525773,0.533981,0.628866,0.601942,0.618557,0.545455,0.598214,0.520408,0.480392,0.546512,0.578947,0.64486,0.634409,0.548387,0.579439,0.587629,0.61165,0.603774,0.531915,0.55102,0.578431,0.536082,0.582524,0.645833,0.509615,0.598131,0.55914,0.630435,0.657407,0.552083,0.596154,0.598039,0.571429,0.606061,0.663366,0.651685,0.558559,0.585859,0.613861,0.580952,0.589474,0.627451,0.5,0.613636,0.633929,0.574257,0.626263,
3000,0.649573,0.674699,0.627451,0.755102,0.59,0.69,0.711538,0.697917,0.680851,0.783019,0.672727,0.711111,0.546392,0.650485,0.62963,0.695652,0.642857,0.666667,0.770833,0.721154,0.72043,0.635514,0.742268,0.699029,0.686275,0.642857,0.706522,0.601852,0.640449,0.522523,0.645833,0.615385,0.67,0.57,0.631068,0.608247,0.656566,0.594059,0.693069,0.525253,0.616822,0.55914,0.637255,0.673469,0.52,0.59,0.650485,0.536082,0.540816,0.578431,0.616071,0.522727,0.584158,0.59596,0.569892,0.654206,0.6,0.663158,0.632184,0.637168,0.565657,0.70297,0.716981,0.638298,0.558824,0.55102,0.632075,0.585106,0.683673,0.568627,0.578947,0.504762,0.63,0.57,0.583333,0.596154,0.63964,0.561798,0.605769,0.708333,0.536842,0.495238,0.622222,0.590909,0.595506,0.54955,0.70297,0.616162,0.62,0.67,0.640449,0.585586,0.682692,0.645833,0.56044,0.605505,0.684211,0.685714,0.645455,0.622222,
3200,0.610526,0.657143,0.663043,0.601852,0.71134,0.699029,0.7,0.6,0.673913,0.62037,0.754902,0.591837,0.67619,0.694737,0.728261,0.703704,0.706522,0.62037,0.717172,0.643564,0.660377,0.62766,0.596491,0.569767,0.646465,0.643564,0.617647,0.602041,0.68,0.65,0.633663,0.555556,0.650485,0.525773,0.674419,0.657895,0.614583,0.596154,0.67,0.54,0.726316,0.571429,0.589474,0.571429,0.570093,0.591398,0.602151,0.598131,0.645833,0.538462,0.516484,0.642202,0.588889,0.6,0.575758,0.613861,0.479592,0.617647,0.627451,0.591837,0.531532,0.685393,0.5,0.579545,0.712871,0.606061,0.619048,0.621053,0.512195,0.720339,0.626263,0.60396,0.587719,0.639535,0.642105,0.542857,0.571429,0.594828,0.602564,0.557377,0.686275,0.571429,0.651786,0.511364,0.612245,0.54902,0.676768,0.50495,0.608696,0.62037,0.570093,0.677419,0.652632,0.619048,0.60177,0.758621,0.61,0.57,0.617647,0.530612,
3400,0.690722,0.660194,0.616822,0.677419,0.592233,0.659794,0.484848,0.633663,0.712871,0.737374,0.655914,0.775701,0.576923,0.677083,0.62963,0.652174,0.736364,0.766667,0.621359,0.701031,0.695238,0.621053,0.67033,0.66055,0.625,0.645833,0.680412,0.708738,0.464646,0.50495,0.653846,0.447917,0.621359,0.546392,0.625,0.6125,0.613861,0.535354,0.604651,0.666667,0.561905,0.578947,0.696078,0.602041,0.648936,0.54717,0.566038,0.531915,0.606742,0.684685,0.59434,0.638298,0.59596,0.574257,0.701031,0.592233,0.56,0.58,0.563107,0.597938,0.693878,0.588235,0.59,0.53,0.613208,0.585106,0.660377,0.595745,0.558559,0.573034,0.616162,0.554455,0.59434,0.585106,0.580952,0.589474,0.648148,0.608696,0.636364,0.526786,0.594059,0.535354,0.585859,0.534653,0.666667,0.633663,0.584158,0.626263,0.564706,0.6,0.5625,0.605769,0.546392,0.553398,0.636364,0.653465,0.577778,0.563636,0.614679,0.681319,
3600,0.593407,0.587156,0.628866,0.631068,0.616162,0.564356,0.62963,0.586957,0.529412,0.612245,0.645455,0.666667,0.627451,0.612245,0.604396,0.559633,0.588235,0.652174,0.574257,0.626263,0.653846,0.677083,0.659341,0.651376,0.708738,0.659794,0.586538,0.65625,0.680851,0.735849,0.65,0.69,0.591837,0.637255,0.589474,0.638095,0.607843,0.673469,0.568807,0.659341,0.576577,0.52809,0.508929,0.590909,0.63,0.62,0.544643,0.647727,0.577778,0.545455,0.639175,0.582524,0.519608,0.632653,0.523256,0.614035,0.615385,0.614583,0.587719,0.604651,0.607477,0.741935,0.638298,0.528302,0.57732,0.524272,0.606838,0.566265,0.598039,0.663265,0.484536,0.650485,0.556701,0.621359,0.642857,0.607843,0.627273,0.666667,0.597826,0.611111,0.586538,0.625,0.542056,0.548387,0.520408,0.705882,0.516484,0.550459,0.682243,0.666667,0.509091,0.522222,0.539216,0.663265,0.631579,0.6,0.598131,0.655914,0.607477,0.516129,
3800,0.663265,0.656863,0.621622,0.58427,0.617978,0.648649,0.572917,0.711538,0.648148,0.619565,0.702128,0.603774,0.602273,0.571429,0.576087,0.648148,0.670103,0.572816,0.676471,0.642857,0.697674,0.763158,0.509615,0.708333,0.650485,0.721649,0.53125,0.682692,0.621053,0.761905,0.645833,0.692308,0.582418,0.697248,0.626374,0.642202,0.541667,0.557692,0.528736,0.566372,0.561404,0.674419,0.641509,0.606383,0.609756,0.559322,0.583333,0.538462,0.619565,0.583333,0.605505,0.56044,0.588235,0.622449,0.513761,0.615385,0.59,0.54,0.545455,0.553571,0.550459,0.505495,0.509259,0.521739,0.47,0.58,0.563636,0.644444,0.6,0.589474,0.657143,0.663158,0.663043,0.611111,0.574257,0.515152,0.54955,0.606742,0.69,0.69,0.551402,0.645161,0.617021,0.613208,0.53,0.61,0.540816,0.676471,0.683168,0.575758,0.655556,0.554545,0.686869,0.643564,0.607843,0.581633,0.650602,0.529915,0.568807,0.56044,
4000,0.5,0.608696,0.644231,0.625,0.6,0.578947,0.611111,0.563636,0.553398,0.659794,0.692308,0.633028,0.755102,0.666667,0.653846,0.59375,0.5,0.586538,0.591398,0.607477,0.642857,0.656863,0.597938,0.61165,0.618557,0.669903,0.647619,0.684211,0.613208,0.574468,0.607143,0.517241,0.682353,0.547826,0.62766,0.556604,0.621622,0.58427,0.682692,0.572917,0.524272,0.587629,0.613208,0.755319,0.659091,0.625,0.529915,0.60241,0.690722,0.601942,0.646465,0.544554,0.603774,0.680851,0.638095,0.610526,0.626168,0.602151,0.535354,0.594059,0.580952,0.515789,0.653465,0.676768,0.575758,0.584158,0.541667,0.576923,0.598039,0.612245,0.634783,0.588235,0.626374,0.568807,0.553571,0.568182,0.602041,0.598039,0.574257,0.626263,0.58,0.62,0.603604,0.674157,0.618557,0.533981,0.504587,0.582418,0.576087,0.592593,0.642202,0.56044,0.660377,0.553191,0.646465,0.574257,0.646465,0.613861,0.612613,0.595506,
