mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
2800,0.995,1,0.996429,0.997143,0.996429,0.993571,0.988571,0.982857,0.968571,0.957857,0.936429,0.908571,0.858571,0.810714,0.694286,0.692857,0.644286,0.637857,0.665,0.682143,0.614286,0.645714,0.627857,0.600714,0.614286,0.627857,0.637857,0.673571,0.649286,0.635714,0.645,0.672857,0.654286,0.647143,0.660714,0.655,0.692143,0.663571,0.664286,0.670714,0.692143,0.672143,0.681429,0.670714,0.692143,0.666429,0.659286,0.621429,0.600714,
3000,0.994667,1,0.996667,0.997333,0.996,0.993333,0.988,0.981333,0.967333,0.956,0.932667,0.907333,0.852,0.808,0.696,0.689333,0.648,0.637333,0.670667,0.684,0.624667,0.651333,0.635333,0.609333,0.622,0.636667,0.647333,0.678667,0.649333,0.646,0.652667,0.677333,0.653333,0.662,0.668667,0.655333,0.692667,0.668667,0.67,0.677333,0.696667,0.680667,0.688667,0.674667,0.694,0.667333,0.663333,0.625333,0.612667,
3200,0.995,1,0.996875,0.9975,0.99625,0.9925,0.988125,0.981875,0.96625,0.953125,0.929375,0.90625,0.85625,0.799375,0.695625,0.6825,0.64625,0.64625,0.675625,0.69,0.615625,0.65875,0.63625,0.619375,0.630625,0.6475,0.653125,0.685,0.646875,0.646875,0.660625,0.68,0.65875,0.665625,0.674375,0.663125,0.69875,0.668125,0.674375,0.67625,0.69375,0.683125,0.69375,0.679375,0.696875,0.67375,0.665,0.6325,0.61875,
3400,0.995294,1,0.997059,0.997647,0.995882,0.992941,0.988235,0.98,0.967647,0.951176,0.928235,0.902353,0.852941,0.794118,0.696471,0.685294,0.651765,0.653529,0.678235,0.688824,0.621765,0.665294,0.642941,0.625294,0.635294,0.652941,0.66,0.687059,0.651765,0.654118,0.667647,0.684118,0.660588,0.667059,0.673529,0.671765,0.707059,0.676471,0.677059,0.682941,0.692353,0.683529,0.701176,0.682941,0.7,0.680588,0.665882,0.638235,0.624706,
3600,0.995556,1,0.997222,0.997778,0.996111,0.992778,0.987778,0.980556,0.967778,0.951667,0.926667,0.897222,0.85,0.797222,0.692778,0.679444,0.653889,0.658889,0.681111,0.690556,0.631111,0.672222,0.646667,0.634444,0.642222,0.657778,0.667222,0.688889,0.651667,0.654444,0.670556,0.688333,0.665556,0.673333,0.681111,0.678333,0.708333,0.679444,0.679444,0.689444,0.683889,0.687222,0.707778,0.685,0.698333,0.683889,0.667778,0.647778,0.628333,
3800,0.995789,0.998947,0.997368,0.997368,0.995789,0.992632,0.988421,0.981053,0.966316,0.947368,0.925263,0.895263,0.848947,0.797368,0.691579,0.674211,0.656316,0.661053,0.681053,0.693684,0.635789,0.678947,0.646316,0.64,0.648421,0.664211,0.669474,0.692105,0.653158,0.657368,0.672105,0.69,0.673158,0.672632,0.686316,0.684211,0.713684,0.676316,0.68,0.691053,0.687368,0.692632,0.711053,0.686842,0.699474,0.681053,0.672105,0.652105,0.631053,
4000,0.996,0.9985,0.9975,0.9975,0.9955,0.992,0.9885,0.9785,0.966,0.9475,0.9255,0.8955,0.8485,0.7935,0.6855,0.677,0.66,0.667,0.684,0.6955,0.636,0.687,0.6555,0.638,0.655,0.6715,0.674,0.6935,0.6605,0.6565,0.6725,0.693,0.673,0.6745,0.688,0.686,0.7155,0.675,0.679,0.698,0.6905,0.698,0.713,0.69,0.702,0.6885,0.6735,0.6565,0.635,
4200,0.99619,0.998571,0.997619,0.997143,0.995238,0.992381,0.989048,0.979048,0.96619,0.945238,0.924762,0.890952,0.849048,0.790476,0.686667,0.675714,0.66381,0.668095,0.680476,0.69619,0.638095,0.69,0.664286,0.640476,0.66,0.675714,0.677619,0.697619,0.667619,0.656667,0.677619,0.694762,0.67619,0.678571,0.688095,0.690476,0.714286,0.677619,0.682857,0.699524,0.693333,0.700952,0.717619,0.69,0.70619,0.68619,0.67381,0.659048,0.639524,
4400,0.996364,0.998182,0.996364,0.997273,0.994545,0.992727,0.989091,0.98,0.964545,0.944091,0.923636,0.888636,0.844091,0.786364,0.685,0.677273,0.667273,0.668182,0.680455,0.697273,0.644545,0.69,0.666364,0.646364,0.665,0.680909,0.681818,0.696364,0.668636,0.66,0.681818,0.697273,0.676364,0.683182,0.694545,0.696364,0.717727,0.682273,0.684545,0.699545,0.690909,0.703636,0.717727,0.695,0.71,0.687727,0.679091,0.661818,0.645,
4600,0.996522,0.998261,0.996522,0.997391,0.994348,0.992609,0.989565,0.98,0.965652,0.944783,0.922609,0.887826,0.842174,0.788696,0.686087,0.675217,0.667826,0.672609,0.686087,0.697391,0.648261,0.687826,0.669565,0.64913,0.664348,0.685652,0.686957,0.699565,0.675652,0.66087,0.688696,0.7,0.681739,0.684783,0.695652,0.697391,0.716087,0.687391,0.688696,0.704783,0.69087,0.704783,0.720435,0.697391,0.711739,0.689565,0.682609,0.661739,0.644783,
