mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,1,1,0.99,0.99,0.99,0.97,0.99,0.98,0.94,0.92,0.84,0.85,0.77,0.73,0.52,0.37,0.58,0.54,0.45,0.27,0.26,0.29,0.22,0.2,0.31,0.3,0.3,0.26,0.23,0.35,0.28,0.27,0.37,0.34,0.39,0.35,0.34,0.31,0.29,0.27,0.21,0.13,0.11,0.05,
400,1,1,1,1,1,1,1,0.995,0.995,0.99,0.985,0.98,0.985,0.96,0.925,0.88,0.855,0.75,0.57,0.26,0.23,0.335,0.44,0.3,0.175,0.23,0.26,0.275,0.28,0.305,0.29,0.25,0.185,0.195,0.23,0.265,0.27,0.36,0.29,0.32,0.325,0.325,0.305,0.335,0.265,0.255,0.17,0.085,0.03,
600,1,1,1,1,1,1,1,0.993333,0.986667,0.986667,0.973333,0.966667,0.98,0.96,0.91,0.863333,0.763333,0.576667,0.463333,0.236667,0.29,0.373333,0.396667,0.243333,0.14,0.17,0.243333,0.26,0.26,0.313333,0.303333,0.266667,0.223333,0.23,0.303333,0.333333,0.336667,0.413333,0.376667,0.396667,0.386667,0.373333,0.353333,0.35,0.3,0.286667,0.23,0.133333,0.05,
800,1,1,1,1,1,0.9975,1,0.995,0.98,0.985,0.9625,0.965,0.9675,0.9325,0.85,0.765,0.695,0.5225,0.4725,0.2625,0.3175,0.3625,0.4625,0.3525,0.3125,0.2925,0.35,0.4,0.3775,0.4,0.395,0.375,0.3475,0.36,0.38,0.42,0.4075,0.49,0.425,0.435,0.415,0.4075,0.3975,0.4025,0.325,0.3325,0.27,0.2175,0.125,
1000,1,1,1,1,1,0.998,1,0.988,0.98,0.978,0.952,0.956,0.94,0.894,0.802,0.706,0.664,0.51,0.486,0.354,0.384,0.454,0.518,0.434,0.408,0.362,0.42,0.478,0.452,0.46,0.48,0.456,0.424,0.442,0.47,0.494,0.456,0.554,0.474,0.498,0.486,0.478,0.454,0.468,0.394,0.424,0.362,0.31,0.25,
1200,1,1,1,1,1,0.996667,0.996667,0.986667,0.981667,0.971667,0.948333,0.936667,0.931667,0.853333,0.77,0.68,0.653333,0.548333,0.526667,0.413333,0.433333,0.498333,0.54,0.483333,0.48,0.431667,0.481667,0.526667,0.5,0.506667,0.521667,0.513333,0.476667,0.486667,0.521667,0.54,0.508333,0.601667,0.533333,0.558333,0.536667,0.525,0.496667,0.511667,0.448333,0.47,0.423333,0.39,0.323333,
1400,1,1,1,0.998571,0.995714,0.997143,0.995714,0.984286,0.984286,0.971429,0.945714,0.928571,0.93,0.83,0.757143,0.657143,0.651429,0.568571,0.534286,0.451429,0.478571,0.542857,0.574286,0.505714,0.518571,0.475714,0.514286,0.557143,0.548571,0.547143,0.557143,0.537143,0.508571,0.52,0.54,0.577143,0.551429,0.63,0.564286,0.587143,0.567143,0.55,0.524286,0.544286,0.492857,0.512857,0.478571,0.44,0.378571,
1600,0.99875,1,1,0.99875,0.995,0.995,0.99375,0.9825,0.9825,0.96875,0.94625,0.915,0.91375,0.8175,0.73625,0.6625,0.64875,0.5825,0.54375,0.49125,0.51125,0.58375,0.595,0.53,0.55125,0.50875,0.54,0.57125,0.5775,0.5675,0.57375,0.565,0.54125,0.54375,0.5675,0.59,0.575,0.65,0.57875,0.6,0.5825,0.5625,0.5625,0.56375,0.5325,0.545,0.52125,0.475,0.4075,
1800,0.998889,1,0.998889,0.998889,0.995556,0.994444,0.993333,0.98,0.978889,0.964444,0.94,0.912222,0.901111,0.8,0.726667,0.667778,0.653333,0.601111,0.553333,0.508889,0.54,0.606667,0.608889,0.538889,0.574444,0.54,0.572222,0.593333,0.594444,0.585556,0.585556,0.584444,0.564444,0.564444,0.597778,0.6,0.6,0.662222,0.598889,0.607778,0.596667,0.584444,0.575556,0.586667,0.557778,0.547778,0.544444,0.512222,0.443333,
2000,0.999,1,0.998,0.999,0.996,0.994,0.993,0.979,0.974,0.958,0.937,0.907,0.892,0.797,0.73,0.672,0.651,0.609,0.563,0.533,0.562,0.623,0.623,0.559,0.597,0.553,0.588,0.6,0.608,0.599,0.609,0.602,0.58,0.585,0.605,0.612,0.614,0.669,0.608,0.623,0.615,0.593,0.581,0.6,0.574,0.57,0.555,0.526,0.466,
