mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.864158,0.778498,0.0164011,0.495408,0.45755,0.831897,0.414544,0.706081,0.161776,0.72754,0.223422,0.914126,0.987913,0.0920898,0.557368,0.399681,0.578584,0.147885,0.947675,0.0579314,0.523433,0.514624,0.691593,0.426432,0.17083,0.697821,0.829063,0.973774,0.549671,0.941081,0.0868315,0.509029,0.770882,0.501025,0.41807,0.848454,0.718013,0.945419,0.534699,0.547548,0.843808,0.512142,0.419241,0.113894,0.515087,0.419262,0.706646,0.812759,0.0453977,0.518777,0.915513,0.513603,0.0552866,0.334706,0.251155,0.741662,0.564773,0.844397,0.00584178,0.964508,0.211601,0.861638,0.0425759,0.672198,0.883006,0.803071,0.653507,0.949279,0.585981,0.194103,0.271713,0.848811,0.380996,0.771626,0.00258229,0.541715,0.895618,0.489668,0.338936,0.114449,0.330621,0.529317,0.916137,0.204696,0.301112,0.997075,0.722965,0.762141,0.893884,0.223623,0.350677,0.932433,0.591704,0.384501,0.599169,0.68469,0.990121,0.244063,0.456427,0.11166,
20,0.234336,0.891157,0.985754,0.100571,0.581577,0.38251,0.857906,0.733359,0.945528,0.04549,0.50371,0.491373,0.686131,0.447554,0.182,0.691253,0.821012,0.961437,0.164833,0.686051,0.572275,0.912289,0.761267,0.498921,0.407888,0.835965,0.713249,0.972861,0.462768,0.874165,0.844072,0.508665,0.451314,0.725682,0.0290085,0.480249,0.69501,0.826228,0.53714,0.560339,0.918321,0.486563,0.561442,0.146142,0.220042,0.740093,0.549605,0.818511,0.0824997,0.51544,0.20839,0.838827,0.492638,0.379199,0.884612,0.749018,0.652426,0.94289,0.419851,0.0645753,0.260995,0.847566,0.00608691,0.491579,0.365264,0.749,0.00675777,0.311534,0.889779,0.458304,0.000823944,0.935259,0.323506,0.529317,0.299144,0.959082,0.721579,0.760428,0.0225204,0.661684,0.349167,0.932321,0.550856,0.179146,0.597452,0.68337,0.00258229,0.515782,0.590733,0.384438,0.33286,0.111627,0.989667,0.243801,0.914472,0.203956,0.893855,0.222985,0.456374,0.111484,
30,0.503765,0.491614,0.63328,0.463566,0.200669,0.724853,0.819245,0.970738,0.138887,0.680048,0.5738,0.892775,0.789596,0.484456,0.406966,0.845422,0.714979,0.988581,0.449755,0.885523,0.862067,0.509452,0.433526,0.724902,0.264212,0.903912,0.700685,0.807972,0.857482,0.740832,0.91497,0.465291,0.96736,0.0336038,0.244443,0.735415,0.524746,0.856382,0.598352,0.388466,0.201447,0.831862,0.537805,0.578275,0.908883,0.759656,0.639699,0.900739,0.980813,0.104473,0.226375,0.848135,0.0233036,0.448749,0.343144,0.70911,0.538518,0.139715,0.871378,0.439616,0.0454808,0.51544,0.313893,0.513943,0.274632,0.921483,0.675754,0.727981,0.49059,0.359185,0.313367,0.926776,0.386032,0.030718,0.560375,0.68337,0.00172866,0.486593,0.590166,0.375741,0.000321621,0.297207,0.988935,0.243087,0.000348935,0.919978,0.893527,0.221542,0.0177869,0.658974,0.914411,0.203308,0.549286,0.17839,0.456068,0.11106,0.00209823,0.514348,0.332834,0.111412,
40,0.566514,0.886505,0.908003,0.479222,0.396035,0.867328,0.735497,0.954799,0.470876,0.896121,0.866416,0.535722,0.4419,0.698559,0.297585,0.900156,0.696723,0.80439,0.80229,0.9437,0.690465,0.459391,0.52777,0.48988,0.21449,0.769662,0.502711,0.872763,0.78474,0.707791,0.0907965,0.691382,0.545385,0.557201,0.945771,0.765594,0.652689,0.941096,0.156843,0.824224,0.192339,0.835076,0.940069,0.467576,0.312054,0.720167,0.216091,0.706225,0.889646,0.399577,0.947498,0.0266065,0.598193,0.361258,0.236409,0.899099,0.648924,0.725348,0.300946,0.471172,0.29188,0.911877,0.97519,0.0563788,0.527995,0.683328,0.0153953,0.434495,0.554087,0.35343,0.538518,0.107144,0.458868,0.352465,0.0147636,0.512026,0.964492,0.230602,0.882223,0.215221,0.911673,0.202995,0.383982,0.0244064,0.0171132,0.656474,0.000223299,0.486593,0.000348935,0.919501,0.00100819,0.294332,0.548158,0.177897,0.455768,0.110564,0.00208509,0.514022,0.332787,0.111371,
50,0.868145,0.533051,0.468122,0.709793,0.31303,0.941865,0.71819,0.782632,0.790915,0.944664,0.69407,0.455006,0.513664,0.490008,0.21354,0.788608,0.51989,0.882819,0.761507,0.735206,0.095139,0.693086,0.528178,0.530325,0.960827,0.768219,0.661872,0.932612,0.377574,0.87064,0.571872,0.889828,0.72188,0.963801,0.504454,0.91591,0.220958,0.811941,0.895732,0.475989,0.339254,0.731116,0.946998,0.440122,0.236202,0.890686,0.657214,0.72212,0.149712,0.76101,0.293385,0.907388,0.219252,0.701741,0.525099,0.649641,0.911922,0.39175,0.567489,0.350555,0.271533,0.471172,0.513838,0.332524,0.924604,0.0090318,0.410766,0.332995,0.960234,0.199118,0.868421,0.18345,0.90704,0.186163,0.941131,0.0398966,0.0144921,0.647998,0.00411392,0.419684,9.39507e-05,0.917743,0.547185,0.175682,0.534897,0.0986499,0.013397,0.502375,0.00110707,0.513032,0.455093,0.110129,0.375961,0.0240361,0.332787,0.110885,0.000223299,0.485801,0.000859848,0.293794,
60,0.718851,0.432817,0.532945,0.481495,0.21548,0.797533,0.499853,0.866194,0.77019,0.759486,0.0909871,0.681439,0.51115,0.539663,0.982091,0.700725,0.681412,0.942753,0.875312,0.554381,0.578714,0.912584,0.729068,0.952402,0.51754,0.927495,0.230461,0.831151,0.891339,0.494535,0.720003,0.755986,0.359303,0.855815,0.447965,0.720816,0.645878,0.70973,0.337535,0.965035,0.332958,0.730458,0.293385,0.911274,0.800768,0.97878,0.500855,0.632973,0.20631,0.866926,0.954462,0.434043,0.892086,0.384079,0.219091,0.682981,0.143802,0.729141,0.254286,0.420715,0.533221,0.324854,0.513838,0.315831,0.951454,0.197198,0.37584,0.319068,0.873332,0.174314,0.847894,0.175544,0.541901,0.165237,0.887383,0.00202135,0.0040608,0.634022,9.39507e-05,0.905109,0.00762397,0.498196,0.53405,0.0957287,0.454751,0.109634,0.935236,0.0387824,0.00089267,0.512452,0.00222432,0.415754,0.332552,0.110623,0.000140607,0.485607,0.000832319,0.293743,0.375881,0.0235775,
70,0.101984,0.642167,0.489577,0.568767,0.981804,0.721414,0.684926,0.922417,0.882605,0.557461,0.596231,0.919415,0.717348,0.979118,0.585983,0.975376,0.237539,0.827341,0.881152,0.501877,0.702124,0.742688,0.346571,0.878395,0.726057,0.776084,0.676579,0.697586,0.289188,0.953773,0.447394,0.7418,0.299935,0.899755,0.813549,0.989311,0.504995,0.869903,0.720151,0.416413,0.351738,0.73215,0.191435,0.842009,0.479478,0.610243,0.194589,0.810664,0.956219,0.417962,0.523552,0.423219,0.214295,0.665134,0.851555,0.386123,0.13192,0.704147,0.522781,0.289203,0.232714,0.38601,0.471426,0.27559,0.906993,0.191769,0.365552,0.306475,0.854947,0.143881,0.842715,0.155511,9.39507e-05,0.868056,0.512935,0.144865,0.0040608,0.60264,0.00438222,0.495744,0.450586,0.10593,0.528022,0.0908356,0.92794,0.036804,0.879615,0.00202135,0.000440766,0.510006,0.331099,0.109556,0.00157992,0.414473,0.000137258,0.485227,0.000832319,0.293689,0.375758,0.023322,
80,0.595032,0.941366,0.727263,0.961831,0.61264,0.943984,0.234114,0.84257,0.891671,0.511482,0.711722,0.727419,0.337872,0.854818,0.7253,0.797418,0.680926,0.657325,0.303722,0.939989,0.444772,0.732911,0.322372,0.886835,0.819535,0.968357,0.510575,0.885748,0.966394,0.752897,0.402564,0.744329,0.676641,0.907375,0.908247,0.570891,0.212151,0.764604,0.492347,0.614294,0.170617,0.828566,0.462028,0.607809,0.920001,0.398306,0.201175,0.649936,0.851555,0.381647,0.710948,0.416525,0.0730066,0.662126,0.110264,0.674931,0.477577,0.393492,0.222134,0.370394,0.48127,0.265364,0.441304,0.270414,0.883678,0.175619,0.342546,0.301423,0.826654,0.13509,0.813598,0.129213,9.39507e-05,0.856415,0.00242334,0.564103,0.512936,0.12082,0.440768,0.101874,0.919393,0.036804,0.525,0.0860549,0.00126765,0.479181,0.000440766,0.507765,0.328767,0.109543,0.879119,0.00161917,0.000998448,0.413669,5.03047e-05,0.484975,0.000841593,0.293544,0.375314,0.0226703,
90,0.711182,0.696465,0.337693,0.897829,0.747301,0.777435,0.742123,0.656452,0.238744,0.917505,0.435179,0.73154,0.265969,0.877863,0.875433,0.985199,0.905272,0.471347,0.942576,0.694845,0.452334,0.703868,0.66048,0.892852,0.582091,0.948854,0.712475,0.977212,0.489238,0.873642,0.248432,0.824948,0.90419,0.576992,0.126563,0.833986,0.472485,0.631884,0.632651,0.915943,0.410277,0.599905,0.856522,0.334866,0.920001,0.357873,0.202142,0.71349,0.211519,0.614373,0.647219,0.361851,0.110264,0.616838,0.426449,0.38139,0.0371034,0.662126,0.42942,0.260595,0.42992,0.265024,0.219793,0.31579,0.329036,0.282072,0.881564,0.162347,0.792793,0.125413,0.77998,0.124309,9.39507e-05,0.853926,0.506687,0.115129,0.00242334,0.542675,0.429473,0.101359,0.915727,0.0327318,0.50943,0.0856789,0.000139088,0.476999,6.43936e-05,0.506369,0.328767,0.104839,0.878103,0.00161917,0.000666443,0.412728,4.24188e-06,0.484289,0.000841593,0.293325,0.375142,0.0225228,
100,0.413614,0.716439,0.269856,0.875067,0.838483,0.99413,0.892462,0.464006,0.919578,0.722182,0.447499,0.725559,0.6776,0.88188,0.617,0.944021,0.688917,0.994907,0.489235,0.918321,0.748531,0.719283,0.902714,0.551182,0.718655,0.690265,0.458733,0.641389,0.602054,0.901363,0.737458,0.776201,0.103728,0.81282,0.248854,0.808189,0.325113,0.889894,0.249338,0.886845,0.423359,0.54232,0.182848,0.71671,0.195063,0.610192,0.873371,0.357263,0.605799,0.357366,0.829957,0.289088,0.395849,0.375136,0.0726746,0.615208,0.0119181,0.647622,0.413637,0.265024,0.320638,0.276599,0.412672,0.223045,0.21546,0.293654,0.85697,0.127323,0.736126,0.115105,0.7692,0.11646,9.39507e-05,0.845242,0.00204874,0.511411,0.503541,0.0957668,0.429033,0.100069,0.497659,0.0856789,0.910139,0.0221244,0.327426,0.0951533,0.874594,0.00132746,6.43936e-05,0.500707,0.000139088,0.475442,4.24188e-06,0.483827,3.99604e-05,0.412615,0.000841593,0.292869,0.374943,0.0224305,
