mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,1,1,1,1,1,0.990099,0.98913,0.981481,1,1,0.990909,1,1,1,1,1,1,1,1,0.989362,1,1,1,1,1,1,1,0.979592,1,0.979798,0.990099,0.989899,1,0.981651,1,0.97,1,0.914894,0.963303,0.945055,0.934783,0.842593,0.871287,0.777778,0.802198,0.743119,0.708738,0.701031,0.657895,0.66129,0.57732,0.61165,0.655556,0.554545,0.518868,0.425532,0.430233,0.54386,0.470588,0.489796,0.432692,0.510417,0.421569,0.489796,0.406593,0.422018,0.411765,0.357143,0.48,0.46,0.4,0.463158,0.339806,0.42268,0.352273,0.4375,0.393258,0.342342,0.398058,0.474227,0.495726,0.385542,0.413462,0.46875,0.433628,0.413793,0.467391,0.425926,0.462366,0.439252,0.311321,0.531915,0.340206,0.514563,0.217391,0.583333,0.196078,0.479592,0.561224,0.539216,
400,0.990476,0.989474,0.989796,0.990196,1,0.989899,1,0.99,0.99,0.99,0.990909,1,1,1,0.98913,0.990741,1,0.980392,1,0.981651,0.990741,0.98913,0.990291,0.979381,1,0.98,1,1,1,0.955056,0.988889,0.990909,0.972477,0.989011,0.989362,0.990566,0.926316,0.942857,0.826087,0.944444,0.114286,0.821053,0.0380952,0.747368,0.14433,0.864078,0.166667,0.790909,0.2,0.745455,0.22449,0.558824,0.505155,0.378641,0.384615,0.239583,0.434343,0.326733,0.509259,0.217391,0.403846,0.197917,0.392523,0.215054,0.333333,0.201923,0.292453,0.223404,0.278351,0.262136,0.39,0.28,0.356436,0.262626,0.382022,0.333333,0.215909,0.267857,0.247619,0.368421,0.214286,0.441176,0.442308,0.375,0.410526,0.47619,0.419355,0.457944,0.461538,0.489583,0.413043,0.509259,0.441176,0.510204,0.423077,0.541667,0.581633,0.519608,0.504762,0.484211,
600,0.990991,0.988764,0.99,1,0.990654,1,1,1,1,0.988889,0.991667,1,1,0.990909,0.990826,1,0.957447,0.971698,1,1,0.977778,0.990909,0.96875,0.980769,0.990476,0.989474,0.989583,0.980769,0.989691,0.990291,0.981651,0.989011,0.981132,0.989362,0.931818,0.9375,0.463918,0.864078,0.229885,0.80531,0.139785,0.794393,0.311111,0.718182,0.306931,0.757576,0.28,0.71,0.32,0.64,0.457447,0.433962,0.609524,0.505263,0.641509,0.489362,0.648148,0.369565,0.5,0.439024,0.474138,0.416667,0.542056,0.344086,0.343137,0.336735,0.43617,0.481132,0.466667,0.315789,0.365591,0.28972,0.44898,0.372549,0.405405,0.348315,0.40566,0.340426,0.390909,0.344444,0.481481,0.347826,0.43617,0.462264,0.393939,0.386139,0.370787,0.441441,0.433962,0.43617,0.442105,0.447619,0.409091,0.511111,0.424528,0.489362,0.6,0.5,0.436364,0.522222,
800,0.970874,1,0.988764,0.990991,0.98,1,0.98,1,0.988889,1,0.99,1,0.990291,0.989691,0.971698,0.989362,0.989583,1,0.977778,0.990909,0.942857,0.989474,0.951923,0.989583,0.910112,0.981982,0.911765,0.989796,0.931373,0.959184,0.788889,0.945455,0.377778,0.890909,0.178947,0.790476,0.315217,0.824074,0.505051,0.554455,0.89011,0.577982,0.79,0.5,0.708333,0.423077,0.757282,0.463918,0.76,0.43,0.611111,0.467391,0.429907,0.483871,0.478261,0.576471,0.40708,0.436782,0.378641,0.453608,0.495413,0.428571,0.329897,0.359223,0.388889,0.304348,0.305263,0.314286,0.274725,0.275229,0.25,0.182692,0.2,0.2,0.204082,0.107843,0.178947,0.171429,0.294118,0.183673,0.282609,0.185185,0.293578,0.252747,0.293578,0.296703,0.336449,0.311828,0.463158,0.314286,0.533333,0.345455,0.509804,0.367347,0.594595,0.393258,0.480769,0.489583,0.509804,0.459184,
1000,0.967391,0.990741,1,0.99,0.961165,0.958763,0.970874,0.969072,0.943182,0.955357,0.95614,0.953488,0.951456,0.979381,0.969072,0.980583,0.93617,0.943396,0.979798,0.970297,0.940594,0.979798,0.979167,0.990385,0.952381,0.978947,0.931373,0.979592,0.765766,0.932584,0.762376,0.808081,0.656566,0.712871,0.75,0.711538,0.83908,0.60177,0.857143,0.515789,0.882883,0.58427,0.895833,0.586538,0.902655,0.517241,0.721154,0.447917,0.777778,0.475248,0.693333,0.48,0.579545,0.535714,0.555556,0.527273,0.426966,0.432432,0.431193,0.428571,0.392157,0.377551,0.392523,0.462366,0.424779,0.436782,0.346154,0.28125,0.311321,0.234043,0.271845,0.360825,0.180851,0.198113,0.210526,0.209302,0.210526,0.190476,0.223301,0.206186,0.29,0.18,0.204082,0.245098,0.306931,0.272727,0.377551,0.215686,0.326923,0.260417,0.396396,0.280899,0.425743,0.363636,0.615385,0.3125,0.59375,0.442308,0.547826,0.482353,
1200,0.955752,0.931034,0.877193,0.976744,0.942308,0.958333,0.896907,0.932039,0.946809,0.971698,0.936842,0.990476,0.951923,0.9375,0.887755,0.95098,0.950495,0.989899,0.896907,0.92233,0.895833,0.913462,0.925926,0.923913,0.825688,0.824176,0.92,0.81,0.88172,0.803738,0.901099,0.697248,0.864583,0.644231,0.821053,0.485714,0.881818,0.555556,0.861386,0.565657,0.849057,0.5,0.804124,0.640777,0.71875,0.557692,0.759615,0.583333,0.745455,0.488889,0.676471,0.622449,0.471154,0.583333,0.486239,0.516484,0.552083,0.509615,0.509615,0.458333,0.427184,0.453608,0.397849,0.457944,0.505155,0.417476,0.458333,0.413462,0.342593,0.434783,0.371429,0.263158,0.350877,0.27907,0.25,0.269231,0.342857,0.242105,0.333333,0.269231,0.290323,0.373832,0.484211,0.333333,0.473684,0.352381,0.479167,0.375,0.311321,0.510638,0.475728,0.494845,0.586957,0.435185,0.485149,0.494949,0.565657,0.544554,0.567308,0.46875,
1400,0.955556,0.954545,0.959184,0.921569,0.927083,0.971154,0.909091,0.964286,0.914286,0.926316,0.953488,0.938596,0.905263,0.885714,0.948454,0.902913,0.840909,0.919643,0.849558,0.965517,0.941748,0.896907,0.917526,0.883495,0.881188,0.878788,0.834951,0.824742,0.864865,0.775281,0.833333,0.651163,0.822917,0.576923,0.759615,0.604167,0.776596,0.471698,0.8,0.571429,0.828571,0.621053,0.806122,0.588235,0.826531,0.54902,0.639175,0.543689,0.69,0.67,0.680412,0.533981,0.584158,0.505051,0.574257,0.555556,0.556604,0.638298,0.484848,0.594059,0.436893,0.608247,0.594059,0.494949,0.551402,0.451613,0.531915,0.415094,0.494737,0.380952,0.396226,0.414894,0.47191,0.441441,0.346154,0.333333,0.433333,0.472727,0.41,0.39,0.460784,0.377551,0.454545,0.386139,0.427184,0.505155,0.5,0.451923,0.53,0.5,0.574257,0.434343,0.631579,0.430233,0.605263,0.406977,0.542056,0.537634,0.504673,0.483871,
1600,0.97,0.98,0.979592,0.931373,0.931373,0.959184,0.931818,0.919643,0.929293,0.930693,0.886598,0.912621,0.931373,0.836735,0.90991,0.932584,0.929412,0.904348,0.913043,0.888889,0.847826,0.861111,0.924528,0.840426,0.943182,0.785714,0.886598,0.718447,0.851064,0.622642,0.755102,0.558824,0.804124,0.601942,0.757282,0.659794,0.773585,0.638298,0.842105,0.666667,0.787879,0.623762,0.673684,0.542857,0.702128,0.537736,0.765766,0.438202,0.566667,0.572727,0.704762,0.557895,0.534653,0.565657,0.607477,0.591398,0.539823,0.655172,0.653061,0.627451,0.525773,0.543689,0.597826,0.574074,0.520408,0.637255,0.504587,0.527473,0.524752,0.424242,0.6,0.514286,0.494949,0.475248,0.608247,0.524272,0.58427,0.477477,0.470588,0.540816,0.526882,0.495327,0.373737,0.514851,0.435644,0.383838,0.570093,0.462366,0.602151,0.411215,0.451613,0.457944,0.59596,0.49505,0.67,0.5,0.622449,0.480392,0.607843,0.632653,
1800,0.942308,0.895833,0.87,0.87,0.932039,0.865979,0.888889,0.881188,0.92233,0.886598,0.836957,0.842593,0.915789,0.866667,0.928571,0.840909,0.835294,0.869565,0.868421,0.872093,0.894231,0.78125,0.903846,0.739583,0.860215,0.654206,0.787879,0.732673,0.8,0.644444,0.743119,0.703297,0.837838,0.651685,0.768519,0.565217,0.699029,0.56701,0.690909,0.5,0.798165,0.659341,0.791667,0.625,0.72043,0.495327,0.717172,0.623762,0.635514,0.505376,0.644231,0.541667,0.564356,0.616162,0.504762,0.610526,0.676471,0.602041,0.513514,0.595506,0.656566,0.554455,0.544643,0.477273,0.583333,0.478261,0.516484,0.522936,0.5,0.62,0.535714,0.534091,0.526316,0.488372,0.472222,0.543478,0.511364,0.544643,0.56,0.49,0.525253,0.584158,0.460784,0.418367,0.477778,0.554545,0.476744,0.535088,0.474227,0.533981,0.527473,0.642202,0.545455,0.584158,0.639175,0.524272,0.589474,0.495238,0.616822,0.677419,
2000,0.84,0.79,0.87,0.79,0.849462,0.831776,0.888889,0.847826,0.858824,0.808696,0.836538,0.875,0.8,0.87619,0.88764,0.756757,0.816327,0.77451,0.89,0.75,0.852632,0.790476,0.849057,0.670213,0.820755,0.670213,0.84375,0.721154,0.719626,0.698925,0.808989,0.612613,0.747475,0.594059,0.740385,0.5625,0.737374,0.564356,0.586957,0.546296,0.755319,0.632075,0.781609,0.60177,0.683168,0.535354,0.75,0.5625,0.572917,0.451923,0.641304,0.564815,0.628866,0.495146,0.663158,0.552381,0.57732,0.524272,0.52,0.63,0.527778,0.597826,0.478723,0.59434,0.480392,0.673469,0.578431,0.673469,0.509615,0.65625,0.535354,0.544554,0.52,0.51,0.526316,0.561905,0.510204,0.490196,0.53211,0.494505,0.52,0.47,0.548387,0.64486,0.576923,0.46875,0.537736,0.56383,0.588235,0.510204,0.690909,0.5,0.56701,0.592233,0.642202,0.604396,0.555556,0.630435,0.611111,0.663636,
