mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,1,1,0.99,0.98,0.99,0.99,0.99,1,0.96,0.95,0.88,0.83,0.61,0.47,0.68,0.54,0.27,0.45,0.36,0.21,0.27,0.27,0.29,0.33,0.3,0.37,0.33,0.35,0.34,0.48,0.43,0.44,0.55,0.48,0.48,0.48,0.43,0.39,0.39,0.35,0.24,0.18,0.08,0.04,
400,0.995,1,1,1,1,1,1,0.985,0.985,0.99,0.985,0.98,0.995,0.95,0.93,0.865,0.785,0.465,0.41,0.48,0.425,0.305,0.355,0.365,0.275,0.235,0.235,0.245,0.22,0.195,0.245,0.225,0.26,0.275,0.39,0.375,0.41,0.485,0.48,0.485,0.49,0.465,0.445,0.395,0.36,0.27,0.16,0.07,0.03,
600,0.996667,1,1,1,1,0.996667,1,0.99,0.99,0.99,0.986667,0.973333,0.986667,0.943333,0.913333,0.876667,0.773333,0.316667,0.28,0.503333,0.476667,0.376667,0.393333,0.47,0.246667,0.3,0.27,0.33,0.366667,0.34,0.32,0.343333,0.413333,0.39,0.49,0.453333,0.493333,0.53,0.503333,0.536667,0.526667,0.513333,0.47,0.453333,0.45,0.373333,0.296667,0.203333,0.166667,
800,0.9975,1,1,1,1,0.9975,1,0.9925,0.9925,0.9875,0.9875,0.9675,0.98,0.915,0.9,0.7575,0.69,0.345,0.2725,0.51,0.485,0.48,0.4875,0.55,0.3675,0.4,0.385,0.445,0.4475,0.43,0.4175,0.44,0.4975,0.4575,0.575,0.5325,0.5425,0.575,0.5625,0.5775,0.585,0.5625,0.52,0.5225,0.5225,0.4525,0.375,0.32,0.295,
1000,0.998,0.998,1,1,1,0.996,1,0.992,0.984,0.982,0.974,0.956,0.958,0.892,0.846,0.686,0.634,0.436,0.356,0.564,0.524,0.532,0.544,0.604,0.448,0.474,0.458,0.496,0.504,0.478,0.502,0.518,0.558,0.498,0.596,0.588,0.586,0.622,0.596,0.602,0.632,0.582,0.572,0.576,0.574,0.51,0.434,0.406,0.384,
1200,0.996667,0.998333,1,1,0.998333,0.993333,0.998333,0.99,0.978333,0.968333,0.973333,0.941667,0.93,0.885,0.828333,0.673333,0.638333,0.483333,0.406667,0.585,0.566667,0.563333,0.575,0.633333,0.496667,0.53,0.493333,0.533333,0.545,0.533333,0.551667,0.548333,0.596667,0.548333,0.635,0.618333,0.613333,0.63,0.62,0.608333,0.66,0.62,0.606667,0.593333,0.608333,0.53,0.49,0.461667,0.453333,
1400,0.997143,0.998571,1,0.998571,0.995714,0.994286,0.997143,0.987143,0.972857,0.96,0.965714,0.924286,0.915714,0.871429,0.802857,0.67,0.645714,0.517143,0.462857,0.605714,0.598571,0.58,0.598571,0.652857,0.538571,0.57,0.52,0.567143,0.568571,0.554286,0.575714,0.574286,0.601429,0.575714,0.642857,0.632857,0.631429,0.651429,0.635714,0.634286,0.674286,0.65,0.627143,0.607143,0.632857,0.564286,0.524286,0.498571,0.497143,
1600,0.99625,0.9975,1,0.9975,0.99625,0.995,0.99,0.985,0.9725,0.9575,0.95625,0.91875,0.90875,0.8625,0.79125,0.66375,0.655,0.545,0.495,0.6175,0.615,0.61375,0.615,0.66125,0.57,0.59375,0.545,0.57625,0.595,0.5825,0.5925,0.5975,0.625,0.6,0.655,0.6525,0.65,0.6725,0.64625,0.64625,0.6625,0.6625,0.6425,0.63,0.64625,0.5875,0.55375,0.53,0.525,
1800,0.995556,0.997778,0.998889,0.997778,0.996667,0.994444,0.99,0.983333,0.974444,0.957778,0.954444,0.908889,0.9,0.857778,0.781111,0.667778,0.663333,0.562222,0.517778,0.621111,0.627778,0.621111,0.626667,0.664444,0.578889,0.605556,0.567778,0.597778,0.61,0.608889,0.607778,0.607778,0.63,0.612222,0.666667,0.666667,0.662222,0.68,0.661111,0.656667,0.671111,0.683333,0.661111,0.643333,0.652222,0.6,0.558889,0.562222,0.546667,
2000,0.996,0.998,0.999,0.998,0.996,0.993,0.991,0.982,0.973,0.957,0.947,0.91,0.887,0.845,0.775,0.67,0.664,0.575,0.545,0.626,0.64,0.628,0.638,0.671,0.603,0.617,0.587,0.614,0.617,0.612,0.625,0.624,0.648,0.617,0.674,0.679,0.672,0.69,0.671,0.659,0.676,0.693,0.673,0.646,0.668,0.608,0.571,0.57,0.568,
2200,0.996364,0.998182,0.999091,0.997273,0.996364,0.993636,0.991818,0.976364,0.97,0.958182,0.941818,0.905455,0.884545,0.834545,0.767273,0.674545,0.667273,0.590909,0.567273,0.634545,0.650909,0.637273,0.645455,0.678182,0.609091,0.632727,0.603636,0.630909,0.630909,0.629091,0.640909,0.64,0.661818,0.63,0.675455,0.681818,0.680909,0.696364,0.68,0.66,0.686364,0.702727,0.675455,0.650909,0.672727,0.614545,0.58,0.58,0.583636,
2400,0.996667,0.998333,0.998333,0.9975,0.995,0.993333,0.991667,0.975833,0.970833,0.956667,0.9375,0.903333,0.875833,0.826667,0.753333,0.68,0.671667,0.609167,0.584167,0.6425,0.653333,0.646667,0.656667,0.680833,0.619167,0.648333,0.615,0.645833,0.643333,0.638333,0.649167,0.6325,0.670833,0.636667,0.681667,0.683333,0.688333,0.695833,0.69,0.671667,0.695833,0.706667,0.680833,0.650833,0.67,0.633333,0.5925,0.599167,0.594167,
2600,0.996154,0.998462,0.997692,0.997692,0.992308,0.993846,0.990769,0.974615,0.969231,0.955385,0.939231,0.897692,0.867692,0.829231,0.753846,0.68,0.667692,0.612308,0.593846,0.644615,0.651538,0.647692,0.663077,0.687692,0.626923,0.653846,0.625385,0.655385,0.648462,0.649231,0.655385,0.646154,0.680769,0.640769,0.679231,0.68,0.693077,0.7,0.687692,0.676154,0.703077,0.716154,0.683846,0.656923,0.676154,0.642308,0.594615,0.606923,0.605385,
2800,0.996429,0.997857,0.997143,0.997143,0.992143,0.994286,0.99,0.975714,0.967143,0.955714,0.940714,0.896429,0.857857,0.817857,0.752857,0.687857,0.669286,0.621429,0.606429,0.650714,0.654286,0.650714,0.668571,0.692143,0.628571,0.661429,0.637857,0.665,0.649286,0.657857,0.650714,0.653571,0.685,0.645,0.682143,0.684286,0.7,0.697143,0.696429,0.679286,0.703571,0.720714,0.69,0.662857,0.675714,0.650714,0.611429,0.615,0.609286,
