mc_step,l = 0error,l = 1error,l = 2error,l = 3error,l = 4error,l = 5error,l = 6error,l = 7error,l = 8error,l = 9error,l = 10error,l = 11error,l = 12error,l = 13error,l = 14error,l = 15error,l = 16error,l = 17error,l = 18error,l = 19error,l = 20error,l = 21error,l = 22error,l = 23error,l = 24error,l = 25error,l = 26error,l = 27error,l = 28error,l = 29error,l = 30error,l = 31error,l = 32error,l = 33error,l = 34error,l = 35error,l = 36error,l = 37error,l = 38error,l = 39error,l = 40error,l = 41error,l = 42error,l = 43error,l = 44error,l = 45error,l = 46error,l = 47error,l = 48error,l = 49error,
0,0.044237,0.0566104,0.04519,0.0229671,0.0535026,0.0412807,0.0497227,0.0471339,0.0494078,0.0477549,0.0429467,0.0370976,0.0487835,0.0474874,0.0548021,0.0403808,0.044802,0.0524317,0.0448166,0.0541419,0.0487002,0.0471181,0.054254,0.0553672,0.0449665,0.0556226,0.0447291,0.0528834,0.0308292,0.0382221,0.0375274,0.0479489,0.046163,0.0516743,0.0405349,0.0463488,0.058371,0.0264381,0.0321303,0.0341603,0.0510424,0.0537285,0.0469304,0.0422529,0.0426186,0.0559474,0.0479769,0.0529879,0.0530811,0.0483377,
10,0.0539757,0.0421261,0.0496849,0.0468167,0.0493557,0.0496425,0.0569594,0.0341904,0.0483,0.0482304,0.0549473,0.0386258,0.0445886,0.0503404,0.0444203,0.0537986,0.0439944,0.0493486,0.0543577,0.0554525,0.0214325,0.0552721,0.0427725,0.0518578,0.0450563,0.0452508,0.0432667,0.0473537,0.0439413,0.0513376,0.0366374,0.0460225,0.058002,0.0371236,0.0447897,0.00669137,0.0500899,0.0527636,0.0389917,0.0467919,0.0330472,0.0559004,0.0285633,0.0529201,0.053065,0.0237378,0.0483084,0.0424312,0.0479528,0.0421994,
20,0.049696,0.0573697,0.0338914,0.0488718,0.0474286,0.0546835,0.0390981,0.0454874,0.0506442,0.0445651,0.0539712,0.0437661,0.0495279,0.0549011,0.0553779,0.0473051,0.0546718,0.0533244,0.0480875,0.0519447,0.049398,0.0425058,0.0469651,0.0453933,0.0509602,0.0194436,0.0438754,0.0576516,0.0413473,0.0439551,0.0428475,0.048033,0.0519266,0.0401015,0.0455022,0.0433329,0.0557252,0.0340416,0.0528439,0.0529801,0.0347985,0.0481873,0.000799946,0.0479313,0.038363,0.0424278,0.032893,0.0421587,0.0283626,0.0236507,
30,0.0543555,0.0380531,0.0437346,0.0511754,0.0449923,0.0542882,0.0437943,0.0491625,0.054497,0.0545912,0.0490129,0.0547628,0.0571823,0.0528896,0.0473158,0.0490287,0.0491318,0.0514495,0.0468542,0.0504463,0.0352255,0.0483305,0.0577188,0.0463642,0.0441331,0.0434706,0.0434821,0.0516642,0.0418423,0.0444556,0.0421612,0.0553615,0.0143078,0.0522972,0.0527185,0.0386017,0.0470144,0.0405911,0.0477263,0.0324946,0.0424762,0.0420582,0.0420358,0.0328034,0.0382145,0.0346059,0.0327781,0.00062768,0.0283271,0.0236122,
40,0.0541322,0.0438049,0.050065,0.0544873,0.0556214,0.0483791,0.0545791,0.0573836,0.053335,0.0483641,0.0477921,0.0486326,0.0520557,0.0545071,0.0475767,0.043758,0.0485141,0.0575395,0.0443484,0.0490516,0.0449943,0.0463396,0.0516217,0.0356025,0.0420385,0.0427512,0.0549942,0.0322077,0.0518481,0.0282019,0.0516156,0.0412531,0.0459204,0.046718,0.0390386,0.0415494,0.0412946,0.0404737,0.0087996,0.0416707,0.0366307,0.0394205,0.0380907,0.0345742,0.032549,0.0318368,0.0325275,0.0281886,0.0235917,0.000620989,
50,0.0469658,0.0542613,0.0571776,0.0536612,0.0478329,0.0465053,0.0482132,0.0524324,0.0538566,0.0457598,0.0426445,0.0486867,0.0572154,0.0437499,0.0486797,0.0547202,0.0541708,0.0515792,0.049615,0.0451994,0.0455274,0.0545371,0.0558982,0.0514214,0.0414901,0.05077,0.0390373,0.0447447,0.0456765,0.0411891,0.0402687,0.0323886,0.0404797,0.0307165,0.040235,0.0406484,0.0280229,0.039703,0.0376783,0.0375432,0.0369133,0.0361374,0.034452,0.00854942,0.0324902,0.0323966,0.0315743,0.028138,0.0235578,0.000601448,
60,0.046076,0.0481067,0.0519495,0.0544072,0.0464324,0.0426739,0.0486726,0.0568313,0.057549,0.0491848,0.0554526,0.0545779,0.0507026,0.0545805,0.054366,0.0482888,0.0552176,0.055104,0.0496618,0.0519963,0.0433208,0.0493803,0.0458942,0.046692,0.0440931,0.0451669,0.0436075,0.0398533,0.0397938,0.0388476,0.0402488,0.0384928,0.0389245,0.038657,0.0377539,0.0369447,0.0348629,0.0304647,0.035543,0.0280919,0.0358618,0.0275221,0.0337314,0.0324069,0.0321887,0.0314769,0.0281024,0.0234856,0.00839009,0.000568311,
70,0.0419903,0.0475294,0.0569082,0.0564292,0.0464001,0.0554793,0.05491,0.0511586,0.0547505,0.0542857,0.0487455,0.0559071,0.0554589,0.0539826,0.0524115,0.0513002,0.0497665,0.0496992,0.0498815,0.0495858,0.0325637,0.0451799,0.0449794,0.045652,0.042456,0.0432451,0.0434271,0.0389179,0.0387448,0.0381421,0.0382377,0.0362958,0.0369765,0.036227,0.0341898,0.0336729,0.0330406,0.0315979,0.0319556,0.0327482,0.0313937,0.0317021,0.0294807,0.0308845,0.0278253,0.0279027,0.0274672,0.0233924,0.00834402,0.000563774,
80,0.0554238,0.0553504,0.0520004,0.0547383,0.0549066,0.0487769,0.0555331,0.0560836,0.0549087,0.0526848,0.0517116,0.0416186,0.049552,0.0495643,0.0487918,0.0496982,0.0486098,0.0570903,0.0558542,0.0455602,0.0454857,0.0433266,0.0449496,0.0423613,0.0414608,0.042064,0.0320661,0.0382882,0.0376058,0.0365029,0.0349483,0.035856,0.0347666,0.0350048,0.0330948,0.0322587,0.0323521,0.0291573,0.0294108,0.0300529,0.0297414,0.0303965,0.0271854,0.0290319,0.0277401,0.0275897,0.0263776,0.02324,0.00822673,0.000543312,
90,0.0486376,0.055943,0.0565321,0.0554633,0.0529687,0.0525719,0.0433372,0.049736,0.0494507,0.0502161,0.0500363,0.0494571,0.0574087,0.0557905,0.0560076,0.0551121,0.0550611,0.0548408,0.0518479,0.0464898,0.0452447,0.0434615,0.0426443,0.0415756,0.0411746,0.0374066,0.036877,0.0371757,0.0354791,0.0319817,0.0326657,0.0339951,0.0315514,0.0325616,0.0281089,0.0292381,0.0290185,0.0290128,0.0280333,0.0290945,0.0288161,0.0282285,0.0280556,0.0274597,0.0275327,0.0271109,0.0263709,0.0231174,0.00821061,0.000537678,
