mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.80267,0.583248,0.218436,0.4424,0.666626,0.452411,0.453796,0.440421,0.32162,0.595714,0.364301,0.580364,0.930461,0.715926,0.517445,0.190539,0.314269,0.560458,0.279869,0.581364,0.526145,0.753614,0.20125,0.378233,0.788863,0.288381,0.716407,0.459286,0.614006,0.326604,0.625642,0.639927,0.227343,0.484245,0.111538,0.818563,0.47285,0.747096,0.964158,0.611216,0.164412,0.179112,0.471527,0.806373,0.187111,0.483179,0.134811,0.915979,0.110877,0.639379,0.650395,0.335153,0.127851,0.557912,0.466639,0.450879,0.433513,0.374297,0.778931,0.476673,0.464543,0.234198,0.602989,0.366767,0.58603,0.952083,0.607977,0.2063,0.822856,0.285449,0.0466538,0.0398773,0.0913118,0.899843,0.480363,0.654938,0.0709627,0.52684,0.828944,0.327993,0.930415,0.113525,0.768538,0.703868,0.907665,0.0811342,0.849104,0.519972,0.903936,0.5108,0.0442527,0.305542,0.389331,0.517346,0.860778,0.235414,0.617715,0.413999,0.77013,0.24822,
20,0.36499,0.582072,0.944927,0.740223,0.55999,0.178035,0.321752,0.576842,0.263096,0.564669,0.496404,0.753547,0.24127,0.362249,0.804319,0.303803,0.721055,0.468584,0.58576,0.337704,0.625173,0.649274,0.215877,0.48662,0.12537,0.803162,0.488181,0.771985,0.951885,0.610657,0.434306,0.463278,0.434595,0.79016,0.788605,0.55655,0.272947,0.581118,0.131308,0.927591,0.654588,0.446775,0.244596,0.433794,0.474025,0.43645,0.636463,0.342168,0.761796,0.467768,0.163051,0.16345,0.587167,0.32244,0.557457,0.937649,0.167622,0.464017,0.0905773,0.635216,0.789316,0.255613,0.0599681,0.875506,0.438818,0.636453,0.0758323,0.546568,0.77321,0.310894,0.39859,0.374297,0.750989,0.699598,0.458448,0.203012,0.845187,0.517825,0.892705,0.510232,0.578633,0.184285,0.386693,0.514581,0.0513297,0.0615686,0.617391,0.413477,0.0645796,0.523465,0.860514,0.235403,0.926395,0.112652,0.769942,0.247571,0.907479,0.0797499,0.043845,0.305138,
30,0.487451,0.738586,0.239571,0.343774,0.778792,0.27384,0.679308,0.501677,0.564071,0.353844,0.641703,0.659471,0.222748,0.482174,0.123161,0.788908,0.442167,0.774248,0.967418,0.564448,0.35991,0.558758,0.44782,0.787564,0.932112,0.731059,0.809769,0.530338,0.432518,0.464399,0.394853,0.539936,0.669725,0.433485,0.125854,0.907275,0.22761,0.572454,0.724444,0.460551,0.567561,0.191513,0.277367,0.586916,0.571992,0.934875,0.473357,0.419816,0.645732,0.312145,0.575016,0.317473,0.0198429,0.851221,0.435539,0.626025,0.229564,0.427904,0.751179,0.29378,0.0794593,0.598342,0.748539,0.678206,0.161758,0.126775,0.803542,0.507088,0.86568,0.506648,0.137211,0.429862,0.379183,0.480445,0.739719,0.228387,0.606795,0.410943,0.0205038,0.515453,0.392271,0.358069,0.856305,0.23013,0.768106,0.245876,0.456037,0.189605,0.0633268,0.522323,0.57361,0.183139,0.925819,0.111733,0.0527946,0.0625738,0.907336,0.0795176,0.04384,0.304663,
40,0.660851,0.643036,0.201632,0.499052,0.143007,0.802201,0.423064,0.785918,0.987588,0.613939,0.362406,0.534346,0.425485,0.790162,0.931697,0.74579,0.807604,0.551009,0.480929,0.476457,0.361982,0.51445,0.642554,0.426419,0.725869,0.521362,0.478576,0.752873,0.0550059,0.86904,0.769421,0.276216,0.261484,0.605922,0.580991,0.913968,0.571756,0.337008,0.707451,0.41975,0.222658,0.516549,0.504093,0.407547,0.429853,0.627199,0.217075,0.315087,0.661536,0.268374,0.771504,0.257429,0.713741,0.670036,0.525776,0.167486,0.803542,0.48907,3.69934e-05,0.847974,0.850799,0.466952,0.571963,0.276502,0.345612,0.465131,0.571258,0.39453,0.176149,0.404894,0.0758423,0.586985,0.348035,0.352099,0.849424,0.207278,0.142918,0.0994203,0.765824,0.240319,0.132197,0.394997,0.721972,0.214625,0.061835,0.522323,0.572841,0.18294,0.45535,0.187011,0.0185057,0.510902,0.925218,0.109673,0.906665,0.0786262,0.0437542,0.304552,0.0528704,0.0626029,
50,0.329781,0.505598,0.431603,0.76633,0.936285,0.729301,0.830005,0.559264,0.466454,0.465625,0.3761,0.466607,0.650495,0.411427,0.712301,0.541841,0.470191,0.71915,0.0329043,0.872697,0.763612,0.257135,0.283483,0.596,0.588575,0.882454,0.210023,0.490744,0.690052,0.41349,0.642893,0.683406,0.41897,0.76892,0.421072,0.630141,0.124651,0.808731,0.208988,0.533916,0.504093,0.386464,0.700124,0.649441,0.956097,0.63943,0.771817,0.481927,0.566074,0.282207,0.84183,0.438924,0.756349,0.20307,0.337686,0.43681,0.563307,0.370413,0.626047,0.262042,0.0644465,0.573495,0.162163,0.300925,0.563706,0.265534,0.514201,0.155356,0.319605,0.34388,0.753109,0.226715,3.69934e-05,0.840986,0.823124,0.200779,0.147998,0.400833,0.057803,0.517536,0.721074,0.182208,0.128556,0.389192,0.571428,0.181862,0.140597,0.0988236,0.454536,0.186578,0.923286,0.10879,0.0174963,0.510433,0.906091,0.0783355,0.0435738,0.304434,0.0529743,0.0628578,
60,0.378313,0.453045,0.640526,0.411361,0.691944,0.528328,0.502005,0.733576,0.0360348,0.888971,0.729969,0.264563,0.322277,0.569011,0.614424,0.838067,0.95733,0.749235,0.696065,0.427216,0.664769,0.718132,0.432858,0.785284,0.404528,0.600648,0.439324,0.781301,0.856318,0.585734,0.485874,0.47196,0.721001,0.680327,0.993938,0.583647,0.134704,0.794693,0.754627,0.50972,0.199119,0.487799,0.808405,0.40251,0.491432,0.400403,0.333384,0.494917,0.172991,0.532929,0.563307,0.35816,0.335878,0.408965,0.542465,0.260842,0.614513,0.24235,0.305642,0.324596,0.734853,0.224177,0.0574116,0.541725,0.807626,0.192877,0.733362,0.20206,0.563706,0.224453,0.142428,0.391541,0.0459697,0.483806,0.154262,0.280051,0.715767,0.167376,0.460562,0.143084,0.128556,0.384107,3.69934e-05,0.82161,0.568892,0.174495,0.454536,0.185684,0.921699,0.107235,0.017239,0.509707,0.905387,0.0781625,0.0432149,0.304142,0.138683,0.0986255,0.0533837,0.0630025,
70,0.730279,0.252659,0.292726,0.547344,0.615494,0.843456,0.966738,0.668896,0.390363,0.456579,0.637473,0.73204,0.435591,0.805018,0.457234,0.592093,0.430259,0.798064,0.860734,0.580288,0.511222,0.476529,0.735166,0.717496,0.968164,0.610402,0.522788,0.697843,0.727835,0.535705,0.682607,0.505401,0.776715,0.422863,0.709331,0.439772,0.638911,0.468115,0.144094,0.776683,0.000243913,0.888959,0.567451,0.357189,0.27897,0.476597,0.487961,0.395423,0.309069,0.395459,0.169719,0.511678,0.20388,0.486813,0.532013,0.248996,0.72949,0.203933,0.571116,0.228124,0.0574116,0.535317,0.810487,0.160834,0.276173,0.306507,0.726839,0.173206,0.102454,0.381005,0.548006,0.178152,0.0459697,0.446861,0.0818034,0.36213,0.684486,0.136489,0.562634,0.165476,0.439346,0.178808,0.914675,0.10403,0.136193,0.280051,0.0151611,0.508593,0.457232,0.141534,0.903844,0.0769494,3.69934e-05,0.819499,0.042943,0.303444,0.138338,0.0984834,0.0533837,0.0631056,
80,0.606322,0.743106,0.452339,0.823833,0.456041,0.630624,0.414186,0.808019,0.871897,0.609249,0.526863,0.47138,0.730301,0.695796,0.96217,0.648758,0.545212,0.741085,0.756538,0.538112,0.710906,0.512254,0.738966,0.244726,0.66543,0.44838,0.633752,0.459063,0.136921,0.749753,0.814313,0.410817,0.341799,0.554584,0.596413,0.867993,0.933499,0.643784,0.361638,0.446745,0.473238,0.396645,0.259775,0.444428,0.548124,0.357803,0.165772,0.49145,0.124464,0.511487,0.309322,0.386548,0.000243913,0.870188,0.527123,0.240906,0.0574116,0.51987,0.711596,0.178985,0.250768,0.28734,0.779211,0.160713,0.550123,0.18991,0.686289,0.166461,0.534775,0.174756,0.0983384,0.353353,0.542606,0.165476,0.671394,0.114684,0.414146,0.165565,0.912677,0.0914018,0.0730267,0.344816,0.014091,0.50471,0.016026,0.433202,0.135389,0.274959,0.903842,0.0758396,0.457215,0.13956,1.61404e-05,0.819264,0.0420908,0.303012,0.138027,0.0978876,0.0536693,0.0631741,
90,0.532504,0.464659,0.755423,0.71172,0.97408,0.673203,0.55593,0.771056,0.726322,0.560893,0.695849,0.553657,0.732709,0.276063,0.657457,0.457056,0.656554,0.447872,0.152957,0.795282,0.848273,0.412943,0.341351,0.587024,0.604155,0.889844,0.611336,0.764787,0.923037,0.656362,0.879515,0.618088,0.424284,0.82265,0.412411,0.815994,0.432319,0.636341,0.469408,0.424835,0.346413,0.445754,0.492329,0.342556,0.253043,0.431748,0.299456,0.380925,0.14509,0.481326,0.0658083,0.498324,0.0548176,0.50832,0.49418,0.233635,0.766428,0.158599,0.689979,0.135874,0.686289,0.142795,0.530971,0.185334,0.000243913,0.851187,0.232331,0.263106,0.50502,0.134185,0.514564,0.141915,0.0906215,0.313806,0.014091,0.47696,0.894048,0.0788666,0.0717866,0.336952,0.13295,0.274052,0.39997,0.158214,0.66706,0.106781,0.457215,0.138479,0.901042,0.0747212,0.016026,0.431896,1.61404e-05,0.81899,0.0413555,0.30277,0.13797,0.0978117,0.0537303,0.0632219,
100,0.652139,0.558426,0.724747,0.291957,0.64114,0.464517,0.656061,0.446829,0.144148,0.811291,0.829386,0.405013,0.329261,0.623037,0.611862,0.870966,0.61584,0.758861,0.949716,0.688273,0.897853,0.673993,0.401526,0.841836,0.428851,0.813132,0.742878,0.716586,0.535737,0.430596,0.973582,0.719753,0.525432,0.768569,0.719997,0.55707,0.534702,0.337881,0.456331,0.618957,0.457031,0.378547,0.327773,0.460033,0.228585,0.431376,0.302976,0.369482,0.102267,0.472344,0.0574596,0.468446,0.054853,0.482159,0.493667,0.207815,0.682763,0.142795,0.21805,0.232558,0.000243913,0.834221,0.763426,0.103828,0.671398,0.0996551,0.0660481,0.285776,0.0584561,0.320364,0.50767,0.111148,0.501543,0.12502,0.484999,0.130601,0.651588,0.0921543,0.0999716,0.272124,0.398674,0.156065,0.00593413,0.440455,0.886632,0.0743305,0.457032,0.137802,0.9001,0.0711251,0.0152495,0.430296,1.61404e-05,0.817628,0.0400026,0.302363,0.137549,0.0977048,0.0541031,0.0633161,
