mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.980583,1,1,1,0.987952,1,1,1,0.980583,1,1,1,1,1,1,0.987952,1,1,1,1,0.980769,1,0.967742,1,0.968085,1,0.956044,1,0.979592,0.990196,0.989796,0.990196,1,0.968085,0.989474,0.971429,0.951456,0.927835,0.93578,0.879121,0.927835,0.834951,0.904348,0.870588,0.69,0.74,0.77451,0.653061,0.554455,0.646465,0.505376,0.523364,0.443396,0.56383,0.38,0.55,0.39,0.6,0.32381,0.452632,0.395604,0.495413,0.318182,0.544643,0.5,0.46,0.46789,0.43956,0.505051,0.554455,0.463158,0.466667,0.403846,0.46875,0.465347,0.494949,0.412281,0.523256,0.5625,0.451923,0.45,0.53,0.511111,0.463636,0.56044,0.495413,0.525253,0.49505,0.506024,0.57265,0.5,0.481481,0.480392,0.540816,0.561224,0.480392,0.45283,0.468085,0.461538,0.513761,
400,1,0.989474,0.990566,0.957447,0.989474,0.980952,1,1,0.979167,1,1,1,1,1,1,0.990099,0.989011,0.990826,0.990476,0.989474,1,0.98913,0.990385,0.979167,1,1,0.990566,0.968085,1,0.990476,1,0.978723,1,0.981308,0.989899,0.960396,0.780952,0.915789,0.54902,0.755102,0.735849,0.680851,0.514286,0.715789,0.51,0.6,0.598039,0.438776,0.446602,0.453608,0.443396,0.43617,0.388889,0.347826,0.293478,0.314815,0.423913,0.416667,0.44086,0.280374,0.366972,0.274725,0.465116,0.192982,0.468085,0.235849,0.355769,0.208333,0.463918,0.242718,0.419643,0.306818,0.461538,0.229358,0.4,0.254545,0.295238,0.378947,0.340909,0.392857,0.415842,0.424242,0.373626,0.394495,0.480392,0.438776,0.518868,0.37234,0.519231,0.552083,0.586957,0.490741,0.460784,0.5,0.546296,0.5,0.521277,0.396226,0.421569,0.530612,
600,0.989362,0.990566,0.98913,0.990741,1,1,0.990909,1,0.990566,0.989362,1,1,0.964912,1,0.980583,0.989691,1,1,1,1,1,0.97,1,1,0.990099,0.979798,1,0.961165,0.977778,0.963636,0.990741,0.978261,0.978495,0.925234,0.969697,0.90099,0.0721649,0.961165,0.934579,0.55914,0.864078,0.515464,0.836735,0.480392,0.820755,0.521277,0.735294,0.602041,0.706422,0.461538,0.71875,0.394231,0.675439,0.453488,0.696078,0.377551,0.520833,0.355769,0.494845,0.417476,0.491071,0.397727,0.378641,0.247423,0.266667,0.168421,0.284404,0.252747,0.260417,0.230769,0.217822,0.121212,0.227273,0.151786,0.17757,0.0860215,0.198113,0.0638298,0.196078,0.0204082,0.257143,0.136842,0.38835,0.226804,0.351064,0.198113,0.326531,0.215686,0.401961,0.22449,0.402174,0.287037,0.489362,0.273585,0.521277,0.481132,0.57732,0.378641,0.652632,0.428571,
800,1,1,0.980952,0.989474,0.989474,0.980952,0.989247,0.971963,0.980952,0.968421,0.990476,1,1,0.980392,0.990476,1,0.991304,0.988235,0.968085,0.981132,1,0.989474,0.972477,0.978022,0.989362,0.981132,0.989796,0.980392,0.978947,0.92381,0.971698,0.968085,0.89011,0.816514,0.585859,0.712871,0.74,0.75,0.894737,0.628571,0.809524,0.694737,0.791209,0.587156,0.692308,0.59375,0.616822,0.580645,0.72,0.6,0.711538,0.46875,0.721739,0.529412,0.723404,0.481132,0.636364,0.306931,0.645455,0.477778,0.514851,0.434343,0.4,0.347826,0.398148,0.413043,0.357143,0.352273,0.257143,0.221053,0.221053,0.228571,0.29,0.15,0.207207,0.191011,0.196262,0.107527,0.260417,0.211538,0.264706,0.204082,0.262136,0.185567,0.276596,0.292453,0.360825,0.300971,0.351648,0.220183,0.346535,0.232323,0.534483,0.357143,0.465347,0.30303,0.59,0.44,0.606061,0.415842,
1000,0.980769,0.979167,0.979167,0.932692,0.960396,0.959596,0.98,0.95,0.989899,0.970297,0.99,0.93,1,0.978495,0.972222,0.978261,1,0.989796,0.981481,0.956522,0.989796,0.95098,0.981308,0.924731,0.956989,0.943925,0.924731,0.934579,0.90099,0.888889,0.896907,0.76699,0.891304,0.722222,0.72449,0.578431,0.93,0.53,0.728155,0.649485,0.694737,0.67619,0.712963,0.565217,0.711111,0.618182,0.651685,0.612613,0.632653,0.588235,0.642857,0.666667,0.641509,0.531915,0.673267,0.474747,0.66,0.47,0.621053,0.47619,0.487805,0.457627,0.484536,0.446602,0.580952,0.368421,0.504673,0.311828,0.339806,0.278351,0.444444,0.326087,0.333333,0.259615,0.356436,0.181818,0.418803,0.253012,0.421053,0.257143,0.340206,0.213592,0.43299,0.223301,0.391753,0.271845,0.45,0.33,0.452632,0.371429,0.489583,0.413462,0.528302,0.468085,0.416667,0.509615,0.57,0.54,0.590164,0.512821,
1200,0.938144,0.92233,0.94898,0.960784,0.961538,0.958333,0.950495,0.949495,0.990991,0.921348,0.934579,0.913978,0.990385,0.979167,0.967742,0.971963,0.92,0.97,0.893204,0.886598,0.912621,0.865979,0.954955,0.88764,0.833333,0.903846,0.895833,0.778846,0.861386,0.79798,0.796296,0.684783,0.794393,0.645161,0.862385,0.604396,0.769231,0.5625,0.722222,0.636364,0.673077,0.697917,0.712871,0.575758,0.62963,0.532609,0.670213,0.566038,0.69,0.55,0.653846,0.552083,0.632653,0.529412,0.553571,0.420455,0.557895,0.552381,0.548673,0.45977,0.523364,0.505376,0.53,0.45,0.444444,0.524752,0.385321,0.494505,0.481132,0.382979,0.514286,0.378947,0.443299,0.475728,0.337079,0.342342,0.409524,0.357895,0.360825,0.475728,0.439252,0.387097,0.480769,0.375,0.475728,0.350515,0.45283,0.468085,0.477477,0.359551,0.463918,0.533981,0.451923,0.479167,0.509804,0.520408,0.564815,0.608696,0.636364,0.564356,
1400,0.932692,0.927083,0.95,0.94,0.989583,0.942308,0.947917,0.932692,0.945946,0.898876,0.962963,0.934783,0.952381,0.936842,0.967742,0.981308,0.967033,0.889908,0.902655,0.908046,0.923913,0.87037,0.916667,0.884615,0.919192,0.841584,0.896552,0.79646,0.826531,0.705882,0.797872,0.660377,0.752294,0.637363,0.701149,0.663717,0.828283,0.623762,0.73494,0.675214,0.655914,0.607477,0.663462,0.552083,0.666667,0.578947,0.7,0.572727,0.653061,0.656863,0.616279,0.578947,0.606383,0.556604,0.597826,0.638889,0.6,0.51,0.645161,0.495327,0.531532,0.438202,0.572816,0.536082,0.504854,0.505155,0.604167,0.5,0.445455,0.433333,0.49,0.51,0.458824,0.513043,0.45098,0.479592,0.463918,0.427184,0.378378,0.370787,0.564815,0.402174,0.35,0.58,0.510417,0.442308,0.52381,0.389474,0.538462,0.510417,0.644628,0.56962,0.642857,0.578431,0.62963,0.467391,0.640777,0.608247,0.581395,0.561404,
1600,0.93,0.95,0.915789,0.942857,0.944444,0.923913,0.904255,0.933962,0.951456,0.958763,0.921348,0.891892,0.933333,0.873684,0.939394,0.861386,0.887755,0.862745,0.909091,0.891089,0.894231,0.90625,0.871287,0.89899,0.899083,0.824176,0.894231,0.833333,0.840426,0.849057,0.895833,0.701923,0.693069,0.616162,0.785714,0.54902,0.825688,0.549451,0.635417,0.653846,0.636364,0.611111,0.704082,0.54902,0.628571,0.705263,0.5,0.627451,0.679245,0.478723,0.630435,0.694444,0.549451,0.53211,0.513274,0.655172,0.525253,0.49505,0.613636,0.553571,0.632075,0.510638,0.609524,0.631579,0.539216,0.602041,0.545455,0.524752,0.61,0.54,0.482143,0.352273,0.451923,0.572917,0.495146,0.525773,0.446602,0.525773,0.566038,0.478723,0.576923,0.5625,0.580952,0.515789,0.456522,0.509259,0.5,0.556604,0.505882,0.565217,0.618182,0.377778,0.546392,0.504854,0.545455,0.574257,0.571429,0.480392,0.653465,0.575758,
1800,0.934783,0.87963,0.934579,0.903226,0.90099,0.909091,0.895238,0.894737,0.881188,0.888889,0.957895,0.914286,0.851064,0.886792,0.87619,0.894737,0.884956,0.908046,0.911765,0.867347,0.851485,0.848485,0.81,0.8,0.88764,0.846847,0.72381,0.726316,0.760417,0.759615,0.745098,0.653061,0.711538,0.666667,0.785714,0.646552,0.78125,0.557692,0.659341,0.633028,0.631068,0.597938,0.651786,0.602273,0.726496,0.662651,0.607843,0.602041,0.679012,0.512605,0.489362,0.509434,0.632075,0.478723,0.660377,0.553191,0.568421,0.647619,0.514019,0.526882,0.608247,0.524272,0.567568,0.595506,0.525773,0.563107,0.50495,0.535354,0.534884,0.5,0.538462,0.552083,0.561905,0.452632,0.572816,0.505155,0.597938,0.514563,0.49505,0.535354,0.470588,0.540816,0.555556,0.543478,0.515152,0.50495,0.572917,0.5,0.511111,0.481818,0.532609,0.546296,0.607843,0.622449,0.580357,0.579545,0.557895,0.533333,0.581818,0.511111,
2000,0.852174,0.929412,0.87,0.91,0.846939,0.921569,0.838384,0.861386,0.822222,0.836364,0.822785,0.876033,0.847619,0.8,0.847826,0.842593,0.897727,0.830357,0.8,0.84,0.833333,0.714286,0.808081,0.831683,0.79,0.73,0.72,0.68,0.712644,0.654867,0.741935,0.598131,0.722222,0.663043,0.700935,0.645161,0.826531,0.656863,0.669903,0.546392,0.726316,0.571429,0.569892,0.616822,0.62963,0.5,0.572816,0.670103,0.587629,0.61165,0.637255,0.612245,0.611111,0.581818,0.583333,0.519231,0.516484,0.541284,0.58427,0.468468,0.586957,0.564815,0.609091,0.477778,0.607477,0.591398,0.64,0.56,0.595745,0.518868,0.704082,0.637255,0.544444,0.536364,0.557895,0.504762,0.63,0.57,0.637255,0.5,0.604396,0.504587,0.489796,0.480392,0.570093,0.580645,0.651163,0.675439,0.69697,0.534653,0.489583,0.519231,0.602273,0.526786,0.586538,0.59375,0.488372,0.552632,0.568421,0.561905,
