l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
param_0,0.589305,0.0728621,0.0716206,0.0689202,0.0717599,0.0703785,0.0690817,0.0723218,0.0689052,0.072637,0.0700882,0.071366,0.0700882,0.071366,0.0702209,0.0702209,0.0702209,0.0708264,0.0704763,0.0707612,0.0704493,0.0704728,0.0707612,0.0706559,0.0706928,0.0707168,0.0707512,0.0706505,0.070712,0.0707216,0.070712,0.0706878,0.0706958,0.0706958,0.0706967,0.0706967,0.0706986,0.0706999,0.0706943,0.0706912,0.0706934,0.0706978,0.0706951,0.0706939,0.0706954,0.0706954,0.0706959,0.0706959,0.0706959,0.0706949,
param_1,0.775114,0.05618,0.059879,0.0601593,0.0580164,0.0588768,0.0586812,0.0583523,0.0618072,0.0582574,0.0601487,0.0596457,0.0601487,0.0596457,0.0597753,0.0597753,0.0597753,0.0592856,0.0595458,0.059352,0.0595459,0.0595138,0.059352,0.0594145,0.0594148,0.0594191,0.059417,0.0594451,0.0594045,0.059416,0.0594045,0.0594163,0.0594236,0.0594236,0.0594168,0.0594168,0.0594153,0.0594154,0.0594169,0.0594165,0.0594184,0.0594164,0.0594175,0.059418,0.0594173,0.0594173,0.0594175,0.0594175,0.0594175,0.0594178,
