mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
2200,0.244449,0.262947,0.242305,0.238017,0.253807,0.276275,0.249788,0.266415,0.245165,0.238284,0.244199,0.242366,0.238256,0.23221,0.224053,0.212792,0.233547,0.229315,0.227976,0.231655,0.223252,0.217277,0.209359,0.191998,0.196493,0.161064,0.174463,0.125821,0.143924,0.0967616,0.0964962,0.057624,0.0660214,0.0482866,0.0641845,0.0318529,0.0448873,0.0245419,0.035294,0.0219695,0.0260773,0.0157134,0.0231923,0.0135578,0.016861,0.00972693,0.0136193,0.00926216,0.0110171,0.00603903,0.00792598,0.00564057,0.00828623,0.00452515,0.00566359,0.0039192,0.00506906,0.00328559,0.00472302,0.00280977,0.00350359,0.0025144,0.00286117,0.00160657,0.00268189,0.00140706,0.00185577,0.00145596,0.0016166,0.0010107,0.00125437,0.000664032,0.000995856,0.000650232,0.000865161,0.000469411,0.000673855,0.000408022,0.00057775,0.000407998,0.000482134,0.000293486,0.000388072,0.000258854,0.00034844,0.000188513,0.000262394,0.000163594,0.000219458,0.000132335,0.000181741,0.000116917,0.000126767,9.45125e-05,0.000109621,6.99577e-05,8.94471e-05,6.33024e-05,7.12545e-05,4.43075e-05,
2400,0.282969,0.300436,0.285973,0.28955,0.300154,0.327949,0.289007,0.350064,0.304109,0.288639,0.298635,0.309017,0.266476,0.270034,0.259429,0.259403,0.259497,0.273093,0.267172,0.26775,0.26123,0.248426,0.262315,0.229614,0.228975,0.181276,0.188353,0.135939,0.153044,0.106145,0.0964962,0.0609601,0.0711106,0.0482866,0.0607437,0.0318529,0.0448873,0.0260093,0.035294,0.0219695,0.0279113,0.0157134,0.0212824,0.0135578,0.016861,0.0103124,0.0127929,0.00926216,0.0110171,0.00681296,0.00792598,0.00564057,0.00778906,0.00475141,0.00566359,0.0039192,0.00548595,0.0029747,0.00472302,0.00280977,0.00350359,0.0025144,0.00286117,0.00160657,0.00244107,0.00152845,0.00185577,0.00126992,0.0016166,0.0010107,0.00125437,0.000664032,0.000945087,0.000650232,0.000865161,0.000493109,0.000628932,0.000408022,0.000525753,0.000407998,0.000436217,0.000308932,0.000388072,0.000258854,0.00034844,0.000188513,0.000262394,0.000163594,0.000219458,0.000132335,0.000181741,0.000116917,0.000112848,8.89189e-05,0.000109621,6.99577e-05,8.94471e-05,6.33024e-05,7.12545e-05,4.43075e-05,
2600,0.325414,0.335705,0.346743,0.34412,0.33045,0.374497,0.322415,0.393918,0.363623,0.33126,0.337687,0.390778,0.302195,0.301623,0.284586,0.296387,0.312985,0.312719,0.314353,0.299071,0.316602,0.287935,0.285631,0.229614,0.260542,0.181276,0.188353,0.135939,0.172657,0.106145,0.109155,0.0609601,0.0761034,0.0482866,0.0652642,0.0318529,0.0448873,0.0260093,0.035294,0.0219695,0.030935,0.0157134,0.0212824,0.0135578,0.016861,0.00938431,0.0127929,0.00926216,0.0110171,0.00681296,0.00792598,0.00564057,0.00778906,0.00475141,0.00566359,0.0039192,0.00548595,0.0029747,0.00445706,0.00280977,0.00350359,0.0025144,0.00263228,0.00160657,0.00244107,0.00152845,0.00185577,0.00126992,0.0016166,0.0010107,0.00115998,0.000664032,0.000945087,0.000650232,0.000865161,0.000493109,0.000628932,0.000408022,0.000525753,0.000384559,0.000436217,0.000308932,0.000363124,0.000239663,0.00031004,0.000188513,0.000245821,0.000163594,0.000204432,0.000121332,0.000181741,0.000108879,0.000121094,8.28057e-05,0.000109621,6.99577e-05,8.94471e-05,6.33024e-05,7.78941e-05,4.43075e-05,
2800,0.397005,0.379347,0.398754,0.409502,0.360716,0.443758,0.362553,0.439489,0.41467,0.370597,0.363242,0.410975,0.353091,0.338967,0.332966,0.326026,0.346892,0.344592,0.348408,0.349683,0.33531,0.287935,0.309387,0.229614,0.296579,0.181276,0.212491,0.135939,0.183082,0.106145,0.116775,0.0609601,0.0761034,0.0443359,0.0652642,0.0318529,0.0448873,0.0236793,0.038685,0.0219695,0.0275441,0.0157134,0.0196609,0.0135578,0.0181724,0.00938431,0.0127929,0.00926216,0.0110171,0.00681296,0.00792598,0.00615229,0.00778906,0.00475141,0.00566359,0.0039192,0.00548595,0.0029747,0.00445706,0.00280977,0.00325239,0.00234321,0.00263228,0.00160657,0.00244107,0.00152845,0.00162237,0.00126992,0.0016166,0.000931599,0.00109334,0.000710389,0.000945087,0.000684454,0.000819626,0.000493109,0.000683192,0.000375547,0.000564613,0.000356786,0.000436217,0.000286916,0.000385049,0.000239663,0.00031004,0.000178783,0.000264051,0.000140602,0.000204432,0.000121332,0.000167131,0.000108879,0.000121094,8.28057e-05,0.000109621,6.99577e-05,8.94471e-05,6.33024e-05,7.78941e-05,4.43075e-05,
3000,0.438014,0.433638,0.429768,0.44673,0.384764,0.480665,0.429642,0.439489,0.41467,0.419501,0.424993,0.435634,0.395462,0.393202,0.369484,0.380262,0.398083,0.393616,0.38159,0.349683,0.39071,0.311648,0.361524,0.269048,0.320428,0.181276,0.228625,0.143031,0.183082,0.106145,0.116775,0.0578786,0.0761034,0.0443359,0.0652642,0.0301155,0.0448873,0.0253346,0.0344516,0.0219695,0.0275441,0.0157134,0.0196609,0.0135578,0.0181724,0.00938431,0.0136458,0.00984814,0.0110171,0.00681296,0.00792598,0.00615229,0.00778906,0.00475141,0.00518481,0.0039192,0.00490848,0.0029747,0.00415064,0.00263686,0.00325239,0.00212148,0.00244647,0.00175739,0.00244107,0.00139089,0.00175216,0.00126992,0.00172906,0.000931599,0.00117286,0.000710389,0.000945087,0.000684454,0.000770449,0.000493109,0.000683192,0.000375547,0.000564613,0.000328388,0.000436217,0.000259767,0.000385049,0.000239663,0.00031004,0.000178783,0.000246796,0.000131513,0.000204432,0.000121332,0.000154596,0.000100713,0.000121094,7.07613e-05,0.000109621,6.99577e-05,8.94471e-05,6.33024e-05,7.78941e-05,4.43075e-05,
3200,0.462791,0.433638,0.470114,0.44673,0.405874,0.480665,0.429642,0.439489,0.452289,0.452898,0.424993,0.435634,0.429359,0.393202,0.42948,0.380262,0.454364,0.419857,0.402137,0.369353,0.39071,0.337313,0.438348,0.269048,0.320428,0.196352,0.228625,0.154474,0.199608,0.106145,0.116775,0.0615568,0.0761034,0.0477021,0.0652642,0.0301155,0.0448873,0.0253346,0.03006,0.0219695,0.0258491,0.0157134,0.0196609,0.0135578,0.0167418,0.00986238,0.0128774,0.00984814,0.0117873,0.00722034,0.00792598,0.00615229,0.00778906,0.00441881,0.00549786,0.0039192,0.00490848,0.00313487,0.00415064,0.00230378,0.00325239,0.00197873,0.00244647,0.00189345,0.00244107,0.00139089,0.00175216,0.00116884,0.00153984,0.000931599,0.00117286,0.000710389,0.00100198,0.000647762,0.000770449,0.000519274,0.000738429,0.000375547,0.000564613,0.000356042,0.000436217,0.000259767,0.000385049,0.000214218,0.00031004,0.000178783,0.000260202,0.000131513,0.00021681,0.000121332,0.000154596,9.35473e-05,0.000121094,7.07613e-05,0.000119287,6.99577e-05,9.43821e-05,6.33024e-05,7.78941e-05,4.43075e-05,
3400,0.462791,0.485988,0.470114,0.470784,0.405874,0.507369,0.468018,0.465768,0.452289,0.452898,0.424993,0.457826,0.429359,0.450254,0.42948,0.414587,0.454364,0.419857,0.443545,0.369353,0.368708,0.357482,0.438348,0.269048,0.34571,0.196352,0.228625,0.16371,0.199608,0.106145,0.116775,0.0663446,0.0814233,0.0446531,0.0601264,0.0336384,0.0394634,0.0253346,0.0318362,0.0219695,0.0258491,0.0157134,0.0196609,0.0135578,0.0167418,0.00986238,0.0136934,0.0108031,0.0117873,0.00722034,0.00848003,0.00575905,0.00778906,0.0047277,0.00549786,0.0039192,0.00461798,0.00294432,0.00415064,0.00230378,0.00325239,0.00197873,0.00244647,0.0017567,0.00244107,0.00139089,0.00175216,0.000930447,0.00153984,0.000931599,0.00133336,0.000710389,0.00105975,0.000647762,0.000770449,0.000519274,0.000738429,0.000375547,0.000564613,0.000356042,0.000436217,0.000259767,0.000346544,0.000214218,0.00031004,0.000178783,0.000240888,0.000139429,0.00021681,0.00012902,0.000154596,9.35473e-05,0.00013039,7.45445e-05,0.000108601,6.99577e-05,9.43821e-05,6.33024e-05,7.2804e-05,4.43075e-05,
3600,0.462791,0.485988,0.51392,0.470784,0.442696,0.507369,0.468018,0.515336,0.47773,0.477285,0.424993,0.484994,0.456476,0.475983,0.42948,0.414587,0.454364,0.419857,0.443545,0.402344,0.368708,0.337622,0.438348,0.269048,0.34571,0.226311,0.248221,0.16371,0.199608,0.0990682,0.116775,0.0663446,0.0874415,0.0418416,0.0601264,0.0336384,0.0394634,0.0253346,0.0346219,0.0219695,0.0279989,0.0148563,0.0208897,0.0135578,0.0152718,0.00986238,0.0136934,0.0108031,0.0106658,0.00722034,0.00848003,0.00621754,0.00823196,0.0047277,0.00581048,0.0039192,0.00415618,0.00294432,0.00415064,0.00230378,0.00349134,0.00197873,0.00244647,0.00163744,0.00244107,0.00139089,0.00175216,0.000930447,0.00153984,0.000931599,0.00133336,0.000757748,0.00105975,0.000647762,0.000770449,0.000550209,0.000738429,0.000396152,0.000534896,0.000356042,0.000436217,0.000259767,0.000346544,0.000214218,0.00031004,0.000189434,0.000261174,0.000139429,0.00021681,0.000113588,0.000154596,9.35473e-05,0.000137362,7.45445e-05,0.000108601,6.99577e-05,9.43821e-05,6.33024e-05,7.2804e-05,4.15809e-05,
3800,0.462791,0.485988,0.469732,0.470784,0.486432,0.536857,0.468018,0.515336,0.511221,0.477285,0.424993,0.484994,0.48122,0.475983,0.42948,0.414587,0.492153,0.419857,0.46689,0.379353,0.431696,0.337622,0.438348,0.24473,0.34571,0.208032,0.267355,0.148914,0.186704,0.0916136,0.116775,0.0629623,0.0874415,0.0444969,0.05527,0.0336384,0.0394634,0.0253346,0.0322647,0.0219695,0.0279989,0.0148563,0.0208897,0.0135578,0.0173697,0.00912026,0.0149462,0.0100285,0.0113768,0.00680196,0.00914909,0.00583492,0.00823196,0.0047277,0.00617974,0.00367477,0.00469302,0.00294432,0.00415064,0.00230378,0.00349134,0.00197873,0.00244647,0.00163744,0.00244107,0.00146913,0.00175216,0.000930447,0.00153984,0.00107609,0.00133336,0.000757748,0.00105975,0.000607364,0.000835328,0.000550209,0.000738429,0.000396152,0.000534896,0.000326181,0.00046239,0.000259767,0.000346544,0.000214218,0.00031004,0.000189434,0.00029833,0.000139429,0.000203289,0.000113588,0.000137492,9.35473e-05,0.000137362,7.45445e-05,0.000108601,6.99577e-05,8.95704e-05,6.33024e-05,6.7905e-05,4.15809e-05,
4000,0.462791,0.485988,0.469732,0.470784,0.486432,0.536857,0.441564,0.515336,0.511221,0.477285,0.424993,0.484994,0.447252,0.520667,0.452269,0.466614,0.492153,0.419857,0.46689,0.399318,0.431696,0.337622,0.398897,0.24473,0.34571,0.193117,0.267355,0.148914,0.20408,0.0847657,0.130436,0.0553265,0.0874415,0.0444969,0.05527,0.031448,0.0418529,0.0253346,0.0322647,0.0197725,0.0279989,0.0162637,0.0230781,0.0127015,0.0173697,0.00981514,0.0149462,0.00935998,0.0106685,0.00680196,0.00969804,0.00583492,0.00823196,0.0047277,0.00569325,0.00367477,0.00469302,0.00294432,0.00415064,0.00230378,0.00329474,0.00197873,0.00261825,0.0017672,0.00223395,0.00135858,0.00197166,0.000930447,0.00153984,0.00101427,0.00133336,0.000757748,0.00105975,0.000607364,0.000835328,0.000550209,0.000668037,0.000367186,0.000497139,0.000326181,0.00046239,0.000277951,0.000346544,0.000214218,0.000289997,0.000189434,0.000276517,0.000139429,0.000203289,0.000113588,0.000144787,8.51097e-05,0.000152069,7.45445e-05,0.000102395,6.99577e-05,8.45267e-05,5.59933e-05,6.7905e-05,4.4983e-05,
