mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
2200,0.877551,0.862745,0.83,0.79,0.841584,0.929293,0.818182,0.877778,0.846154,0.864583,0.788462,0.875,0.87037,0.793478,0.79798,0.752475,0.840426,0.830189,0.778846,0.78125,0.805556,0.826087,0.826923,0.791667,0.875,0.705357,0.731183,0.682243,0.826531,0.676471,0.721649,0.592233,0.725664,0.678161,0.684783,0.583333,0.718447,0.56701,0.693694,0.629213,0.673684,0.609524,0.568627,0.622449,0.583333,0.528846,0.62963,0.621849,0.571429,0.494737,0.640777,0.546392,0.653846,0.604167,0.56701,0.504854,0.584906,0.574468,0.548077,0.6875,0.568627,0.591837,0.57732,0.631068,0.517857,0.659091,0.56044,0.559633,0.584158,0.646465,0.571429,0.617647,0.53,0.62,0.567308,0.458333,0.603604,0.426966,0.486239,0.593407,0.556701,0.563107,0.628866,0.553398,0.604167,0.538462,0.6,0.495238,0.561224,0.529412,0.59633,0.571429,0.640351,0.697674,0.54902,0.663265,0.528846,0.552083,0.576087,0.546296,
2400,0.757576,0.742574,0.78022,0.816514,0.782609,0.787037,0.757009,0.913978,0.840426,0.811321,0.822917,0.875,0.718447,0.762887,0.757895,0.819048,0.711111,0.790909,0.77193,0.755814,0.770115,0.743363,0.852941,0.795918,0.765306,0.72549,0.679612,0.680412,0.663366,0.69697,0.593023,0.657895,0.677083,0.567308,0.546392,0.640777,0.582524,0.659794,0.606742,0.603604,0.67033,0.623853,0.517647,0.556522,0.597938,0.660194,0.539326,0.630631,0.618557,0.728155,0.642202,0.637363,0.54,0.65,0.57,0.6,0.682243,0.505376,0.625,0.596154,0.565657,0.574257,0.555556,0.613861,0.510204,0.686275,0.554348,0.472222,0.635417,0.634615,0.6,0.6,0.54902,0.591837,0.597938,0.650485,0.533333,0.578947,0.51,0.55,0.504762,0.652632,0.610619,0.586207,0.551724,0.60177,0.649485,0.553398,0.563107,0.597938,0.590909,0.598214,0.490196,0.540816,0.59375,0.567308,0.637255,0.581633,0.634409,0.560748,
2600,0.75,0.717391,0.8125,0.788462,0.700935,0.741935,0.715596,0.725275,0.795699,0.747664,0.730769,0.864583,0.734043,0.716981,0.69697,0.742574,0.806122,0.745098,0.776596,0.716981,0.811966,0.759036,0.688889,0.572727,0.737864,0.639175,0.632653,0.607843,0.728155,0.597938,0.731183,0.598131,0.670213,0.556604,0.674419,0.631579,0.604396,0.605505,0.60396,0.575758,0.708333,0.596154,0.58427,0.648649,0.59,0.51,0.625,0.625,0.590476,0.642105,0.569892,0.626168,0.590361,0.555556,0.565657,0.574257,0.554455,0.59596,0.543689,0.628866,0.641304,0.601852,0.52,0.6,0.585106,0.566038,0.606061,0.584158,0.618557,0.631068,0.524752,0.636364,0.59434,0.606383,0.568627,0.632653,0.59596,0.60396,0.603774,0.542553,0.572816,0.608247,0.535714,0.525862,0.489796,0.578431,0.536842,0.561905,0.531532,0.516854,0.586538,0.53125,0.673077,0.53125,0.62766,0.613208,0.597938,0.572816,0.693182,0.625,
2800,0.82,0.73,0.75,0.79,0.691589,0.784946,0.72449,0.715686,0.740385,0.71875,0.675676,0.651685,0.768421,0.72381,0.77,0.7,0.708333,0.701923,0.708333,0.769231,0.659091,0.633929,0.683168,0.606061,0.738318,0.645161,0.728155,0.56701,0.660377,0.62766,0.669811,0.648936,0.611111,0.518182,0.565657,0.594059,0.567308,0.510417,0.696078,0.632653,0.490385,0.625,0.52381,0.568421,0.677778,0.609091,0.582418,0.605505,0.617647,0.602041,0.640777,0.690722,0.648649,0.606742,0.626263,0.60396,0.569892,0.579439,0.561905,0.557895,0.528302,0.531915,0.575758,0.594059,0.621359,0.56701,0.474227,0.582524,0.583333,0.521739,0.542553,0.669811,0.590476,0.652632,0.547368,0.609524,0.686275,0.520408,0.673913,0.527778,0.575221,0.528736,0.660377,0.606383,0.607477,0.548387,0.674157,0.459459,0.646465,0.60396,0.519608,0.632653,0.583333,0.605769,0.6,0.63,0.575472,0.585106,0.559633,0.615385,
3000,0.703297,0.743119,0.677778,0.690909,0.666667,0.683168,0.785047,0.634409,0.563107,0.731959,0.77,0.66,0.72,0.76,0.709677,0.766355,0.747573,0.742268,0.695238,0.6,0.765217,0.682353,0.768519,0.771739,0.680412,0.592233,0.675926,0.652174,0.584158,0.575758,0.614679,0.549451,0.586538,0.5625,0.613861,0.545455,0.597938,0.669903,0.490566,0.553191,0.609524,0.621053,0.57732,0.563107,0.642857,0.607843,0.666667,0.663265,0.626263,0.643564,0.648352,0.568807,0.571429,0.568421,0.515464,0.563107,0.494737,0.552381,0.53125,0.538462,0.598131,0.505376,0.529412,0.693878,0.59,0.51,0.68,0.61,0.669565,0.6,0.672727,0.566667,0.615385,0.5625,0.54,0.55,0.591837,0.637255,0.647059,0.520408,0.64486,0.505376,0.568807,0.582418,0.610526,0.609524,0.534653,0.535354,0.61,0.58,0.525,0.525,0.594059,0.454545,0.613208,0.617021,0.594059,0.555556,0.601942,0.628866,
3200,0.656566,0.574257,0.693878,0.598039,0.654867,0.586207,0.619048,0.610526,0.690722,0.679612,0.638095,0.631579,0.685714,0.631579,0.762376,0.555556,0.741379,0.666667,0.653846,0.65625,0.617391,0.682353,0.8125,0.615385,0.616162,0.683168,0.57,0.68,0.690265,0.62069,0.55914,0.663551,0.586957,0.675926,0.572917,0.615385,0.568627,0.571429,0.472527,0.605505,0.538462,0.577982,0.566038,0.595745,0.521277,0.650943,0.543689,0.56701,0.669903,0.659794,0.646018,0.632184,0.62,0.53,0.660377,0.62766,0.604167,0.653846,0.647619,0.473684,0.634409,0.53271,0.579439,0.677419,0.555556,0.572727,0.607843,0.520408,0.490566,0.56383,0.619565,0.648148,0.660194,0.546392,0.598039,0.653061,0.680851,0.584906,0.6,0.684211,0.633663,0.575758,0.554622,0.493827,0.6,0.589474,0.654321,0.596639,0.66055,0.593407,0.635417,0.528846,0.577982,0.56044,0.688172,0.616822,0.655172,0.610619,0.571429,0.642202,
3400,0.629213,0.720721,0.635417,0.653846,0.618182,0.655556,0.68932,0.659794,0.578431,0.602041,0.553191,0.650943,0.642857,0.745098,0.62069,0.690265,0.574074,0.619565,0.70297,0.616162,0.543689,0.659794,0.62,0.62,0.678899,0.615385,0.61165,0.659794,0.641304,0.648148,0.581818,0.677778,0.669903,0.536082,0.521277,0.716981,0.479167,0.586538,0.659091,0.625,0.623853,0.626374,0.635417,0.596154,0.597826,0.611111,0.663366,0.69697,0.583333,0.565217,0.669903,0.536082,0.608247,0.669903,0.647059,0.581633,0.540816,0.539216,0.564815,0.619565,0.571429,0.557895,0.608696,0.527778,0.612245,0.647059,0.575758,0.39604,0.636364,0.616071,0.736842,0.561905,0.657658,0.606742,0.64,0.56,0.56,0.64,0.57,0.6,0.606742,0.594595,0.5,0.637255,0.61,0.62,0.525773,0.660194,0.575758,0.663366,0.648936,0.603774,0.676768,0.653465,0.510417,0.586538,0.588235,0.565217,0.534653,0.606061,
3600,0.611765,0.591304,0.693182,0.607143,0.690722,0.592233,0.604396,0.706422,0.65625,0.653846,0.623853,0.659341,0.663158,0.657143,0.563107,0.597938,0.605769,0.614583,0.556701,0.68932,0.645455,0.544444,0.628866,0.640777,0.631068,0.752577,0.685714,0.621053,0.568421,0.533333,0.6,0.638095,0.673913,0.537037,0.637255,0.622449,0.585586,0.606742,0.6875,0.615385,0.683168,0.545455,0.6625,0.583333,0.512195,0.623377,0.636364,0.622222,0.504854,0.608247,0.597938,0.679612,0.656863,0.591837,0.656863,0.561224,0.5,0.627451,0.5625,0.625,0.673469,0.568627,0.604396,0.53211,0.565657,0.633663,0.603774,0.595745,0.579439,0.602151,0.623762,0.666667,0.59596,0.633663,0.613208,0.659574,0.632184,0.654867,0.547368,0.571429,0.583333,0.603448,0.616162,0.633663,0.59434,0.659574,0.684211,0.609524,0.561224,0.480392,0.649485,0.553398,0.653465,0.646465,0.559633,0.582418,0.647619,0.6,0.568807,0.538462,
3800,0.593023,0.578947,0.514019,0.612903,0.698795,0.65812,0.619048,0.603448,0.670103,0.640777,0.634615,0.5625,0.654206,0.569892,0.571429,0.637931,0.683168,0.616162,0.652632,0.542857,0.770833,0.615385,0.5625,0.509615,0.635417,0.519231,0.677083,0.509615,0.535354,0.524752,0.581633,0.54902,0.635417,0.663462,0.519231,0.583333,0.59375,0.625,0.531915,0.566038,0.596154,0.59375,0.591837,0.578431,0.737374,0.524752,0.691489,0.528302,0.666667,0.542056,0.678899,0.538462,0.641509,0.648936,0.663551,0.537634,0.729167,0.567308,0.578431,0.571429,0.622222,0.618182,0.617978,0.585586,0.634615,0.65625,0.618557,0.553398,0.627451,0.755102,0.553398,0.628866,0.64486,0.537634,0.684211,0.571429,0.55102,0.568627,0.635514,0.516129,0.66,0.61,0.589474,0.571429,0.615385,0.568807,0.742268,0.631068,0.537634,0.588785,0.489362,0.622642,0.552381,0.589474,0.58427,0.612613,0.54902,0.561224,0.53271,0.645161,
4000,0.607143,0.636364,0.597938,0.592233,0.61165,0.587629,0.543478,0.574074,0.642857,0.617647,0.617978,0.621622,0.529412,0.693878,0.653061,0.72549,0.60396,0.59596,0.571429,0.652632,0.625,0.633929,0.51,0.59,0.574468,0.528302,0.561224,0.558824,0.693069,0.525253,0.716981,0.478723,0.631068,0.556701,0.578947,0.534884,0.66055,0.648352,0.58,0.5,0.628571,0.694737,0.704762,0.536842,0.642105,0.67619,0.6,0.533333,0.537736,0.638298,0.66,0.6,0.575472,0.585106,0.521277,0.641509,0.622642,0.56383,0.583333,0.619565,0.543689,0.639175,0.670213,0.679245,0.515152,0.524752,0.725275,0.568807,0.59434,0.542553,0.566038,0.595745,0.613861,0.636364,0.59596,0.594059,0.504673,0.526882,0.529412,0.612245,0.61,0.67,0.637255,0.602041,0.535354,0.643564,0.526882,0.635514,0.578431,0.612245,0.653061,0.509804,0.707071,0.623762,0.542857,0.642105,0.543689,0.484536,0.571429,0.681818,
