mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
110,0.707113,0.9425,0.957844,0.549258,0.645535,0.477684,0.848779,0.533692,0.349898,0.933792,0.404505,0.593543,0.530115,0.998738,0.62515,0.807357,0.309081,0.824723,0.83709,0.375853,0.666449,0.431988,0.329442,0.784324,0.830705,0.639596,0.993011,0.49215,0.764828,0.569186,0.812911,0.726602,0.978151,0.806864,0.527734,0.988698,0.874085,0.89506,0.626011,0.922613,0.384646,0.40886,0.207671,0.457828,0.147592,0.499242,0.818819,0.371702,0.137169,0.496268,0.182295,0.381468,0.814344,0.148336,0.575329,0.122606,0.0110032,0.50251,0.000123884,0.778807,0.132085,0.23614,0.476849,0.0963771,0.000728192,0.588408,0.00208473,0.488937,0.914017,4.28648e-05,0.654446,0.020439,0.718554,0.011581,0.755514,0.000202889,0.00329586,0.314845,0.347415,0.0449493,0.0510063,0.181205,0.162599,0.104328,0.566485,7.98639e-06,0.224454,0.0846564,0.0211002,0.213957,0.0393457,0.172786,0.344633,0.00893651,0.0104368,0.180316,0.247666,0.0313181,0.0176071,0.143318,
120,0.443507,0.622696,0.5301,0.980963,0.691076,0.800932,0.294872,0.851245,0.812085,0.351295,0.67236,0.416591,0.313661,0.790744,0.824685,0.656061,0.972642,0.543225,0.761273,0.558407,0.787241,0.741406,0.974116,0.803201,0.522188,0.977199,0.906276,0.898501,0.63418,0.931829,0.682584,0.933607,0.848961,0.508811,0.955107,0.524487,0.316303,0.940051,0.616488,0.460512,0.762362,0.359498,0.343656,0.387626,0.147183,0.468654,0.137891,0.457641,0.0931932,0.484846,0.154258,0.364806,0.812092,0.122365,0.553538,0.104845,0.00827209,0.490561,5.58442e-05,0.759525,0.112718,0.222195,0.00070289,0.531354,0.451414,0.0732792,0.904658,4.28648e-05,4.90597e-05,0.45388,0.746967,0.000202889,0.686559,0.0012043,0.637693,0.00069782,0.00329586,0.296164,0.551449,7.98639e-06,0.223739,0.0792991,0.160633,0.0987952,0.0440737,0.179872,0.019423,0.213125,0.342037,0.0416247,0.0373818,0.172786,0.344633,0.00893651,0.0103458,0.179644,0.247336,0.0310293,0.0177009,0.143145,
130,0.629474,0.425576,0.326359,0.806204,0.823928,0.638925,0.966893,0.547314,0.724001,0.59071,0.814376,0.714808,0.97453,0.785464,0.475828,0.991871,0.891356,0.881831,0.604849,0.911353,0.68149,0.983591,0.513027,0.992277,0.981216,0.504547,0.320597,0.945112,0.290366,0.83348,0.870129,0.368366,0.455681,0.648382,0.684337,0.76187,0.850985,0.499636,0.730566,0.347768,0.587984,0.456516,0.339823,0.399843,0.131555,0.460649,0.0946854,0.469034,0.128928,0.461665,0.136202,0.363812,0.785434,0.101866,5.58442e-05,0.750178,0.530483,0.0794265,0.00192987,0.467762,0.000690036,0.531354,0.107134,0.207079,0.880773,4.28648e-05,0.42772,0.0628767,4.90597e-05,0.424431,0.740165,0.000202889,0.671353,0.000324243,0.611973,0.00069782,0.532544,7.98639e-06,0.00329586,0.263189,0.22012,0.071494,0.160633,0.0961094,0.0393555,0.178037,0.337502,0.0407672,0.01837,0.208665,0.0364859,0.171868,0.343577,0.00900604,0.0103514,0.179312,0.247328,0.0310079,0.0178659,0.142917,
140,0.830663,0.735733,0.975758,0.806356,0.463377,0.988066,0.92221,0.897632,0.605696,0.945397,0.648915,0.961605,0.492214,0.964708,0.95253,0.515406,0.302156,0.936555,0.268061,0.844076,0.321772,0.823178,0.483778,0.681292,0.647202,0.762749,0.716792,0.568296,0.623561,0.408881,0.597755,0.461601,0.846431,0.527033,0.830832,0.629856,0.86499,0.388012,0.717235,0.333732,0.954464,0.557694,0.13605,0.454852,0.116352,0.448425,0.352209,0.356527,0.082055,0.463471,0.123118,0.328672,0.749916,0.0815033,5.58442e-05,0.732516,0.00192987,0.440015,0.000690036,0.504088,0.520033,0.0628734,0.864553,4.28648e-05,0.411599,0.0620454,4.90597e-05,0.414818,0.0554403,0.190606,0.726867,0.000202889,0.640368,0.000301951,0.602803,0.00069782,0.520589,7.98639e-06,0.219267,0.0711018,0.00408546,0.23553,0.01837,0.200914,0.334262,0.0385602,0.0317563,0.174521,0.152142,0.0943517,0.0352815,0.170241,0.343577,0.00911768,0.0103795,0.178822,0.247328,0.0309904,0.0179554,0.142813,
150,0.666612,0.994277,0.452745,0.947994,0.949761,0.511199,0.284144,0.878352,0.275613,0.862,0.344093,0.827962,0.485072,0.663989,0.652654,0.768887,0.749998,0.59551,0.66945,0.417401,0.607139,0.408422,0.812367,0.488787,0.833431,0.66713,0.943269,0.819373,0.85246,0.714652,0.435106,0.987182,0.93623,0.553909,0.919969,0.908469,0.570765,0.963127,0.861841,0.380217,0.708478,0.279184,0.365843,0.335224,0.120401,0.422536,0.0870451,0.423182,0.0395353,0.452549,0.104334,0.33241,0.741708,0.0789792,5.58442e-05,0.732516,0.000690036,0.481271,0.00192987,0.427282,0.48809,0.0570788,0.834016,4.28648e-05,0.000499143,0.414818,0.715023,0.000202889,0.599207,0.000301951,0.405651,0.0440034,0.575393,7.84922e-05,0.509099,7.98639e-06,0.0271796,0.173801,0.330847,0.0315296,0.207457,0.0674472,0.148463,0.0894371,0.00582291,0.221179,0.031735,0.174366,0.0149678,0.196902,0.0338023,0.168986,0.343146,0.00896915,0.0104766,0.17834,0.246868,0.0307006,0.0179554,0.142616,
160,0.363495,0.874429,0.48548,0.66168,0.656402,0.773754,0.777157,0.584838,0.932625,0.525785,0.553454,0.443984,0.793778,0.517673,0.819069,0.691753,0.959853,0.795458,0.878767,0.72727,0.423039,0.988107,0.971973,0.5517,0.934607,0.900313,0.567297,0.980507,0.67826,0.982623,0.281059,0.884629,0.458751,0.949598,0.281009,0.855892,0.888026,0.357576,0.644211,0.393377,0.714469,0.274698,0.346876,0.315808,0.101989,0.423266,0.0860237,0.390065,0.083787,0.325613,0.0115772,0.450744,5.58442e-05,0.69294,0.682916,0.0431123,0.000690036,0.453132,0.00192987,0.402185,0.783935,4.28648e-05,0.000499143,0.402972,0.465944,0.0442865,0.701317,0.000202889,0.565455,0.000301951,0.572301,7.84922e-05,0.384114,0.0310259,0.498004,7.98639e-06,0.00729581,0.206151,0.031735,0.151558,0.146726,0.0885958,0.0320332,0.167482,0.315477,0.0198505,0.0134312,0.196068,0.0264098,0.166076,0.206475,0.0637916,0.342027,0.00896915,0.0106987,0.177702,0.246239,0.0303573,0.0181633,0.142442,
170,0.53032,0.443984,0.791014,0.543349,0.841537,0.73159,0.942244,0.791033,0.871259,0.724982,0.407189,0.977605,0.971385,0.545277,0.925649,0.912901,0.578125,0.975601,0.654439,0.97182,0.279497,0.921021,0.481093,0.965468,0.687718,0.732809,0.374806,0.881513,0.52711,0.67279,0.982509,0.52144,0.319116,0.840867,0.772129,0.554036,0.880894,0.359265,0.627203,0.39615,0.702843,0.253274,0.352566,0.312746,0.0975663,0.417238,0.0640829,0.368127,0.0800054,0.31942,5.58442e-05,0.687122,0.000649716,0.424774,0.639867,0.0421127,0.000690036,0.440038,0.00192987,0.389594,0.764811,4.28648e-05,0.000499143,0.396154,0.677549,0.000202889,0.545991,0.000301951,0.543797,7.84922e-05,0.491018,7.98639e-06,0.457102,0.00374662,0.361956,0.00384179,0.00680774,0.206151,0.0120863,0.195994,0.0200388,0.165861,0.205616,0.0636289,0.146726,0.0736121,0.339299,0.00910718,0.0286644,0.142358,0.0254455,0.166005,0.313823,0.0189156,0.0107875,0.177087,0.245726,0.0298278,0.018215,0.142163,
180,0.371076,0.959579,0.935585,0.5353,0.910598,0.899662,0.558181,0.997935,0.655079,0.988888,0.304044,0.901625,0.495417,0.976585,0.683415,0.697281,0.395999,0.886321,0.524917,0.675049,0.993043,0.546287,0.290764,0.850468,0.759856,0.597902,0.74814,0.548345,0.820434,0.699185,0.957044,0.782772,0.648268,0.417302,0.559451,0.440318,0.906222,0.335052,0.692566,0.233416,0.849411,0.725804,0.355241,0.29887,0.0691073,0.390274,0.0434874,0.369892,0.0872738,0.30397,5.58442e-05,0.661835,0.000690036,0.439626,0.633664,0.0268077,0.769967,4.28648e-05,0.000649716,0.413274,0.00116035,0.381802,0.000499143,0.385008,0.659675,0.000202889,0.533809,7.84922e-05,0.486397,0.000301951,0.466392,7.98639e-06,0.448292,0.00280736,0.00680774,0.178481,0.347323,0.00384179,0.203685,0.053395,0.337678,0.00910718,0.0111963,0.190662,0.0214375,0.165372,0.311404,0.016742,0.0109499,0.17648,0.0196042,0.157243,0.146547,0.0718113,0.245264,0.0296839,0.0286644,0.141933,0.0184383,0.141971,
190,0.288235,0.897212,0.515971,0.955276,0.703042,0.68164,0.395992,0.839735,0.547223,0.692159,0.980107,0.529871,0.297869,0.876886,0.770687,0.586161,0.763574,0.477431,0.850134,0.669935,0.956647,0.796122,0.942705,0.530747,0.887567,0.888448,0.892571,0.323904,0.347247,0.965076,0.856991,0.696015,0.534392,0.988701,0.634278,0.993416,0.580763,0.443631,0.641772,0.457012,0.703337,0.19909,0.32143,0.290402,0.0424474,0.368999,0.0670256,0.292692,0.0203439,0.350815,5.58442e-05,0.63324,0.767407,4.28648e-05,0.000690036,0.40338,0.000649716,0.398573,0.618923,0.0199959,0.00116035,0.378288,0.000499143,0.37091,0.621623,0.000202889,0.504413,7.84922e-05,0.451482,0.000301951,0.440606,0.000776206,0.447022,7.98639e-06,0.335711,0.00692317,0.0108234,0.184969,0.302302,0.00956239,0.307973,0.0135335,0.0109768,0.17192,0.0132106,0.159718,0.0197765,0.163824,0.200759,0.0496695,0.144519,0.0718113,0.0187164,0.155112,0.244842,0.0295872,0.0284787,0.141889,0.0185431,0.141958,
200,0.987606,0.565738,0.304861,0.87089,0.793791,0.625114,0.765172,0.465227,0.839002,0.695733,0.942202,0.816057,0.928068,0.52908,0.905644,0.857968,0.916495,0.328027,0.330639,0.958444,0.850897,0.700053,0.490644,0.959985,0.614303,0.946909,0.505002,0.937702,0.698338,0.689453,0.215793,0.90395,0.390811,0.852139,0.522045,0.681392,0.577938,0.446735,0.650395,0.455934,0.715342,0.183357,0.350606,0.304814,0.0195523,0.366684,0.0582404,0.228134,5.58442e-05,0.583235,0.739626,4.28648e-05,0.000690036,0.392078,0.00063705,0.308906,0.584565,0.0167051,0.000649716,0.374144,0.00116035,0.363697,0.000499143,0.348348,0.572819,0.000202889,0.490353,7.84922e-05,0.439606,7.98639e-06,0.428355,0.000301951,0.430217,0.000776206,0.0108234,0.171421,0.300007,0.0135335,0.285943,0.00692317,0.290281,0.0128068,0.0123321,0.166376,0.0141378,0.163824,0.142288,0.0718113,0.0132106,0.155305,0.198749,0.0479773,0.0175643,0.155112,0.244842,0.0288333,0.0283845,0.141873,0.018532,0.1416,
