mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,0.99,1,1,1,1,1,0.98,0.99,1,1,0.98,0.98,0.98,0.96,0.9,0.86,0.8,0.75,0.63,0.44,0.36,0.35,0.31,0.4,0.21,0.26,0.26,0.26,0.29,0.28,0.22,0.23,0.25,0.25,0.32,0.29,0.28,0.26,0.23,0.28,0.37,0.38,0.31,0.3,0.21,0.14,0.08,0.06,0.04,
400,0.99,1,1,1,1,1,0.99,0.995,0.995,0.99,0.985,0.985,0.97,0.94,0.925,0.835,0.8,0.69,0.435,0.22,0.27,0.285,0.165,0.255,0.315,0.385,0.215,0.235,0.24,0.175,0.18,0.205,0.185,0.25,0.225,0.26,0.295,0.335,0.335,0.37,0.38,0.405,0.355,0.385,0.325,0.28,0.22,0.175,0.095,
600,0.993333,1,1,1,1,1,0.99,0.996667,0.996667,0.986667,0.983333,0.99,0.97,0.936667,0.903333,0.816667,0.763333,0.556667,0.323333,0.223333,0.256667,0.346667,0.11,0.38,0.386667,0.443333,0.34,0.376667,0.383333,0.336667,0.37,0.353333,0.333333,0.353333,0.376667,0.416667,0.42,0.45,0.413333,0.43,0.466667,0.426667,0.43,0.43,0.376667,0.34,0.29,0.243333,0.16,
800,0.9925,1,1,1,1,0.995,0.9925,0.9975,0.995,0.99,0.9775,0.98,0.9675,0.9325,0.8825,0.7775,0.67,0.47,0.3725,0.29,0.28,0.3825,0.14,0.475,0.495,0.5625,0.4575,0.485,0.4875,0.4425,0.46,0.4525,0.4275,0.435,0.48,0.4975,0.49,0.5125,0.5075,0.5025,0.55,0.5375,0.5175,0.53,0.4875,0.415,0.395,0.3425,0.2825,
1000,0.994,1,0.998,1,0.998,0.996,0.992,0.996,0.996,0.99,0.976,0.972,0.946,0.91,0.764,0.77,0.67,0.524,0.444,0.38,0.388,0.45,0.256,0.53,0.558,0.618,0.524,0.54,0.542,0.51,0.516,0.518,0.486,0.492,0.54,0.546,0.544,0.548,0.552,0.532,0.582,0.596,0.56,0.562,0.546,0.458,0.476,0.434,0.364,
1200,0.995,0.998333,0.998333,0.998333,0.998333,0.996667,0.993333,0.993333,0.993333,0.988333,0.965,0.966667,0.921667,0.885,0.713333,0.738333,0.681667,0.566667,0.501667,0.43,0.446667,0.493333,0.331667,0.565,0.61,0.633333,0.546667,0.576667,0.581667,0.546667,0.55,0.555,0.518333,0.526667,0.583333,0.575,0.58,0.588333,0.575,0.576667,0.61,0.628333,0.6,0.6,0.575,0.515,0.521667,0.496667,0.438333,
1400,0.995714,0.998571,0.998571,0.997143,0.997143,0.997143,0.991429,0.99,0.992857,0.981429,0.957143,0.952857,0.912857,0.857143,0.721429,0.741429,0.674286,0.58,0.521429,0.465714,0.494286,0.527143,0.401429,0.6,0.617143,0.667143,0.582857,0.615714,0.604286,0.57,0.572857,0.574286,0.521429,0.544286,0.615714,0.594286,0.61,0.62,0.601429,0.591429,0.624286,0.641429,0.617143,0.615714,0.592857,0.541429,0.545714,0.531429,0.482857,
1600,0.995,0.99875,0.99875,0.9975,0.99625,0.995,0.9925,0.98375,0.98875,0.975,0.9525,0.94375,0.89875,0.84875,0.71625,0.70625,0.67625,0.60125,0.54875,0.50625,0.525,0.5575,0.44,0.61375,0.64125,0.66125,0.59625,0.64125,0.61875,0.59,0.60625,0.5875,0.54875,0.56,0.62375,0.61125,0.62625,0.64125,0.6225,0.61625,0.6425,0.6525,0.62125,0.6375,0.6125,0.575,0.5625,0.56375,0.51,
1800,0.995556,0.998889,0.998889,0.996667,0.994444,0.993333,0.993333,0.985556,0.99,0.97,0.945556,0.935556,0.886667,0.83,0.71,0.692222,0.684444,0.611111,0.571111,0.531111,0.55,0.567778,0.467778,0.622222,0.651111,0.672222,0.617778,0.658889,0.624444,0.602222,0.621111,0.608889,0.573333,0.581111,0.631111,0.627778,0.644444,0.645556,0.64,0.626667,0.65,0.66,0.637778,0.644444,0.624444,0.597778,0.576667,0.574444,0.526667,
2000,0.995,0.999,0.998,0.997,0.995,0.992,0.994,0.985,0.989,0.964,0.943,0.93,0.881,0.815,0.709,0.692,0.686,0.619,0.59,0.553,0.569,0.588,0.495,0.63,0.664,0.683,0.632,0.665,0.635,0.608,0.638,0.62,0.597,0.593,0.639,0.638,0.657,0.663,0.653,0.637,0.651,0.676,0.654,0.654,0.63,0.612,0.592,0.593,0.538,
