mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.179149,0.477066,0.869305,0.537453,0.960925,0.908901,0.932068,0.265301,0.771448,0.310167,0.596011,0.739078,0.662074,0.378604,0.052629,0.260202,0.886526,0.694643,0.60497,0.802217,0.581142,0.138893,0.41349,0.566241,0.962894,0.8721,0.642687,0.0828139,0.159086,0.829247,0.422063,0.41415,0.109751,0.891278,0.610723,0.877734,0.456655,0.325325,0.0252946,0.883191,0.134732,0.891724,0.198489,0.175617,0.0185269,0.894146,0.887404,0.155926,0.76961,0.975514,0.691479,0.269642,0.0339277,0.90421,0.280371,0.618853,0.174316,0.877312,0.8886,0.0701288,0.501449,0.476047,0.289523,0.781156,0.804556,0.595904,0.0391231,0.213568,0.777517,0.392009,0.886831,0.51873,0.339067,0.0115029,0.855207,0.376255,0.821444,0.664331,0.201478,0.602227,0.607543,0.403999,0.282403,0.585433,0.463212,0.434619,0.0473468,0.91043,0.0161515,0.730345,0.560008,0.654945,0.803264,0.202325,0.656838,0.243695,0.334078,0.0273972,0.26642,0.374744,
20,0.586942,0.749389,0.642493,0.35822,0.0374039,0.298173,0.877135,0.671507,0.584512,0.794651,0.184021,0.455004,0.407638,0.569517,0.930503,0.867557,0.584931,0.159341,0.164195,0.827341,0.930386,0.924259,0.1205,0.870411,0.592681,0.891241,0.776605,0.297628,0.0469154,0.868139,0.15737,0.887084,0.848845,0.512593,0.955462,0.252671,0.397323,0.434109,0.75838,0.97991,0.00314842,0.903611,0.0265616,0.924682,0.280104,0.604333,0.168803,0.863465,0.65772,0.0661896,0.476907,0.454131,0.278711,0.747392,0.795355,0.566938,0.404012,0.313049,0.762573,0.391927,0.830159,0.498498,0.190111,0.175617,0.855207,0.325129,0.799104,0.642344,0.854161,0.151998,0.60043,0.34476,0.258023,0.577573,0.684107,0.269642,0.0336305,0.901181,0.855177,0.0589339,0.55973,0.653349,0.034863,0.207217,0.200833,0.602118,0.332128,0.0113924,0.462546,0.433432,0.26634,0.374544,0.655417,0.242672,0.0160314,0.730004,0.803186,0.202273,0.333999,0.0271458,
30,0.176196,0.423596,0.400212,0.546038,0.926581,0.904396,0.578879,0.144963,0.131129,0.790164,0.944869,0.907913,0.148143,0.873318,0.609935,0.895349,0.817862,0.316173,0.0737065,0.850752,0.167145,0.855563,0.84681,0.506458,0.578109,0.768495,0.876309,0.684011,0.808084,0.942272,0.560011,0.780818,0.0176766,0.920653,0.303856,0.614182,0.188019,0.873933,0.00664702,0.284363,0.491385,0.448672,0.267059,0.728983,0.773904,0.551377,0.613987,0.358898,0.766152,0.368427,0.780405,0.495726,0.355963,0.429059,0.805809,0.284023,0.787688,0.6036,0.966916,0.226081,0.579891,0.302797,0.219688,0.552501,0.00314842,0.838347,0.0220434,0.859221,0.637286,0.0167654,0.547569,0.646737,0.404012,0.280343,0.187132,0.57024,0.190111,0.171361,0.45435,0.427997,0.838412,0.137699,0.682886,0.267436,0.262306,0.374544,0.653007,0.242166,0.853774,0.0549687,0.0150096,0.728961,0.0331518,0.206184,0.802674,0.202135,0.332119,0.0102833,0.333522,0.026954,
40,0.910393,0.859907,0.14086,0.892023,0.586146,0.865236,0.800725,0.26572,0.0596731,0.84598,0.14704,0.838048,0.850431,0.492902,0.562238,0.770067,0.916914,0.694462,0.836165,0.952386,0.574303,0.781071,0.131259,0.797991,0.296623,0.589817,0.211617,0.892921,0.62136,0.133324,0.511755,0.4852,0.242698,0.740037,0.76959,0.532651,0.865404,0.899518,0.40571,0.528676,0.751309,0.482811,0.144824,0.416016,0.75066,0.334587,0.77617,0.570279,0.595883,0.345814,0.78243,0.284104,0.185744,0.536358,0.00512757,0.905743,0.31376,0.429059,0.00313213,0.279641,0.527482,0.639676,0.0220434,0.834465,0.151913,0.558904,0.966916,0.190699,0.422701,0.393827,0.55846,0.272752,0.676675,0.261251,7.25476e-05,0.79653,0.249288,0.363697,0.617909,0.0030726,0.648031,0.23988,0.387645,0.275215,0.801037,0.200882,0.00975601,0.728524,0.835355,0.137229,0.187532,0.163394,0.853718,0.0549242,0.0329569,0.205505,0.333522,0.0265644,0.331932,0.0102833,
50,0.154936,0.88753,0.840102,0.499906,0.579311,0.758437,0.911901,0.704149,0.855458,0.939225,0.555689,0.767414,0.135636,0.833998,0.323038,0.626874,0.201827,0.891945,0.909306,0.87778,0.828508,0.274149,0.263629,0.73289,0.758893,0.516264,0.872601,0.890469,0.0366279,0.812952,0.721401,0.468373,0.584086,0.846087,0.160289,0.897585,0.759388,0.583207,0.461594,0.537314,0.521636,0.506486,0.733118,0.33233,0.193738,0.509539,0.735313,0.284633,0.589094,0.129032,0.53253,0.600051,0.562274,0.324373,0.143989,0.543667,0.313113,0.412268,0.407064,0.376683,0.109296,0.391758,0.0166532,0.813961,0.000873681,0.86259,0.659113,0.261251,0.00313213,0.267579,0.550878,0.260122,0.897337,0.182083,0.648031,0.206232,0.237371,0.352294,0.781294,0.178535,0.387645,0.26599,0.00756012,0.723177,7.25476e-05,0.793511,0.83374,0.13435,0.853602,0.0532134,0.613868,0.00120341,0.187532,0.161692,0.03292,0.205016,0.333266,0.0262748,0.331791,0.0102833,
60,0.561508,0.78159,0.159151,0.845681,0.320283,0.629239,0.217971,0.875209,0.91737,0.905199,0.821922,0.262638,0.252243,0.767597,0.804308,0.507849,0.864659,0.881936,0.874044,0.506747,0.753716,0.487693,0.617228,0.845479,0.116077,0.901912,0.765241,0.570498,0.439677,0.546059,0.532726,0.732828,0.202459,0.886394,0.916463,0.662475,0.890984,0.91618,0.0351302,0.79672,0.528285,0.621957,0.736016,0.338218,0.546357,0.475077,0.555014,0.326415,0.697677,0.284633,0.18331,0.498277,0.143989,0.543454,0.380751,0.363785,0.306221,0.379217,0.653265,0.257682,0.572548,0.117785,0.543318,0.239401,0.00332278,0.806344,0.884636,0.129867,0.22378,0.325657,0.0867419,0.345755,0.617372,0.194028,0.000873681,0.828121,0.751359,0.177045,0.00313213,0.252684,0.378708,0.244375,0.00523038,0.721973,0.831608,0.128806,7.25476e-05,0.791796,0.851819,0.0525695,0.186959,0.161017,0.03189,0.204598,0.613868,0.000164695,0.333097,0.0261591,0.331542,0.00996497,
70,0.806661,0.234009,0.246464,0.747215,0.799253,0.475064,0.852569,0.878992,0.855758,0.474928,0.732861,0.483055,0.601036,0.828235,0.238224,0.904899,0.766145,0.577815,0.556405,0.754028,0.546063,0.700755,0.204318,0.868051,0.971877,0.706367,0.902372,0.944551,0.421192,0.535152,0.495807,0.600902,0.168523,0.875853,0.328788,0.610281,0.546617,0.526684,0.101316,0.887369,0.883403,0.872796,0.740125,0.310887,0.0133031,0.795731,0.126621,0.535805,0.547818,0.300371,0.687291,0.264346,0.124035,0.492865,0.304379,0.363871,0.374175,0.340414,0.640407,0.240202,0.516648,0.215809,0.00332278,0.797458,0.210289,0.31231,0.737676,0.145091,0.592462,0.17272,0.378708,0.195617,0.57119,0.116705,0.00366387,0.715765,0.839258,0.110955,0.000873681,0.828121,0.0826523,0.341671,0.825717,0.122042,8.47424e-06,0.78928,0.850608,0.051527,0.186782,0.160997,0.00390711,0.252242,0.0316572,0.203154,0.613179,4.79837e-05,0.332744,0.0258546,0.331488,0.00989093,
80,0.729084,0.467425,0.588895,0.916888,0.233779,0.911001,0.745839,0.577106,0.579697,0.748941,0.513763,0.680942,0.197989,0.852428,0.956177,0.696659,0.915571,0.975861,0.424067,0.537385,0.502451,0.584754,0.198132,0.89285,0.264717,0.735517,0.567959,0.514576,0.114916,0.888696,0.880711,0.855327,0.829219,0.867164,0.877704,0.470255,0.815688,0.501876,0.304179,0.603421,0.747469,0.307766,0.563937,0.292838,0.106859,0.525942,0.680488,0.244184,0.796122,0.219923,0.371153,0.31727,0.297116,0.33953,0.625982,0.226215,0.103972,0.448442,0.00474392,0.754121,0.502611,0.177747,0.195506,0.289001,0.000589951,0.756096,0.00320141,0.684509,0.000873681,0.818708,0.569603,0.145953,0.811862,0.111194,0.737676,0.0975932,0.839258,0.0908661,0.372263,0.167069,0.0767166,0.337043,0.562756,0.105825,8.47424e-06,0.785563,0.849653,0.0465629,0.185154,0.160733,0.0305412,0.202351,0.00390711,0.251202,0.613179,4.79837e-05,0.33245,0.0255652,0.331488,0.00924848,
90,0.513463,0.707634,0.203365,0.855749,0.944337,0.648051,0.901224,0.992048,0.451734,0.554735,0.499163,0.561141,0.216924,0.872176,0.277058,0.775505,0.578952,0.506682,0.0789044,0.871117,0.866874,0.837248,0.844372,0.853706,0.211539,0.898661,0.826535,0.538935,0.611877,0.93087,0.536349,0.767887,0.897542,0.48992,0.707099,0.283135,0.738946,0.442295,0.32963,0.61055,0.776728,0.554892,0.558948,0.252644,0.762798,0.217124,0.371685,0.3145,0.672044,0.23647,0.0929314,0.485758,0.607534,0.227777,0.282255,0.317176,0.0995675,0.445104,0.000577917,0.816826,0.00012314,0.732962,0.00320141,0.662709,0.166196,0.266386,0.497195,0.158715,0.000589951,0.743152,0.542369,0.130173,0.785928,0.0785042,0.0579371,0.325287,0.363187,0.146288,0.802755,0.0743076,0.557368,0.105825,8.47424e-06,0.784268,0.72756,0.0718802,0.848381,0.0436818,0.185154,0.157545,0.0300411,0.201719,0.00399216,0.249848,0.612799,4.79837e-05,0.332253,0.0255652,0.331361,0.00901976,
100,0.523313,0.536277,0.231551,0.887177,0.282043,0.745299,0.572545,0.519284,0.071549,0.871493,0.890622,0.848183,0.86497,0.88474,0.236203,0.924525,0.79801,0.585994,0.610919,0.922088,0.947484,0.668346,0.494009,0.545546,0.504147,0.723164,0.750955,0.418779,0.319952,0.598244,0.819617,0.582536,0.537445,0.787511,0.198598,0.874965,0.933188,0.976902,0.916233,0.484089,0.730051,0.294715,0.662676,0.235466,0.755057,0.21942,0.559009,0.239709,0.351276,0.303922,0.603071,0.190882,0.0877961,0.437693,0.0795034,0.442084,0.250726,0.271186,0.000577917,0.81274,0.00320141,0.642897,0.000454605,0.728758,0.476988,0.136049,0.165833,0.251043,0.527363,0.121439,0.00012314,0.722672,0.799361,0.0700474,0.325484,0.146288,0.54318,0.10048,8.47424e-06,0.769495,0.762619,0.0684488,0.0451434,0.296097,0.721404,0.0664412,0.846537,0.04204,0.184628,0.155756,0.0297556,0.20037,0.00414353,0.248665,0.612166,4.79837e-05,0.331922,0.0251624,0.331065,0.0090915,
