mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,0.99,1,1,1,1,1,1,1,0.99,0.97,1,0.95,0.93,0.95,0.89,0.89,0.87,0.72,0.69,0.32,0.28,0.39,0.41,0.5,0.4,0.39,0.33,0.3,0.29,0.23,0.31,0.27,0.3,0.38,0.42,0.43,0.43,0.46,0.48,0.47,0.37,0.33,0.28,0.22,0.15,0.15,0.1,0.04,0.04,
400,0.995,1,1,0.995,1,1,0.995,1,0.995,0.985,1,0.965,0.94,0.97,0.905,0.85,0.835,0.64,0.54,0.18,0.215,0.31,0.395,0.29,0.22,0.28,0.385,0.325,0.3,0.22,0.24,0.17,0.195,0.235,0.335,0.305,0.345,0.39,0.43,0.43,0.39,0.355,0.35,0.305,0.27,0.22,0.11,0.045,0.03,
600,0.996667,1,1,0.996667,1,0.996667,0.996667,1,0.996667,0.983333,0.996667,0.973333,0.95,0.96,0.91,0.863333,0.723333,0.496667,0.403333,0.386667,0.183333,0.253333,0.42,0.28,0.27,0.353333,0.396667,0.416667,0.343333,0.28,0.273333,0.273333,0.286667,0.326667,0.416667,0.373333,0.396667,0.413333,0.47,0.473333,0.433333,0.413333,0.403333,0.373333,0.33,0.263333,0.16,0.12,0.09,
800,0.9975,1,1,0.9975,1,0.9975,0.9975,0.9975,0.9925,0.98,0.995,0.9675,0.95,0.9475,0.9025,0.7925,0.68,0.41,0.355,0.3875,0.285,0.3375,0.46,0.3625,0.4025,0.47,0.5025,0.5,0.4275,0.3975,0.4175,0.4,0.4,0.4175,0.5,0.4975,0.495,0.4875,0.5125,0.555,0.5225,0.515,0.49,0.48,0.435,0.365,0.305,0.2825,0.2325,
1000,0.998,1,1,0.998,1,0.996,0.992,0.998,0.986,0.982,0.976,0.958,0.938,0.922,0.872,0.732,0.618,0.424,0.376,0.434,0.396,0.44,0.526,0.448,0.478,0.534,0.56,0.548,0.482,0.466,0.5,0.444,0.486,0.486,0.556,0.552,0.528,0.544,0.562,0.594,0.564,0.57,0.544,0.544,0.512,0.46,0.388,0.386,0.332,
1200,0.998333,1,1,0.998333,0.996667,0.996667,0.993333,0.991667,0.98,0.976667,0.963333,0.945,0.913333,0.888333,0.833333,0.703333,0.631667,0.46,0.42,0.49,0.451667,0.48,0.556667,0.496667,0.498333,0.553333,0.588333,0.556667,0.516667,0.506667,0.538333,0.493333,0.528333,0.523333,0.598333,0.593333,0.565,0.578333,0.59,0.598333,0.591667,0.581667,0.581667,0.588333,0.551667,0.498333,0.456667,0.438333,0.406667,
1400,0.997143,0.998571,1,0.998571,0.997143,0.995714,0.991429,0.991429,0.978571,0.97,0.954286,0.927143,0.898571,0.875714,0.815714,0.701429,0.632857,0.48,0.461429,0.521429,0.495714,0.521429,0.582857,0.538571,0.532857,0.561429,0.617143,0.562857,0.551429,0.541429,0.574286,0.515714,0.56,0.562857,0.604286,0.622857,0.59,0.595714,0.608571,0.611429,0.6,0.605714,0.614286,0.621429,0.59,0.532857,0.49,0.49,0.454286,
1600,0.99625,0.99875,0.99875,0.9975,0.9975,0.99375,0.9925,0.98625,0.97125,0.96875,0.9475,0.9175,0.89125,0.8725,0.79375,0.69875,0.63125,0.50625,0.48875,0.54875,0.52625,0.545,0.605,0.57,0.56625,0.58625,0.6375,0.58875,0.57125,0.55625,0.59375,0.53875,0.57125,0.5775,0.60875,0.64,0.61625,0.60625,0.62625,0.62625,0.625,0.62625,0.63375,0.64375,0.61125,0.545,0.52,0.5225,0.49,
1800,0.994444,0.998889,0.998889,0.997778,0.997778,0.994444,0.992222,0.986667,0.971111,0.965556,0.947778,0.911111,0.881111,0.857778,0.781111,0.696667,0.643333,0.523333,0.505556,0.57,0.542222,0.553333,0.614444,0.582222,0.578889,0.603333,0.652222,0.607778,0.596667,0.581111,0.601111,0.555556,0.596667,0.596667,0.632222,0.653333,0.632222,0.617778,0.628889,0.638889,0.637778,0.644444,0.648889,0.655556,0.623333,0.562222,0.54,0.546667,0.517778,
2000,0.995,0.999,0.999,0.998,0.998,0.994,0.992,0.988,0.971,0.964,0.944,0.908,0.879,0.846,0.768,0.693,0.656,0.541,0.524,0.591,0.562,0.57,0.625,0.597,0.596,0.62,0.663,0.624,0.604,0.594,0.62,0.57,0.618,0.609,0.65,0.663,0.641,0.627,0.64,0.657,0.638,0.651,0.657,0.668,0.636,0.587,0.561,0.565,0.538,
2200,0.995455,0.999091,0.997273,0.997273,0.997273,0.994545,0.991818,0.986364,0.970909,0.963636,0.946364,0.908182,0.876364,0.839091,0.758182,0.691818,0.65,0.536364,0.529091,0.608182,0.58,0.585455,0.637273,0.606364,0.601818,0.633636,0.666364,0.640909,0.61,0.602727,0.635455,0.589091,0.623636,0.617273,0.650909,0.669091,0.651818,0.643636,0.652727,0.670909,0.646364,0.663636,0.666364,0.677273,0.645455,0.603636,0.577273,0.573636,0.544545,
2400,0.995833,0.999167,0.9975,0.9975,0.9975,0.995,0.990833,0.985,0.969167,0.963333,0.943333,0.904167,0.871667,0.826667,0.760833,0.694167,0.658333,0.543333,0.5425,0.618333,0.5975,0.601667,0.651667,0.62,0.6175,0.638333,0.670833,0.6425,0.619167,0.615833,0.6425,0.6,0.629167,0.624167,0.658333,0.670833,0.656667,0.645,0.670833,0.68,0.655833,0.6725,0.675833,0.675,0.650833,0.611667,0.594167,0.589167,0.561667,
2600,0.994615,0.999231,0.997692,0.997692,0.997692,0.994615,0.989231,0.985385,0.966923,0.962308,0.943077,0.903846,0.870769,0.822308,0.753077,0.685385,0.666154,0.557692,0.553077,0.623077,0.602308,0.613846,0.660769,0.636154,0.626923,0.643077,0.673077,0.653077,0.631538,0.63,0.646923,0.609231,0.633846,0.631538,0.668462,0.675385,0.656154,0.647692,0.674615,0.688462,0.664615,0.679231,0.68,0.671538,0.658462,0.626923,0.605385,0.6,0.578462,
2800,0.995,0.999286,0.997857,0.997143,0.997857,0.994286,0.99,0.985714,0.967143,0.960714,0.942857,0.905,0.862143,0.818571,0.745714,0.69,0.668571,0.567857,0.559286,0.629286,0.612857,0.626429,0.665714,0.644286,0.642857,0.654286,0.68,0.657857,0.637857,0.64,0.652857,0.614286,0.638571,0.634286,0.673571,0.676429,0.657143,0.654286,0.677143,0.688571,0.67,0.687857,0.688571,0.678571,0.667857,0.637143,0.61,0.612143,0.591429,
3000,0.995333,0.999333,0.998,0.997333,0.998,0.994667,0.990667,0.982667,0.966667,0.958667,0.942,0.906,0.857333,0.811333,0.747333,0.688667,0.666,0.575333,0.567333,0.632,0.62,0.632667,0.671333,0.650667,0.65,0.664667,0.684,0.662,0.648,0.650667,0.656667,0.620667,0.644,0.641333,0.68,0.671333,0.658,0.656,0.685333,0.688667,0.671333,0.691333,0.694667,0.685333,0.672,0.639333,0.615333,0.622,0.602667,
3200,0.995625,0.999375,0.998125,0.9975,0.9975,0.99375,0.98875,0.9825,0.965625,0.9575,0.9375,0.905,0.85125,0.8075,0.7475,0.688125,0.663125,0.588125,0.5775,0.639375,0.6175,0.6375,0.68125,0.6525,0.66125,0.6725,0.68875,0.66875,0.649375,0.654375,0.659375,0.620625,0.65,0.645,0.686875,0.68,0.665,0.656875,0.68875,0.69375,0.675,0.691875,0.695,0.685,0.678125,0.645,0.616875,0.62875,0.609375,
3400,0.995294,0.998824,0.998235,0.997059,0.996471,0.994118,0.987647,0.982353,0.964118,0.955882,0.937059,0.900588,0.847059,0.804706,0.747647,0.691765,0.662353,0.597059,0.584706,0.641765,0.622353,0.641176,0.684118,0.661765,0.664118,0.678235,0.688824,0.675294,0.654706,0.657647,0.666471,0.629412,0.650588,0.652353,0.690588,0.688235,0.672353,0.666471,0.687647,0.7,0.681765,0.692353,0.694706,0.69,0.680588,0.654118,0.621176,0.634706,0.612941,
3600,0.995556,0.998889,0.998333,0.997222,0.996111,0.994444,0.987222,0.981111,0.962778,0.954444,0.936111,0.897222,0.846667,0.807222,0.739444,0.693333,0.664444,0.601111,0.594444,0.641667,0.626111,0.651111,0.688889,0.666111,0.671111,0.681667,0.691111,0.677778,0.658889,0.664444,0.672222,0.632222,0.655,0.66,0.690556,0.692222,0.672778,0.673333,0.695556,0.699444,0.683889,0.695,0.697778,0.695,0.683333,0.659444,0.617222,0.641111,0.616667,
3800,0.995789,0.998421,0.997895,0.996316,0.994737,0.994737,0.986842,0.980526,0.963158,0.951579,0.936316,0.895263,0.845789,0.799474,0.736316,0.688421,0.667895,0.608947,0.596842,0.643684,0.628421,0.65,0.691579,0.673684,0.676842,0.685789,0.697368,0.678421,0.664737,0.671053,0.675789,0.643684,0.659474,0.664211,0.693158,0.696842,0.676316,0.68,0.698421,0.703684,0.688947,0.691579,0.698421,0.694211,0.682105,0.663684,0.62,0.646316,0.621579,
