mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
2800,0.998571,0.998571,0.997143,0.995,0.996429,0.991429,0.987857,0.977143,0.976429,0.959286,0.926429,0.905714,0.862143,0.812857,0.720714,0.67,0.59,0.63,0.628571,0.680714,0.66,0.637143,0.641429,0.639286,0.648571,0.632143,0.620714,0.637857,0.660714,0.687857,0.666429,0.656429,0.696429,0.707143,0.695,0.674286,0.676429,0.689286,0.672857,0.711429,0.698571,0.687143,0.71,0.705714,0.686429,0.665714,0.641429,0.643571,0.63,
3000,0.998667,0.997333,0.997333,0.995333,0.994667,0.991333,0.988,0.977333,0.976,0.960667,0.920667,0.908,0.862,0.809333,0.720667,0.664667,0.602,0.634667,0.625333,0.676667,0.66,0.645333,0.646667,0.644667,0.654,0.643333,0.625333,0.646667,0.666,0.690667,0.669333,0.656,0.699333,0.710667,0.699333,0.679333,0.680667,0.694667,0.682,0.712,0.702,0.692,0.713333,0.708,0.685333,0.674667,0.645333,0.651333,0.636667,
3200,0.998125,0.9975,0.9975,0.995625,0.99375,0.99125,0.986875,0.975625,0.975625,0.959375,0.918125,0.905,0.860625,0.804375,0.71625,0.6625,0.6,0.639375,0.63375,0.6775,0.66375,0.65125,0.650625,0.649375,0.65875,0.651875,0.633125,0.65125,0.66875,0.6925,0.671875,0.661875,0.695,0.71375,0.69875,0.685,0.679375,0.693125,0.6875,0.709375,0.705,0.69625,0.720625,0.714375,0.6925,0.678125,0.649375,0.653125,0.6375,
3400,0.998235,0.997647,0.997647,0.995882,0.994118,0.991765,0.987059,0.975882,0.972941,0.958824,0.918235,0.905882,0.861765,0.802353,0.718824,0.666471,0.600588,0.637059,0.632941,0.682941,0.670588,0.657647,0.654118,0.659412,0.658824,0.655294,0.637647,0.654706,0.673529,0.703529,0.682353,0.67,0.696471,0.714706,0.697059,0.688235,0.682353,0.698235,0.693529,0.713529,0.701765,0.7,0.722941,0.718235,0.697059,0.684118,0.658235,0.654118,0.641765,
3600,0.998333,0.997222,0.997778,0.995556,0.992778,0.991111,0.987222,0.977222,0.972222,0.957222,0.92,0.903889,0.861667,0.799444,0.72,0.664444,0.605,0.637778,0.626111,0.683333,0.673889,0.661111,0.658333,0.665556,0.662222,0.660556,0.645556,0.661111,0.677778,0.706667,0.685,0.674444,0.698889,0.717778,0.698889,0.693333,0.691667,0.701111,0.696667,0.709444,0.702778,0.696111,0.726667,0.725556,0.700556,0.687222,0.662778,0.657778,0.647222,
3800,0.998421,0.997368,0.997895,0.994737,0.992632,0.991053,0.986842,0.976316,0.973158,0.956316,0.917895,0.901053,0.857895,0.799474,0.721053,0.666842,0.607895,0.633158,0.63,0.691579,0.677368,0.661053,0.663684,0.672105,0.668947,0.662105,0.650526,0.664211,0.682632,0.707368,0.688947,0.682105,0.702105,0.716842,0.701053,0.693684,0.693684,0.703158,0.693684,0.714737,0.706316,0.698421,0.724211,0.73,0.705263,0.688947,0.666842,0.660526,0.655263,
4000,0.9975,0.9975,0.9975,0.9945,0.9925,0.9905,0.9855,0.9755,0.973,0.957,0.9175,0.9,0.8585,0.799,0.72,0.666,0.611,0.636,0.6335,0.6935,0.679,0.665,0.667,0.678,0.6725,0.6675,0.652,0.6655,0.681,0.7075,0.6895,0.6905,0.707,0.72,0.7065,0.6925,0.695,0.7005,0.6995,0.719,0.7125,0.7005,0.726,0.734,0.712,0.692,0.669,0.668,0.6605,
4200,0.997143,0.997619,0.997143,0.994762,0.992857,0.990476,0.985714,0.975714,0.972857,0.955238,0.918571,0.9,0.85619,0.798095,0.715238,0.67,0.615714,0.638095,0.63619,0.694762,0.678571,0.662381,0.670476,0.679048,0.678095,0.67381,0.654762,0.665714,0.684762,0.709524,0.690476,0.691905,0.708095,0.722381,0.707619,0.693333,0.699048,0.701429,0.702857,0.721905,0.714762,0.702857,0.726667,0.737143,0.712381,0.69619,0.668571,0.673333,0.664286,
4400,0.997273,0.997727,0.997273,0.995,0.992727,0.99,0.985,0.975455,0.971818,0.953636,0.918636,0.898182,0.855455,0.795909,0.711364,0.670909,0.617273,0.637727,0.638636,0.695,0.682727,0.670455,0.672727,0.681364,0.683182,0.677273,0.657273,0.669545,0.688636,0.709091,0.696818,0.693182,0.705909,0.722273,0.706818,0.692273,0.698636,0.709091,0.707273,0.721364,0.714545,0.698182,0.724545,0.736818,0.711364,0.701364,0.673636,0.674545,0.666364,
4600,0.997391,0.997826,0.997391,0.995217,0.993043,0.99,0.984783,0.975217,0.972609,0.952609,0.919565,0.895217,0.853043,0.791304,0.710435,0.671739,0.61913,0.639565,0.644348,0.695217,0.683478,0.676087,0.674348,0.683043,0.679565,0.681739,0.662174,0.673478,0.693913,0.711304,0.697826,0.696087,0.706087,0.721304,0.71,0.697391,0.703043,0.710435,0.708696,0.717826,0.714348,0.698696,0.72913,0.738261,0.714783,0.704783,0.68087,0.676522,0.668261,
