mc_step,l = 0error,l = 1error,l = 2error,l = 3error,l = 4error,l = 5error,l = 6error,l = 7error,l = 8error,l = 9error,l = 10error,l = 11error,l = 12error,l = 13error,l = 14error,l = 15error,l = 16error,l = 17error,l = 18error,l = 19error,l = 20error,l = 21error,l = 22error,l = 23error,l = 24error,l = 25error,l = 26error,l = 27error,l = 28error,l = 29error,l = 30error,l = 31error,l = 32error,l = 33error,l = 34error,l = 35error,l = 36error,l = 37error,l = 38error,l = 39error,l = 40error,l = 41error,l = 42error,l = 43error,l = 44error,l = 45error,l = 46error,l = 47error,l = 48error,l = 49error,
0,0.0291645,0.0480019,0.0486324,0.0441039,0.0532055,0.0546704,0.026402,0.00280114,0.0394276,0.0481046,0.0491542,0.048955,0.0463154,0.0442495,0.0154596,0.0582488,0.0392352,0.056002,0.00536031,0.0300337,0.0560947,0.0356732,0.0261621,0.0315206,0.0124573,0.0485977,0.0508268,0.0585703,0.0262371,0.0549669,0.052509,0.0390232,0.0124662,0.0475119,0.0515165,0.0490911,0.040148,0.0514537,0.0483661,0.0442312,0.0387956,0.0529584,0.0075921,0.0507969,0.0514888,0.0431274,0.0440561,0.0381257,0.0590661,0.051636,
10,0.0532115,0.0546973,0.0214944,0.00242565,0.0384067,0.0480019,0.0491816,0.049285,0.0469867,0.0430945,0.04763,0.0586354,0.0480659,0.0553977,0.0444508,0.0377574,0.0565171,0.0124795,0.0347457,0.0320056,0.0260691,0.0486414,0.050049,0.0583872,0.0291885,0.0545413,0.00286913,0.052431,0.0237177,0.0470611,0.0513206,0.0123002,0.0458408,0.051044,0.0255117,0.0479144,0.0383123,0.0518617,0.00894608,0.0505897,0.0514238,0.0392223,0.0439514,0.043905,0.0590466,0.0385374,0.0516293,0.00740193,0.0430999,0.0381075,
20,0.0480779,0.0503722,0.048481,0.04721,0.0434661,0.0475978,0.0587053,0.0476163,0.055522,0.0548213,0.0220307,0.0564087,0.0459449,0.0531025,0.0362051,0.0333822,0.0489057,0.049404,0.058679,0.00253735,0.05472,0.0380521,0.0516379,0.0308742,0.0458383,0.0501332,0.011335,0.0431554,0.0507231,0.0197523,0.0470632,0.0259811,0.0510159,0.0011804,0.0498325,0.0511404,0.0203015,0.0423354,0.0122903,0.058891,0.020283,0.051551,0.0367758,0.0437409,0.00820743,0.0430108,0.0390052,0.038488,0.0380847,0.0073734,
30,0.0481921,0.0588824,0.0485121,0.0559868,0.0536691,0.0268159,0.0570045,0.0485588,0.0529671,0.0472245,0.0371204,0.049233,0.0496024,0.0591231,0.0514669,0.0538737,0.0480188,0.0518522,0.0407223,0.0457259,0.0506347,0.0345887,0.0455363,0.0499515,0.0364063,0.0464475,0.0013124,0.0502694,0.034349,0.0485004,0.0498193,0.028831,0.0401612,0.00860614,0.0588157,0.0120783,0.0509529,0.0201861,0.0431507,0.000577464,0.0429014,0.0178663,0.0387566,0.0108851,0.0383974,0.0201689,0.0380455,0.036706,0.00814566,0.00731748,
40,0.0305984,0.0566893,0.0484059,0.0532516,0.0479171,0.0376027,0.048423,0.0494358,0.0591447,0.0537147,0.0533753,0.0588235,0.0485481,0.0510311,0.0462904,0.0514726,0.0562974,0.0507602,0.0497958,0.0471737,0.0461257,0.0453363,0.0487876,0.0452928,0.0479131,0.0494131,0.0397307,0.0381666,0.0336219,0.0585146,0.0347861,0.0504429,0.00108482,0.0421682,0.0338977,0.0402108,0.0261559,0.038296,0.00476028,0.0383212,0.00998906,0.0378053,0.0196595,0.0366318,0.000411943,0.0200891,0.017646,0.0105994,0.00809611,0.00725739,
50,0.0374416,0.0477311,0.0497618,0.0591536,0.0539513,0.0538196,0.0584135,0.0485786,0.0508157,0.0465077,0.0517383,0.0555265,0.0563065,0.0532445,0.0487042,0.0469803,0.0496198,0.0502473,0.0467068,0.0475799,0.0487738,0.0476323,0.044913,0.044668,0.0583805,0.0284995,0.0498868,0.0441472,0.0412612,0.0379538,0.0393091,0.0370857,0.0367017,0.0328748,0.0368339,0.0334443,0.0368892,0.000343851,0.0359476,0.0335311,0.0236985,0.0191274,0.0194387,0.0035478,0.0175039,0.00989378,0.0104793,0.00801351,0.00722782,0.000376614,
60,0.0542455,0.0583949,0.0481822,0.0510974,0.0478238,0.052398,0.0556795,0.0567313,0.0527904,0.0593733,0.0468635,0.0491925,0.0507508,0.0497066,0.047672,0.0470074,0.0479447,0.0541408,0.0466606,0.0581734,0.0336215,0.0486131,0.0392808,0.0469558,0.0429945,0.045295,0.0435944,0.039934,0.0369667,0.0361421,0.0355759,0.0362018,0.0241977,0.0357434,0.0329547,0.0353701,0.0334647,0.0325523,0.0314109,0.0224341,0.0192458,0.0176543,0.000154275,0.0164516,0.0102753,0.00985614,0.0079068,0.00717904,0.00340556,0.00037175,
70,0.0533679,0.0554746,0.0566185,0.0526618,0.0595449,0.0490215,0.0464875,0.0512772,0.0504752,0.0479192,0.0463817,0.0478803,0.054261,0.05452,0.0582944,0.0584617,0.046282,0.051699,0.0475337,0.0475834,0.0486772,0.0465344,0.0445581,0.0417763,0.0415761,0.0333158,0.0389197,0.0368046,0.0358334,0.0347766,0.034434,0.0332608,0.0335773,0.0330618,0.032522,0.0271513,0.0283707,0.0293986,0.0195877,0.0197627,0.0176163,0.0176009,0.0163036,0.0101361,0.00980911,0.00785352,0.00709569,0.00014188,0.00336617,0.000363291,
80,0.0554561,0.047327,0.0520963,0.0501596,0.0475816,0.0458163,0.0473107,0.0541001,0.0551275,0.0578371,0.0589993,0.0594257,0.0520883,0.0571053,0.0468543,0.048496,0.0517111,0.0455469,0.0470377,0.0495537,0.0528031,0.046971,0.0434711,0.0413322,0.0397251,0.0376574,0.0357257,0.0336384,0.033495,0.0325134,0.0327983,0.0302708,0.0320525,0.0308435,0.0308473,0.0259431,0.0243933,0.0238242,0.0168393,0.0166311,0.0168308,0.0164664,0.0152763,0.0100558,0.0097813,0.00766365,0.00700443,0.00324669,0.000350607,0.000137731,
90,0.0451453,0.0469884,0.0540701,0.0552829,0.0585614,0.0586081,0.0587503,0.05146,0.0570946,0.0522169,0.0497424,0.050893,0.0462281,0.0468548,0.0485654,0.0528065,0.0556366,0.04653,0.0470183,0.0466126,0.0486631,0.0444411,0.0431652,0.0409474,0.0393458,0.0354687,0.0319785,0.0307773,0.0319796,0.0238771,0.0302575,0.0283519,0.0277448,0.0265783,0.0251255,0.0234521,0.0210433,0.0190583,0.0167629,0.0157165,0.0154939,0.0154747,0.0145804,0.010049,0.00959608,0.00752883,0.00685413,0.00315537,0.000339818,0.000131226,
