mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,1,1,1,1,1,1,0.990476,1,0.989011,1,0.949495,1,1,1,0.990476,1,1,1,0.990991,1,0.990099,0.989899,1,1,0.989691,1,1,0.977011,0.988235,1,0.980769,0.979167,0.980198,0.949495,0.962617,0.978495,0.963303,0.956044,0.969697,0.881188,0.859813,0.903226,0.860215,0.841121,0.762887,0.747573,0.55914,0.71028,0.556604,0.62766,0.441176,0.632653,0.60396,0.525253,0.631579,0.406977,0.59375,0.442308,0.5,0.421569,0.432692,0.34375,0.407407,0.413043,0.436893,0.402062,0.494505,0.422018,0.457447,0.377358,0.385965,0.360465,0.361446,0.384615,0.364486,0.505376,0.43617,0.462264,0.475728,0.453608,0.458333,0.519231,0.495238,0.421053,0.39604,0.484848,0.419355,0.53271,0.392157,0.520408,0.454545,0.473214,0.577586,0.488095,0.49,0.52,0.478632,0.60241,0.505051,0.485149,
400,0.971429,1,0.989247,1,0.988889,1,1,1,0.958333,1,0.990654,0.989247,0.991597,1,0.981481,0.98913,0.979592,1,0.99,1,0.981481,1,0.989583,0.980769,0.989011,0.990826,0.971154,1,0.970297,0.979798,0.990196,1,0.958333,0.951923,0.947917,0.923077,0.895349,0.868421,0.616667,0.8875,0.75,0.706522,0.490741,0.706522,0.442105,0.67619,0.475728,0.556701,0.557692,0.375,0.574468,0.339623,0.56701,0.262136,0.471698,0.319149,0.504762,0.284211,0.580952,0.189474,0.444444,0.247525,0.488889,0.227273,0.484536,0.252427,0.398058,0.226804,0.346535,0.121212,0.336634,0.20202,0.317308,0.239583,0.237624,0.191919,0.215054,0.158879,0.285714,0.263158,0.373737,0.247525,0.34375,0.326923,0.447619,0.336842,0.35514,0.258065,0.516129,0.336449,0.489796,0.392157,0.510204,0.421569,0.494845,0.475728,0.45098,0.44898,0.464646,0.485149,
600,1,1,1,1,0.99115,1,0.981982,0.988764,0.976471,1,0.980198,1,0.989691,1,0.979592,1,0.990741,1,0.990654,1,0.969697,1,0.990099,1,0.963964,0.977528,0.961538,0.979167,0.947917,0.980769,0.939394,0.990099,0.928571,0.939655,0.605769,0.8125,0.588235,0.782609,0.688172,0.607477,0.862745,0.469388,0.728155,0.57732,0.747664,0.451613,0.761468,0.56044,0.73,0.6,0.68,0.5,0.524752,0.555556,0.447917,0.413462,0.457143,0.431579,0.494737,0.352381,0.333333,0.290909,0.303922,0.244898,0.255319,0.245283,0.213483,0.225225,0.263158,0.228571,0.205357,0.170455,0.212121,0.0990099,0.14433,0.038835,0.144444,0.1,0.19802,0.141414,0.182796,0.121495,0.234694,0.0882353,0.317757,0.182796,0.343434,0.168317,0.31,0.22,0.390909,0.2,0.435644,0.262626,0.441176,0.285714,0.581818,0.4,0.604396,0.449541,
800,0.989011,0.963303,0.978261,0.981481,0.970588,0.969388,0.981308,0.956989,0.980952,0.989474,0.969388,0.980392,0.970588,0.969388,0.981481,0.956522,1,0.961905,0.989899,0.960396,0.953488,0.95614,0.98,0.98,0.952381,0.968421,0.947368,0.933333,0.961538,0.90625,0.962617,0.870968,0.960784,0.653061,0.903226,0.598131,0.797872,0.566038,0.841121,0.602151,0.737864,0.556701,0.773196,0.61165,0.742574,0.525253,0.76699,0.453608,0.688679,0.542553,0.594059,0.555556,0.646018,0.482759,0.581818,0.388889,0.464646,0.445545,0.366667,0.527273,0.541667,0.490385,0.494624,0.373832,0.481132,0.287234,0.340206,0.300971,0.27,0.29,0.347368,0.219048,0.247788,0.218391,0.272727,0.158416,0.262626,0.19802,0.212121,0.207921,0.306306,0.224719,0.26,0.3,0.372093,0.263158,0.357895,0.342857,0.533333,0.315789,0.396396,0.314607,0.4,0.380952,0.518868,0.382979,0.606383,0.367925,0.555556,0.534653,
1000,0.963303,0.956044,0.977011,0.982301,0.98,0.99,0.979381,0.980583,0.967742,0.981308,0.977528,0.927928,0.925926,0.978261,0.980769,0.989583,0.98913,0.962963,0.948454,0.961165,0.980198,0.888889,0.963964,0.932584,0.963964,0.921348,0.912621,0.876289,0.961905,0.873684,0.842105,0.752381,0.857143,0.726316,0.82716,0.689076,0.878505,0.612903,0.810526,0.628571,0.758621,0.628319,0.73,0.57,0.752577,0.61165,0.690722,0.621359,0.538462,0.53211,0.609091,0.511111,0.56701,0.582524,0.645833,0.548077,0.638095,0.452632,0.520833,0.432692,0.553571,0.431818,0.532609,0.518519,0.442105,0.380952,0.505051,0.316832,0.414141,0.39604,0.357798,0.428571,0.431373,0.285714,0.505051,0.376238,0.345794,0.311828,0.32,0.29,0.366337,0.343434,0.444444,0.376238,0.509615,0.302083,0.422222,0.272727,0.41573,0.324324,0.514286,0.410526,0.515464,0.466019,0.530612,0.392157,0.6,0.455556,0.647727,0.482143,
1200,0.941176,0.969388,0.962264,0.93617,0.959184,0.921569,0.944954,0.978022,0.959596,0.960396,0.980392,0.94898,0.958763,0.980583,0.988372,0.921053,0.942308,0.927083,0.956522,0.925926,0.929293,0.940594,0.907407,0.902174,0.953271,0.913978,0.917526,0.893204,0.846939,0.823529,0.811111,0.7,0.76,0.69,0.72549,0.704082,0.742857,0.715789,0.794393,0.634409,0.663551,0.741935,0.694444,0.51087,0.6875,0.692308,0.612903,0.663551,0.623853,0.714286,0.617021,0.54717,0.614679,0.549451,0.628571,0.631579,0.615385,0.605505,0.536842,0.561905,0.484848,0.544554,0.464646,0.455446,0.491071,0.5,0.471154,0.510417,0.484536,0.436893,0.52,0.41,0.451923,0.291667,0.509434,0.37234,0.454545,0.257426,0.428571,0.284314,0.450549,0.357798,0.52381,0.4,0.454545,0.477778,0.575472,0.489362,0.504854,0.412371,0.585859,0.39604,0.565217,0.527778,0.666667,0.526316,0.5,0.544643,0.526316,0.533333,
1400,0.938272,0.915966,0.960396,0.929293,0.931373,0.897959,0.947368,0.914286,0.931373,0.938776,0.905263,0.885714,0.892157,0.918367,0.896226,0.840426,0.952381,0.905263,0.894737,0.914286,0.839623,0.904255,0.943925,0.849462,0.902174,0.814815,0.886957,0.8,0.818182,0.722772,0.782609,0.722222,0.84,0.65,0.731959,0.631068,0.8,0.67,0.741935,0.616822,0.693182,0.616071,0.691489,0.660377,0.621053,0.590476,0.808081,0.554455,0.561224,0.578431,0.579545,0.517857,0.561798,0.522523,0.634783,0.529412,0.565657,0.633663,0.648936,0.584906,0.56383,0.556604,0.566667,0.572727,0.5,0.480392,0.46729,0.591398,0.56383,0.528302,0.572727,0.433333,0.531532,0.505618,0.466019,0.350515,0.490196,0.459184,0.6,0.53,0.543689,0.391753,0.504425,0.425287,0.555556,0.455446,0.576471,0.513043,0.577586,0.630952,0.572917,0.576923,0.566038,0.542553,0.632075,0.56383,0.570093,0.602151,0.595745,0.584906,
1600,0.904255,0.943396,0.954128,0.923077,0.929293,0.891089,0.933333,0.915789,0.93578,0.956044,0.888889,0.954545,0.936842,0.914286,0.915888,0.913978,0.905263,0.885714,0.858586,0.90099,0.920792,0.888889,0.896907,0.805825,0.863158,0.87619,0.83,0.84,0.811765,0.747826,0.82243,0.709677,0.7,0.64,0.75,0.6875,0.778947,0.609524,0.656863,0.673469,0.657143,0.526316,0.672727,0.6,0.616162,0.643564,0.612245,0.637255,0.684783,0.638889,0.645833,0.692308,0.572917,0.605769,0.566038,0.670213,0.533333,0.547368,0.442105,0.571429,0.434343,0.594059,0.54902,0.571429,0.575758,0.554455,0.486726,0.436782,0.574468,0.5,0.491071,0.568182,0.5625,0.528846,0.549451,0.504587,0.536842,0.495238,0.49505,0.59596,0.582524,0.463918,0.567568,0.640449,0.410526,0.495238,0.605505,0.56044,0.56701,0.495146,0.59292,0.597701,0.510638,0.45283,0.48,0.61,0.59292,0.425287,0.625,0.567308,
1800,0.885417,0.903846,0.948454,0.932039,0.928571,0.909091,0.873684,0.914286,0.932584,0.90991,0.939394,0.910891,0.903226,0.906542,0.892473,0.906542,0.926606,0.945055,0.838384,0.881188,0.8,0.885714,0.867257,0.827586,0.787879,0.831683,0.866667,0.809091,0.744681,0.735849,0.77,0.75,0.625,0.6875,0.729167,0.740385,0.582524,0.57732,0.65,0.57,0.550459,0.615385,0.666667,0.6,0.698113,0.553191,0.714286,0.568627,0.604396,0.559633,0.653846,0.572917,0.475248,0.565657,0.494949,0.643564,0.59,0.64,0.545455,0.444444,0.663462,0.5,0.619565,0.453704,0.539216,0.581633,0.513514,0.674157,0.58,0.56,0.59596,0.50495,0.522936,0.626374,0.533333,0.515789,0.521739,0.527778,0.542553,0.54717,0.481928,0.57265,0.579439,0.580645,0.520833,0.490385,0.561905,0.515789,0.529412,0.693878,0.456311,0.639175,0.604167,0.605769,0.59375,0.509615,0.572917,0.567308,0.640449,0.459459,
2000,0.894231,0.895833,0.868687,0.881188,0.94898,0.872549,0.886598,0.883495,0.924528,0.861702,0.833333,0.903846,0.859813,0.860215,0.926316,0.809524,0.898876,0.783784,0.90566,0.787234,0.877551,0.764706,0.736842,0.780952,0.813725,0.734694,0.851485,0.737374,0.784946,0.728972,0.783505,0.669903,0.735849,0.691489,0.767442,0.596491,0.704082,0.588235,0.677083,0.576923,0.694737,0.552381,0.731959,0.582524,0.62766,0.59434,0.603448,0.571429,0.62,0.61,0.5625,0.634615,0.666667,0.623762,0.64,0.56,0.59434,0.542553,0.58427,0.576577,0.543689,0.505155,0.542056,0.55914,0.579439,0.602151,0.526316,0.504762,0.528302,0.56383,0.535714,0.636364,0.557895,0.561905,0.490741,0.543478,0.537736,0.680851,0.676471,0.540816,0.5,0.482759,0.586207,0.424779,0.672897,0.612903,0.631579,0.552381,0.519231,0.572917,0.607843,0.591837,0.527778,0.565217,0.673077,0.635417,0.514286,0.642105,0.575758,0.683168,
2200,0.84466,0.886598,0.785714,0.833333,0.795699,0.82243,0.7,0.8,0.85567,0.757282,0.858491,0.819149,0.841584,0.79798,0.821782,0.787879,0.833333,0.865385,0.831776,0.817204,0.83,0.87,0.836735,0.813725,0.757895,0.742857,0.670213,0.716981,0.704082,0.637255,0.752475,0.656566,0.772727,0.625,0.705263,0.590476,0.604396,0.550459,0.672897,0.677419,0.707317,0.644068,0.63,0.59,0.669811,0.510638,0.627273,0.555556,0.578947,0.542857,0.626263,0.60396,0.596154,0.5625,0.650485,0.57732,0.525773,0.631068,0.564356,0.565657,0.663366,0.575758,0.59375,0.528846,0.628571,0.663158,0.625,0.605769,0.536842,0.580952,0.666667,0.576923,0.586207,0.619469,0.625,0.604167,0.648936,0.518868,0.513761,0.43956,0.57732,0.68932,0.517647,0.591304,0.544554,0.525253,0.609756,0.550847,0.621622,0.561798,0.640449,0.531532,0.6,0.517647,0.609195,0.584071,0.715686,0.591837,0.597826,0.564815,
2400,0.835165,0.733945,0.790476,0.821053,0.807339,0.835165,0.858824,0.808696,0.817204,0.766355,0.834862,0.758242,0.821429,0.732759,0.744444,0.827273,0.794393,0.849462,0.691489,0.811321,0.84,0.7,0.79,0.74,0.726415,0.755319,0.77,0.76,0.708333,0.75,0.666667,0.696629,0.524752,0.656566,0.537634,0.560748,0.588785,0.677419,0.55,0.52,0.515464,0.650485,0.548387,0.579439,0.631579,0.590476,0.557895,0.552381,0.642202,0.494505,0.770833,0.557692,0.549451,0.577982,0.586207,0.663717,0.542056,0.591398,0.644231,0.583333,0.463158,0.590476,0.617021,0.509434,0.520408,0.54902,0.59434,0.553191,0.722892,0.564103,0.517857,0.488636,0.585859,0.613861,0.534091,0.633929,0.631579,0.6,0.666667,0.564356,0.64,0.53,0.612903,0.598131,0.528846,0.625,0.524752,0.505051,0.62037,0.576087,0.58427,0.630631,0.6,0.56,0.59633,0.483516,0.633663,0.59596,0.6875,0.557692,
