mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.430382,0.701152,0.959838,0.568144,0.739885,0.0540907,0.18001,0.0427274,0.840791,0.180267,0.454636,0.473186,0.363501,0.559369,0.568671,0.469583,0.544039,0.408648,0.849156,0.247503,0.310627,0.535814,0.946983,0.834242,0.135407,0.714857,0.440242,0.828192,0.126945,0.592537,0.371265,0.278582,0.896964,0.69223,0.245963,0.0869446,0.156716,0.339434,0.223442,0.259194,0.103589,0.263426,0.244901,0.620214,0.585556,0.489749,0.940956,0.815265,0.27134,0.205941,0.61085,0.682157,0.0313927,0.113454,0.20215,0.846154,0.382763,0.125227,0.512556,0.421921,0.792013,0.469352,0.00176653,0.2435,0.0240567,0.922378,0.116316,0.894181,0.957021,0.0559126,0.85624,0.347998,0.318949,0.307983,0.137953,0.903405,0.391911,0.0316636,0.263912,0.687401,0.905793,0.443006,0.138337,0.440142,0.538001,0.336736,0.6169,0.313317,0.726113,0.967347,0.411147,0.277108,0.970647,0.43486,0.101903,0.109057,0.906316,0.237684,0.315703,0.305938,
20,0.44792,0.478551,0.351635,0.613906,0.583988,0.438397,0.555556,0.410887,0.860431,0.251972,0.309355,0.535522,0.934311,0.845065,0.134536,0.69731,0.414801,0.854216,0.958632,0.574816,0.746644,0.0565055,0.8629,0.696824,0.149437,0.61455,0.43135,0.694752,0.861054,0.152042,0.166997,0.310843,0.242131,0.633074,0.614601,0.457384,0.945079,0.838745,0.200522,0.0340157,0.585109,0.704348,0.382566,0.279184,0.178845,0.829743,0.211486,0.251,0.501089,0.393243,0.78535,0.429895,0.222706,0.0869446,0.0134058,0.889069,0.114185,0.880049,0.0551459,0.243856,0.85624,0.32685,0.241112,0.185778,0.117051,0.891162,0.0383259,0.0843243,0.261012,0.655958,0.899788,0.434504,0.37313,0.10371,0.532036,0.305754,0.00176653,0.242634,0.726113,0.952011,0.953392,0.0239117,0.969198,0.432414,0.305032,0.289088,0.616595,0.31005,0.391911,0.0258449,0.906316,0.236185,0.134365,0.439372,0.409621,0.27683,0.315612,0.305598,0.101721,0.108963,
30,0.330329,0.543069,0.936346,0.860121,0.120773,0.756938,0.442081,0.869087,0.970013,0.516453,0.749483,0.0866218,0.867256,0.735658,0.431158,0.502023,0.386393,0.715412,0.559121,0.410084,0.212249,0.341718,0.256239,0.634632,0.646779,0.453291,0.959725,0.873395,0.412246,0.625604,0.568314,0.66456,0.55302,0.435147,0.194839,0.821645,0.815066,0.21568,0.505245,0.388911,0.773376,0.450098,0.847544,0.137404,0.14232,0.609046,0.10084,0.864565,0.357919,0.263084,0.848268,0.314167,0.159265,0.0308993,0.101181,0.881059,0.000971014,0.840564,0.228126,0.629055,0.887468,0.394419,0.194445,0.235675,0.49924,0.276415,0.212865,0.0740488,0.711515,0.952011,0.0164799,0.226514,0.963976,0.41309,0.23361,0.140647,0.614693,0.298841,0.0486499,0.0698299,0.902728,0.234955,0.371058,0.0888489,0.131026,0.437385,0.00311997,0.226639,0.408379,0.27581,0.948683,0.0236538,0.314937,0.305234,0.302488,0.289088,0.391911,0.0253054,0.101149,0.108888,
40,0.730297,0.117564,0.866649,0.714125,0.433368,0.495859,0.421281,0.708795,0.573321,0.425084,0.240169,0.333902,0.213067,0.639751,0.619029,0.456942,0.958052,0.876046,0.997719,0.511412,0.591021,0.628462,0.910527,0.864711,0.144932,0.722255,0.168424,0.810351,0.538129,0.39204,0.792198,0.474948,0.484345,0.864629,0.392636,0.605735,0.117193,0.824846,0.29654,0.5295,0.813865,0.314167,0.142533,0.601992,0.0738319,0.867271,0.501747,0.379367,0.217004,0.616288,0.865919,0.387228,0.802341,0.203723,0.47043,0.253228,0.825878,0.131079,0.689092,0.934767,0.350333,0.243361,0.941307,0.401577,0.150856,0.0360963,0.590087,0.286709,0.000971014,0.824626,0.901874,0.19451,0.162496,0.223897,0.126393,0.432351,0.183266,0.0600204,0.404779,0.27581,0.00665854,0.21923,0.307077,0.304649,0.228868,0.13842,0.302425,0.287972,0.0528221,0.0714012,0.947463,0.0232601,0.369812,0.0877767,0.00372236,0.225523,0.391315,0.0250249,0.101051,0.108546,
50,0.255433,0.323003,0.180285,0.64551,0.6637,0.453166,0.995217,0.863126,0.976412,0.527597,0.600803,0.647064,0.925078,0.823319,0.131556,0.742933,0.191757,0.769916,0.541464,0.39661,0.785591,0.48697,0.449706,0.830935,0.84921,0.694988,0.428294,0.704175,0.436216,0.504588,0.303374,0.518845,0.118486,0.813636,0.390006,0.585862,0.048934,0.843019,0.200125,0.619502,0.81466,0.380883,0.569922,0.417962,0.48082,0.37756,0.130249,0.595272,0.659481,0.937683,0.738776,0.100005,0.912337,0.390783,0.797642,0.276487,0.57369,0.274852,0.768583,0.186099,0.89324,0.183835,0.448326,0.243909,0.102102,0.426817,0.775106,0.131079,0.381666,0.261066,0.33085,0.232942,0.303942,0.291313,0.114424,0.0420677,0.295116,0.280737,0.000971014,0.811927,0.135371,0.215198,0.940957,0.0174944,0.226281,0.137712,0.171185,0.0558562,0.369207,0.0870474,0.00624545,0.217638,0.00409225,0.225072,0.390752,0.0244306,0.100954,0.108403,0.0537058,0.0703378,
60,0.617959,0.662481,0.92746,0.820868,0.153757,0.694857,0.19968,0.775225,0.533787,0.436237,0.836901,0.49833,0.461531,0.834052,0.839413,0.726784,0.442727,0.671938,0.979821,0.889573,0.285099,0.526811,0.133412,0.768314,0.401912,0.60007,0.654617,0.454227,0.198691,0.624371,0.795465,0.338881,0.202132,0.631457,0.979044,0.53574,0.43334,0.442025,0.62839,0.93541,0.215802,0.284843,0.911289,0.354525,0.00640556,0.829103,0.555124,0.404028,0.458903,0.342229,0.16087,0.579556,0.746834,0.276487,0.559025,0.256657,0.855544,0.161134,0.444512,0.23207,0.0885044,0.421872,0.355325,0.261066,0.724471,0.0724199,0.288066,0.280737,0.750195,0.135338,0.273655,0.281602,0.000971014,0.809653,0.754225,0.131079,0.323434,0.211518,0.119029,0.213572,0.223466,0.137296,0.936437,0.00692225,0.100381,0.0454028,0.365678,0.0815277,0.00560927,0.224351,0.00653792,0.217004,0.389951,0.0236582,0.100355,0.108388,0.168497,0.0557905,0.0538917,0.0703183,
70,0.833693,0.540901,0.450313,0.826941,0.86627,0.709498,0.433662,0.670559,0.997607,0.899655,0.521686,0.478615,0.0802382,0.746125,0.402883,0.622419,0.704939,0.464683,0.158701,0.677802,0.795851,0.323934,0.187793,0.643383,0.993896,0.53753,0.583728,0.693346,0.616636,0.953085,0.949056,0.818598,0.256579,0.527756,0.217309,0.787472,0.557445,0.419387,0.22689,0.59532,0.928648,0.352598,0.441957,0.43479,0.154957,0.56246,0.737929,0.246352,0.456297,0.314827,0.188668,0.295955,0.520754,0.250792,0.00279188,0.828939,0.820425,0.153775,0.340653,0.246616,0.261142,0.273848,0.422489,0.202616,0.266706,0.259654,0.0833132,0.382967,0.000971014,0.77808,0.72237,0.0923682,0.754225,0.0970766,0.322326,0.190507,0.717199,0.0455226,0.100608,0.201761,0.219502,0.127238,0.933083,0.0069113,0.361513,0.0815277,0.00591021,0.221899,0.0065482,0.21619,0.389843,0.0231779,0.100211,0.107918,0.0997369,0.0458642,0.168472,0.0555056,0.0541201,0.0700662,
80,0.45182,0.824688,0.106874,0.728821,0.402726,0.660651,0.724301,0.447982,0.145678,0.68068,0.793386,0.311716,0.170071,0.640537,0.978445,0.533983,0.626737,0.709514,0.582299,0.931194,0.945129,0.867452,0.989504,0.891016,0.224172,0.801451,0.866791,0.742988,0.224711,0.571331,0.92874,0.34774,0.846493,0.468819,0.422473,0.416142,0.262829,0.547967,0.52871,0.494028,0.461711,0.662091,0.544469,0.408068,0.153348,0.531637,0.44713,0.313293,0.683267,0.225533,0.513401,0.234324,0.00279188,0.791418,0.31623,0.240631,0.784969,0.135445,0.238766,0.258344,0.261127,0.251911,0.150102,0.279298,0.000971014,0.762853,0.412046,0.179428,0.0704122,0.364061,0.286177,0.16951,0.73732,0.0721108,0.686722,0.0747478,0.213709,0.123955,0.0892538,0.183155,0.922564,0.00145057,0.713649,0.0270549,0.35997,0.075876,0.00595888,0.220465,0.00655928,0.215708,0.386658,0.0222193,0.0993618,0.107753,0.16804,0.0547627,0.0546623,0.0700662,0.0995451,0.0460383,
90,0.804143,0.295072,0.154618,0.646272,0.999031,0.527232,0.628672,0.718159,0.629305,0.97123,0.949157,0.831081,0.986689,0.829894,0.22969,0.761831,0.841201,0.751661,0.437689,0.646343,0.959803,0.376073,0.869195,0.433551,0.201554,0.570217,0.264119,0.54094,0.492411,0.475347,0.45122,0.668008,0.454297,0.835675,0.124198,0.669257,0.534944,0.412682,0.104976,0.702969,0.719141,0.402388,0.406363,0.394978,0.14583,0.530953,0.462864,0.301063,0.650679,0.226709,0.486079,0.212365,0.307185,0.223667,0.219875,0.245688,0.000971014,0.760519,1.42314e-06,0.784965,0.238766,0.230881,0.765558,0.0955178,0.133765,0.259561,0.383868,0.147405,0.0358012,0.338945,0.668475,0.0747478,0.253324,0.140455,0.726169,0.0413273,0.918142,0.00145057,0.213709,0.116554,0.696921,0.0228987,0.0844732,0.177257,0.359303,0.0720241,0.00597105,0.220346,0.00688151,0.212528,0.385908,0.0210209,0.0990349,0.106937,0.167379,0.0543086,0.0550886,0.0699479,0.0993298,0.0463687,
100,0.955977,0.839482,0.986771,0.811719,0.204052,0.761831,0.81763,0.728637,0.452263,0.672426,0.976292,0.382117,0.839187,0.413878,0.114135,0.650799,0.246583,0.551472,0.526388,0.482276,0.461204,0.665241,0.478208,0.82843,0.973745,0.531595,0.623344,0.987629,0.0999429,0.707287,0.713826,0.390575,0.18614,0.560965,0.568383,0.437289,0.770773,0.300752,0.405575,0.410681,0.622977,0.723115,0.0975628,0.667674,0.120174,0.517121,0.431142,0.274091,0.645122,0.203166,0.479787,0.2016,0.000971014,0.730304,0.282563,0.215447,0.226323,0.229196,0.219875,0.209445,0.752438,0.0940438,0.099602,0.253583,1.42314e-06,0.784965,0.0223501,0.332072,0.369619,0.115138,0.638284,0.0699037,0.233535,0.121471,0.893374,0.00145057,0.726169,0.0215754,0.696921,0.0198577,0.0832524,0.160448,0.213377,0.105081,0.357575,0.069302,0.00597105,0.21572,0.00688151,0.212211,0.385314,0.0199795,0.0978304,0.105859,0.16714,0.0541968,0.0550886,0.069278,0.0990773,0.0466873,
