noise,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
0.0316228,2482,0.99576,0.99836,0.99708,0.9954,0.99316,0.98816,0.98184,0.9736,0.963,0.94016,0.91396,0.86904,0.81148,0.74296,0.69232,0.66996,0.67948,0.6946,0.69952,0.71636,0.72904,0.7376,0.73324,0.73504,0.7462,0.73864,0.73856,0.73792,0.73524,0.73832,0.74064,0.74096,0.7398,0.73872,0.739,0.73492,0.7394,0.73848,0.73844,0.74032,0.73772,0.73456,0.73676,0.74188,0.73792,0.73744,0.72732,0.72596,0.71572,
0.0316228,2483,0.99576,0.99776,0.99704,0.9952,0.99264,0.98988,0.98448,0.97516,0.96104,0.94268,0.91432,0.87492,0.80908,0.74796,0.68376,0.6698,0.67872,0.70836,0.71104,0.72224,0.72448,0.73396,0.7368,0.73932,0.73756,0.73864,0.73864,0.73936,0.73716,0.73812,0.74504,0.73788,0.74224,0.74228,0.74532,0.73604,0.7438,0.7432,0.73656,0.73828,0.73912,0.734,0.74008,0.73204,0.73932,0.73708,0.7308,0.72652,0.7146,
0.0316228,2484,0.99648,0.99816,0.99728,0.99432,0.99208,0.98932,0.98376,0.9748,0.96352,0.94176,0.91312,0.86976,0.81208,0.74748,0.68856,0.66196,0.68428,0.70104,0.71432,0.72564,0.7344,0.73484,0.73788,0.73472,0.7288,0.73776,0.73728,0.73272,0.74008,0.73976,0.7432,0.74052,0.74176,0.73928,0.73808,0.74292,0.74008,0.74192,0.73868,0.74276,0.73796,0.73908,0.73424,0.73788,0.73804,0.73104,0.73356,0.71792,0.71528,
0.0316228,2485,0.9956,0.99776,0.99676,0.99524,0.99248,0.9882,0.98468,0.97352,0.96152,0.94012,0.9096,0.87248,0.8102,0.74424,0.68548,0.66924,0.68636,0.69876,0.70856,0.71992,0.7254,0.72956,0.73572,0.73312,0.73464,0.73808,0.74376,0.74068,0.73904,0.74004,0.74396,0.7404,0.7398,0.74092,0.73436,0.73924,0.73812,0.736,0.7434,0.736,0.73748,0.7422,0.74348,0.74,0.73768,0.73656,0.733,0.72716,0.7146,
0.0316228,2486,0.99604,0.99832,0.99664,0.99448,0.9934,0.9892,0.98296,0.9734,0.9596,0.94264,0.91304,0.86296,0.81032,0.73696,0.6838,0.6724,0.6826,0.70208,0.71344,0.71368,0.727,0.7366,0.74364,0.7358,0.73524,0.73564,0.73868,0.73768,0.74356,0.74216,0.73988,0.73944,0.73356,0.7406,0.7406,0.73972,0.74016,0.7424,0.7404,0.7366,0.73872,0.735,0.73372,0.736,0.74368,0.73244,0.7292,0.72696,0.72064,
0.0316228,2487,0.9958,0.99812,0.9966,0.99604,0.99376,0.98928,0.98216,0.9754,0.96084,0.94232,0.9148,0.87708,0.81836,0.75028,0.69552,0.66568,0.67636,0.69584,0.70692,0.71448,0.72552,0.72448,0.7388,0.73452,0.74016,0.74696,0.73436,0.73692,0.73644,0.7338,0.74188,0.74384,0.73812,0.73528,0.73592,0.741,0.7394,0.74064,0.7438,0.74756,0.73672,0.74276,0.7422,0.73932,0.7442,0.73132,0.73148,0.72824,0.71244,
0.0316228,2488,0.99624,0.9978,0.99748,0.995,0.99392,0.98824,0.98364,0.97544,0.96088,0.94252,0.91188,0.87204,0.80888,0.74692,0.68792,0.67756,0.68572,0.6978,0.70808,0.714,0.73056,0.73416,0.73044,0.7334,0.73032,0.73392,0.73668,0.73944,0.74252,0.74504,0.73976,0.74008,0.74432,0.7366,0.73708,0.74028,0.7436,0.7398,0.74556,0.73956,0.73788,0.73264,0.74272,0.73892,0.74304,0.7436,0.73352,0.72404,0.71912,
0.0316228,2489,0.9962,0.99792,0.99684,0.99552,0.99256,0.9894,0.98336,0.97572,0.96116,0.94088,0.91364,0.86808,0.81588,0.74684,0.69348,0.67136,0.678,0.69168,0.70516,0.7098,0.72168,0.73176,0.73344,0.7396,0.73708,0.73976,0.7382,0.74228,0.74064,0.74016,0.74192,0.74156,0.74364,0.73848,0.73588,0.73932,0.74164,0.74196,0.74168,0.7354,0.73668,0.73984,0.73816,0.73724,0.74088,0.73688,0.73324,0.725,0.71632,
0.0316228,2490,0.9962,0.99848,0.99656,0.9956,0.99252,0.9888,0.984,0.97432,0.96112,0.93864,0.90924,0.86952,0.81128,0.74772,0.6818,0.66948,0.68176,0.69288,0.71136,0.71328,0.72992,0.73544,0.7312,0.73764,0.73648,0.7394,0.73888,0.74084,0.7376,0.736,0.74048,0.73184,0.736,0.74552,0.74144,0.74304,0.738,0.73852,0.74032,0.74036,0.74384,0.73892,0.73848,0.74144,0.73692,0.73532,0.73572,0.72404,0.71968,
0.0316228,2491,0.99664,0.99836,0.9974,0.99448,0.993,0.98888,0.98332,0.97444,0.9596,0.93948,0.91296,0.8732,0.81416,0.74684,0.68572,0.67076,0.67916,0.69436,0.70472,0.72068,0.72624,0.72828,0.72844,0.73336,0.73916,0.74036,0.73504,0.73692,0.74452,0.73068,0.73332,0.73888,0.7392,0.74372,0.7438,0.74684,0.74368,0.7424,0.73444,0.73884,0.74324,0.73704,0.73504,0.73176,0.74724,0.7396,0.73104,0.72832,0.70832,
