noise,seed,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,35.5,36,36.5,37,37.5,38,38.5,39,39.5,40,40.5,41,41.5,42,42.5,43,43.5,44,44.5,45,45.5,46,46.5,47,47.5,48,48.5,49,49.5,50
0.316228,1,0.826155,0.517626,1.42535,0.560036,0.939605,0.207875,0.321612,0.671107,1.01592,0.742072,-0.0292638,0.225174,0.93111,0.829914,0.62279,0.30525,0.627832,0.616143,0.368344,0.767014,0.559571,0.350118,1.01461,0.753616,0.0350088,0.314094,0.186535,0.271138,0.262599,0.822772,0.405893,0.247166,-0.0490721,0.66441,-0.134703,0.233371,0.296995,0.0568316,0.318824,-0.0394972,0.197526,0.443236,0.748659,0.876716,0.401981,0.281513,-0.0341655,-0.010546,0.426175,0.232829,1.19677,0.0375338,0.309507,0.0601388,-0.518632,0.739219,0.0955005,0.441743,0.829219,0.331172,0.471273,-0.452081,-0.131467,0.251726,0.47491,0.56627,0.529498,-0.0867001,0.533381,-0.105153,-0.131361,0.116924,0.27692,0.0586087,0.534394,-0.088953,-0.132167,0.421268,-0.0782793,0.232584,0.0456625,0.0969728,0.00542404,0.666328,0.0210852,0.577972,0.317359,-0.0908066,-0.164434,0.100258,0.601666,0.00766601,0.0158085,-0.369904,0.07776,-0.435712,-0.350369,0.0811816,-0.222855,-0.0191303,-0.248989
0.316228,2,0.992864,1.17074,0.644195,0.744793,0.638735,0.942298,1.52058,0.690161,0.919809,1.02425,1.53239,0.65894,0.34563,0.907947,-0.100149,0.944883,0.23897,0.235619,0.516253,0.495445,1.40196,0.412312,0.698579,0.229308,0.066638,0.523114,0.25577,-0.292572,0.756626,0.57498,0.721182,0.863725,0.384595,0.312478,-0.143384,0.340233,0.560706,0.114287,0.148379,-0.389102,0.552514,0.0673404,0.284944,0.675218,0.478149,-0.0134605,0.540537,0.176884,0.225536,0.441492,0.546584,0.533432,0.381013,0.187244,-0.381691,-0.0543758,0.227237,0.758081,0.213297,0.479817,-0.44431,0.575461,-0.113341,0.566884,-0.0406709,-0.243411,0.0353397,0.409332,0.628418,0.130762,0.684404,-0.261731,-0.250437,-0.37639,0.141784,0.209928,0.239707,0.00229932,0.526344,0.23331,0.250634,0.100429,-0.166965,0.907117,0.662233,-0.381766,-0.00859203,-0.183416,0.269654,-0.109346,0.150341,0.508023,-0.556239,0.191288,-0.422231,-0.16294,0.040116,0.287428,-0.0673428,0.205853,0.0719908
0.316228,3,1.05823,0.643143,0.8167,0.876397,0.946197,0.643795,0.750509,0.407961,0.551327,0.343353,0.971463,0.667896,1.01992,-0.0525239,0.849192,0.0562596,0.462092,0.00773762,0.757798,0.69985,0.657134,0.396574,0.342563,0.189479,0.318648,0.828961,-0.156811,-0.0954952,0.61575,0.679431,0.876493,0.490902,-0.0479554,0.491819,0.745965,0.713526,0.387533,0.392575,0.0865563,0.226554,0.434602,0.545127,-0.384255,0.00265727,-0.664961,0.589189,0.0506249,0.543211,0.211965,0.604446,0.618488,0.255947,-0.164583,0.21675,0.487375,-0.007841,0.0338583,0.168744,0.436868,0.168252,-0.0954671,-0.0199512,-0.00271725,0.248671,0.222812,-0.0593158,-0.226075,-0.313639,-0.681527,0.405682,0.210827,0.519399,0.182263,0.197192,0.490073,-0.104199,0.158647,0.177494,0.295625,-0.0178634,0.494198,0.145182,-0.136613,-0.115782,0.0401566,-0.350227,-0.333161,0.07906,-0.259384,-0.218731,0.0725561,0.388208,-0.525611,0.335576,-0.232565,0.146168,-0.229203,-0.218052,-0.242662,-0.214225,0.267484
0.316228,4,1.10084,1.29013,0.592336,0.981014,1.08812,0.508188,0.878543,1.01376,1.13579,0.199125,1.08052,0.539268,0.189192,0.852606,0.962793,0.754036,0.547362,0.762258,0.310013,0.490457,0.576608,0.427066,0.488581,0.475786,0.225271,0.225608,0.247281,0.106537,0.193353,-0.0381516,-0.0234459,0.554746,0.426107,0.00305058,0.186938,-0.35061,0.101003,0.233556,0.216099,0.356662,0.351079,0.112602,0.221331,0.3648,0.369342,0.468932,0.469678,0.147797,0.553713,0.100285,0.498555,0.542365,0.0158212,0.269119,0.387258,0.00194597,0.358848,0.210801,0.118915,0.150643,-0.451567,0.221306,0.182301,0.112839,0.356839,0.462253,0.302692,0.189365,0.0928936,-0.37868,0.351779,0.0109058,-0.564634,0.350893,0.110049,0.337496,0.0775029,0.629331,0.0938907,0.0500436,-0.0475221,-0.169254,0.344924,0.340386,0.0101872,0.089258,0.155642,-0.122921,0.579745,0.258123,0.0728533,0.372185,-0.245586,0.162303,0.766158,-0.0856924,0.301955,0.0529873,0.0560224,0.288794,0.453486
0.316228,5,1.03409,0.951566,0.861691,0.639687,0.794217,0.129622,1.13684,0.929132,0.99426,0.476324,0.638004,0.597023,0.305797,1.66931,0.633627,0.766834,1.19617,0.478426,0.652515,0.860975,-0.12705,0.793276,0.773427,0.641243,0.741388,0.82226,0.621231,0.104744,0.963255,0.921161,0.724618,-0.146007,0.269793,0.276043,0.275366,0.458191,0.0863127,0.292638,0.0104017,0.0537206,0.23199,0.449629,-0.216031,-0.0243177,0.448127,-0.010849,0.304118,0.386099,0.751304,-0.384538,0.047236,0.069179,0.28825,0.280367,-0.0995828,0.297608,0.00983742,-0.127875,0.705937,0.12936,0.043157,0.123747,0.00784949,-0.132486,0.0447499,-0.129293,0.445001,0.341088,0.274003,0.108101,-0.795455,0.824632,0.325653,0.534894,0.16718,0.931377,0.220264,-0.348317,0.277979,0.248898,0.275763,-0.044466,0.217853,-0.0950606,0.132701,0.181099,0.140392,0.0894701,-0.00648614,0.207744,-0.464562,0.379409,0.707064,-0.176698,0.365278,-0.0783936,-0.320887,0.220277,0.201881,-0.683821,-0.322274
0.316228,6,0.944317,0.774455,1.13317,1.63399,1.2717,0.80566,0.606311,1.21609,0.551028,0.573309,0.831464,0.74638,1.28216,0.534711,0.548937,1.03187,0.29369,0.692233,0.936728,0.0315114,1.15473,-0.00133692,0.459223,0.436927,0.632114,0.274606,1.11488,-0.193804,0.61522,0.647048,0.653477,0.569955,0.369086,0.361885,0.673346,0.0555059,0.114658,-0.432118,0.0125924,0.732596,0.33131,0.365771,0.514026,-0.0965542,1.25317,-0.0269174,0.352866,0.097877,-0.220765,0.419652,0.588558,-0.448098,0.791906,0.828249,0.822558,0.0444519,0.1619,0.498263,-0.311855,0.00229518,0.770621,0.790443,-0.568962,-0.0797013,-0.362997,-0.0785725,0.344448,0.932589,-0.0598398,0.20753,0.521315,0.302673,0.0881615,-0.333818,-0.0458901,0.0634243,0.447589,-0.324639,-0.00251829,-0.42543,-0.126019,0.426796,0.690852,-0.154729,0.383351,0.284981,-0.104837,0.36932,0.363612,0.696038,0.154579,0.264295,-0.0621582,-0.490788,-0.0394852,0.313822,0.370008,-0.277583,-0.0741498,0.0120068,0.457242
0.316228,7,0.77227,0.618251,0.913111,1.01686,0.51237,0.546353,0.748215,0.513473,0.750887,0.608885,0.575118,0.935545,1.16047,0.317213,0.993025,0.93095,0.75241,0.490104,0.817015,0.256655,0.709373,0.347835,0.630257,0.287803,0.421522,0.657816,-0.0707091,0.0108508,1.15535,0.270199,0.330132,0.497226,0.223744,-0.198877,-0.260956,0.472145,0.44546,0.238702,-0.313239,-0.211991,-0.128773,-0.0484935,1.01328,0.28196,-0.143406,0.500653,0.774904,-0.0744796,0.683054,0.119226,0.56798,0.483791,0.396394,0.190128,0.322255,-0.124545,0.517363,0.226828,0.116938,-0.193754,0.560684,0.550157,0.18908,0.538122,0.00959706,0.548854,0.142275,0.76684,0.548409,-0.0263795,0.470013,0.136876,-0.195315,0.0793737,0.105489,0.559162,0.194857,0.0258761,-0.185383,-0.15447,-0.344959,-0.398448,-0.116846,-0.0831647,0.435207,-0.0246185,0.264592,0.455907,-0.993475,-0.0859559,0.2868,0.0553617,0.0928135,0.577882,-0.0628427,-0.312558,-0.0615939,0.450436,-0.343002,0.164729,0.15795
0.316228,8,1.36721,0.819128,1.51744,0.479817,0.693408,1.2744,0.940621,0.521398,1.1304,0.601519,1.03409,0.656669,0.969748,0.254738,0.322489,0.41014,0.984598,-0.240389,0.544184,0.736135,0.259205,0.603116,0.0897523,0.175093,1.04111,0.695165,0.189609,0.266263,0.501311,0.143267,0.363749,0.131643,0.064028,0.462434,0.281514,0.401452,-0.192141,0.4546,0.155096,-0.0720792,-0.241759,0.22006,0.337871,0.329925,0.110365,0.782976,0.911692,0.488744,0.769539,0.217193,0.910791,-0.0536046,-0.0194752,0.802929,0.466374,-0.0397126,0.169512,0.705504,0.253439,0.0508735,-0.0812297,-0.195793,0.135203,0.390923,0.569153,0.0962315,0.340515,-0.292539,0.885453,0.326003,-0.0266962,-0.39648,-0.683399,0.167222,0.244507,0.0371513,-0.325525,-0.030282,0.0514953,0.32933,0.0190506,0.24109,0.0421543,0.20915,0.324056,0.0134924,0.421539,0.296131,0.204113,0.130563,-0.279499,-0.0499653,-0.145304,-0.0815002,0.192837,0.61015,0.482616,-0.0238134,0.680321,0.310988,0.574624
0.316228,9,0.995364,0.238682,0.884238,0.0996719,0.537554,0.358765,0.561942,0.901546,0.955858,0.744802,1.01079,1.30221,1.05156,0.841048,0.954206,0.462374,0.567363,0.313712,0.965386,0.640016,0.537084,0.311153,1.10683,0.0228902,-0.0402269,0.186134,0.204427,-0.0861361,0.0373979,0.626136,0.314461,0.311644,0.414784,0.149282,0.222825,0.605581,0.0685991,0.292662,0.0108528,0.654004,0.113487,0.290689,0.289434,0.683134,0.64747,0.266788,-0.099002,0.299114,0.389579,0.238105,0.380701,0.741884,-0.053811,0.339532,0.0494774,0.507455,0.0750739,0.71261,0.422078,0.455616,0.000112028,0.518947,0.178451,0.402213,0.0568062,0.151518,0.502613,0.206797,0.353187,0.310183,0.233999,0.553603,-0.210723,0.0977953,0.0877989,0.151436,-0.0639464,-0.132026,-0.0365092,0.0323362,0.40587,0.562133,-0.00369426,-0.259725,-0.523186,-0.154479,0.0124942,-0.374238,0.292502,0.329339,0.136221,0.884205,0.0448089,0.52411,0.0671507,-0.0732169,0.092002,0.315968,0.181947,0.0145923,-0.397356
