mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.0139029,0.0137938,0.014,0.0138947,0.013717,0.0136809,0.0137849,0.0138131,0.0139029,0.0132784,0.0138969,0.0138058,0.013901,0.013798,0.0138901,0.014,0.0139099,0.0138876,0.0138913,0.0137222,0.0139048,0.0137895,0.0137826,0.014,0.0139029,0.0138969,0.0139115,0.0138851,0.013899,0.013802,0.0138058,0.0137938,0.0137248,0.0134505,0.0137917,0.0136154,0.0136117,0.0132784,0.0133458,0.0127097,0.0131089,0.0125859,0.0121522,0.011963,0.012913,0.0111296,0.0111579,0.0110476,0.0109608,0.01,0.0110833,0.00948077,0.00879592,0.01,0.00828571,0.00929412,0.00807407,0.0091087,0.00737209,0.01,0.00776238,0.01,0.00876636,0.0084086,0.0079,0.0084,0.00807767,0.00894845,0.00828571,0.00821053,0.00768421,0.00733333,0.00797959,0.00870588,0.00823077,0.009,0.00693913,0.00806884,0.00491009,0.00570941,0.00353256,0.00327134,0.00238526,0.00218226,0.00151361,0.00127279,0.000978231,0.00104633,0.000646597,0.000609004,0.000442,0.000439975,0.000293317,0.000312894,0.000203561,0.000199271,0.000125269,0.000124054,8.85766e-05,7.47664e-05,
400,0.0190204,0.0190511,0.0190455,0.0190316,0.0189056,0.0191532,0.0191474,0.0193383,0.0185951,0.0183343,0.0189212,0.0188967,0.0191888,0.0190356,0.0191627,0.0194627,0.0194739,0.0188759,0.0194478,0.0190829,0.0191039,0.0189808,0.0188121,0.0191116,0.0192986,0.0188567,0.0190897,0.0189863,0.0185899,0.0190573,0.0187759,0.0188975,0.0188188,0.0185505,0.0187829,0.0180583,0.0171507,0.0161996,0.0167956,0.0150894,0.0107758,0.0149924,0.0100022,0.011963,0.0107382,0.0111296,0.00904377,0.0102059,0.00949935,0.00842105,0.0103749,0.00802644,0.00819705,0.00881132,0.0088381,0.00723963,0.00807407,0.00592065,0.00667288,0.00720388,0.00668759,0.00684404,0.0070627,0.0064943,0.00576619,0.00645903,0.00639878,0.0063187,0.00547902,0.0058673,0.00543806,0.00461529,0.0050839,0.00669423,0.00532963,0.00569091,0.00513639,0.00518599,0.00388131,0.00414683,0.00267466,0.00239898,0.0018043,0.00182076,0.00126673,0.000981488,0.000794686,0.000875669,0.000535751,0.000521853,0.000412534,0.000375137,0.00025117,0.000276766,0.000203561,0.000153439,0.000112122,0.000107262,8.38388e-05,6.53222e-05,
600,0.0262195,0.0266715,0.026267,0.0264612,0.0261042,0.026615,0.0266291,0.0270736,0.0260332,0.0255014,0.0261074,0.0264554,0.0268643,0.0266498,0.026638,0.0266581,0.0268258,0.025746,0.0270305,0.026716,0.025857,0.0260736,0.0254237,0.0265593,0.0262139,0.0260367,0.0265036,0.0265808,0.0260259,0.0261409,0.0257115,0.0247891,0.0246858,0.024835,0.0187829,0.0211282,0.0197233,0.0181622,0.0197045,0.0140932,0.0132077,0.0130813,0.0113143,0.011963,0.0128442,0.0111296,0.0103542,0.00898519,0.0101674,0.00769483,0.00983622,0.00680575,0.0074196,0.00660421,0.0088381,0.00616078,0.00692309,0.00449076,0.0054446,0.00528285,0.0057216,0.00416864,0.00485299,0.00358171,0.00456984,0.00362539,0.00410208,0.00367634,0.00382967,0.00337227,0.00321655,0.00262984,0.00277496,0.00312827,0.00293416,0.00286141,0.0027527,0.00239518,0.002107,0.00218725,0.00159479,0.00134652,0.00114328,0.000963239,0.000751863,0.000521014,0.000514723,0.000436872,0.000381363,0.000325792,0.000340722,0.000268304,0.000214206,0.00018137,0.000153801,0.000132515,0.000102129,8.06455e-05,8.38388e-05,5.37393e-05,
800,0.0361722,0.0365557,0.0364913,0.0365511,0.0365459,0.0364024,0.0368136,0.0369587,0.0361913,0.0354417,0.0359889,0.0362958,0.0376101,0.0365335,0.0367324,0.0360519,0.0372581,0.0355763,0.0375612,0.0368886,0.0359156,0.0360247,0.0353363,0.0363941,0.0355472,0.035257,0.0363178,0.0358707,0.0364362,0.0349185,0.034355,0.0290921,0.0319238,0.0268321,0.0241661,0.0211282,0.024425,0.0181622,0.0237602,0.0140932,0.0155161,0.0130813,0.0131572,0.0127992,0.0147102,0.0111296,0.0109399,0.00795323,0.0101674,0.00729529,0.00799727,0.00631422,0.0074196,0.00615456,0.00791299,0.00544534,0.00623078,0.00380281,0.0054446,0.00441273,0.0046543,0.00331754,0.00386317,0.00306073,0.00387484,0.00249594,0.00296797,0.00225832,0.00310879,0.00224359,0.00238944,0.00171632,0.00206067,0.00182936,0.00208525,0.00164605,0.00193209,0.00151865,0.00133375,0.00112294,0.000906349,0.000837838,0.000777861,0.000633874,0.000511548,0.000337259,0.000372698,0.000298213,0.000297826,0.00022634,0.000247394,0.000186819,0.000172951,0.00014549,0.000133406,0.000108221,0.000102129,7.0209e-05,8.38388e-05,4.83654e-05,
1000,0.0495337,0.0508195,0.0501441,0.0507364,0.0504477,0.0491061,0.0505164,0.0493318,0.0503022,0.0464603,0.0500417,0.0492859,0.0522959,0.0503778,0.0510722,0.0482194,0.0521613,0.0483978,0.0514588,0.0505374,0.0494164,0.0482792,0.0472391,0.0492186,0.047227,0.044175,0.0480778,0.0445552,0.0448812,0.0402502,0.0403846,0.0327429,0.0384402,0.0305312,0.028516,0.023241,0.026662,0.0195683,0.0249597,0.0158076,0.0173085,0.0144205,0.0143623,0.0127992,0.0161654,0.0111296,0.0109399,0.00848344,0.0101674,0.00805184,0.00799727,0.00571406,0.0074196,0.00615456,0.00747495,0.00508644,0.00482099,0.0033284,0.00507497,0.0039957,0.00430408,0.00270095,0.00350013,0.00232302,0.00311636,0.00205797,0.00267118,0.00167824,0.00218967,0.00170762,0.00166473,0.00117466,0.00165258,0.00125442,0.00148434,0.000996859,0.00143581,0.00102586,0.00101963,0.000690668,0.000768834,0.000524646,0.000587883,0.000438429,0.000413028,0.000255877,0.000313603,0.000233209,0.000224723,0.000178557,0.000208911,0.00014377,0.000161421,0.000122518,0.000124272,8.8279e-05,9.56007e-05,6.21657e-05,8.38388e-05,4.26332e-05,
1200,0.0678153,0.0686804,0.0686974,0.0679868,0.0661315,0.0667644,0.0682467,0.0665476,0.066971,0.0626739,0.0677417,0.0679289,0.067878,0.0695411,0.068342,0.0656345,0.0698645,0.0663194,0.0689548,0.0677202,0.0645502,0.0661982,0.0621613,0.0657307,0.059371,0.057387,0.0633842,0.0575723,0.0555062,0.0484581,0.0469851,0.0391079,0.0412643,0.0361586,0.031775,0.023241,0.0327822,0.0218047,0.0279237,0.0172668,0.0200308,0.0144205,0.0158571,0.0127992,0.0161654,0.0102977,0.0109399,0.00848344,0.0101674,0.00753945,0.00799727,0.00571406,0.0074196,0.00551281,0.00679933,0.00463078,0.00482099,0.0033284,0.00507497,0.00314208,0.00430408,0.00249169,0.00319741,0.00189496,0.00260581,0.00185218,0.00245971,0.00149428,0.00194741,0.00145631,0.00145705,0.00109872,0.0014681,0.00105195,0.00122046,0.000915298,0.00103189,0.000758572,0.000780622,0.00056028,0.000599405,0.000415155,0.000477858,0.000377724,0.000413028,0.000210695,0.000313603,0.000214373,0.000224723,0.000164135,0.000192283,0.000118117,0.000148,0.000101988,0.000117368,7.54384e-05,9.56007e-05,6.21657e-05,8.38388e-05,4.62004e-05,
1400,0.0908313,0.0920725,0.0918376,0.0912965,0.087762,0.0915443,0.0915309,0.0877342,0.0925417,0.0842616,0.0898665,0.0906216,0.0928158,0.0934942,0.0915368,0.0866895,0.0935329,0.088946,0.0945086,0.0851339,0.0892573,0.0847968,0.0863716,0.0832589,0.07734,0.0691282,0.0788341,0.0656545,0.0666074,0.0549191,0.0561904,0.0436321,0.0491334,0.0395207,0.0378652,0.0262802,0.038683,0.0235491,0.0279237,0.0172668,0.0219732,0.0144205,0.0170795,0.0127992,0.0174227,0.0102977,0.0109399,0.00787981,0.0101674,0.00753945,0.00845426,0.00571406,0.0074196,0.00496153,0.00628443,0.00463078,0.00482099,0.0033284,0.00479006,0.00279133,0.00430408,0.00235578,0.00297759,0.00189496,0.00247296,0.00157246,0.00214541,0.00137734,0.00194741,0.00126319,0.00145705,0.000958326,0.00125175,0.000961781,0.00104084,0.000658236,0.00092405,0.0006955,0.000676034,0.000466708,0.000557447,0.000377791,0.000423729,0.000311731,0.000362937,0.000189625,0.000313603,0.000191758,0.000242794,0.000164135,0.000192283,0.000111674,0.000148,9.33039e-05,0.000117368,7.54384e-05,9.56007e-05,6.21657e-05,8.38388e-05,4.62004e-05,
1600,0.116372,0.120531,0.123274,0.118305,0.112705,0.118572,0.125283,0.116923,0.11977,0.111822,0.117335,0.119158,0.125992,0.119426,0.115588,0.115173,0.113858,0.118965,0.116714,0.112166,0.117199,0.100657,0.112988,0.10187,0.0987909,0.0842776,0.0959572,0.0778037,0.0788841,0.06736,0.0618094,0.0436321,0.0574482,0.0395207,0.041611,0.0296697,0.0426558,0.02556,0.0313809,0.0172668,0.0247306,0.0144205,0.0179926,0.0127992,0.0174227,0.0102977,0.0123049,0.00787981,0.0101674,0.00753945,0.00769172,0.00571406,0.0081225,0.00439449,0.00628443,0.00426221,0.00431118,0.0033284,0.00479006,0.00260351,0.00430408,0.00235578,0.00297759,0.00189496,0.00247296,0.00157246,0.00226609,0.00127933,0.00178873,0.00108195,0.00153901,0.000908567,0.00105255,0.000843132,0.00104084,0.000599129,0.00092405,0.000561324,0.000676034,0.000408709,0.000506961,0.00034805,0.000423729,0.00029573,0.000326643,0.000189625,0.000274324,0.000181126,0.000242794,0.000153193,0.000192283,0.000103925,0.000148,9.33039e-05,0.000103954,7.54384e-05,9.56007e-05,6.21657e-05,8.38388e-05,4.62004e-05,
1800,0.154775,0.156691,0.158081,0.15597,0.147939,0.158666,0.162271,0.157538,0.159694,0.147402,0.154975,0.153581,0.162022,0.150532,0.151772,0.149512,0.149154,0.142758,0.150713,0.141454,0.15029,0.128594,0.144732,0.125054,0.132068,0.102738,0.123678,0.0961937,0.100577,0.0720511,0.0781319,0.0489399,0.0656551,0.0432647,0.0449947,0.0322828,0.0458839,0.02556,0.0313809,0.0172668,0.0247306,0.0144205,0.019776,0.0127992,0.0192361,0.0102977,0.0123049,0.00787981,0.010722,0.00753945,0.00817834,0.00603898,0.00754915,0.00413441,0.00628443,0.00393944,0.00494697,0.0033284,0.00450375,0.00242379,0.00430408,0.00217524,0.00297759,0.00176012,0.00220094,0.00138377,0.00210885,0.00118903,0.00178873,0.000962938,0.00142107,0.000744439,0.00105255,0.000730168,0.00104084,0.000599129,0.000770314,0.000495514,0.00059543,0.000384868,0.000506961,0.000318858,0.000423729,0.000243543,0.000326643,0.000176642,0.000249529,0.00015924,0.000242794,0.000153193,0.000172043,0.000103925,0.000138681,9.33039e-05,0.000103954,6.78946e-05,9.56007e-05,6.21657e-05,7.42572e-05,4.37688e-05,
2000,0.200562,0.207314,0.197319,0.21304,0.185762,0.205188,0.213221,0.201413,0.201288,0.189554,0.187602,0.200387,0.212535,0.18924,0.19275,0.18988,0.18423,0.178906,0.185069,0.182172,0.195377,0.156651,0.176069,0.155836,0.155073,0.115989,0.154122,0.111492,0.117904,0.0834046,0.085573,0.0535764,0.0733481,0.0460063,0.0482913,0.034761,0.0516797,0.02556,0.0313809,0.0192681,0.0247306,0.0144205,0.0181317,0.0127992,0.0177132,0.0102977,0.013035,0.00727256,0.010722,0.00753945,0.00885852,0.00603898,0.00754915,0.00413441,0.00628443,0.00427118,0.00494697,0.0033284,0.00450375,0.00242379,0.00399783,0.00198037,0.00297759,0.00165451,0.00220094,0.00138377,0.00227141,0.00110442,0.00166729,0.000962938,0.00142107,0.000744439,0.00105255,0.0006247,0.000946765,0.000599129,0.000689312,0.000453178,0.00059543,0.000364169,0.000506961,0.000318858,0.000423729,0.000243543,0.000301238,0.000176642,0.000249529,0.00015924,0.000242794,0.000153193,0.000172043,0.000103925,0.000138681,8.39735e-05,0.000110147,6.78946e-05,8.74064e-05,5.82394e-05,7.42572e-05,4.37688e-05,
2200,0.244837,0.24613,0.250849,0.268129,0.230846,0.246595,0.272156,0.231171,0.254965,0.227465,0.23378,0.242969,0.257698,0.230363,0.236414,0.236047,0.226603,0.218266,0.214608,0.211395,0.229472,0.185744,0.218604,0.155836,0.185176,0.136346,0.166054,0.120661,0.124673,0.0886628,0.102338,0.0581986,0.0845474,0.0460063,0.052332,0.034761,0.0516797,0.02556,0.0313809,0.0192681,0.0247306,0.0144205,0.0181317,0.0119033,0.0177132,0.0116083,0.013035,0.0081247,0.010722,0.00753945,0.00885852,0.00650258,0.00802823,0.00441004,0.00628443,0.00427118,0.00494697,0.0033284,0.00450375,0.0026266,0.00399783,0.00198037,0.00297759,0.00165451,0.00220094,0.00138377,0.00227141,0.00110442,0.00166729,0.000962938,0.00133817,0.000698627,0.00105255,0.000712892,0.000946765,0.000599129,0.000689312,0.000407861,0.00059543,0.000364169,0.000506961,0.000318858,0.000450619,0.000243543,0.000301238,0.000176642,0.000249529,0.00015924,0.000218515,0.0001451,0.000158935,0.000103925,0.000138681,7.93176e-05,0.000110147,6.78946e-05,8.74064e-05,5.45169e-05,6.85039e-05,4.89817e-05,
2400,0.287242,0.292011,0.292348,0.312292,0.273394,0.304972,0.325061,0.281383,0.326261,0.283836,0.284168,0.292565,0.299674,0.273305,0.286505,0.273242,0.273852,0.256153,0.244293,0.243672,0.271064,0.227893,0.250903,0.17965,0.228078,0.159208,0.190179,0.132984,0.137602,0.0886628,0.102338,0.0581986,0.0845474,0.0460063,0.052332,0.034761,0.0516797,0.02556,0.0330028,0.0192681,0.0247306,0.0144205,0.0191771,0.0126522,0.0177132,0.0116083,0.013035,0.00866635,0.010722,0.00753945,0.00885852,0.00610242,0.00905001,0.00441004,0.00575734,0.00427118,0.00494697,0.00295686,0.00450375,0.0026266,0.00367492,0.00198037,0.00297759,0.00176482,0.00220094,0.00126148,0.00227141,0.00110442,0.00166729,0.000902981,0.00133817,0.000743026,0.00114589,0.000712892,0.000946765,0.000539216,0.000689312,0.000440489,0.00059543,0.000329555,0.000479309,0.000294058,0.000403281,0.000243543,0.000278023,0.000176642,0.000249529,0.00015924,0.00023158,0.00013552,0.000158935,0.000103925,0.000138681,7.42478e-05,0.000110147,6.78946e-05,8.74064e-05,5.45169e-05,6.85039e-05,4.89817e-05,
2600,0.337711,0.333457,0.329305,0.312292,0.328589,0.368562,0.384712,0.336566,0.367785,0.316275,0.352627,0.341674,0.334342,0.307328,0.346122,0.325727,0.329165,0.304279,0.276157,0.309607,0.302043,0.269025,0.290861,0.20855,0.240907,0.173904,0.190179,0.132984,0.137602,0.0948605,0.110901,0.0581986,0.0845474,0.0460063,0.052332,0.034761,0.0516797,0.02556,0.0330028,0.020352,0.0265334,0.0136763,0.0191771,0.0126522,0.016581,0.0116083,0.013035,0.00866635,0.010722,0.00753945,0.00885852,0.00610242,0.0081873,0.00465662,0.00575734,0.0039966,0.00494697,0.00295686,0.00426509,0.0026266,0.00394282,0.00185687,0.00272405,0.00176482,0.00220094,0.00132986,0.00227141,0.00110442,0.00166729,0.000902981,0.00133817,0.000743026,0.00114589,0.000645064,0.000899,0.000539216,0.000689312,0.000440489,0.00059543,0.0003469,0.000479309,0.000277166,0.000354723,0.000243543,0.000278023,0.000176642,0.000264638,0.00014769,0.000208422,0.000123323,0.000158935,0.000121152,0.000127643,7.84697e-05,0.000115759,6.78946e-05,9.35163e-05,5.45169e-05,6.29221e-05,4.89817e-05,
2800,0.380369,0.374742,0.377204,0.357401,0.369272,0.411238,0.446117,0.376534,0.406962,0.366644,0.41944,0.341674,0.382916,0.345254,0.390762,0.368456,0.360349,0.321666,0.301011,0.337472,0.338786,0.287831,0.290861,0.24312,0.264268,0.212473,0.214744,0.150374,0.149474,0.105702,0.118654,0.0634785,0.0925572,0.0460063,0.0580013,0.034761,0.055125,0.02556,0.0372657,0.0190995,0.0286268,0.0136763,0.0191771,0.0116506,0.016581,0.0116083,0.014191,0.00866635,0.010722,0.00753945,0.00885852,0.00610242,0.00757958,0.0043944,0.00527252,0.0039966,0.00494697,0.00295686,0.00426509,0.0026266,0.00358573,0.00185687,0.00272405,0.00165136,0.00220094,0.00121234,0.00198187,0.00110442,0.00148355,0.000989738,0.00144636,0.000743026,0.00106866,0.000645064,0.000899,0.000539216,0.000620381,0.00041442,0.00059543,0.0003469,0.000479309,0.000277166,0.000354723,0.000226214,0.000297576,0.000176642,0.000229153,0.00014769,0.000193592,0.000134114,0.000158935,0.000121152,0.000134087,7.84697e-05,0.000115759,6.78946e-05,0.000103803,6.10589e-05,7.06472e-05,4.53205e-05,
