mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
110,0.257545,0.695595,0.244397,0.692148,0.216513,0.952193,0.733385,0.798402,0.665815,0.986295,0.410385,0.994908,0.864775,0.521181,0.950386,0.844722,0.752489,0.833661,0.517691,0.39773,0.877093,0.512104,0.889944,0.455534,0.970834,0.811724,0.710539,0.59048,0.544151,0.736504,0.319633,0.906939,0.919615,0.490211,0.262929,0.791913,0.498775,0.3694,0.585817,0.289214,0.246958,0.408828,0.303535,0.421411,0.326892,0.380509,0.232556,0.378235,0.602914,0.220749,0.354931,0.245809,0.207909,0.303598,0.00354583,0.602353,0.246153,0.23613,0.162848,0.275912,0.704638,0.091652,0.0483881,0.398503,0.000260138,0.772583,0.00105153,0.623238,0.418577,0.126357,0.0455715,0.320673,0.403029,0.0850478,0.770511,0.0214411,0.117233,0.180984,0.393162,0.0763836,0.175519,0.138454,0.254091,0.112122,0.737893,9.19036e-05,0.00125542,0.37666,0.0450399,0.214546,0.00106331,0.360195,0.240685,0.0669522,0.0861276,0.0991536,0.0312696,0.0712457,0.0699721,0.0597975,
120,0.476359,0.993129,0.841427,0.525486,0.962252,0.850097,0.760919,0.823048,0.537249,0.395947,0.921686,0.52321,0.916128,0.497783,0.995757,0.797736,0.742315,0.617292,0.510386,0.713872,0.331748,0.898334,0.916717,0.461731,0.263423,0.751917,0.254023,0.730735,0.278917,0.696413,0.210012,0.952679,0.753676,0.783636,0.660149,0.983034,0.503702,0.380339,0.615092,0.288552,0.299538,0.418482,0.30985,0.366251,0.247155,0.386971,0.208946,0.3638,0.600044,0.192151,0.351224,0.245638,0.174427,0.286196,0.246153,0.209529,0.148476,0.272109,0.0402529,0.372009,0.000260138,0.742939,0.6667,0.0898796,0.000533899,0.601481,0.00105153,0.576029,0.408694,0.106261,0.0376072,0.292271,0.385879,0.0712265,0.175519,0.126472,0.724392,0.00931833,0.243697,0.0968209,0.390482,0.0625967,0.732004,4.10171e-05,0.0791129,0.167431,0.0439925,0.214116,0.000452486,0.375234,0.000700161,0.358741,0.240296,0.0663337,0.0859586,0.0988297,0.0317934,0.0714126,0.0700866,0.0597547,
130,0.87203,0.490579,0.944541,0.499016,0.997972,0.831202,0.77674,0.629573,0.517394,0.699404,0.32839,0.867249,0.954214,0.438144,0.240665,0.713284,0.252988,0.71369,0.294979,0.674711,0.216045,0.993148,0.745126,0.766423,0.681537,0.975655,0.854248,0.538152,0.473114,0.969039,0.988045,0.840507,0.752302,0.807428,0.528325,0.40003,0.330122,0.426552,0.535447,0.366518,0.636249,0.289759,0.250087,0.400788,0.291134,0.355014,0.208655,0.308521,0.61063,0.158879,0.329182,0.225847,0.167497,0.260948,0.107167,0.255077,0.231492,0.190457,0.000260138,0.73138,0.656421,0.0616021,0.0352879,0.346978,0.000533899,0.601481,0.00072326,0.550888,0.0265208,0.248643,0.408694,0.0614735,0.692496,0.00931833,0.732004,4.10171e-05,0.390482,0.0531074,0.163272,0.123737,0.333993,0.0630817,0.000452486,0.374414,0.0398367,0.209995,0.000689982,0.357129,0.24097,0.0877977,0.0766613,0.165026,0.239324,0.065558,0.0859586,0.0982313,0.0323587,0.0715681,0.0700997,0.0597306,
140,0.322239,0.858265,0.979215,0.462442,0.259381,0.736981,0.241758,0.711345,0.312967,0.655658,0.219778,0.983338,0.718068,0.779188,0.674727,0.982018,0.819632,0.540976,0.488458,0.969084,0.974966,0.86222,0.977322,0.834961,0.876292,0.444815,0.693768,0.808521,0.992074,0.496283,0.523655,0.68845,0.335478,0.414736,0.649531,0.304277,0.512078,0.365304,0.755927,0.628972,0.52938,0.346469,0.261226,0.38569,0.285124,0.33513,0.207062,0.298521,0.326096,0.211062,0.58359,0.123694,0.131674,0.229892,0.000260138,0.73138,0.227762,0.181529,0.0305296,0.321264,0.000533899,0.581475,0.0912958,0.215549,0.00072326,0.537097,0.652818,0.0182469,0.704147,4.10171e-05,0.657534,0.00860988,0.37749,0.0401035,0.000452486,0.340023,0.000689982,0.344562,0.156222,0.095874,0.376158,0.0531074,0.00704998,0.243359,0.0387059,0.205016,0.238025,0.0845276,0.0764714,0.161683,0.33334,0.0586919,0.239275,0.0649657,0.0857813,0.0972975,0.0324675,0.0715681,0.0702937,0.0596176,
150,0.253105,0.995521,0.733422,0.776953,0.659516,0.974005,0.822528,0.601629,0.525959,0.995153,0.985771,0.860164,0.975058,0.810078,0.862715,0.470482,0.671395,0.79463,0.353321,0.701599,0.490185,0.690685,0.356042,0.400986,0.661993,0.290461,0.516031,0.335976,0.75221,0.677502,0.330415,0.875873,0.996258,0.505199,0.988202,0.477504,0.246622,0.745478,0.221025,0.774042,0.530307,0.379071,0.26001,0.354359,0.261723,0.301445,0.204252,0.271916,0.307256,0.190996,0.552774,0.114142,0.000260138,0.697248,0.225224,0.161657,0.118562,0.216396,0.000533899,0.578894,0.000445167,0.537097,0.068067,0.196016,0.700409,4.10171e-05,0.00430924,0.298822,0.636892,0.00151924,0.628441,0.00780888,0.000452486,0.338918,0.000689982,0.343559,0.365487,0.0431563,0.235124,0.0773006,0.00729871,0.199066,0.0738632,0.159187,0.359167,0.0271102,0.33247,0.0559532,0.155495,0.0807744,0.0064402,0.240172,0.238894,0.0644702,0.0855593,0.0966422,0.0325872,0.0719463,0.0705032,0.0595461,
160,0.963027,0.844841,0.955015,0.759503,0.852123,0.474257,0.623706,0.806573,0.373883,0.716897,0.523143,0.673987,0.399781,0.383671,0.646606,0.292016,0.574889,0.354163,0.75786,0.644662,0.316061,0.855807,0.965724,0.529142,0.995585,0.470325,0.245787,0.981971,0.744791,0.756143,0.504376,0.996322,0.213961,0.754234,0.654005,0.955608,0.225212,0.765106,0.819982,0.577574,0.547594,0.331868,0.25885,0.316813,0.21834,0.288718,0.203432,0.277471,0.288211,0.180225,0.537174,0.114142,0.000260138,0.694765,0.000533899,0.552618,0.112382,0.194464,0.192848,0.142392,0.000445167,0.523806,0.669038,4.10171e-05,0.611176,0.0015027,0.0606318,0.166592,0.000689982,0.3419,0.611228,0.000597635,0.000452486,0.320512,0.00365065,0.290126,0.325814,0.0475877,0.0621879,0.147368,0.361119,0.0385837,0.235124,0.0695461,0.0064402,0.232662,0.238226,0.0614358,0.35809,0.0256495,0.00732636,0.198033,0.154809,0.0792366,0.0849654,0.0955593,0.0326832,0.0725353,0.0705374,0.0595461,
170,0.524768,0.691647,0.380516,0.393111,0.628012,0.261708,0.598161,0.368468,0.733166,0.673934,0.314534,0.846034,0.97507,0.525763,0.994058,0.470464,0.231882,0.924545,0.686033,0.761493,0.484716,0.989498,0.959521,0.809982,0.658326,0.953436,0.587629,0.797615,0.845756,0.599397,0.957773,0.723027,0.404816,0.72105,0.195642,0.77475,0.20779,0.743383,0.888625,0.456059,0.546575,0.325349,0.255002,0.29583,0.216055,0.268956,0.219191,0.28872,0.527358,0.106489,0.284344,0.161572,0.000260138,0.664504,0.000533899,0.504398,0.110675,0.183954,0.000445167,0.432302,0.185567,0.122423,0.653105,4.10171e-05,0.607366,0.0015027,0.000696521,0.306208,0.00200321,0.311116,0.56239,0.000597635,0.00325798,0.264111,0.0418948,0.15652,0.229269,0.0544655,0.319275,0.032563,0.00549774,0.225524,0.29605,0.0330386,0.357924,0.0236182,0.0565941,0.144542,0.233676,0.0579789,0.00739704,0.197082,0.153793,0.0789809,0.0849654,0.0952561,0.0328576,0.072885,0.0705374,0.0595653,
180,0.263389,0.860792,0.981232,0.501264,0.998822,0.433521,0.20503,0.913874,0.730028,0.7782,0.518967,0.996324,0.9572,0.786908,0.628479,0.95551,0.587446,0.795627,0.831338,0.622466,0.948996,0.73776,0.640041,0.382108,0.194306,0.773239,0.219936,0.729078,0.912528,0.459161,0.563075,0.68067,0.405237,0.762266,0.756771,0.726585,0.395554,0.398591,0.630105,0.269882,0.537067,0.29654,0.247601,0.239557,0.176955,0.272595,0.176613,0.269107,0.491496,0.101813,0.000260138,0.655387,0.264211,0.142695,0.000533899,0.485791,0.000445167,0.426312,0.0971419,0.150905,0.629836,4.10171e-05,0.166024,0.101346,0.600654,0.00076356,0.00278868,0.297604,0.00200321,0.306562,0.535141,0.000597635,0.00443522,0.241307,0.351187,0.00346665,0.0082595,0.199101,0.0552668,0.138815,0.319275,0.0108834,0.229882,0.0572245,0.0393594,0.136883,0.00802704,0.196045,0.227012,0.0534019,0.295353,0.0330386,0.153793,0.0785139,0.084566,0.0952561,0.0329707,0.0733207,0.0707876,0.0593791,
190,0.509105,0.99106,0.990948,0.790329,0.641837,0.968234,0.590289,0.760446,0.832338,0.587287,0.957573,0.764932,0.615817,0.353985,0.19971,0.774278,0.221709,0.703006,0.900716,0.467099,0.567598,0.664724,0.405685,0.754599,0.772269,0.690627,0.993839,0.490034,0.232485,0.88366,0.980345,0.429817,0.29432,0.863258,0.406061,0.389642,0.646772,0.290376,0.770276,0.806965,0.542792,0.274723,0.178649,0.232309,0.14713,0.24494,0.120473,0.247564,0.000260138,0.621109,0.484357,0.0766409,0.240747,0.122789,0.000313185,0.477513,0.000445167,0.426312,0.60926,4.10171e-05,0.552143,0.00076356,0.00200321,0.296753,0.535141,0.000597635,0.00278868,0.258517,0.147744,0.101346,0.0385399,0.145015,0.00443522,0.233192,0.351187,0.00349768,0.0082595,0.182439,0.00802704,0.177792,0.292248,0.0304439,0.222392,0.0444758,0.225804,0.0505478,0.316428,0.0114472,0.0550224,0.123554,0.151242,0.0771455,0.0367456,0.134858,0.0836092,0.0948332,0.0337998,0.0737043,0.0707628,0.0594136,
200,0.928499,0.770351,0.622255,0.314069,0.177828,0.761218,0.228696,0.696387,0.88178,0.466694,0.542077,0.643523,0.420017,0.758494,0.764504,0.71125,0.973022,0.469688,0.239173,0.866395,0.983819,0.426204,0.334634,0.882122,0.428119,0.388542,0.511454,0.990385,0.771679,0.794832,0.995934,0.785246,0.634973,0.960454,0.840449,0.562792,0.580771,0.762114,0.509554,0.245315,0.618686,0.28878,0.15596,0.243122,0.125984,0.227378,0.0957105,0.230724,0.000260138,0.575282,0.231297,0.11656,0.000313185,0.449859,0.000445167,0.404348,0.471377,0.039381,0.60926,4.10171e-05,0.547184,3.58695e-06,0.489144,0.000597635,0.00200321,0.254769,0.00278868,0.216216,0.00443522,0.220613,0.316326,0.00349768,0.145764,0.0545408,0.0082595,0.168425,0.00802704,0.176512,0.271859,0.0201153,0.306771,0.0114472,0.0242328,0.13777,0.150016,0.0762887,0.224671,0.0456625,0.221079,0.0433252,0.0550224,0.122063,0.0356361,0.134796,0.083501,0.0944302,0.0339163,0.0739453,0.0707568,0.0593654,
