mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.990291,0.979381,1,0.989474,0.971698,0.968085,0.978495,0.981308,0.990291,0.927835,0.989691,0.980583,0.990099,0.979798,0.989011,1,0.990991,0.988764,0.98913,0.972222,0.990476,0.978947,0.978261,1,0.990291,0.989691,0.99115,0.988506,0.989899,0.980198,0.980583,0.979381,0.972477,0.945055,0.979167,0.961538,0.961165,0.927835,0.934579,0.870968,0.910891,0.858586,0.815217,0.796296,0.891304,0.712963,0.715789,0.704762,0.696078,0.602041,0.708333,0.548077,0.479592,0.647059,0.428571,0.529412,0.407407,0.51087,0.337209,0.552632,0.376238,0.565657,0.476636,0.44086,0.39,0.44,0.407767,0.494845,0.428571,0.421053,0.368421,0.333333,0.397959,0.470588,0.423077,0.5,0.410256,0.542169,0.46,0.57,0.52809,0.459459,0.54,0.46,0.494737,0.352381,0.467391,0.527778,0.46,0.41,0.481818,0.477778,0.477778,0.536364,0.513761,0.494505,0.443478,0.435294,0.494624,0.35514,
400,0.968085,0.981132,0.960396,0.969697,0.978261,1,0.989011,1,0.9375,0.980769,0.961538,0.96875,0.980392,0.979592,0.979592,0.990196,1,0.959184,1,0.990654,0.973913,0.976471,0.964912,0.965116,0.988095,0.956897,0.972222,0.967391,0.9375,0.980769,0.96,0.97,0.971154,0.979167,0.961905,0.926316,0.86,0.82,0.858491,0.787234,0.422018,0.791209,0.423077,0.59375,0.431579,0.647619,0.410526,0.52381,0.466667,0.442105,0.536082,0.446602,0.531915,0.481132,0.666667,0.378947,0.619565,0.25,0.505155,0.320388,0.461538,0.284404,0.40566,0.37234,0.329897,0.368932,0.392157,0.306122,0.261261,0.314607,0.307692,0.229358,0.237113,0.368932,0.247525,0.232323,0.340206,0.242718,0.390476,0.326316,0.357143,0.333333,0.356436,0.434343,0.436893,0.371134,0.412371,0.436893,0.428571,0.456897,0.533333,0.452632,0.456311,0.484536,0.59,0.37,0.49505,0.464646,0.546512,0.473684,
600,0.978495,1,0.979167,0.990385,0.980769,0.989583,0.990741,1,1,0.990909,0.979798,1,1,1,0.990099,0.969697,0.977528,0.963964,0.989899,1,0.953488,0.973684,0.951456,0.989691,0.958333,0.980769,0.988372,1,1,0.971698,0.969388,0.911765,0.911765,0.938776,0.64,0.77,0.75,0.721154,0.773196,0.533981,0.825688,0.472527,0.731183,0.579439,0.796117,0.628866,0.744898,0.480392,0.67033,0.513761,0.548077,0.447917,0.505155,0.349515,0.55102,0.45098,0.457447,0.358491,0.415929,0.333333,0.455556,0.209091,0.287129,0.151515,0.392523,0.16129,0.241071,0.181818,0.298969,0.174757,0.191489,0.169811,0.145833,0.0673077,0.150538,0.102804,0.135922,0.0618557,0.142857,0.127451,0.196262,0.16129,0.233645,0.129032,0.193548,0.130841,0.247706,0.0989011,0.311828,0.224299,0.425926,0.315217,0.45283,0.255319,0.355556,0.463636,0.51087,0.351852,0.61165,0.42268,
800,0.979592,0.970588,0.989247,0.981308,1,0.967742,0.982456,0.965116,0.990196,0.989796,0.978495,0.971963,1,0.970874,0.978947,0.952381,0.988889,0.981818,0.989583,0.980769,0.989011,0.981651,0.989899,0.970297,0.956044,0.954128,0.970297,0.949495,1,0.93578,0.93617,0.773585,0.893204,0.680412,0.886598,0.553398,0.838384,0.633663,0.805825,0.618557,0.774775,0.640449,0.762887,0.669903,0.745283,0.595745,0.656566,0.485149,0.625,0.548077,0.413043,0.527778,0.566038,0.531915,0.495327,0.483871,0.5,0.446809,0.608696,0.435294,0.413462,0.395833,0.39604,0.454545,0.447917,0.288462,0.323529,0.214286,0.411765,0.265306,0.342857,0.252632,0.342593,0.184783,0.31068,0.175258,0.301887,0.234043,0.23301,0.113402,0.168317,0.222222,0.280374,0.258065,0.280374,0.247312,0.324074,0.282609,0.380952,0.294737,0.326087,0.296296,0.407407,0.402174,0.467391,0.416667,0.612245,0.470588,0.617647,0.5,
1000,0.969388,0.990196,0.974138,0.988095,0.980392,0.94898,0.972222,0.934783,0.989899,0.910891,0.990476,0.957895,0.990476,0.978947,0.990385,0.9375,1,0.960396,0.97,0.97,0.975904,0.940171,0.936842,0.952381,0.928571,0.852941,0.92381,0.842105,0.831776,0.752688,0.77551,0.72549,0.804124,0.737864,0.78,0.7,0.691589,0.677419,0.650485,0.721649,0.715517,0.702381,0.691589,0.623656,0.698925,0.598131,0.632653,0.666667,0.630435,0.703704,0.616162,0.50495,0.626263,0.633663,0.544643,0.534091,0.373737,0.475248,0.53211,0.505495,0.524752,0.414141,0.506024,0.358974,0.404255,0.424528,0.5,0.343137,0.304348,0.361111,0.296703,0.284404,0.401961,0.285714,0.311828,0.205607,0.343137,0.27551,0.364486,0.215054,0.448276,0.22619,0.355769,0.291667,0.407407,0.358696,0.441441,0.382022,0.354545,0.388889,0.444444,0.369565,0.533333,0.442105,0.531532,0.41573,0.536082,0.485437,0.586957,0.481481,
1200,0.969072,0.951456,0.97,0.94,0.910891,0.959596,0.95098,0.94898,0.931373,0.94898,0.953704,0.978261,0.897959,0.980392,0.938144,0.961165,0.939394,0.970297,0.94,0.94,0.90625,0.971154,0.915888,0.935484,0.857143,0.899083,0.918367,0.892157,0.836735,0.803922,0.763441,0.794393,0.673469,0.784314,0.714286,0.625,0.829545,0.714286,0.71875,0.692308,0.757282,0.649485,0.704082,0.607843,0.643564,0.525253,0.586957,0.574074,0.633333,0.536364,0.648352,0.550459,0.578313,0.495726,0.509615,0.510417,0.608696,0.592593,0.571429,0.386364,0.550562,0.522523,0.513514,0.41573,0.43617,0.5,0.520833,0.490385,0.489362,0.45283,0.475248,0.535354,0.488372,0.438596,0.422222,0.518182,0.318681,0.33945,0.365591,0.411215,0.37963,0.391304,0.412844,0.461538,0.617978,0.423423,0.5625,0.519231,0.59375,0.519231,0.520408,0.421569,0.516854,0.432432,0.544444,0.454545,0.556522,0.611765,0.578431,0.683673,
1400,0.939394,0.940594,0.936842,0.942857,0.927083,0.971154,0.941176,0.918367,0.981818,0.944444,0.926606,0.934066,0.967391,0.944444,0.939394,0.920792,0.938776,0.941176,0.970588,0.857143,0.982759,0.880952,0.989474,0.866667,0.902655,0.804598,0.84375,0.740385,0.8,0.733333,0.795918,0.715686,0.790698,0.692982,0.791667,0.730769,0.78,0.68,0.6375,0.625,0.69697,0.643564,0.677083,0.576923,0.677778,0.645455,0.645833,0.528846,0.646465,0.574257,0.657143,0.578947,0.61,0.5,0.524272,0.587629,0.581633,0.558824,0.54386,0.488372,0.574257,0.545455,0.53125,0.576923,0.54902,0.44898,0.472222,0.521739,0.574074,0.467391,0.586957,0.472222,0.452632,0.514286,0.45283,0.319149,0.495495,0.516854,0.466019,0.43299,0.53,0.51,0.486726,0.425287,0.478723,0.5,0.550459,0.494505,0.680412,0.582524,0.580357,0.545455,0.606061,0.514851,0.6,0.58,0.563107,0.556701,0.55,0.61,
1600,0.881188,0.909091,0.942308,0.895833,0.884211,0.895238,0.96875,0.932692,0.894231,0.927083,0.90566,0.914894,0.957447,0.877358,0.862745,0.928571,0.817308,0.9375,0.834951,0.917526,0.913043,0.787037,0.908163,0.823529,0.877358,0.819149,0.817204,0.785047,0.784314,0.826531,0.7,0.63,0.769231,0.635417,0.698925,0.728972,0.702703,0.685393,0.72381,0.610526,0.72549,0.581633,0.653465,0.565657,0.642202,0.615385,0.724771,0.582418,0.598039,0.612245,0.509804,0.571429,0.694737,0.485714,0.627451,0.520408,0.494253,0.59292,0.55914,0.53271,0.553398,0.639175,0.570093,0.580645,0.597938,0.621359,0.65625,0.528846,0.518519,0.456522,0.65625,0.548077,0.44086,0.476636,0.568627,0.510204,0.551724,0.40708,0.618557,0.475728,0.509434,0.521277,0.563218,0.548673,0.5,0.586538,0.474747,0.544554,0.581818,0.533333,0.558824,0.530612,0.571429,0.598039,0.485714,0.568421,0.63,0.55,0.62,0.57,
1800,0.93,0.9,0.882353,0.918367,0.912621,0.938144,0.895238,0.947368,0.933333,0.918182,0.920792,0.888889,0.885965,0.860465,0.913043,0.898148,0.91,0.8,0.891304,0.861111,0.882353,0.877551,0.880952,0.827586,0.936842,0.819048,0.888889,0.836364,0.875,0.669643,0.864078,0.721649,0.742857,0.694737,0.681319,0.688073,0.675676,0.595506,0.631068,0.628866,0.642857,0.607843,0.699115,0.643678,0.704082,0.617647,0.635514,0.634409,0.654545,0.611111,0.663265,0.656863,0.529412,0.540816,0.597938,0.524272,0.747475,0.60396,0.54023,0.530973,0.580645,0.523364,0.5625,0.528846,0.49,0.48,0.530612,0.529412,0.59,0.49,0.523364,0.419355,0.618557,0.466019,0.556701,0.582524,0.433628,0.482759,0.480769,0.541667,0.560748,0.516129,0.582609,0.423529,0.595506,0.531532,0.509615,0.479167,0.612245,0.607843,0.494737,0.580952,0.537037,0.576087,0.604651,0.5,0.57732,0.572816,0.485714,0.547368,
2000,0.895833,0.923077,0.848214,0.965909,0.85567,0.893204,0.913978,0.878505,0.860465,0.885965,0.810526,0.904762,0.911765,0.857143,0.87,0.87,0.835165,0.853211,0.827957,0.88785,0.9,0.818182,0.816514,0.846154,0.774194,0.728972,0.846154,0.759036,0.772277,0.757576,0.695238,0.694737,0.717172,0.663366,0.673267,0.676768,0.726316,0.580952,0.642857,0.715909,0.639175,0.601942,0.516854,0.63964,0.520833,0.586538,0.659341,0.522936,0.605769,0.572917,0.683168,0.626263,0.608247,0.572816,0.561905,0.684211,0.625,0.598214,0.589286,0.625,0.528846,0.510417,0.55,0.54,0.568807,0.593407,0.677083,0.528846,0.53211,0.626374,0.552381,0.631579,0.554545,0.455556,0.509615,0.583333,0.494845,0.514563,0.555556,0.546218,0.563636,0.588889,0.609524,0.578947,0.522222,0.590909,0.588235,0.622449,0.584071,0.551724,0.591837,0.558824,0.58,0.5,0.659574,0.556604,0.514286,0.536842,0.557895,0.590476,
