mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,1,1,1,1,0.99,0.97,0.96,0.97,0.93,0.97,0.87,0.78,0.59,0.64,0.55,0.37,0.46,0.37,0.17,0.29,0.22,0.29,0.36,0.29,0.32,0.27,0.33,0.28,0.26,0.31,0.2,0.23,0.36,0.42,0.42,0.4,0.36,0.33,0.27,0.25,0.1,0.05,0.05,0.04,
400,1,1,1,1,1,0.995,0.995,1,1,0.99,0.965,0.96,0.965,0.925,0.945,0.8,0.64,0.495,0.605,0.37,0.215,0.445,0.375,0.235,0.205,0.19,0.215,0.27,0.195,0.295,0.29,0.38,0.31,0.34,0.325,0.295,0.355,0.375,0.44,0.45,0.435,0.43,0.385,0.34,0.31,0.215,0.145,0.08,0.06,
600,1,1,1,1,1,0.996667,0.993333,1,0.996667,0.993333,0.963333,0.963333,0.966667,0.903333,0.91,0.753333,0.486667,0.55,0.563333,0.383333,0.346667,0.38,0.296667,0.396667,0.396667,0.343333,0.406667,0.45,0.376667,0.453333,0.453333,0.526667,0.47,0.446667,0.433333,0.466667,0.48,0.486667,0.513333,0.516667,0.513333,0.536667,0.51,0.47,0.47,0.413333,0.32,0.266667,0.28,
800,1,1,1,0.995,0.9975,0.9975,0.995,0.9975,0.99,0.985,0.9675,0.96,0.955,0.8725,0.75,0.705,0.535,0.5525,0.6025,0.3575,0.3575,0.46,0.42,0.475,0.485,0.4575,0.49,0.5075,0.47,0.5225,0.5225,0.5725,0.5625,0.545,0.52,0.5275,0.54,0.55,0.545,0.575,0.5825,0.5825,0.5825,0.5325,0.5175,0.5175,0.4325,0.395,0.3925,
1000,1,1,0.998,0.996,0.998,0.998,0.992,0.994,0.992,0.982,0.956,0.924,0.92,0.832,0.702,0.712,0.53,0.578,0.628,0.43,0.436,0.502,0.476,0.512,0.53,0.514,0.55,0.556,0.526,0.58,0.564,0.602,0.598,0.586,0.57,0.57,0.584,0.59,0.582,0.616,0.61,0.632,0.616,0.574,0.548,0.58,0.494,0.456,0.446,
1200,1,1,0.996667,0.996667,0.996667,0.996667,0.991667,0.993333,0.988333,0.981667,0.955,0.918333,0.91,0.818333,0.68,0.693333,0.558333,0.611667,0.646667,0.476667,0.481667,0.541667,0.531667,0.543333,0.558333,0.536667,0.596667,0.606667,0.57,0.613333,0.585,0.625,0.62,0.606667,0.593333,0.606667,0.601667,0.61,0.595,0.643333,0.64,0.653333,0.646667,0.606667,0.588333,0.618333,0.533333,0.5,0.471667,
1400,0.997143,1,0.995714,0.995714,0.995714,0.997143,0.992857,0.987143,0.984286,0.972857,0.945714,0.914286,0.891429,0.81,0.681429,0.697143,0.585714,0.627143,0.645714,0.514286,0.521429,0.554286,0.565714,0.56,0.578571,0.572857,0.618571,0.632857,0.601429,0.622857,0.605714,0.634286,0.625714,0.637143,0.608571,0.628571,0.632857,0.642857,0.617143,0.655714,0.641429,0.658571,0.657143,0.625714,0.611429,0.641429,0.565714,0.534286,0.502857,
1600,0.9975,1,0.99375,0.995,0.99625,0.99375,0.99375,0.98375,0.98125,0.97375,0.945,0.90875,0.88625,0.8,0.69625,0.69625,0.58625,0.6225,0.66375,0.55375,0.55375,0.57125,0.57625,0.58,0.59875,0.59125,0.64375,0.64875,0.60875,0.635,0.62375,0.6475,0.63625,0.6425,0.6325,0.64875,0.65375,0.6525,0.645,0.66875,0.655,0.66125,0.6675,0.645,0.62625,0.6525,0.5925,0.555,0.53,
1800,0.996667,1,0.994444,0.995556,0.994444,0.993333,0.992222,0.981111,0.982222,0.965556,0.944444,0.914444,0.881111,0.79,0.695556,0.701111,0.593333,0.624444,0.663333,0.568889,0.56,0.564444,0.553333,0.582222,0.598889,0.605556,0.655556,0.653333,0.622222,0.651111,0.628889,0.653333,0.657778,0.652222,0.645556,0.651111,0.667778,0.661111,0.654444,0.68,0.654444,0.676667,0.675556,0.663333,0.637778,0.668889,0.605556,0.574444,0.547778,
2000,0.997,1,0.995,0.995,0.995,0.994,0.991,0.982,0.981,0.965,0.941,0.908,0.883,0.784,0.685,0.696,0.599,0.624,0.673,0.582,0.578,0.579,0.565,0.6,0.616,0.611,0.663,0.659,0.642,0.669,0.641,0.66,0.66,0.661,0.663,0.663,0.674,0.67,0.654,0.678,0.665,0.685,0.68,0.676,0.646,0.673,0.628,0.587,0.575,
2200,0.997273,1,0.995455,0.995455,0.994545,0.993636,0.990909,0.980909,0.979091,0.963636,0.934545,0.902727,0.880909,0.782727,0.694545,0.689091,0.598182,0.612727,0.673636,0.6,0.592727,0.595455,0.578182,0.617273,0.624545,0.624545,0.677273,0.666364,0.654545,0.681818,0.651818,0.666364,0.671818,0.666364,0.665455,0.674545,0.68,0.677273,0.648182,0.69,0.674545,0.690909,0.684545,0.678182,0.645455,0.670909,0.645455,0.607273,0.594545,
2400,0.9975,1,0.995833,0.995833,0.994167,0.994167,0.990833,0.980833,0.976667,0.963333,0.935,0.895833,0.865833,0.780833,0.695833,0.689167,0.593333,0.614167,0.685833,0.611667,0.600833,0.609167,0.586667,0.625833,0.626667,0.634167,0.678333,0.67,0.659167,0.688333,0.661667,0.6775,0.68,0.676667,0.678333,0.684167,0.69,0.6825,0.650833,0.695,0.673333,0.699167,0.695,0.6875,0.649167,0.676667,0.653333,0.624167,0.604167,
2600,0.996923,1,0.996154,0.995385,0.993846,0.994615,0.990769,0.979231,0.977692,0.963077,0.932308,0.892308,0.854615,0.776154,0.693846,0.691538,0.603077,0.628462,0.684615,0.611538,0.614615,0.622308,0.598462,0.631538,0.640769,0.649231,0.683077,0.670769,0.662308,0.686923,0.669231,0.684615,0.686154,0.679231,0.687692,0.688462,0.695385,0.679231,0.649231,0.698462,0.674615,0.706923,0.695385,0.702308,0.655385,0.672308,0.661538,0.63,0.618462,
2800,0.997143,1,0.995714,0.995714,0.994286,0.995,0.991429,0.979286,0.975714,0.962143,0.930714,0.892143,0.852857,0.774286,0.685714,0.688571,0.606429,0.628571,0.682857,0.612143,0.624286,0.635714,0.603571,0.642857,0.647143,0.660714,0.687143,0.675714,0.667857,0.691429,0.674286,0.689286,0.694286,0.682857,0.694286,0.695,0.698571,0.687143,0.657857,0.704286,0.674286,0.705,0.692857,0.708571,0.664286,0.675,0.667857,0.637143,0.622857,
3000,0.997333,1,0.995333,0.996,0.994,0.995333,0.990667,0.978,0.976667,0.962667,0.926667,0.892,0.852,0.769333,0.687333,0.688,0.608667,0.632,0.684667,0.617333,0.628667,0.641333,0.611333,0.652667,0.651333,0.669333,0.693333,0.681333,0.676,0.691333,0.675333,0.686,0.697333,0.692,0.693333,0.698667,0.706667,0.687333,0.666667,0.703333,0.684,0.709333,0.696667,0.714667,0.668,0.682,0.674,0.641333,0.633333,
3200,0.99625,1,0.994375,0.995625,0.994375,0.995625,0.990625,0.978125,0.975625,0.9625,0.924375,0.88625,0.84875,0.768125,0.686875,0.686875,0.61625,0.63625,0.688125,0.626875,0.6375,0.65125,0.625625,0.65875,0.659375,0.67375,0.69625,0.68625,0.681875,0.69625,0.679375,0.685625,0.69625,0.69375,0.694375,0.6975,0.714375,0.694375,0.673125,0.705,0.686875,0.711875,0.695,0.7175,0.6775,0.69,0.675,0.645625,0.63875,
3400,0.996471,0.999412,0.994118,0.995294,0.994706,0.994706,0.99,0.978235,0.972941,0.960588,0.924706,0.884118,0.849412,0.769412,0.682941,0.682941,0.620588,0.632941,0.685882,0.635294,0.639412,0.657059,0.631765,0.664706,0.661176,0.675882,0.697647,0.690588,0.683529,0.699412,0.681176,0.687059,0.697059,0.7,0.692941,0.702941,0.715882,0.703529,0.675882,0.710588,0.686471,0.715294,0.698824,0.717059,0.679412,0.694118,0.681176,0.65,0.644118,
3600,0.996667,0.998889,0.993889,0.994444,0.994444,0.995,0.989444,0.977222,0.972222,0.961111,0.926111,0.881111,0.844444,0.77,0.680556,0.678889,0.620556,0.633333,0.688889,0.64,0.636111,0.663333,0.641667,0.671111,0.67,0.681111,0.701667,0.698333,0.686111,0.702778,0.682222,0.691667,0.695556,0.701111,0.696111,0.706667,0.712778,0.700556,0.676111,0.717222,0.688889,0.718889,0.706667,0.720556,0.682222,0.697778,0.685556,0.651667,0.642222,
3800,0.996842,0.997895,0.994211,0.994737,0.994737,0.994211,0.988947,0.977895,0.97,0.956842,0.924737,0.875789,0.843684,0.77,0.679474,0.684737,0.626842,0.638421,0.688947,0.642105,0.644737,0.665263,0.643158,0.668421,0.673158,0.681053,0.704737,0.696842,0.691579,0.706842,0.687895,0.692105,0.7,0.705789,0.697895,0.711053,0.716842,0.702632,0.683684,0.717368,0.687368,0.717368,0.707368,0.721579,0.687895,0.695789,0.691053,0.655789,0.644211,
4000,0.997,0.998,0.9945,0.995,0.994,0.9945,0.989,0.977,0.971,0.955,0.9265,0.8775,0.844,0.769,0.677,0.6855,0.629,0.642,0.6895,0.6505,0.648,0.6725,0.6465,0.672,0.673,0.6855,0.7055,0.698,0.692,0.7105,0.6925,0.6935,0.697,0.6995,0.694,0.715,0.716,0.7035,0.6885,0.7175,0.6835,0.7165,0.7115,0.7235,0.695,0.7025,0.6955,0.6585,0.645,
