oscillator_number,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
100,1240,0.99656,0.9984,0.99712,0.99536,0.99408,0.99,0.98428,0.97848,0.96644,0.94936,0.92668,0.89044,0.83984,0.78528,0.725,0.68392,0.68376,0.69148,0.70632,0.71408,0.72784,0.72516,0.73072,0.73724,0.73528,0.73408,0.73736,0.7346,0.73924,0.74044,0.74456,0.73744,0.73908,0.74052,0.74432,0.74152,0.73868,0.73652,0.74168,0.7428,0.74484,0.74136,0.73024,0.73944,0.73988,0.7274,0.73832,0.72596,0.7158,
100,1241,0.99548,0.99772,0.99668,0.9958,0.9924,0.98776,0.98188,0.9744,0.9584,0.9358,0.90592,0.86064,0.80276,0.72432,0.67116,0.66132,0.69144,0.70908,0.7186,0.72492,0.7328,0.73356,0.73664,0.72712,0.73592,0.73808,0.74372,0.74544,0.74696,0.73692,0.74028,0.73976,0.7382,0.73372,0.72944,0.73856,0.74072,0.74236,0.74032,0.74504,0.73752,0.74028,0.7374,0.73744,0.73644,0.7336,0.735,0.72532,0.71012,
100,1242,0.99452,0.99776,0.99644,0.99448,0.99304,0.98808,0.98256,0.97208,0.9594,0.9386,0.90292,0.85772,0.80036,0.72352,0.66936,0.66512,0.67652,0.70516,0.71956,0.72788,0.7284,0.73048,0.73068,0.73168,0.74376,0.73868,0.73692,0.73648,0.73956,0.7406,0.73556,0.74696,0.73652,0.73792,0.7386,0.73108,0.73448,0.73564,0.74448,0.7404,0.74032,0.7338,0.73712,0.73956,0.74212,0.7388,0.73624,0.72612,0.71248,
100,1243,0.99456,0.9974,0.997,0.9942,0.99212,0.98796,0.9798,0.97304,0.954,0.93264,0.89424,0.84448,0.77132,0.70052,0.6532,0.65616,0.69524,0.71852,0.72756,0.73396,0.73324,0.7332,0.73672,0.73328,0.73452,0.73436,0.73432,0.73628,0.74644,0.74016,0.74308,0.73504,0.7392,0.74024,0.742,0.74248,0.73508,0.74044,0.73912,0.74528,0.73488,0.73556,0.73664,0.73416,0.73488,0.73448,0.7304,0.72728,0.72036,
100,1244,0.99536,0.99812,0.99688,0.99448,0.99244,0.9884,0.98308,0.9736,0.95792,0.93468,0.90612,0.8642,0.80288,0.72948,0.677,0.67032,0.69376,0.70668,0.71292,0.71596,0.7236,0.73476,0.73392,0.74044,0.73616,0.73804,0.73656,0.742,0.73904,0.74108,0.74296,0.73932,0.7448,0.73916,0.73784,0.73716,0.7374,0.74076,0.74072,0.74048,0.73628,0.74056,0.74024,0.7306,0.73704,0.73608,0.73408,0.73136,0.71344,
100,1245,0.99516,0.99748,0.99648,0.99436,0.99152,0.98736,0.9818,0.97312,0.95552,0.93368,0.90144,0.85136,0.77792,0.7082,0.64788,0.67408,0.69464,0.73068,0.74008,0.7556,0.7464,0.74108,0.74392,0.74036,0.73616,0.73824,0.7382,0.739,0.73828,0.73664,0.74356,0.73804,0.74208,0.73776,0.741,0.7444,0.73352,0.73624,0.7424,0.73348,0.74004,0.7416,0.7418,0.74184,0.73568,0.73076,0.72728,0.72196,0.71412,
100,1246,0.99416,0.99768,0.9952,0.99356,0.98996,0.98412,0.97828,0.96528,0.94984,0.92448,0.87916,0.81944,0.74328,0.67744,0.6454,0.67288,0.69508,0.71316,0.7264,0.72508,0.73476,0.737,0.73224,0.73336,0.73504,0.73156,0.73712,0.73796,0.74096,0.74064,0.73352,0.73716,0.73948,0.73916,0.73996,0.73984,0.73296,0.73568,0.73956,0.74304,0.74304,0.74476,0.74124,0.73632,0.73792,0.74044,0.73156,0.72848,0.71428,
100,1247,0.99628,0.99844,0.99676,0.995,0.99392,0.99032,0.98556,0.97672,0.96512,0.94632,0.92012,0.88384,0.82384,0.75484,0.69488,0.66836,0.68268,0.70436,0.72176,0.72952,0.72204,0.72524,0.73432,0.73744,0.7348,0.7396,0.7374,0.7422,0.74076,0.73996,0.74284,0.7446,0.74168,0.7414,0.74404,0.73492,0.73992,0.74156,0.73216,0.74264,0.7404,0.7412,0.73108,0.74472,0.74064,0.73348,0.73284,0.73076,0.71388,
100,1248,0.99548,0.99788,0.99608,0.99496,0.99276,0.98916,0.98224,0.97208,0.95624,0.9336,0.90188,0.85072,0.77828,0.6952,0.64708,0.67036,0.69504,0.72344,0.73836,0.75012,0.74872,0.74532,0.74392,0.73644,0.7372,0.7406,0.73816,0.73904,0.73952,0.74204,0.7402,0.74036,0.74152,0.7448,0.73876,0.73768,0.7418,0.73848,0.74716,0.74036,0.74196,0.7438,0.74176,0.74276,0.73752,0.7308,0.736,0.7158,0.71084,
100,1249,0.99512,0.9976,0.99704,0.99392,0.99176,0.98804,0.98,0.97192,0.95572,0.93364,0.90016,0.85044,0.78168,0.709,0.65888,0.6612,0.68056,0.69372,0.71624,0.729,0.72152,0.73544,0.73344,0.73396,0.7426,0.74408,0.73632,0.74268,0.7374,0.73372,0.74028,0.73852,0.74764,0.7418,0.7382,0.74016,0.74036,0.73728,0.73972,0.73508,0.73708,0.74632,0.74096,0.73912,0.73308,0.73332,0.7264,0.72764,0.71152,
