oscillator_number,seed,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
10000,3138,0.634368,0.604465,0.600772,0.595455,0.620069,0.596406,0.602809,0.610989,0.60649,0.653474,0.571044,0.582194,0.580707,0.614901,0.564708,0.587267,0.612706,0.650466,0.607934,0.607545,0.612128,0.580626,0.580957,0.597317,0.565972,0.619622,0.574022,0.639054,0.594487,0.63297,0.563261,0.602037,0.590316,0.635197,0.620534,0.625145,0.573642,0.613782,0.606919,0.589658,0.575983,0.597736,0.606919,0.584331,0.5631,0.611403,0.58085,0.571486,0.601392,0.580761,0.592486,0.622378,0.60128,0.611822,0.606361,0.584357,0.603213,0.575896,0.582881,0.601546,0.594067,0.609562,0.600369,0.589223,0.615756,0.615443,0.593195,0.592646,0.612988,0.599231,0.589813,0.602693,0.623886,0.606261,0.619779,0.584138,0.602339,0.578334,0.571642,0.627242,0.635023,0.587285,0.61019,0.592914,0.615329,0.583793,0.606205,0.612962,0.649938,0.575423,0.627428,0.594495,0.620448,0.627393,0.604595,0.60946,0.572129,0.600088,0.577629,0.617921,
10000,3139,0.607622,0.582881,0.606233,0.598698,0.585444,0.603751,0.611826,0.593325,0.591248,0.635476,0.588139,0.578092,0.574291,0.582335,0.596146,0.603922,0.606148,0.598258,0.570742,0.600591,0.594526,0.62716,0.591292,0.603204,0.617544,0.630159,0.601809,0.612659,0.595441,0.613497,0.622919,0.617137,0.592609,0.615406,0.588125,0.613009,0.601518,0.573313,0.546322,0.626777,0.602955,0.610379,0.59048,0.6023,0.596794,0.56207,0.591578,0.603716,0.630758,0.566945,0.602202,0.636539,0.620783,0.568895,0.613462,0.609632,0.622542,0.611449,0.592114,0.606909,0.588068,0.60959,0.600119,0.627877,0.547632,0.6279,0.596217,0.571033,0.624128,0.622545,0.605805,0.581142,0.588581,0.595947,0.615571,0.625839,0.587075,0.593174,0.598595,0.5882,0.620031,0.600985,0.589296,0.635208,0.603742,0.581653,0.644442,0.600447,0.597773,0.606928,0.579795,0.580282,0.617603,0.583233,0.627775,0.604905,0.599375,0.570584,0.587655,0.600064,
10000,3140,0.59274,0.572476,0.580971,0.600008,0.647804,0.590024,0.598346,0.56172,0.614777,0.60261,0.614449,0.602352,0.606845,0.606396,0.643684,0.591209,0.577998,0.602507,0.587253,0.581929,0.578964,0.641418,0.610943,0.611098,0.607291,0.5915,0.60036,0.604517,0.569394,0.579726,0.597866,0.641477,0.588463,0.586248,0.581994,0.583812,0.618674,0.633454,0.580455,0.624723,0.572673,0.584881,0.605281,0.596772,0.572962,0.549856,0.579027,0.570777,0.594725,0.570326,0.597427,0.598881,0.59372,0.589825,0.595274,0.572196,0.5982,0.575423,0.594278,0.585337,0.61614,0.587284,0.616918,0.600327,0.59545,0.600623,0.597505,0.605073,0.580724,0.623005,0.626051,0.648805,0.582076,0.586243,0.605245,0.591042,0.628589,0.581086,0.572535,0.602336,0.623206,0.55931,0.606076,0.624695,0.580589,0.60161,0.557412,0.564271,0.57127,0.58869,0.635401,0.610806,0.561705,0.56018,0.583263,0.641327,0.578733,0.616381,0.597921,0.613546,
10000,3141,0.656053,0.590789,0.595462,0.618248,0.628265,0.655947,0.582355,0.587495,0.606428,0.638195,0.563416,0.573714,0.65529,0.585576,0.593944,0.564695,0.620604,0.612717,0.601771,0.581823,0.622877,0.584571,0.575198,0.587274,0.620003,0.556956,0.606857,0.59329,0.59403,0.596853,0.575453,0.578117,0.618221,0.624606,0.603566,0.596975,0.59701,0.605669,0.637084,0.577561,0.596068,0.603219,0.597628,0.5993,0.558293,0.599305,0.607212,0.564712,0.605628,0.607931,0.580308,0.614629,0.607041,0.599674,0.608603,0.620566,0.57607,0.59738,0.579188,0.560414,0.600254,0.599097,0.590417,0.585475,0.592388,0.604542,0.59298,0.597262,0.598069,0.569097,0.606665,0.586634,0.607951,0.59516,0.57258,0.574056,0.601032,0.588087,0.585917,0.596001,0.596092,0.595668,0.635648,0.601939,0.590488,0.594439,0.652052,0.581215,0.589945,0.624916,0.591559,0.571726,0.589358,0.615241,0.604623,0.582054,0.611477,0.611443,0.628022,0.594931,
10000,3142,0.599327,0.602348,0.588897,0.589346,0.57108,0.603991,0.586653,0.603233,0.612748,0.587084,0.547863,0.616698,0.612635,0.605842,0.608513,0.591585,0.628052,0.579582,0.634805,0.625329,0.609071,0.600279,0.589752,0.62772,0.633078,0.588369,0.595858,0.613423,0.600442,0.630932,0.622038,0.575274,0.627801,0.550012,0.611979,0.589755,0.615305,0.565177,0.613082,0.607232,0.584927,0.580697,0.570968,0.616083,0.592587,0.617009,0.573628,0.579533,0.602117,0.57559,0.577626,0.583627,0.584786,0.581268,0.592067,0.573296,0.595034,0.60811,0.559984,0.590205,0.583433,0.610621,0.61536,0.587587,0.556338,0.59204,0.601933,0.589516,0.610739,0.646556,0.600898,0.562193,0.601966,0.588632,0.610253,0.597633,0.609948,0.619372,0.567832,0.580239,0.56998,0.593026,0.60547,0.612262,0.613387,0.578994,0.630759,0.632753,0.616341,0.622583,0.597684,0.595327,0.590047,0.610747,0.619557,0.591823,0.626626,0.566094,0.609447,0.592242,
10000,3143,0.603615,0.619943,0.616255,0.626259,0.610113,0.588633,0.578101,0.58241,0.635829,0.551164,0.593158,0.613939,0.577422,0.605119,0.606756,0.644468,0.57912,0.583363,0.546096,0.624701,0.633735,0.617473,0.562317,0.599681,0.605199,0.611574,0.614839,0.59618,0.616313,0.597757,0.626638,0.623727,0.590524,0.631404,0.604325,0.591418,0.578766,0.632227,0.607402,0.599289,0.612889,0.614671,0.559965,0.585535,0.598655,0.627587,0.589213,0.600954,0.594122,0.610572,0.608409,0.599654,0.583719,0.60426,0.618427,0.621312,0.573834,0.615645,0.60289,0.625441,0.575483,0.620469,0.599478,0.606692,0.565911,0.628893,0.576882,0.56093,0.605449,0.607066,0.619412,0.598443,0.575668,0.581725,0.606773,0.594001,0.581609,0.593954,0.601261,0.609775,0.601729,0.632431,0.565598,0.607508,0.595403,0.580054,0.59866,0.587102,0.638266,0.574245,0.615184,0.606225,0.627688,0.617907,0.591791,0.587905,0.591538,0.59732,0.614899,0.562042,
10000,3144,0.575552,0.621635,0.598064,0.615172,0.610819,0.604033,0.611766,0.604353,0.633991,0.611738,0.616113,0.599543,0.584029,0.604117,0.600561,0.542549,0.601044,0.602762,0.613847,0.624577,0.612597,0.614321,0.620234,0.612192,0.570556,0.624619,0.631754,0.594975,0.596898,0.57862,0.623915,0.601041,0.626938,0.592846,0.64296,0.635133,0.62156,0.580663,0.592907,0.572557,0.637554,0.59788,0.607453,0.56775,0.561224,0.627648,0.596626,0.587809,0.608806,0.590611,0.612892,0.593691,0.598929,0.638075,0.641225,0.602025,0.621275,0.614641,0.578983,0.616405,0.5677,0.610177,0.58589,0.585591,0.593905,0.625459,0.606294,0.615019,0.585139,0.607113,0.599343,0.591994,0.587398,0.639855,0.598057,0.618233,0.605546,0.616666,0.601752,0.615609,0.590537,0.605077,0.589873,0.619345,0.582499,0.618954,0.604241,0.597442,0.574211,0.594354,0.587488,0.598331,0.596082,0.553141,0.580199,0.563901,0.56098,0.594024,0.576905,0.614563,
10000,3145,0.581731,0.59377,0.61659,0.601041,0.589431,0.607008,0.557785,0.643258,0.635716,0.594947,0.61134,0.597515,0.59435,0.586551,0.619372,0.634579,0.600334,0.624839,0.587354,0.566683,0.65151,0.622518,0.620634,0.60652,0.61835,0.609518,0.583229,0.598481,0.58332,0.58794,0.564631,0.625466,0.586498,0.601919,0.62005,0.605666,0.609287,0.612143,0.601063,0.581471,0.583575,0.567528,0.61882,0.582393,0.59959,0.59953,0.586866,0.601916,0.634535,0.596007,0.598929,0.595611,0.586908,0.611369,0.600542,0.603828,0.607438,0.580692,0.608931,0.623718,0.600032,0.619376,0.594757,0.589204,0.600064,0.577848,0.614038,0.606294,0.574465,0.578395,0.5933,0.588714,0.600008,0.612016,0.591257,0.596579,0.57748,0.61436,0.598002,0.552753,0.627586,0.609111,0.579374,0.56916,0.608801,0.593584,0.575959,0.618637,0.563244,0.61745,0.601716,0.634089,0.587433,0.602615,0.605517,0.613088,0.628864,0.621824,0.586937,0.617948,
10000,3146,0.576302,0.615561,0.573382,0.645675,0.584353,0.608696,0.651549,0.610492,0.621907,0.599673,0.587466,0.584246,0.616283,0.615838,0.637862,0.597558,0.594654,0.593386,0.61523,0.597264,0.607028,0.586088,0.581301,0.623117,0.611124,0.548931,0.596424,0.599442,0.582,0.572651,0.607296,0.584803,0.630717,0.565904,0.586844,0.577695,0.611285,0.594131,0.567068,0.608047,0.632896,0.614136,0.597839,0.616485,0.578203,0.573734,0.619165,0.620241,0.612541,0.60797,0.614739,0.608195,0.600477,0.568773,0.618391,0.627738,0.594659,0.57459,0.621746,0.592814,0.58266,0.592497,0.581884,0.592386,0.636458,0.626806,0.586779,0.634992,0.617884,0.609838,0.593845,0.623503,0.565301,0.585466,0.618081,0.587203,0.600162,0.654193,0.602272,0.616112,0.601537,0.602223,0.577249,0.596332,0.614742,0.587825,0.604722,0.581166,0.611535,0.645467,0.64036,0.604525,0.602682,0.605062,0.581348,0.58879,0.605175,0.615443,0.639914,0.614201,
10000,3147,0.600349,0.595415,0.570593,0.581346,0.600287,0.607611,0.597688,0.591397,0.561758,0.61559,0.608024,0.599242,0.585286,0.55809,0.593282,0.59115,0.619366,0.55823,0.591327,0.603122,0.588783,0.608792,0.578884,0.61135,0.614726,0.606274,0.583573,0.624599,0.613119,0.583414,0.627527,0.596356,0.622019,0.581568,0.619107,0.585141,0.627276,0.601891,0.625283,0.603293,0.58144,0.627801,0.594959,0.62485,0.581942,0.591238,0.578538,0.559804,0.610745,0.615537,0.588541,0.594465,0.628987,0.585054,0.605895,0.603822,0.615378,0.587629,0.597801,0.642952,0.590317,0.585276,0.653891,0.636797,0.595929,0.577115,0.62238,0.615143,0.612152,0.652742,0.594826,0.598726,0.600144,0.604344,0.581592,0.607974,0.584004,0.61166,0.619858,0.635002,0.62896,0.610644,0.588463,0.588096,0.592723,0.603721,0.58389,0.609031,0.579909,0.628363,0.596196,0.575946,0.571669,0.608534,0.58439,0.566012,0.621341,0.581204,0.611654,0.599342,
