mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.815493,0.121096,0.937055,0.324877,0.330506,0.135262,0.31998,0.599463,0.891082,0.489663,0.316293,0.366316,0.407731,0.533229,0.449779,0.695732,0.956241,0.349866,0.743464,0.6565,0.183985,0.639787,0.889343,0.5321,0.887069,0.803868,0.44411,0.325422,0.296165,0.462958,0.575035,0.212177,0.684044,0.692616,0.925344,0.412174,0.355636,0.332752,0.219936,0.400646,0.174614,0.607571,0.0793844,0.0986445,0.32735,0.497155,0.875549,0.856837,0.0960355,0.224173,0.581974,0.47017,0.546728,0.228287,0.125279,0.851997,0.0790738,0.0547183,0.631319,0.165701,0.55236,0.840306,0.0262168,0.239996,0.432202,0.332826,0.889418,0.891185,0.211682,0.230555,0.585922,0.424536,0.271798,0.756517,0.0750295,0.219935,0.402245,0.806238,0.030703,0.0934353,0.304503,0.848862,0.545983,0.176271,0.0311702,0.973151,0.509183,0.566824,0.885886,0.719077,0.116502,0.274272,0.656975,0.272584,0.344595,0.312685,0.029462,0.0198846,0.209582,0.0254371,
20,0.316259,0.380074,0.429875,0.55291,0.434944,0.665707,0.920195,0.347762,0.748385,0.62685,0.223447,0.667877,0.898909,0.538347,0.903214,0.85725,0.921297,0.342132,0.289753,0.462862,0.438614,0.360609,0.703788,0.676603,0.92416,0.506967,0.93387,0.440354,0.35445,0.578292,0.574821,0.194585,0.165198,0.59381,0.351137,0.511927,0.875484,0.863219,0.305593,0.144628,0.567783,0.454119,0.836717,0.1334,0.107032,0.830484,0.186987,0.377206,0.324642,0.317952,0.557772,0.83752,0.542846,0.182354,0.410646,0.306672,0.880815,0.866129,0.0776317,0.0569447,0.573005,0.412564,0.244347,0.722999,0.0716349,0.217526,0.383629,0.781707,0.608422,0.1537,0.291441,0.828489,0.0748557,0.0565597,0.0231385,0.960606,0.498378,0.558089,0.87788,0.719077,0.0173274,0.23511,0.656056,0.263638,0.194216,0.224331,0.343489,0.311601,0.0666093,0.207537,0.0300245,0.0198846,0.0326554,0.0906059,0.542078,0.175999,0.115608,0.273765,0.209316,0.0253655,
30,0.233841,0.651226,0.894797,0.530195,0.928461,0.843524,0.929396,0.294412,0.301007,0.456139,0.408616,0.388908,0.73773,0.723883,0.949637,0.496486,0.950678,0.465359,0.327841,0.557474,0.455913,0.681669,0.212713,0.584014,0.321752,0.510465,0.876876,0.863167,0.316761,0.358292,0.555917,0.436798,0.415723,0.515999,0.106265,0.81723,0.921359,0.294027,0.768172,0.623073,0.551587,0.82234,0.296119,0.266103,0.398117,0.306672,0.851985,0.847646,0.572933,0.174071,0.561735,0.399212,0.235833,0.694121,0.265352,0.127651,0.364136,0.764851,0.846736,0.125053,0.256618,0.801666,0.186987,0.340375,0.00724563,0.945358,0.492816,0.542465,0.847961,0.708473,0.508196,0.174539,0.638275,0.262444,0.0770863,0.0569447,0.331455,0.305012,0.0711901,0.200527,0.0300245,0.0210757,0.599085,0.1537,0.540917,0.174516,0.0748557,0.0565597,0.114316,0.273516,0.0167526,0.228931,0.194043,0.222546,0.0659753,0.207284,0.208916,0.0253842,0.0326554,0.0906037,
40,0.450999,0.370364,0.708498,0.745767,0.975824,0.512626,0.933678,0.465476,0.350592,0.560841,0.449631,0.693262,0.918455,0.541358,0.304958,0.529689,0.90946,0.911231,0.283569,0.626994,0.533458,0.442912,0.434794,0.498801,0.113418,0.797652,0.32569,0.431966,0.783496,0.614821,0.537351,0.852297,0.893735,0.839273,0.222613,0.57949,0.868488,0.8145,0.90942,0.267862,0.548832,0.393471,0.247056,0.687953,0.93751,0.264414,0.374139,0.760275,0.410567,0.26868,0.214322,0.780624,0.320121,0.347315,0.00400078,0.918733,0.47934,0.533162,0.825392,0.663541,0.285799,0.232848,0.636842,0.219251,0.538558,0.149102,0.289706,0.275986,0.237733,0.0795006,0.177047,0.329894,0.825458,0.115713,0.515405,0.162878,0.46995,0.14429,0.590996,0.150862,0.0419677,0.0210757,0.18423,0.222384,0.0770863,0.0569447,0.111972,0.269287,0.065994,0.193303,0.0652472,0.207208,0.0153742,0.227946,0.208409,0.0254495,0.0753412,0.0571027,0.0328586,0.0902598,
50,0.472915,0.699861,0.931335,0.539377,0.315861,0.557007,0.92053,0.90031,0.288777,0.628453,0.544947,0.43509,0.417658,0.474919,0.121526,0.786359,0.315607,0.426896,0.815138,0.596041,0.52736,0.885745,0.888588,0.827194,0.668238,0.724831,0.872531,0.788658,0.983711,0.491717,0.921258,0.464107,0.238641,0.675085,0.343018,0.575935,0.369344,0.743224,0.562475,0.375969,0.216681,0.75064,0.25486,0.548465,0.941659,0.238563,0.467664,0.523144,0.797747,0.666727,0.428163,0.369414,0.918612,0.24872,0.315537,0.333764,0.00400078,0.873186,0.603434,0.219251,0.391465,0.265421,0.175062,0.322682,0.273323,0.227402,0.517528,0.145693,0.58851,0.143561,0.238597,0.22454,0.810089,0.0937138,0.508497,0.133857,0.454545,0.133713,0.222848,0.0727266,0.108282,0.263169,0.179412,0.213102,0.0452397,0.0241319,0.0614744,0.206237,0.0648279,0.191302,0.0148335,0.226974,0.208409,0.0254495,0.0773432,0.0569398,0.032917,0.0898409,0.0753652,0.0570006,
60,0.565654,0.410558,0.414695,0.491394,0.0796966,0.798947,0.319127,0.415619,0.86785,0.602775,0.51792,0.89502,0.89324,0.829513,0.669832,0.740145,0.841386,0.743287,0.987296,0.510231,0.924337,0.463413,0.214208,0.684339,0.347251,0.589628,0.342394,0.780014,0.925864,0.527299,0.236743,0.762988,0.910877,0.903278,0.471579,0.698545,0.316684,0.625327,0.80628,0.651781,0.249434,0.546723,0.451727,0.517798,0.317157,0.521902,0.918802,0.26258,0.606793,0.355977,0.904594,0.225873,0.433727,0.341111,0.266302,0.322727,0.00270173,0.861403,0.385524,0.263567,0.603434,0.185464,0.163473,0.314332,0.258376,0.227402,0.784009,0.0796394,0.193504,0.211598,0.502086,0.114588,0.575048,0.105764,0.1054,0.244283,0.497645,0.0946871,0.177445,0.206736,0.432039,0.117657,0.0576279,0.203223,0.0508676,0.0247213,0.0636775,0.188051,0.220202,0.0706186,0.0140618,0.2256,0.208409,0.0254484,0.0341475,0.0895164,0.0758218,0.0569624,0.0775648,0.0563702,
70,0.526004,0.898532,0.906772,0.899149,0.656735,0.775706,0.809798,0.723459,0.989545,0.533375,0.935224,0.476225,0.230285,0.67569,0.34216,0.578814,0.338999,0.769135,0.936444,0.502885,0.053802,0.752473,0.89454,0.897188,0.877654,0.640118,0.235808,0.813096,0.825898,0.702404,0.468772,0.728218,0.460369,0.505785,0.44089,0.5175,0.294592,0.599355,0.544366,0.389265,0.314182,0.496949,0.293814,0.416031,0.23592,0.549005,0.606016,0.316735,0.917513,0.259864,0.402292,0.329149,0.886051,0.196743,0.245586,0.322727,0.000890451,0.856725,0.567614,0.185464,0.380057,0.229968,0.140123,0.309116,0.244308,0.220903,0.737677,0.0796394,0.559567,0.0982275,0.164948,0.183515,0.40544,0.112243,0.477016,0.0971002,0.165105,0.177307,0.0885043,0.205337,0.489502,0.0858672,0.0561053,0.198735,0.0618454,0.185933,0.0525159,0.0262414,0.0131613,0.22542,0.21957,0.0706186,0.207673,0.025475,0.0341929,0.0888871,0.0758218,0.0568029,0.0778514,0.0562861,
80,0.952912,0.486428,0.200868,0.689043,0.288085,0.571134,0.329109,0.752515,0.948537,0.515176,0.0930797,0.765855,0.931043,0.888363,0.868447,0.641999,0.236327,0.785066,0.835393,0.711163,0.492074,0.705385,0.466361,0.509265,0.475005,0.529559,0.294759,0.624492,0.896755,0.922915,0.650864,0.768196,0.515353,0.917676,0.80738,0.746571,0.249837,0.543558,0.527856,0.414159,0.909557,0.237509,0.318345,0.531725,0.983665,0.535553,0.274774,0.397604,0.595944,0.245824,0.386381,0.321217,0.87829,0.194029,0.24271,0.321686,0.540999,0.162865,0.362642,0.208395,0.000890451,0.801238,0.140123,0.260518,0.244308,0.181994,0.726281,0.0796394,0.539275,0.0977906,0.484967,0.08526,0.136127,0.181831,0.459062,0.0845173,0.131808,0.16788,0.0803422,0.202046,0.402572,0.083204,0.0517905,0.191962,0.0580813,0.185431,0.0534296,0.0265199,0.0120026,0.22259,0.218993,0.0692035,0.207176,0.025475,0.0343938,0.0883226,0.0758218,0.0567579,0.0781932,0.0561174,
90,0.0645698,0.762736,0.92685,0.877001,0.859968,0.643121,0.225385,0.767695,0.866252,0.716594,0.47103,0.732469,0.473273,0.535215,0.447317,0.511162,0.285114,0.624035,0.879586,0.915438,0.684426,0.77987,0.533843,0.937478,0.849473,0.735757,0.96289,0.496407,0.988857,0.500687,0.358236,0.745697,0.362443,0.521855,0.951455,0.534665,0.243712,0.564484,0.200275,0.693604,0.30483,0.565915,0.487223,0.417512,0.923031,0.181474,0.265405,0.386225,0.380627,0.298863,0.872989,0.152264,0.588062,0.214706,0.218473,0.311247,0.337189,0.193474,0.000350086,0.778363,0.540999,0.127595,0.0836904,0.223189,0.219441,0.154966,0.719163,0.0506669,0.136127,0.166191,0.519436,0.0464044,0.441407,0.0478519,0.0941098,0.15469,0.370162,0.0745231,0.463324,0.0431346,0.0718732,0.187551,0.0424374,0.185918,0.0499292,0.177676,0.0103692,0.219866,0.0554761,0.0292284,0.218777,0.0684706,0.206015,0.0258073,0.0349583,0.0878396,0.0758939,0.0567284,0.0783506,0.0561139,
100,0.501447,0.695707,0.480325,0.500427,0.471269,0.474324,0.29661,0.620062,0.860432,0.900528,0.734537,0.782625,0.533137,0.913594,0.86664,0.778748,0.961944,0.47954,0.979728,0.528419,0.400723,0.771527,0.0662065,0.77129,0.94951,0.55763,0.934687,0.870966,0.191039,0.770963,0.875988,0.648718,0.844688,0.698463,0.246136,0.759002,0.335394,0.506049,0.228488,0.567309,0.496955,0.414559,0.342643,0.577514,0.285251,0.387746,0.565775,0.212744,0.38304,0.250039,0.854248,0.164054,0.85541,0.145174,0.173989,0.300111,0.000350086,0.742758,0.282253,0.165979,0.498554,0.113753,0.217028,0.152757,0.682131,0.0418824,0.0450036,0.218892,0.111071,0.166191,0.349343,0.0745231,0.471208,0.0316649,0.439244,0.0478519,0.0770366,0.143642,0.0235987,0.185918,0.0337193,0.169767,0.045044,0.177676,0.460214,0.0255286,0.0091749,0.217336,0.0568454,0.0297984,0.215435,0.0679193,0.204871,0.0258946,0.0354923,0.0875559,0.0761094,0.0566774,0.078446,0.0560375,
