mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.014,0.014,0.013899,0.014,0.0139,0.014,0.0136552,0.014,0.0139065,0.014,0.0138969,0.0139029,0.014,0.014,0.014,0.014,0.0139048,0.014,0.0138901,0.0139083,0.014,0.014,0.014,0.014,0.014,0.013899,0.014,0.0138095,0.0137436,0.013918,0.0138182,0.0138889,0.0136226,0.0138936,0.0138947,0.013619,0.0131509,0.0134681,0.0138182,0.0128889,0.0128764,0.0122883,0.0107961,0.0132784,0.0120435,0.0114074,0.0116744,0.0094386,0.0109697,0.01,0.01,0.01,0.0105347,0.00894949,0.008,0.00894737,0.0079604,0.00834343,0.00867391,0.00909259,0.0081,0.0087,0.00924272,0.0083299,0.009,0.00814894,0.00942056,0.00797849,0.0085045,0.00770787,0.00860674,0.00814414,0.00815094,0.00889362,0.00823529,0.00843478,0.00774369,0.00723192,0.00401898,0.00496369,0.00348451,0.00333326,0.00234196,0.00238136,0.00144959,0.00134126,0.00106104,0.00105923,0.000661929,0.000684343,0.000433744,0.000397952,0.000300743,0.000251602,0.000192394,0.00020297,0.000120749,0.000122662,8.72754e-05,8.26517e-05,
400,0.0196,0.0196,0.0194586,0.0196,0.01946,0.0194526,0.0191172,0.0194478,0.0193354,0.0196,0.0194557,0.0193377,0.0196,0.0194641,0.0196,0.0194627,0.0194667,0.0196,0.0191711,0.0193311,0.0194495,0.0196,0.0196,0.0194667,0.0196,0.0194586,0.0196,0.0193333,0.0189176,0.0194852,0.0190515,0.0193134,0.0185576,0.0190077,0.0170244,0.0183647,0.0159007,0.0173589,0.0138182,0.0163421,0.0128764,0.0122883,0.00889862,0.015303,0.0107744,0.0114074,0.0122638,0.00834878,0.0118794,0.00798305,0.01,0.00786139,0.00915604,0.00651283,0.00649825,0.00711628,0.00712415,0.00680692,0.00749987,0.00516747,0.00651447,0.00528566,0.00759768,0.00552885,0.00723636,0.00503459,0.00658468,0.00489554,0.00617878,0.00474563,0.00609092,0.00419084,0.00478308,0.00478134,0.00519457,0.00407681,0.00518827,0.00419451,0.0024925,0.00280367,0.00243174,0.0021509,0.00162282,0.00151841,0.00106303,0.000921617,0.000933281,0.000756002,0.000533121,0.000481347,0.000373687,0.000322198,0.00025367,0.000177601,0.000171269,0.000147464,0.000120749,9.30382e-05,7.85479e-05,6.77744e-05,
600,0.0272379,0.02744,0.0268366,0.02744,0.0270532,0.0270352,0.0260217,0.026826,0.0265224,0.02744,0.0270331,0.0270728,0.0272533,0.0268399,0.0272379,0.0272478,0.0268716,0.02744,0.0268395,0.0266649,0.026595,0.02744,0.027242,0.0272533,0.0265591,0.0268914,0.0268691,0.0268674,0.0255388,0.0268896,0.02591,0.0264594,0.0237974,0.025253,0.0189701,0.0243573,0.00898466,0.0226918,0.0170182,0.0163421,0.0163189,0.0122883,0.011577,0.015303,0.011792,0.0106386,0.0122638,0.00790042,0.0124934,0.00750838,0.0106,0.00707525,0.00915604,0.00576286,0.00649825,0.00563433,0.00656016,0.00488266,0.00599989,0.00377226,0.00552179,0.00400597,0.00526883,0.00354256,0.0052589,0.00353947,0.00440198,0.00307568,0.00387289,0.00245114,0.00347183,0.00230496,0.00316287,0.00250349,0.00307477,0.00247838,0.00309157,0.0018407,0.00150568,0.00142382,0.00143151,0.000974768,0.00110497,0.000839914,0.000532591,0.00054202,0.000559968,0.000430921,0.000440318,0.000281483,0.000284988,0.000199822,0.000206954,0.000137417,0.000146854,0.000116024,0.000120749,7.38938e-05,7.85479e-05,5.84395e-05,
800,0.0378607,0.038416,0.0366767,0.038416,0.0371433,0.0378493,0.0364304,0.0375564,0.036561,0.0376467,0.0378464,0.0374184,0.0378794,0.0362472,0.0376287,0.0378508,0.0368221,0.0370301,0.0370386,0.0365309,0.0367451,0.0381145,0.0367346,0.0378901,0.0354613,0.0370634,0.0356159,0.0368539,0.0340836,0.0356215,0.0317794,0.0328926,0.028217,0.0301888,0.0210893,0.0243573,0.0107816,0.0246027,0.020211,0.0174316,0.0181839,0.0134689,0.0130182,0.0137727,0.011792,0.0106386,0.0122638,0.00832282,0.0124934,0.00750838,0.0106,0.00643575,0.00915604,0.00576286,0.00649825,0.00501096,0.00656016,0.00410718,0.0056966,0.00320469,0.00508004,0.00296442,0.00460889,0.00303047,0.00401589,0.00239546,0.00341698,0.00231763,0.00309145,0.00162846,0.00242629,0.00157472,0.00181521,0.00148818,0.00196054,0.00141693,0.00218037,0.00113948,0.00117523,0.000929576,0.00104978,0.000599437,0.000824083,0.000516593,0.000465316,0.000345861,0.000430291,0.000274969,0.00034247,0.000202156,0.000284988,0.00014587,0.000166013,0.000122403,0.000137257,9.56316e-05,0.000109858,6.57504e-05,7.37734e-05,5.37882e-05,
1000,0.0512021,0.0525693,0.050236,0.0526413,0.0502811,0.0513433,0.0488804,0.050643,0.0494769,0.0498717,0.0508824,0.0511656,0.0520343,0.0499031,0.0506127,0.0512549,0.0503882,0.0500789,0.0491846,0.0478596,0.0478342,0.0516278,0.0495542,0.0515602,0.0472359,0.0484499,0.0471742,0.0472828,0.0429527,0.0452094,0.0414931,0.0387013,0.035777,0.0339143,0.0269139,0.0256393,0.0139223,0.0246027,0.0253783,0.0174316,0.0232273,0.0134689,0.0153172,0.0137727,0.0127965,0.0106386,0.0122638,0.00775062,0.0124934,0.00750838,0.0106,0.00696576,0.00915604,0.00576286,0.00649825,0.00462917,0.00603277,0.00369646,0.00505264,0.00294077,0.00440991,0.00238832,0.00409897,0.00247012,0.00374597,0.00212521,0.00285381,0.00173319,0.00236615,0.00121117,0.00222455,0.00112642,0.00150403,0.00113643,0.00151421,0.00104799,0.00150516,0.000860467,0.000849591,0.000631039,0.000839822,0.000437849,0.000576088,0.000351061,0.000411734,0.000282167,0.000391481,0.000225025,0.000296585,0.000170478,0.000220866,0.000127075,0.000166013,9.72483e-05,0.000116529,8.51309e-05,0.000109858,5.6753e-05,8.46452e-05,4.86655e-05,
1200,0.0706983,0.0692162,0.0687767,0.0726757,0.0683619,0.0678139,0.0665343,0.0688118,0.0673647,0.0672229,0.0682998,0.0716319,0.0692417,0.067344,0.0670482,0.0698407,0.0676082,0.0690778,0.0666429,0.0621638,0.0644765,0.0693004,0.0679184,0.0653447,0.062368,0.0605902,0.0617554,0.0591737,0.0552711,0.0565598,0.0526962,0.0433455,0.045243,0.0339143,0.0307587,0.0256393,0.0167358,0.0246027,0.0294291,0.0174316,0.0261189,0.0134689,0.0175131,0.0137727,0.0146017,0.0106386,0.0122638,0.00719914,0.0133706,0.00675754,0.0117224,0.00598486,0.00915604,0.00496493,0.00649825,0.00462917,0.00560023,0.00344478,0.00505264,0.00261786,0.00396892,0.00238832,0.00389177,0.00221178,0.00325899,0.00180642,0.00260631,0.00162959,0.00220348,0.00113663,0.00187851,0.000963591,0.00128526,0.000983407,0.00143421,0.000842855,0.00132262,0.000628304,0.00080157,0.000404333,0.00075584,0.000380382,0.000498903,0.000274334,0.00034428,0.000259275,0.000343186,0.000196474,0.000315317,0.000128264,0.00020503,0.000117071,0.000166013,8.30212e-05,0.000116529,7.66178e-05,0.000104305,5.6753e-05,8.46452e-05,4.86655e-05,
1400,0.0918364,0.0941614,0.0923195,0.0934186,0.0928583,0.0929833,0.0869874,0.0903529,0.090802,0.0876483,0.0910153,0.0925406,0.0923223,0.0881594,0.0873262,0.0930421,0.0871395,0.0929548,0.0904025,0.0841513,0.0860092,0.0903854,0.0855772,0.0829877,0.0805361,0.0736058,0.0804162,0.072433,0.0728159,0.0636454,0.0657448,0.0474519,0.0573078,0.0339143,0.036428,0.0256393,0.0213381,0.0246027,0.0294291,0.0174316,0.0261189,0.0142308,0.0175131,0.0137727,0.0160755,0.0112335,0.0137749,0.00719914,0.0133706,0.00675754,0.0117224,0.00544179,0.00915604,0.00496493,0.00649825,0.00412174,0.00521165,0.00344478,0.00505264,0.00261786,0.00396892,0.00221973,0.00389177,0.00197896,0.00293309,0.0016612,0.00260631,0.00134562,0.00220348,0.00106754,0.00155648,0.000856282,0.00128526,0.000750965,0.00123225,0.000717253,0.00116336,0.000565473,0.000682121,0.00034327,0.000671667,0.000332155,0.000464604,0.000274334,0.00034428,0.000259275,0.000343186,0.000196474,0.000283785,0.000128264,0.00020503,0.000109503,0.000157216,8.30212e-05,0.000116529,6.9368e-05,0.000110914,5.6753e-05,8.46452e-05,4.86655e-05,
1600,0.122206,0.124217,0.125277,0.123801,0.123502,0.119948,0.113653,0.118722,0.121983,0.117113,0.126529,0.122003,0.12323,0.111179,0.114551,0.118866,0.115715,0.113426,0.120537,0.105572,0.112062,0.110699,0.112473,0.100459,0.110427,0.0854135,0.104292,0.0873415,0.093,0.0636454,0.0787539,0.0538982,0.0686642,0.0374175,0.0413346,0.0256393,0.0248256,0.0246027,0.0327924,0.0197665,0.0274249,0.0142308,0.0184053,0.0147397,0.0160755,0.01064,0.0137749,0.00719914,0.0141182,0.00675754,0.0117224,0.00544179,0.00963794,0.00496493,0.00649825,0.00412174,0.00580726,0.00310031,0.00454738,0.00235608,0.00353234,0.00199776,0.00389177,0.00197896,0.00293309,0.00138376,0.00247344,0.00126599,0.00193523,0.00106754,0.00155648,0.000747717,0.00128526,0.000696963,0.00110903,0.000645528,0.000998998,0.000487177,0.000682121,0.00034327,0.00061582,0.000332155,0.000464604,0.000235227,0.000366096,0.000234657,0.000343186,0.000196474,0.000264866,0.000121514,0.00020503,0.000109503,0.000157216,7.73369e-05,0.000116529,6.9368e-05,0.000100351,5.13764e-05,7.66672e-05,5.13356e-05,
1800,0.162448,0.160375,0.161326,0.15633,0.151108,0.163032,0.148492,0.152168,0.156565,0.148263,0.166788,0.155892,0.155441,0.141051,0.144313,0.151075,0.149643,0.137748,0.157903,0.127742,0.136741,0.13603,0.142175,0.127179,0.1353,0.101968,0.118718,0.103495,0.105726,0.0751621,0.0929296,0.0538982,0.080625,0.0415439,0.048683,0.0278131,0.0294533,0.0246027,0.0368524,0.0178939,0.0310112,0.0142308,0.0204545,0.0147397,0.0169743,0.011714,0.015218,0.00719914,0.0123702,0.00675754,0.0117224,0.00515007,0.00963794,0.00496493,0.00649825,0.00412174,0.00610112,0.00310031,0.00454738,0.00250432,0.00323262,0.00188699,0.00369505,0.00197896,0.00318356,0.00152588,0.00229745,0.00113939,0.0018374,0.00106754,0.00144848,0.000790235,0.00128526,0.000696963,0.00104308,0.000562842,0.000908348,0.00044905,0.000682121,0.000320386,0.00061582,0.000302133,0.000464604,0.000235227,0.000343567,0.000203858,0.000312442,0.000174937,0.000264866,0.000103406,0.000216689,0.000103022,0.000157216,7.73369e-05,0.00013016,6.9368e-05,0.000100351,5.13764e-05,7.66672e-05,5.13356e-05,
2000,0.216387,0.201378,0.206437,0.196771,0.191012,0.203034,0.199068,0.193054,0.194081,0.183909,0.221342,0.189769,0.196659,0.173328,0.189669,0.186061,0.18793,0.175822,0.203158,0.154034,0.176244,0.163505,0.183247,0.159162,0.157339,0.127905,0.141142,0.116667,0.120941,0.0822962,0.103067,0.0580903,0.080625,0.0445961,0.0522406,0.031985,0.0337147,0.0246027,0.0368524,0.0188506,0.0310112,0.01523,0.022431,0.0134649,0.0169743,0.011714,0.0159998,0.00786367,0.0132361,0.00594664,0.0104943,0.00515007,0.00908427,0.00470263,0.00649825,0.00377751,0.00610112,0.00331835,0.00454738,0.00250432,0.00323262,0.00178216,0.00350057,0.00197896,0.00318356,0.00130912,0.00212946,0.00106272,0.00172433,0.00100527,0.00144848,0.000687572,0.00128526,0.000652415,0.00104308,0.000532142,0.00083156,0.000489159,0.000682121,0.000320386,0.000571033,0.000302133,0.000464604,0.000235227,0.000368739,0.000203858,0.000312442,0.000149328,0.000264866,0.000111049,0.000196114,0.000103022,0.000170292,7.73369e-05,0.00013016,6.9368e-05,0.000100351,5.13764e-05,7.02926e-05,4.50458e-05,
