l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
param_0,0.446868,0.0830781,0.0829343,0.0757954,0.0814618,0.0820956,0.0827447,0.0781385,0.0800746,0.0829909,0.08195,0.0793743,0.0793743,0.0817514,0.0817514,0.0814662,0.0812197,0.0811029,0.0813296,0.0811832,0.0811177,0.0807699,0.0809925,0.0809839,0.0808724,0.0810004,0.0809248,0.0809587,0.0809618,0.0809482,0.0809483,0.080971,0.0809575,0.0809501,0.0809517,0.0809536,0.080954,0.0809459,0.0809578,0.0809541,0.0809537,0.0809531,0.080953,0.080953,0.0809522,0.0809522,0.0809522,0.0809525,0.0809531,0.0809519,
param_1,0.660792,0.0548967,0.0529586,0.0582435,0.0554721,0.0552068,0.0542232,0.0567712,0.0546715,0.0546732,0.055213,0.0546594,0.0546594,0.0541324,0.0541324,0.0544928,0.0543534,0.0545232,0.0545296,0.054555,0.0545396,0.0546513,0.0546124,0.054614,0.054655,0.054578,0.0546263,0.0546146,0.0546118,0.0546105,0.0546178,0.0546043,0.0546087,0.0546167,0.0546112,0.0546079,0.0546084,0.0546137,0.0546103,0.0546098,0.0546113,0.0546102,0.0546108,0.0546108,0.0546114,0.0546114,0.0546114,0.0546114,0.054611,0.0546115,
