mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
2800,0.997143,0.997857,0.997857,0.995,0.999286,0.993571,0.988571,0.978571,0.968571,0.955,0.931429,0.89,0.88,0.777857,0.729286,0.659286,0.668571,0.614286,0.613571,0.655,0.672143,0.677857,0.662143,0.688571,0.663571,0.644286,0.665,0.673571,0.679286,0.7,0.690714,0.685,0.664286,0.672143,0.697857,0.694286,0.680714,0.685,0.692857,0.687857,0.707143,0.692857,0.708571,0.713571,0.672143,0.691429,0.689286,0.640714,0.644286,
3000,0.997333,0.997333,0.998,0.994667,0.998667,0.993333,0.988667,0.979333,0.968667,0.956,0.93,0.888,0.875333,0.766,0.724667,0.664667,0.674667,0.620667,0.617333,0.654667,0.673333,0.676667,0.674,0.690667,0.666667,0.645333,0.668667,0.677333,0.686667,0.699333,0.692,0.694667,0.663333,0.674667,0.698667,0.69,0.69,0.69,0.694667,0.692,0.702667,0.693333,0.712,0.713333,0.672,0.694667,0.698,0.648,0.649333,
3200,0.9975,0.9975,0.9975,0.995,0.99875,0.9925,0.98875,0.979375,0.9675,0.956875,0.93125,0.88875,0.870625,0.766875,0.725,0.66,0.671875,0.629375,0.628125,0.66125,0.675,0.68,0.67625,0.691875,0.674375,0.649375,0.675625,0.680625,0.69375,0.706875,0.690625,0.695,0.66875,0.67625,0.703125,0.69875,0.69375,0.691875,0.70125,0.695,0.699375,0.69,0.710625,0.713125,0.679375,0.7,0.70375,0.65375,0.65625,
3400,0.997647,0.997647,0.997059,0.995294,0.997059,0.992353,0.988235,0.978235,0.966471,0.956471,0.93,0.888824,0.868235,0.765882,0.724118,0.655882,0.669412,0.633529,0.628824,0.663529,0.674706,0.684706,0.682353,0.694706,0.678824,0.659412,0.678235,0.682353,0.693529,0.711176,0.691176,0.7,0.670588,0.682353,0.702353,0.698235,0.697059,0.697059,0.704118,0.695882,0.705882,0.692353,0.718235,0.716471,0.684118,0.708235,0.708235,0.658235,0.650588,
3600,0.997778,0.997778,0.997222,0.995556,0.996667,0.992778,0.985556,0.978333,0.967222,0.953889,0.928333,0.89,0.866667,0.760556,0.718889,0.653889,0.670556,0.641667,0.633889,0.665556,0.678333,0.692222,0.686667,0.699444,0.682222,0.658889,0.678333,0.686111,0.697222,0.713889,0.697778,0.701667,0.67,0.68,0.705,0.704444,0.699444,0.697778,0.704444,0.696667,0.705,0.691111,0.721111,0.716111,0.69,0.713333,0.710556,0.657778,0.652778,
3800,0.997895,0.997895,0.997368,0.995789,0.996842,0.992105,0.985789,0.978421,0.965263,0.953684,0.927368,0.888421,0.863158,0.761053,0.723158,0.652105,0.674211,0.641579,0.633158,0.667895,0.677895,0.693684,0.691053,0.701579,0.686316,0.665789,0.68,0.69,0.696842,0.719474,0.702632,0.700526,0.677368,0.681579,0.706316,0.700526,0.702105,0.702632,0.708421,0.697895,0.711053,0.693158,0.725789,0.713684,0.692632,0.708947,0.710526,0.656316,0.655789,
4000,0.998,0.9975,0.997,0.996,0.9965,0.9915,0.9865,0.979,0.9655,0.9515,0.9265,0.89,0.863,0.758,0.72,0.651,0.675,0.6465,0.6395,0.6655,0.681,0.6955,0.6945,0.7005,0.69,0.6735,0.6825,0.69,0.696,0.721,0.707,0.7035,0.683,0.686,0.706,0.7015,0.7055,0.7025,0.7135,0.703,0.71,0.6975,0.7215,0.715,0.6945,0.7085,0.713,0.653,0.659,
4200,0.998095,0.997143,0.996667,0.995238,0.996667,0.991429,0.986667,0.979524,0.964286,0.95,0.926667,0.889524,0.861905,0.759048,0.724286,0.64619,0.676667,0.648571,0.644286,0.665238,0.68381,0.695714,0.696667,0.702381,0.691905,0.678095,0.686667,0.694286,0.702381,0.72619,0.71,0.704286,0.68381,0.685714,0.708095,0.704762,0.706667,0.704762,0.71381,0.705714,0.709048,0.702857,0.721429,0.714762,0.699524,0.70619,0.714286,0.662857,0.661429,
4400,0.998182,0.997273,0.996818,0.995455,0.996818,0.991818,0.985909,0.979091,0.963636,0.950455,0.924091,0.885455,0.857727,0.757727,0.725455,0.646364,0.675909,0.649091,0.642273,0.668182,0.686364,0.699091,0.700455,0.708636,0.695455,0.682727,0.690455,0.698636,0.705,0.728182,0.709545,0.705,0.686364,0.691364,0.708636,0.707727,0.708182,0.704545,0.712273,0.707273,0.709545,0.707273,0.722273,0.713636,0.702273,0.708182,0.714091,0.667727,0.663636,
4600,0.998261,0.996957,0.996522,0.995652,0.996957,0.991304,0.986087,0.98,0.963043,0.951304,0.923913,0.883478,0.857826,0.758696,0.726087,0.648696,0.674348,0.653043,0.648261,0.67,0.682609,0.699565,0.704348,0.709565,0.698696,0.683478,0.694348,0.69913,0.704783,0.723478,0.713478,0.707391,0.683913,0.693913,0.706957,0.706957,0.708696,0.707391,0.714348,0.705217,0.708696,0.712174,0.72,0.717826,0.703913,0.711304,0.713913,0.672174,0.668696,
4800,0.997917,0.997083,0.996667,0.995833,0.996667,0.990833,0.98625,0.980833,0.962917,0.950833,0.923333,0.8825,0.858333,0.76,0.722083,0.6475,0.6725,0.650833,0.65,0.669583,0.684583,0.697083,0.7075,0.70875,0.69875,0.683333,0.692083,0.702083,0.706667,0.726667,0.715417,0.709583,0.688333,0.69,0.705833,0.71125,0.71125,0.714583,0.717917,0.707917,0.71125,0.71375,0.7225,0.718333,0.704583,0.714167,0.71125,0.671667,0.671667,
5000,0.9976,0.9972,0.9964,0.996,0.9968,0.9908,0.986,0.9804,0.9628,0.9504,0.9204,0.8816,0.856,0.7592,0.7228,0.6476,0.6728,0.6516,0.6536,0.6716,0.6824,0.6968,0.708,0.712,0.7016,0.6864,0.6908,0.7004,0.7088,0.7248,0.7184,0.7144,0.6876,0.6884,0.7084,0.714,0.7116,0.7156,0.7212,0.7064,0.7104,0.7168,0.7224,0.7188,0.7076,0.716,0.71,0.672,0.6744,
5200,0.996154,0.997308,0.996538,0.996154,0.996923,0.990769,0.985385,0.979231,0.962308,0.948846,0.918846,0.881154,0.852692,0.759615,0.725,0.647692,0.675769,0.652692,0.656923,0.670385,0.683462,0.700385,0.707308,0.711923,0.704231,0.686538,0.690769,0.700769,0.710769,0.724231,0.721154,0.714615,0.689615,0.690769,0.708462,0.715769,0.712308,0.718846,0.723846,0.707692,0.708077,0.72,0.723462,0.718846,0.707692,0.717308,0.715,0.673462,0.670769,
5400,0.996296,0.997407,0.996667,0.996296,0.996667,0.990741,0.984815,0.97963,0.962963,0.946667,0.915556,0.878889,0.852593,0.76,0.724815,0.648148,0.67963,0.654815,0.658889,0.67,0.685556,0.69963,0.708889,0.712222,0.706667,0.692222,0.695926,0.701852,0.714074,0.724074,0.722222,0.718148,0.693333,0.692963,0.711111,0.71037,0.708889,0.71963,0.723704,0.709259,0.711852,0.721111,0.724815,0.722593,0.707778,0.718148,0.713704,0.678889,0.671111,
5600,0.996429,0.9975,0.996429,0.996071,0.996786,0.990357,0.985357,0.979286,0.963571,0.946786,0.916071,0.877143,0.851786,0.758214,0.721071,0.649643,0.681786,0.654286,0.662857,0.671071,0.685,0.700357,0.71,0.715357,0.707857,0.694286,0.6975,0.705,0.712857,0.723571,0.725,0.72,0.693214,0.696429,0.713929,0.710357,0.710357,0.72,0.724643,0.709286,0.710714,0.7225,0.725357,0.723929,0.708571,0.718571,0.715714,0.679643,0.675714,
5800,0.996552,0.997586,0.996552,0.996207,0.996552,0.989655,0.985517,0.979655,0.963793,0.946552,0.917931,0.877586,0.851379,0.755517,0.719655,0.64931,0.681724,0.655862,0.665862,0.673793,0.686207,0.7,0.71,0.716552,0.707586,0.694138,0.699655,0.707586,0.716207,0.724483,0.725172,0.718966,0.696207,0.698276,0.717931,0.713103,0.711034,0.722069,0.725517,0.708966,0.712414,0.722069,0.726207,0.722759,0.709655,0.718276,0.715172,0.683793,0.677931,
6000,0.996667,0.997667,0.996667,0.996,0.996667,0.99,0.985333,0.979667,0.963667,0.946,0.918,0.878,0.851333,0.755667,0.716333,0.651667,0.680333,0.655333,0.665333,0.676667,0.688,0.701333,0.712,0.72,0.709,0.698333,0.699,0.705,0.715667,0.722667,0.725333,0.719333,0.701333,0.702333,0.721333,0.714,0.713667,0.721667,0.724333,0.710667,0.714333,0.724,0.729667,0.726,0.709667,0.719667,0.718333,0.683,0.678,
6200,0.996774,0.997419,0.996452,0.995806,0.996129,0.990323,0.985484,0.98,0.963871,0.946774,0.917097,0.874516,0.85,0.754839,0.716129,0.652581,0.681613,0.659677,0.664839,0.677419,0.689677,0.704194,0.718387,0.722258,0.710645,0.700968,0.699032,0.705161,0.718387,0.723871,0.726452,0.718387,0.703548,0.705161,0.724839,0.713226,0.713226,0.720645,0.722903,0.712581,0.714194,0.72129,0.733226,0.729677,0.708065,0.720645,0.716129,0.683226,0.676774,
6400,0.996563,0.9975,0.996563,0.995938,0.995938,0.990313,0.985313,0.980313,0.96375,0.946562,0.915937,0.874687,0.84875,0.755625,0.716875,0.655312,0.681875,0.659375,0.666562,0.679063,0.69,0.706562,0.717187,0.721875,0.711875,0.7025,0.700625,0.706562,0.718125,0.725625,0.727187,0.717187,0.700937,0.706562,0.724375,0.712187,0.714063,0.720625,0.725625,0.715,0.716875,0.72125,0.736875,0.728437,0.709375,0.720938,0.714063,0.684063,0.679375,
6600,0.996061,0.997576,0.996667,0.996061,0.996061,0.990606,0.985455,0.980303,0.964848,0.94697,0.915152,0.874848,0.848485,0.754545,0.716061,0.655152,0.683636,0.66,0.666364,0.677576,0.688485,0.707576,0.716061,0.72303,0.711818,0.7,0.702727,0.706364,0.719091,0.725152,0.727273,0.71697,0.702727,0.705758,0.723939,0.713939,0.71697,0.723636,0.724545,0.716061,0.720303,0.71697,0.735758,0.729697,0.710909,0.723939,0.71303,0.683636,0.68,
6800,0.996176,0.997647,0.996765,0.996176,0.995882,0.990588,0.984706,0.980882,0.965,0.945588,0.915588,0.875294,0.846765,0.755882,0.716176,0.657353,0.685882,0.659118,0.666765,0.675588,0.69,0.710294,0.719706,0.724706,0.709412,0.700588,0.702941,0.706471,0.718824,0.723824,0.728529,0.716176,0.703529,0.707353,0.720588,0.716471,0.718824,0.722941,0.725294,0.716471,0.718529,0.717059,0.737353,0.731471,0.710882,0.726176,0.713824,0.682647,0.679412,
7000,0.995714,0.997714,0.996857,0.996286,0.995429,0.990857,0.984286,0.98,0.965143,0.945429,0.916857,0.875429,0.846286,0.756,0.716286,0.658,0.684,0.660571,0.668571,0.675714,0.692571,0.711714,0.717429,0.726286,0.709429,0.702286,0.704857,0.706,0.72,0.726286,0.731714,0.718,0.705429,0.710286,0.719714,0.716571,0.716286,0.722286,0.726571,0.715429,0.720571,0.717714,0.737143,0.728286,0.712,0.729143,0.715143,0.685429,0.68,
7200,0.995833,0.997778,0.996944,0.996111,0.995556,0.990833,0.984444,0.979167,0.964722,0.945278,0.917222,0.873056,0.847222,0.755278,0.712222,0.659444,0.685278,0.660556,0.671667,0.676111,0.694167,0.711944,0.719444,0.723056,0.709444,0.703333,0.703889,0.708056,0.721944,0.726111,0.731111,0.719444,0.704444,0.711389,0.719722,0.717778,0.720278,0.723056,0.727222,0.715278,0.718889,0.718333,0.738056,0.731389,0.713333,0.73,0.717778,0.685556,0.682222,
7400,0.995676,0.997568,0.996486,0.996216,0.995676,0.990811,0.984324,0.979189,0.964865,0.945135,0.917027,0.874324,0.848108,0.755676,0.710811,0.661622,0.689189,0.660811,0.671892,0.678919,0.695946,0.714054,0.718919,0.722703,0.709459,0.705405,0.704865,0.708919,0.722162,0.725405,0.73,0.71973,0.705946,0.710811,0.720811,0.71973,0.721351,0.722162,0.73,0.717027,0.718919,0.72027,0.737297,0.733243,0.713784,0.731081,0.718649,0.685946,0.682703,
7600,0.995789,0.997632,0.996053,0.996316,0.995263,0.991053,0.984211,0.979474,0.965,0.945789,0.916316,0.874211,0.848421,0.755,0.71,0.661579,0.687632,0.663158,0.673158,0.679737,0.697368,0.715,0.719737,0.720526,0.712895,0.708158,0.706842,0.711316,0.722895,0.726053,0.730789,0.718947,0.707105,0.709211,0.722105,0.72,0.720263,0.721579,0.729211,0.717368,0.719474,0.720789,0.737895,0.731579,0.712368,0.729737,0.716842,0.687632,0.683421,
