l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
param_0,0.49271,0.0880004,0.0880004,0.0864351,0.0854097,0.0832129,0.0834635,0.0880115,0.0858665,0.085439,0.0848604,0.0890594,0.0867576,0.0877045,0.0867674,0.0878858,0.0874801,0.0874712,0.0874801,0.0874401,0.0873334,0.087393,0.0871874,0.0872908,0.0873953,0.0872676,0.0872921,0.0873099,0.0872654,0.087327,0.0873072,0.087329,0.0873264,0.0873264,0.0873159,0.0873064,0.0873162,0.0873186,0.0873162,0.0873111,0.0873162,0.0873138,0.087314,0.0873131,0.087315,0.0873139,0.087317,0.0873155,0.0873155,0.0873161,
param_1,0.0157799,0.0495038,0.0495038,0.0503421,0.0516313,0.0514717,0.0518444,0.0495583,0.0514789,0.0513287,0.0507473,0.048942,0.0500476,0.0504204,0.0507699,0.0498705,0.0501324,0.0502835,0.0501324,0.0502908,0.0502394,0.0502327,0.0503522,0.0503765,0.0502557,0.0502967,0.0503037,0.0502983,0.0503137,0.0502954,0.0503069,0.0502928,0.050295,0.050295,0.0502996,0.0503029,0.0502973,0.050294,0.0502958,0.0503002,0.0502958,0.0502979,0.0502972,0.0502987,0.0502966,0.0502981,0.0502962,0.0502969,0.0502969,0.0502966,
