mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.014,0.0138913,0.014,0.0138246,0.014,0.0137959,0.014,0.0139048,0.014,0.013901,0.014,0.0139,0.014,0.014,0.014,0.014,0.014,0.0139,0.014,0.014,0.014,0.0137248,0.014,0.013802,0.013898,0.014,0.014,0.014,0.014,0.013798,0.014,0.0138131,0.014,0.0138095,0.013901,0.0133939,0.013881,0.0136552,0.0132784,0.0130291,0.0134175,0.0124536,0.0125294,0.0124694,0.012125,0.0113077,0.0108421,0.0107619,0.008375,0.01,0.01,0.01,0.00943478,0.00853704,0.00890566,0.00931915,0.0092809,0.00832432,0.00895652,0.00858824,0.00885437,0.00863918,0.00858716,0.00806593,0.0084186,0.00812281,0.00894949,0.00815842,0.00851327,0.00894253,0.008,0.00821053,0.00924272,0.00719588,0.01,0.0085045,0.00681561,0.00647249,0.0046219,0.00486802,0.00355015,0.00299591,0.00229585,0.00216357,0.00140168,0.00134403,0.00099245,0.000981173,0.000696456,0.000606731,0.000451114,0.000399851,0.000282582,0.000294554,0.000209406,0.000162624,0.000126477,0.000116314,9.36927e-05,8.69565e-05,
400,0.0196,0.0193155,0.0196,0.0190664,0.0196,0.0187512,0.0196,0.0190495,0.0196,0.0193119,0.0196,0.0192002,0.0196,0.0194478,0.0196,0.0193228,0.0196,0.0193313,0.0196,0.0190455,0.0196,0.0188029,0.0196,0.0189246,0.0194571,0.0194511,0.0196,0.0189269,0.0194526,0.0189229,0.0196,0.0187913,0.0194627,0.0184879,0.0191966,0.0183285,0.018766,0.018406,0.0177447,0.0175169,0.011229,0.0151241,0.0117937,0.0141685,0.012125,0.0106025,0.0108421,0.00987563,0.0094176,0.00772549,0.0114737,0.00752381,0.00943478,0.00557154,0.00831195,0.00676865,0.00718185,0.00619401,0.00743308,0.00639039,0.00685179,0.00568513,0.00721321,0.00556549,0.00720258,0.00539059,0.00733006,0.00532444,0.00655522,0.00500782,0.00636484,0.00509203,0.00703474,0.00420802,0.00720388,0.00550601,0.00541497,0.00429603,0.00356968,0.00332495,0.0029515,0.00220719,0.00181581,0.00165873,0.00123231,0.000964083,0.000847259,0.000787071,0.00062024,0.000494421,0.000349086,0.000297523,0.000241479,0.000231561,0.000196955,0.000162624,0.000110035,0.000116314,9.36927e-05,8.15334e-05,
600,0.0268461,0.0253206,0.0270667,0.0254887,0.0269945,0.0259168,0.0272533,0.0258672,0.0268853,0.0266258,0.02744,0.0265247,0.02724,0.0262736,0.027227,0.026873,0.027244,0.0266772,0.02744,0.0261247,0.02744,0.0261361,0.0270317,0.0257666,0.0270454,0.0264534,0.02688,0.0264977,0.0268832,0.025429,0.0272198,0.0254613,0.0266132,0.0248559,0.0243635,0.0234921,0.0220632,0.0231956,0.0226824,0.0187534,0.012528,0.0151241,0.0141298,0.0141685,0.0142531,0.0106025,0.0127696,0.00987563,0.0110264,0.00772549,0.0124225,0.00752381,0.00943478,0.00480912,0.00831195,0.00534367,0.00681572,0.00487937,0.00681229,0.00472537,0.00564528,0.00432702,0.00526878,0.00373216,0.00502041,0.0035175,0.00466081,0.00320599,0.00421316,0.00267428,0.00375828,0.00262642,0.00407274,0.0022042,0.00389144,0.00291286,0.00339666,0.00221706,0.0020994,0.00159866,0.001714,0.00122244,0.00110072,0.000888952,0.000791663,0.000576541,0.000618581,0.000460883,0.000404789,0.000310779,0.000316015,0.00021535,0.000241479,0.00015846,0.000173864,0.000119737,0.000110035,9.80871e-05,9.36927e-05,6.8765e-05,
800,0.0370581,0.0346737,0.0376538,0.0353913,0.0371496,0.0360601,0.0372755,0.0345219,0.0373732,0.0364693,0.0380969,0.0364366,0.038136,0.0359355,0.0381177,0.0366176,0.0378518,0.0370964,0.0368329,0.0363025,0.0380932,0.0356814,0.0373391,0.0344109,0.0375958,0.0354316,0.037343,0.0356109,0.0361911,0.0341747,0.0363703,0.0342046,0.0336759,0.0311734,0.0290433,0.0279057,0.0281789,0.0200669,0.0268797,0.0187534,0.0150853,0.0151241,0.0170381,0.0141685,0.0152033,0.00977272,0.0141742,0.00987563,0.0116622,0.00716995,0.0124225,0.00669466,0.0084913,0.0044375,0.00831195,0.00451243,0.00637034,0.00407107,0.00633543,0.00401656,0.00524052,0.00311177,0.00468921,0.00298572,0.00447101,0.00241734,0.00363543,0.0020839,0.00328627,0.00181851,0.00292635,0.00161917,0.00264728,0.00147682,0.00251851,0.0016375,0.00197624,0.00125633,0.001492,0.00103501,0.00124061,0.000759201,0.000866035,0.000563634,0.000585532,0.000426885,0.000475647,0.000307889,0.000330577,0.00021366,0.000264384,0.000159593,0.000210548,0.000119059,0.000156477,9.74016e-05,0.000110035,6.97714e-05,8.65542e-05,5.35643e-05,
1000,0.0504829,0.0485431,0.0518497,0.0479818,0.0509679,0.0485455,0.0513665,0.0480139,0.0519596,0.050681,0.0521574,0.0506574,0.0526709,0.0491629,0.0517599,0.0498696,0.0518682,0.0508108,0.0502019,0.0492451,0.052282,0.0487777,0.0522747,0.0439617,0.0514714,0.0468523,0.0499872,0.0473708,0.0499214,0.0395498,0.048561,0.0359892,0.0445307,0.0288595,0.0372591,0.0230771,0.0356079,0.0200669,0.0292497,0.0166152,0.0178869,0.0140028,0.0198047,0.0129663,0.0164922,0.00977272,0.0151729,0.00862354,0.0116622,0.00716995,0.0113684,0.00592576,0.0084913,0.00418763,0.00831195,0.0041889,0.00582608,0.00343313,0.00591717,0.0030559,0.00464161,0.00265319,0.00468921,0.00231017,0.0041495,0.0019905,0.00303666,0.00170336,0.00305623,0.00138207,0.00219334,0.00136545,0.00208444,0.00105534,0.00187919,0.00104732,0.00134058,0.000831863,0.00116219,0.000660436,0.000921597,0.000519453,0.00070894,0.000408387,0.000512486,0.000295801,0.000389254,0.000204655,0.000330577,0.000177977,0.000235452,0.000136842,0.000196359,0.000102744,0.000156477,8.45902e-05,0.000110035,5.92665e-05,8.65542e-05,5.04872e-05,
1200,0.068457,0.0679604,0.0683196,0.0650883,0.0692533,0.0656071,0.0677199,0.0643952,0.0685867,0.069433,0.0704384,0.069897,0.0707578,0.066213,0.0688765,0.06881,0.0685206,0.068181,0.0688345,0.0663783,0.0703688,0.0650004,0.0702256,0.0573373,0.0690022,0.0622804,0.0654787,0.0567385,0.0643431,0.0467719,0.0611869,0.0388684,0.0532085,0.0288595,0.0456079,0.0242811,0.0423187,0.0218227,0.0331094,0.0166152,0.0214965,0.0140028,0.021191,0.0129663,0.0191247,0.0108314,0.0164276,0.00862354,0.0130573,0.00716995,0.0113684,0.00592576,0.0092164,0.00418763,0.0075196,0.0041889,0.00582608,0.00324875,0.00545695,0.00277809,0.004154,0.00240101,0.00368637,0.00199748,0.00353377,0.00170773,0.00303666,0.00139108,0.00241978,0.00138207,0.00219334,0.00106505,0.00167557,0.000894843,0.00156197,0.000729669,0.00107971,0.000585108,0.000864768,0.000511066,0.000778237,0.000423792,0.000645588,0.000305905,0.000473922,0.000252776,0.0003543,0.000178171,0.000281524,0.000159348,0.000235452,0.000110376,0.000196359,0.000102744,0.000156477,8.45902e-05,0.000110035,5.92665e-05,8.65542e-05,4.69234e-05,
1400,0.0936316,0.0919688,0.0928008,0.0879944,0.0954326,0.091248,0.0916135,0.0887831,0.0919869,0.0943721,0.0936332,0.0950876,0.09513,0.0876602,0.0929485,0.0956527,0.0930738,0.0928311,0.090806,0.0896436,0.0911521,0.0870093,0.0890943,0.0757306,0.0876996,0.0784616,0.0830956,0.0691623,0.0801814,0.0534659,0.0719986,0.0447988,0.0613118,0.0337434,0.0491091,0.0263005,0.0451399,0.0218227,0.0331094,0.0166152,0.022618,0.0140028,0.021191,0.0129663,0.0191247,0.00959055,0.0147848,0.00862354,0.0137225,0.00652923,0.0113684,0.00549964,0.0092164,0.00418763,0.0075196,0.0041889,0.00614386,0.00295998,0.00545695,0.00277809,0.00388255,0.00240101,0.00368637,0.00199748,0.00325558,0.00156918,0.0028129,0.0011791,0.00241978,0.00121778,0.0019009,0.000952938,0.00148361,0.000800746,0.00142139,0.000620218,0.00107971,0.0005383,0.000864768,0.000435751,0.000672333,0.000379355,0.000538396,0.000278569,0.000417052,0.000237609,0.0003543,0.000146907,0.000258892,0.000136909,0.000251148,0.000100978,0.000175788,9.73361e-05,0.000136227,7.5268e-05,0.000110035,5.5495e-05,8.65542e-05,4.34924e-05,
1600,0.127818,0.121496,0.124121,0.118962,0.128786,0.122327,0.118569,0.121522,0.121706,0.120866,0.123759,0.123055,0.127474,0.111329,0.121678,0.123496,0.124425,0.114934,0.116848,0.110243,0.114723,0.107168,0.115029,0.0945485,0.113921,0.0950862,0.107284,0.0814578,0.0985086,0.0635962,0.0869521,0.0447988,0.0709383,0.0385328,0.0562601,0.0263005,0.0520226,0.0206324,0.0350014,0.0181893,0.0245848,0.0140028,0.021191,0.0129663,0.0191247,0.00959055,0.0147848,0.00771482,0.0137225,0.00652923,0.0113684,0.00549964,0.0092164,0.00418763,0.00658512,0.0041889,0.00614386,0.00275902,0.00545695,0.00277809,0.00388255,0.00240101,0.00368637,0.00199748,0.00286741,0.00147765,0.00264478,0.0011791,0.00219081,0.00121778,0.0019009,0.000852408,0.00148361,0.00063726,0.00125341,0.000530631,0.000971742,0.000479485,0.000797768,0.000435751,0.00058493,0.000307278,0.000446869,0.000245141,0.000417052,0.000237609,0.0003543,0.000146907,0.000238286,0.000119191,0.000251148,0.000100978,0.000166385,9.0164e-05,0.000128401,7.5268e-05,0.000102122,5.5495e-05,9.55629e-05,4.34924e-05,
1800,0.165024,0.160276,0.163231,0.155156,0.163558,0.160248,0.160417,0.156393,0.158217,0.157125,0.159252,0.159186,0.169021,0.147389,0.156443,0.158595,0.158214,0.141962,0.152868,0.141014,0.14824,0.132538,0.141679,0.116132,0.141016,0.118163,0.124759,0.0918971,0.11967,0.0696794,0.102012,0.0483653,0.0836253,0.0385328,0.0635739,0.0297196,0.0573249,0.0222228,0.0384355,0.0181893,0.0266551,0.0129282,0.021191,0.0129663,0.0191247,0.00959055,0.0147848,0.00771482,0.0137225,0.00619637,0.0113684,0.00549964,0.0092164,0.00418763,0.00595738,0.00379253,0.00614386,0.00275902,0.00545695,0.00250028,0.00388255,0.00213737,0.00368637,0.00179773,0.00266122,0.00138979,0.00250558,0.0011791,0.00219081,0.00105295,0.00166376,0.000788693,0.00148361,0.00063726,0.00118622,0.000530631,0.000971742,0.000419179,0.000746777,0.000411214,0.00058493,0.000275029,0.000474928,0.000245141,0.000343266,0.000184147,0.000310631,0.000129639,0.000238286,0.000119191,0.000230772,0.000100978,0.000166385,9.0164e-05,0.000128401,6.67054e-05,9.5838e-05,5.5495e-05,9.55629e-05,4.34924e-05,
2000,0.208917,0.213494,0.219196,0.19762,0.202246,0.202647,0.188454,0.203136,0.197038,0.198619,0.201387,0.196839,0.216851,0.19105,0.205846,0.188804,0.2055,0.175726,0.186771,0.17178,0.189197,0.162392,0.178712,0.142643,0.17771,0.136716,0.152714,0.100687,0.134567,0.076374,0.112318,0.0483653,0.0892003,0.0405043,0.0689275,0.0268892,0.0573249,0.0222228,0.0417986,0.0181893,0.0280245,0.0129282,0.0239067,0.0129663,0.0191247,0.010261,0.0147848,0.00771482,0.0137225,0.00651203,0.0113684,0.00549964,0.0092164,0.00378773,0.00680675,0.00379253,0.00614386,0.00290424,0.00545695,0.00233204,0.00412858,0.00197761,0.00339297,0.00179773,0.00266122,0.00138979,0.00250558,0.00107906,0.00191407,0.0009599,0.00166376,0.000788693,0.00137888,0.00063726,0.00112263,0.000444082,0.000971742,0.000389836,0.000678888,0.000411214,0.00058493,0.000294281,0.000474928,0.000212803,0.000373301,0.000184147,0.000289697,0.000129639,0.000252673,0.000119191,0.000230772,9.33795e-05,0.000166385,9.0164e-05,0.000141623,6.67054e-05,9.5838e-05,5.25631e-05,9.55629e-05,4.34924e-05,
