mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,0.99,1,0.99,0.95,0.99,0.98,0.97,0.96,0.94,0.9,0.85,0.82,0.7,0.66,0.33,0.52,0.63,0.15,0.16,0.23,0.29,0.3,0.23,0.27,0.3,0.3,0.34,0.29,0.34,0.28,0.33,0.33,0.33,0.36,0.29,0.26,0.39,0.34,0.28,0.21,0.19,0.17,0.09,0.07,
400,1,1,1,0.995,1,0.995,0.995,0.995,0.975,0.98,0.98,0.985,0.945,0.93,0.89,0.87,0.78,0.695,0.57,0.165,0.405,0.465,0.215,0.27,0.2,0.38,0.3,0.23,0.21,0.25,0.31,0.355,0.305,0.35,0.28,0.31,0.33,0.395,0.395,0.385,0.385,0.44,0.41,0.39,0.35,0.295,0.27,0.185,0.085,
600,1,1,1,0.996667,1,0.993333,0.993333,0.993333,0.983333,0.983333,0.976667,0.976667,0.95,0.913333,0.886667,0.85,0.723333,0.646667,0.473333,0.11,0.506667,0.483333,0.396667,0.416667,0.406667,0.513333,0.446667,0.393333,0.383333,0.416667,0.46,0.44,0.433333,0.473333,0.44,0.446667,0.446667,0.496667,0.46,0.453333,0.463333,0.523333,0.49,0.503333,0.456667,0.43,0.423333,0.3,0.26,
800,1,0.9975,1,0.9975,1,0.995,0.9875,0.9925,0.98,0.9875,0.9825,0.98,0.95,0.9,0.84,0.79,0.6075,0.5675,0.435,0.2775,0.57,0.5625,0.51,0.53,0.5,0.5725,0.5175,0.475,0.48,0.5025,0.545,0.5275,0.5075,0.52,0.53,0.5125,0.54,0.56,0.55,0.535,0.52,0.5625,0.55,0.57,0.5075,0.5325,0.4975,0.4,0.3925,
1000,0.996,0.998,1,0.998,0.998,0.994,0.988,0.992,0.984,0.978,0.974,0.962,0.938,0.872,0.792,0.768,0.586,0.554,0.456,0.378,0.596,0.594,0.556,0.596,0.548,0.608,0.578,0.546,0.538,0.542,0.572,0.556,0.572,0.576,0.568,0.558,0.568,0.598,0.59,0.588,0.57,0.608,0.592,0.6,0.54,0.572,0.556,0.464,0.464,
1200,0.996667,0.998333,1,0.995,0.998333,0.993333,0.986667,0.99,0.983333,0.973333,0.958333,0.941667,0.915,0.84,0.771667,0.763333,0.603333,0.563333,0.505,0.436667,0.616667,0.62,0.593333,0.608333,0.59,0.63,0.603333,0.568333,0.573333,0.58,0.586667,0.598333,0.605,0.598333,0.6,0.59,0.595,0.621667,0.628333,0.625,0.606667,0.638333,0.616667,0.625,0.58,0.595,0.596667,0.51,0.498333,
1400,0.997143,0.998571,0.998571,0.994286,0.998571,0.992857,0.988571,0.99,0.975714,0.971429,0.951429,0.938571,0.892857,0.84,0.757143,0.747143,0.598571,0.584286,0.541429,0.487143,0.612857,0.634286,0.604286,0.62,0.615714,0.647143,0.615714,0.597143,0.597143,0.617143,0.598571,0.617143,0.614286,0.624286,0.63,0.601429,0.61,0.634286,0.632857,0.64,0.612857,0.667143,0.634286,0.648571,0.607143,0.617143,0.614286,0.547143,0.53,
1600,0.99625,0.99875,0.99875,0.995,0.9975,0.98875,0.99,0.99,0.97875,0.97,0.9475,0.92625,0.89375,0.835,0.7475,0.73625,0.58875,0.605,0.57,0.51125,0.625,0.65125,0.61125,0.64,0.63125,0.65,0.625,0.615,0.60875,0.645,0.6125,0.63125,0.6325,0.6325,0.64,0.6075,0.63625,0.6525,0.65375,0.6625,0.6325,0.6825,0.6525,0.65625,0.62875,0.6375,0.61375,0.56625,0.55,
1800,0.996667,0.998889,0.998889,0.995556,0.997778,0.99,0.991111,0.991111,0.977778,0.965556,0.945556,0.918889,0.89,0.825556,0.751111,0.717778,0.585556,0.61,0.59,0.535556,0.636667,0.664444,0.623333,0.652222,0.641111,0.651111,0.634444,0.611111,0.604444,0.655556,0.624444,0.644444,0.647778,0.65,0.652222,0.624444,0.647778,0.667778,0.665556,0.671111,0.634444,0.683333,0.653333,0.663333,0.634444,0.654444,0.625556,0.582222,0.566667,
2000,0.997,0.998,0.998,0.995,0.997,0.989,0.991,0.987,0.977,0.961,0.943,0.923,0.879,0.811,0.75,0.703,0.608,0.614,0.604,0.561,0.642,0.666,0.632,0.66,0.639,0.661,0.648,0.623,0.617,0.664,0.631,0.663,0.658,0.658,0.662,0.643,0.657,0.67,0.678,0.683,0.643,0.693,0.666,0.672,0.639,0.663,0.64,0.597,0.58,
