mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,0.99,1,0.99,0.98,0.98,0.96,0.96,0.95,0.95,0.82,0.87,0.77,0.63,0.59,0.64,0.41,0.19,0.49,0.32,0.29,0.25,0.34,0.36,0.29,0.21,0.26,0.28,0.24,0.27,0.25,0.39,0.4,0.38,0.42,0.42,0.38,0.34,0.27,0.24,0.2,0.18,0.18,0.11,0.04,
400,1,1,1,1,1,0.995,1,0.995,0.985,0.96,0.975,0.96,0.97,0.95,0.85,0.78,0.65,0.625,0.41,0.47,0.455,0.305,0.295,0.18,0.185,0.265,0.275,0.255,0.205,0.16,0.16,0.215,0.2,0.225,0.255,0.35,0.38,0.405,0.415,0.44,0.43,0.38,0.35,0.31,0.275,0.23,0.2,0.13,0.06,
600,1,1,1,1,1,0.996667,1,0.99,0.99,0.963333,0.983333,0.966667,0.963333,0.946667,0.86,0.736667,0.516667,0.57,0.493333,0.516667,0.486667,0.353333,0.236667,0.156667,0.15,0.323333,0.376667,0.383333,0.343333,0.306667,0.29,0.343333,0.306667,0.34,0.346667,0.393333,0.45,0.47,0.45,0.456667,0.46,0.436667,0.406667,0.376667,0.333333,0.33,0.293333,0.216667,0.133333,
800,1,1,1,0.9975,1,0.9975,1,0.9925,0.9875,0.9575,0.975,0.9575,0.94,0.905,0.8475,0.7075,0.46,0.5925,0.5125,0.5475,0.55,0.4225,0.3425,0.2775,0.3,0.4175,0.4775,0.47,0.445,0.435,0.4225,0.455,0.4075,0.4425,0.4425,0.4875,0.52,0.5325,0.5,0.495,0.5225,0.52,0.5025,0.4825,0.43,0.4475,0.3925,0.35,0.26,
1000,1,1,1,0.998,0.998,0.996,0.996,0.99,0.986,0.958,0.972,0.948,0.928,0.888,0.8,0.718,0.478,0.62,0.542,0.562,0.58,0.49,0.414,0.356,0.388,0.482,0.544,0.526,0.52,0.502,0.488,0.512,0.488,0.514,0.506,0.544,0.578,0.566,0.558,0.556,0.578,0.554,0.556,0.52,0.502,0.51,0.448,0.42,0.338,
1200,0.998333,1,1,0.995,0.998333,0.996667,0.995,0.99,0.985,0.951667,0.96,0.935,0.905,0.871667,0.788333,0.705,0.51,0.623333,0.568333,0.598333,0.613333,0.53,0.463333,0.408333,0.435,0.53,0.585,0.546667,0.563333,0.55,0.553333,0.561667,0.541667,0.556667,0.548333,0.555,0.603333,0.598333,0.588333,0.591667,0.61,0.591667,0.566667,0.565,0.535,0.553333,0.503333,0.483333,0.403333,
1400,0.998571,1,1,0.994286,0.997143,0.997143,0.991429,0.987143,0.984286,0.942857,0.952857,0.928571,0.898571,0.851429,0.772857,0.687143,0.545714,0.638571,0.588571,0.634286,0.635714,0.55,0.51,0.46,0.472857,0.564286,0.602857,0.582857,0.595714,0.575714,0.577143,0.59,0.561429,0.584286,0.562857,0.582857,0.627143,0.63,0.612857,0.611429,0.641429,0.618571,0.598571,0.6,0.565714,0.571429,0.537143,0.514286,0.467143,
1600,0.99875,1,1,0.995,0.995,0.99625,0.99125,0.98625,0.9825,0.94,0.94625,0.92375,0.8875,0.83875,0.75875,0.69,0.55625,0.655,0.60125,0.645,0.63125,0.58625,0.5275,0.49625,0.50875,0.585,0.6275,0.59875,0.61,0.6,0.6075,0.60625,0.59125,0.6075,0.58,0.59,0.6425,0.64875,0.6375,0.625,0.6475,0.63375,0.62,0.605,0.58875,0.59125,0.55625,0.53125,0.5,
1800,0.996667,1,1,0.994444,0.994444,0.996667,0.991111,0.986667,0.977778,0.941111,0.944444,0.918889,0.882222,0.831111,0.738889,0.686667,0.575556,0.667778,0.618889,0.658889,0.647778,0.606667,0.548889,0.522222,0.543333,0.603333,0.636667,0.623333,0.622222,0.607778,0.623333,0.63,0.615556,0.622222,0.598889,0.605556,0.648889,0.661111,0.64,0.634444,0.667778,0.645556,0.637778,0.632222,0.607778,0.615556,0.568889,0.554444,0.518889,
2000,0.997,1,1,0.995,0.995,0.996,0.991,0.983,0.976,0.945,0.947,0.918,0.878,0.829,0.732,0.683,0.589,0.658,0.609,0.659,0.655,0.602,0.57,0.537,0.562,0.617,0.652,0.627,0.635,0.617,0.639,0.646,0.635,0.63,0.617,0.624,0.659,0.673,0.65,0.645,0.675,0.645,0.643,0.645,0.626,0.631,0.59,0.574,0.532,
