mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
2200,0.862745,0.795918,0.76699,0.835052,0.828571,0.894737,0.755102,0.843137,0.861386,0.878788,0.868421,0.825581,0.76699,0.845361,0.87619,0.852632,0.846154,0.834862,0.765957,0.820755,0.762376,0.787879,0.785047,0.806452,0.72381,0.789474,0.75,0.692308,0.752688,0.588785,0.57,0.55,0.636364,0.663366,0.660194,0.659794,0.594059,0.606061,0.639175,0.621359,0.666667,0.609091,0.619048,0.610526,0.705882,0.591304,0.645161,0.64486,0.695652,0.546296,0.617978,0.612613,0.570093,0.602151,0.577778,0.545455,0.53,0.56,0.6,0.547368,0.591837,0.568627,0.59375,0.615385,0.578947,0.571429,0.532609,0.472222,0.621053,0.580952,0.536842,0.514286,0.622642,0.478723,0.483516,0.522936,0.666667,0.452632,0.579439,0.505376,0.527778,0.532609,0.592233,0.597938,0.571429,0.515789,0.476744,0.552632,0.54902,0.561224,0.637363,0.550459,0.640777,0.515464,0.616822,0.516129,0.54717,0.56383,0.623762,0.525253,
2400,0.796117,0.845361,0.761905,0.715789,0.755102,0.77451,0.831683,0.808081,0.782609,0.824074,0.878505,0.806452,0.831579,0.752381,0.76699,0.845361,0.736842,0.819048,0.802083,0.817308,0.776699,0.773196,0.776596,0.698113,0.780952,0.684211,0.666667,0.616822,0.611111,0.597826,0.670213,0.669811,0.659794,0.679612,0.758621,0.610619,0.669643,0.659091,0.693182,0.589286,0.619048,0.610526,0.659341,0.614679,0.727273,0.625,0.611111,0.636364,0.566372,0.632184,0.57,0.66,0.7,0.57,0.6,0.638095,0.597826,0.583333,0.61165,0.670103,0.504854,0.639175,0.659341,0.522936,0.59375,0.557692,0.552381,0.547368,0.572727,0.566667,0.51,0.57,0.575758,0.445545,0.626263,0.574257,0.62766,0.669811,0.637255,0.653061,0.638095,0.673684,0.504854,0.474227,0.60396,0.616162,0.580952,0.484211,0.535354,0.574257,0.571429,0.613636,0.623529,0.617391,0.666667,0.598131,0.574074,0.434783,0.640449,0.540541,
2600,0.805556,0.782609,0.75,0.738095,0.831461,0.765766,0.811321,0.734043,0.673469,0.754902,0.737374,0.683168,0.696629,0.81982,0.752381,0.8,0.802198,0.706422,0.714286,0.794118,0.788462,0.802083,0.78022,0.761468,0.804124,0.669903,0.793814,0.747573,0.695238,0.736842,0.666667,0.561224,0.68,0.52,0.722772,0.606061,0.719101,0.621622,0.656863,0.540816,0.659794,0.553398,0.718447,0.670103,0.681818,0.508929,0.568807,0.681319,0.626263,0.544554,0.553191,0.603774,0.627451,0.622449,0.56383,0.650943,0.657407,0.728261,0.603774,0.468085,0.666667,0.58427,0.619565,0.601852,0.524752,0.636364,0.641304,0.62037,0.656566,0.534653,0.537736,0.542553,0.571429,0.656863,0.616162,0.50495,0.621053,0.619048,0.572917,0.538462,0.530612,0.598039,0.708333,0.567308,0.513761,0.626374,0.573913,0.670588,0.598131,0.634409,0.608696,0.564815,0.612903,0.551402,0.590476,0.663158,0.742268,0.631068,0.721649,0.563107,
2800,0.773196,0.718447,0.685714,0.715789,0.705357,0.738636,0.798077,0.760417,0.682692,0.770833,0.697917,0.682692,0.72449,0.598039,0.690909,0.644444,0.734694,0.647059,0.736264,0.669725,0.683673,0.715686,0.680672,0.691358,0.622449,0.696078,0.705882,0.632653,0.704082,0.637255,0.60396,0.636364,0.645833,0.634615,0.529412,0.653061,0.54717,0.648936,0.62,0.63,0.709302,0.631579,0.542056,0.741935,0.589474,0.647619,0.570093,0.430108,0.581633,0.578431,0.634615,0.59375,0.619469,0.62069,0.64,0.59,0.623656,0.551402,0.633663,0.676768,0.673913,0.62963,0.537037,0.51087,0.581633,0.627451,0.602041,0.637255,0.533333,0.557895,0.52,0.67,0.553398,0.628866,0.516129,0.579439,0.510638,0.584906,0.625,0.604167,0.536364,0.611111,0.578947,0.571429,0.64,0.57,0.586538,0.53125,0.558559,0.640449,0.598039,0.622449,0.57,0.63,0.553571,0.465909,0.606061,0.574257,0.55914,0.635514,
3000,0.68,0.62,0.747475,0.762376,0.739583,0.615385,0.769912,0.689655,0.712766,0.679245,0.657407,0.641304,0.75,0.769231,0.683673,0.617647,0.757576,0.722772,0.607843,0.540816,0.694737,0.52381,0.771429,0.578947,0.757282,0.608247,0.82243,0.516129,0.719626,0.569892,0.663265,0.607843,0.554455,0.676768,0.678899,0.472527,0.6,0.652632,0.64,0.6,0.658824,0.582609,0.618557,0.553398,0.601852,0.652174,0.592233,0.670103,0.676768,0.574257,0.621053,0.580952,0.615385,0.578313,0.591398,0.598131,0.578947,0.666667,0.62,0.62,0.622449,0.539216,0.602151,0.542056,0.59,0.56,0.576471,0.486957,0.559633,0.527473,0.659794,0.640777,0.6,0.666667,0.669903,0.536082,0.65,0.63,0.646465,0.70297,0.690722,0.660194,0.571429,0.511364,0.56044,0.623853,0.6,0.463158,0.611111,0.536364,0.581818,0.644444,0.555556,0.584158,0.72043,0.542056,0.602151,0.663551,0.483146,0.720721,
3200,0.589474,0.657143,0.786517,0.738739,0.638889,0.706522,0.627451,0.714286,0.72,0.74,0.650485,0.742268,0.626374,0.715596,0.648936,0.650943,0.712766,0.716981,0.6875,0.75,0.608696,0.694444,0.676471,0.683673,0.576923,0.71875,0.659794,0.708738,0.594059,0.737374,0.610526,0.666667,0.67,0.53,0.688073,0.692308,0.577982,0.461538,0.672414,0.619048,0.490385,0.583333,0.627273,0.522222,0.666667,0.586538,0.58,0.61,0.651786,0.579545,0.673469,0.54902,0.657143,0.6,0.670213,0.603774,0.545455,0.488889,0.609524,0.505263,0.537037,0.565217,0.520408,0.558824,0.548077,0.5625,0.525773,0.650485,0.604167,0.451923,0.685185,0.5,0.465347,0.626263,0.616162,0.613861,0.550459,0.516484,0.621359,0.618557,0.626087,0.635294,0.575758,0.594059,0.555556,0.619565,0.646465,0.663366,0.44898,0.617647,0.587629,0.640777,0.586957,0.574074,0.58,0.69,0.561224,0.696078,0.58,0.58,
3400,0.57,0.72,0.618557,0.679612,0.707547,0.617021,0.621359,0.608247,0.684211,0.590476,0.673267,0.575758,0.705882,0.642857,0.716981,0.659574,0.642105,0.704762,0.55914,0.607477,0.607843,0.663265,0.622449,0.607843,0.636364,0.564356,0.604651,0.578947,0.442105,0.628571,0.607143,0.672414,0.514851,0.69697,0.543478,0.703704,0.56383,0.650943,0.695238,0.621053,0.704082,0.617647,0.613861,0.656566,0.654762,0.655172,0.565657,0.544554,0.657143,0.578947,0.577778,0.527273,0.659574,0.622642,0.489796,0.627451,0.688073,0.538462,0.672727,0.611111,0.615385,0.6875,0.679612,0.57732,0.65625,0.5,0.66,0.53,0.552083,0.596154,0.608696,0.552941,0.549451,0.587156,0.644231,0.625,0.56,0.54,0.536842,0.561905,0.6,0.6,0.553191,0.622642,0.643478,0.6,0.601695,0.573171,0.637255,0.571429,0.580952,0.547368,0.690722,0.582524,0.560748,0.602151,0.59596,0.554455,0.642857,0.656863,
3600,0.652632,0.647619,0.63,0.6,0.613208,0.62766,0.579439,0.688172,0.655172,0.513274,0.608247,0.621359,0.623656,0.691589,0.645833,0.615385,0.68,0.6,0.655914,0.635514,0.657143,0.652632,0.677778,0.718182,0.72449,0.735294,0.619048,0.705263,0.707547,0.702128,0.716981,0.606383,0.602041,0.607843,0.585859,0.613861,0.612069,0.595238,0.579439,0.591398,0.626263,0.653465,0.536082,0.582524,0.593407,0.587156,0.567308,0.604167,0.570175,0.569767,0.601942,0.56701,0.537634,0.570093,0.612903,0.570093,0.504587,0.604396,0.609756,0.597403,0.54,0.51,0.519231,0.614583,0.474747,0.623762,0.60177,0.62069,0.588889,0.581818,0.526316,0.609524,0.540816,0.598039,0.742268,0.660194,0.651786,0.534091,0.70297,0.565657,0.6,0.647059,0.54717,0.638298,0.616162,0.653465,0.533333,0.694737,0.643564,0.606061,0.686869,0.653465,0.581818,0.566667,0.588235,0.540816,0.569767,0.54386,0.7,0.54,
3800,0.652174,0.682353,0.643678,0.619469,0.579832,0.666667,0.643564,0.565657,0.572917,0.596154,0.752809,0.684685,0.683168,0.636364,0.579439,0.752688,0.676768,0.663366,0.622222,0.663636,0.722772,0.565657,0.56701,0.669903,0.686275,0.55102,0.693069,0.626263,0.714286,0.54902,0.542056,0.580645,0.622807,0.639535,0.577778,0.572727,0.598131,0.602151,0.666667,0.554348,0.672727,0.677778,0.71875,0.5,0.6,0.609524,0.560748,0.602151,0.564815,0.652174,0.510204,0.588235,0.572816,0.57732,0.611111,0.554348,0.543689,0.608247,0.631579,0.647619,0.589474,0.590476,0.657143,0.673684,0.587629,0.640777,0.542553,0.59434,0.545455,0.633663,0.571429,0.539216,0.717647,0.608696,0.575758,0.693069,0.540541,0.741573,0.652632,0.580952,0.592233,0.618557,0.572917,0.586538,0.523256,0.561404,0.576087,0.657407,0.539326,0.576577,0.504202,0.518519,0.567901,0.621849,0.590909,0.598214,0.575472,0.617021,0.603774,0.648936,
4000,0.582418,0.550459,0.663636,0.644444,0.583333,0.663043,0.637363,0.614679,0.608696,0.666667,0.58,0.62,0.666667,0.622449,0.610619,0.643678,0.615385,0.651376,0.694737,0.695238,0.622449,0.647059,0.679245,0.659574,0.679612,0.639175,0.59375,0.634615,0.654545,0.688889,0.619469,0.632184,0.572917,0.653846,0.583333,0.548077,0.688889,0.645455,0.557895,0.619048,0.571429,0.59633,0.610619,0.597701,0.489796,0.539216,0.494253,0.584071,0.642857,0.568627,0.67,0.59,0.621622,0.483146,0.574257,0.575758,0.54717,0.62766,0.663158,0.580952,0.614679,0.626374,0.607477,0.580645,0.581633,0.529412,0.604651,0.649123,0.6,0.636364,0.540816,0.656863,0.513514,0.58427,0.596154,0.635417,0.633028,0.593407,0.53125,0.519231,0.693878,0.568627,0.614583,0.605769,0.648148,0.532609,0.6,0.647619,0.71,0.53,0.653061,0.617647,0.613861,0.575758,0.553191,0.679245,0.53125,0.567308,0.509804,0.642857,
