mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.992539,0.831146,0.0613744,0.990092,0.65541,0.855282,0.850659,0.279285,0.0576936,0.834528,0.520469,0.467434,0.707051,0.972184,0.655562,0.332651,0.392665,0.472256,0.943062,0.572749,0.65636,0.213426,0.763113,0.784634,0.411129,0.266388,0.703398,0.89611,0.0262927,0.879239,0.766177,0.706734,0.433093,0.383704,0.100067,0.801685,0.67997,0.774765,0.436098,0.414911,0.612492,0.687086,0.425796,0.648658,0.532882,0.395377,0.283469,0.765862,0.984934,0.553833,0.754809,0.0354676,0.560582,0.607946,0.832706,0.892176,0.641307,0.25256,0.364607,0.456499,0.70106,0.0427604,0.211114,0.589788,0.758312,0.034528,0.0815499,0.683476,0.00275245,0.292023,0.661022,0.91248,0.0982307,0.508726,0.352365,0.850334,0.709053,0.157902,0.456164,0.698015,0.678145,0.192463,0.104843,0.614392,0.194652,0.444699,0.319361,0.253822,0.740978,0.717328,0.4017,0.12216,0.556025,0.26042,0.0579918,0.442458,0.000225359,0.783009,0.357668,0.0408182,
20,0.497031,0.445288,0.706262,0.988546,0.645931,0.337517,0.457902,0.493536,0.956221,0.593673,0.985584,0.842554,0.75429,0.802627,0.00785726,0.996729,0.704567,0.885242,0.0170542,0.884127,0.782088,0.732786,0.648733,0.191954,0.11841,0.822732,0.664798,0.787335,0.664487,0.853188,0.0928171,0.84997,0.632997,0.694996,0.850198,0.325611,0.28482,0.759506,0.978429,0.528893,0.439817,0.601409,0.535378,0.618715,0.819987,0.887499,0.375069,0.264714,0.509622,0.391765,0.4407,0.414172,0.185572,0.58461,0.404237,0.383704,0.337416,0.453303,0.0812779,0.682801,0.612834,0.892256,0.75361,0.0356553,0.333697,0.844372,0.628871,0.238705,0.398838,0.682987,0.656179,0.0215436,0.0981172,0.607813,0.741594,0.00721796,0.190637,0.433959,0.737309,0.716405,0.00275245,0.292023,0.55217,0.258745,0.082706,0.493904,0.676462,0.189814,0.701705,0.156609,0.318303,0.251838,0.0576747,0.441832,1.66752e-05,0.782767,0.401387,0.12188,0.357551,0.0407441,
30,0.993671,0.854597,0.735376,0.807817,0.0214091,0.96934,0.716117,0.875692,0.412221,0.510267,0.808779,0.770414,0.461361,0.450261,0.113275,0.82385,0.709109,0.778371,0.643798,0.847254,0.667499,0.952817,0.652084,0.68582,0.95681,0.58708,0.268973,0.754671,0.948341,0.530269,0.423078,0.592402,0.526282,0.60391,0.814825,0.888641,0.00124437,0.881252,0.0845531,0.865328,0.628309,0.323454,0.185233,0.530436,0.424423,0.407492,0.805541,0.298762,0.487342,0.384419,0.570878,0.850821,0.633791,0.185065,0.335879,0.835041,0.319774,0.449115,0.380163,0.682987,0.347976,0.204607,0.0619969,0.658423,0.370675,0.370837,0.0726146,0.607813,0.667157,0.701727,0.183955,0.429249,0.533389,0.242276,0.716143,0.0290549,0.618684,0.225569,0.0688671,0.493904,0.663022,0.188445,0.648731,0.00679219,0.315321,0.251838,0.734093,0.00137038,0.701138,0.156536,0.00209785,0.292023,0.0574141,0.441257,1.66752e-05,0.781985,0.40107,0.121861,0.357433,0.040729,
40,0.883787,0.79153,0.451353,0.438982,0.109719,0.8382,0.706909,0.785782,0.64482,0.871194,0.6721,0.977457,0.728145,0.901422,0.883621,0.585436,0.292644,0.75971,0.977032,0.527512,0.425551,0.550573,0.534652,0.607113,0.827843,0.864281,0.975673,0.87476,0.427013,0.490498,0.738973,0.754749,0.631967,0.672701,0.392964,0.406874,0.8118,0.289369,0.170457,0.533415,0.575788,0.809714,0.0796382,0.854005,0.316644,0.820641,0.00069501,0.96563,0.365433,0.671565,0.00124437,0.855956,0.296637,0.438623,0.605163,0.325269,0.458394,0.362356,0.598898,0.701479,0.048703,0.638062,0.368759,0.342515,0.606666,0.143319,0.0407106,0.601518,0.148081,0.425845,0.520274,0.208231,0.599348,0.209301,0.338551,0.184774,0.0595239,0.480416,0.649288,0.188445,0.698807,0.155733,0.315321,0.24146,0.0564679,0.437989,0.716143,0.0171707,1.66752e-05,0.781724,0.400523,0.121196,0.646965,0.0057774,0.732553,0.000999897,0.00207599,0.291778,0.357309,0.0402942,
50,0.70345,0.966591,0.755289,0.902483,0.872262,0.617192,0.296164,0.819892,0.973799,0.509486,0.434918,0.532338,0.541352,0.596968,0.835703,0.889484,0.996589,0.888201,0.897659,0.800874,0.767737,0.746168,0.647777,0.697163,0.120377,0.823748,0.700656,0.775877,0.152396,0.53117,0.614675,0.822411,0.641233,0.901061,0.341577,0.83177,0.802264,0.289056,0.372589,0.661823,0.481574,0.416283,0.432022,0.490531,0.0759348,0.833938,0.386585,0.423385,0.581874,0.694505,0.601344,0.319015,0.253161,0.43448,0.451374,0.317777,0.0403744,0.591631,0.00069501,0.957261,0.134047,0.425093,0.00124437,0.819213,0.0255421,0.60906,0.348598,0.276821,0.565299,0.204804,0.506656,0.191273,0.635684,0.173296,0.0451537,0.444023,0.590586,0.131304,0.305745,0.240487,0.051518,0.427605,0.696706,0.138275,0.323012,0.169889,1.66752e-05,0.777905,0.40025,0.119812,0.715585,0.0153335,0.732429,0.000809242,0.00207599,0.291756,0.646139,0.00549815,0.35707,0.0402026,
60,0.390889,0.552834,0.50377,0.612149,0.839692,0.874128,0.984847,0.892525,0.855571,0.791205,0.753401,0.762078,0.652365,0.653769,0.111472,0.837584,0.699725,0.783051,0.757408,0.905398,0.576686,0.819265,0.615869,0.889649,0.845241,0.597595,0.709355,0.93937,0.306607,0.810034,0.380369,0.664965,0.336135,0.81024,0.967298,0.519297,0.0700715,0.846811,0.579368,0.70332,0.163019,0.518563,0.518831,0.419198,0.447212,0.478926,0.801983,0.286279,0.376095,0.380758,0.542944,0.301542,0.44904,0.317777,0.214032,0.418442,0.106983,0.425093,0.0127945,0.583845,0.328912,0.270495,0.00069501,0.934367,0.532987,0.184933,0.00124437,0.805149,0.00844169,0.60906,0.595259,0.154897,0.268093,0.226893,0.506656,0.169719,0.693205,0.127888,0.00629316,0.424862,0.0286409,0.430746,0.581066,0.124115,0.318246,0.169644,5.88824e-06,0.774076,0.40025,0.115741,0.715585,0.0149909,0.730813,0.000618325,0.00207599,0.291432,0.645827,0.00549815,0.356853,0.0401166,
70,0.743542,0.778838,0.654692,0.628352,0.0803509,0.863254,0.703298,0.826214,0.768791,0.906317,0.575687,0.815352,0.628747,0.900825,0.824703,0.532014,0.737145,0.943172,0.376878,0.565484,0.397306,0.690102,0.321143,0.815883,0.955113,0.585558,0.839751,0.7622,0.603069,0.676179,0.835023,0.905099,0.967886,0.943069,0.290967,0.816735,0.0533462,0.813178,0.501496,0.605105,0.413889,0.450974,0.533099,0.432533,0.142092,0.513702,0.815716,0.255651,0.360007,0.352305,0.509516,0.27623,0.21453,0.397505,0.411242,0.296911,0.00069501,0.918171,0.325437,0.237819,0.0843517,0.414358,0.506935,0.183932,0.0010088,0.785956,0.0116835,0.564642,0.00537539,0.590643,0.250588,0.220234,0.470633,0.154618,0.682091,0.113962,0.023499,0.400213,0.59121,0.112733,0.562698,0.115289,0.317154,0.158327,5.88824e-06,0.770947,0.399123,0.113922,0.00287039,0.4244,0.713578,0.0141162,0.730559,0.00058887,0.0021339,0.290504,0.645207,0.0052568,0.356686,0.0399642,
80,0.583587,0.826233,0.633255,0.940436,0.834599,0.564689,0.682076,0.955111,0.381756,0.565063,0.408989,0.730299,0.308332,0.845641,0.996294,0.577437,0.832872,0.801206,0.609446,0.682292,0.812507,0.938795,0.960764,0.934972,0.762825,0.729263,0.677609,0.832049,0.790082,0.902715,0.304628,0.805778,0.660576,0.619358,0.0685502,0.872994,0.511917,0.433557,0.0789021,0.806002,0.420159,0.416901,0.516883,0.604341,0.125506,0.50994,0.826554,0.227883,0.339459,0.336299,0.497841,0.262749,0.175264,0.393162,0.368195,0.275813,0.00069501,0.902821,0.0843517,0.39153,0.507563,0.181011,0.0010088,0.782466,0.303098,0.219028,0.219167,0.212832,0.0023953,0.560002,0.663,0.0981133,0.450997,0.122442,0.00104164,0.537511,0.0200391,0.39326,0.58552,0.100666,0.317154,0.153019,5.88824e-06,0.763526,0.550088,0.0939223,0.392408,0.112397,0.000326794,0.423769,0.712992,0.0118981,0.729474,0.000410746,0.0021339,0.28991,0.644808,0.00509092,0.356508,0.0398854,
90,0.383677,0.739787,0.310222,0.851216,0.999395,0.579482,0.919476,0.781935,0.601778,0.653562,0.804514,0.941281,0.956808,0.916185,0.794507,0.703922,0.668183,0.828601,0.788666,0.910392,0.579313,0.845068,0.665617,0.606917,0.286668,0.813573,0.670333,0.932404,0.663558,0.948663,0.0596337,0.933078,0.530078,0.620572,0.84413,0.57605,0.0587311,0.817259,0.50458,0.429978,0.350504,0.558531,0.387866,0.405306,0.822698,0.178439,0.0897844,0.499092,0.296724,0.318489,0.482459,0.25268,0.342423,0.275813,0.172919,0.360638,0.00069501,0.885101,0.0010088,0.772944,0.0703356,0.362193,0.290168,0.193527,0.492935,0.131839,0.0023953,0.541968,0.173006,0.197821,0.450621,0.104324,0.663,0.0713467,0.00198782,0.381049,0.307809,0.1403,5.88824e-06,0.759347,0.562332,0.0904162,0.548199,0.0939223,0.00100155,0.528294,0.38842,0.111445,0.000214383,0.423769,0.712992,0.00862613,0.72917,7.66069e-06,0.0021339,0.289332,0.644718,0.00461981,0.3561,0.0398777,
100,0.818994,0.92664,0.944161,0.882978,0.800091,0.706863,0.655634,0.834736,0.766826,0.912888,0.621052,0.858688,0.695606,0.576399,0.283434,0.859516,0.666394,0.942714,0.672263,0.907991,0.962932,0.582263,0.541614,0.656539,0.877547,0.574397,0.307448,0.842815,0.607824,0.697146,0.299234,0.562336,0.0557021,0.831825,0.071696,0.952967,0.389171,0.775876,0.943503,0.758355,0.483357,0.407304,0.396094,0.402675,0.0834969,0.483259,0.288311,0.31066,0.341191,0.25959,0.457912,0.211394,0.790796,0.131919,0.150324,0.332196,0.00069501,0.850968,0.000390871,0.76469,0.053468,0.346102,0.488233,0.12699,0.264283,0.176683,0.0023953,0.522633,5.88824e-06,0.752355,0.304647,0.12801,0.4114,0.104175,0.534998,0.0904162,0.13427,0.185574,0.00100155,0.513016,0.64035,0.0631223,0.381877,0.111373,0.537111,0.0822926,0.000214383,0.417192,0.00112782,0.375803,0.712108,0.00606362,0.728022,7.66069e-06,0.0021339,0.289263,0.644464,0.00452956,0.355944,0.0398405,
